time,mean,climatology,anomaly
1249084800,41.455,39.032,2.423
1249171200,41.750,39.036,2.714
1249257600,42.086,39.040,3.047
1249344000,42.519,39.044,3.475
1249430400,42.400,39.047,3.353
1249516800,42.154,39.051,3.103
1249603200,42.368,39.055,3.313
1249689600,42.513,39.059,3.454
1249776000,42.767,39.063,3.704
1249862400,42.882,39.067,3.815
1249948800,42.746,39.071,3.675
1250035200,42.409,39.074,3.334
1250121600,42.467,39.078,3.388
1250208000,42.700,39.082,3.618
1250294400,42.287,39.086,3.201
1250380800,41.263,39.007,2.255
1250467200,41.736,38.929,2.808
1250553600,41.465,38.850,2.615
1250640000,41.283,38.771,2.512
1250726400,41.039,38.693,2.347
1250812800,41.374,38.614,2.760
1250899200,41.621,38.535,3.086
1250985600,41.543,38.457,3.087
1251072000,41.417,38.378,3.039
1251158400,41.833,38.299,3.534
1251244800,41.485,38.221,3.264
1251331200,41.233,38.142,3.091
1251417600,40.957,38.063,2.893
1251504000,41.208,37.984,3.224
1251590400,41.688,37.906,3.782
1251676800,41.671,37.827,3.844
1251763200,42.031,37.748,4.283
1251849600,41.800,37.670,4.130
1251936000,41.438,37.591,3.846
1252022400,41.173,37.512,3.660
1252108800,41.196,37.434,3.762
1252195200,40.563,37.355,3.207
1252281600,40.371,37.276,3.094
1252368000,40.337,37.198,3.140
1252454400,40.318,37.119,3.199
1252540800,39.871,37.040,2.830
1252627200,39.804,36.962,2.843
1252713600,39.961,36.883,3.078
1252800000,39.857,36.804,3.052
1252886400,39.118,36.726,2.393
1252972800,39.725,36.647,3.078
1253059200,39.787,36.557,3.230
1253145600,39.717,36.466,3.250
1253232000,39.679,36.376,3.303
1253318400,39.765,36.286,3.479
1253404800,39.742,36.195,3.546
1253491200,39.610,36.105,3.504
1253577600,39.441,36.015,3.426
1253664000,38.633,35.924,2.709
1253750400,38.264,35.834,2.429
1253836800,38.029,35.744,2.285
1253923200,36.838,35.654,1.184
1254009600,37.382,35.563,1.819
1254096000,38.962,35.473,3.490
1254182400,39.096,35.383,3.713
1254268800,37.939,35.292,2.647
1254355200,37.286,35.202,2.084
1254441600,37.615,35.112,2.503
1254528000,38.019,35.021,2.998
1254614400,37.830,34.931,2.899
1254700800,37.677,34.841,2.837
1254787200,37.741,34.750,2.990
1254873600,37.757,34.660,3.096
1254960000,37.548,34.570,2.978
1255046400,37.315,34.479,2.836
1255132800,37.616,34.389,3.227
1255219200,37.550,34.299,3.251
1255305600,37.305,34.209,3.096
1255392000,37.413,34.118,3.295
1255478400,37.689,34.028,3.662
1255564800,38.641,33.938,4.703
1255651200,39.077,33.906,5.171
1255737600,39.277,33.874,5.403
1255824000,39.833,33.843,5.991
1255910400,39.224,33.811,5.413
1255996800,38.029,33.779,4.249
1256083200,37.765,33.748,4.018
