Time,mean,climatology,anomaly
1025740800,NaN,0.055165,NaN
1025827200,NaN,0.055521,NaN
1025913600,NaN,0.055876,NaN
1026000000,0.032290,0.056232,-0.023942
1026086400,NaN,0.056587,NaN
1026172800,0.023469,0.056942,-0.033474
1026259200,NaN,0.057298,NaN
1026345600,NaN,0.057653,NaN
1026432000,NaN,0.058009,NaN
1026518400,NaN,0.058364,NaN
1026691200,0.075810,0.059075,0.016734
1026777600,0.032196,0.059177,-0.026981
1026864000,NaN,0.059278,NaN
1026950400,NaN,0.059380,NaN
1027036800,NaN,0.059481,NaN
1027209600,NaN,0.059684,NaN
1027296000,0.061899,0.059786,0.002114
1027382400,NaN,0.059887,NaN
1027468800,NaN,0.059989,NaN
1027555200,NaN,0.060090,NaN
1027641600,NaN,0.060191,NaN
1027728000,NaN,0.060293,NaN
1027814400,NaN,0.060394,NaN
1027900800,NaN,0.060496,NaN
1028678400,NaN,0.061409,NaN
1028851200,NaN,0.061612,NaN
1028937600,NaN,0.061713,NaN
1029024000,NaN,0.061815,NaN
1029110400,NaN,0.061916,NaN
1029196800,NaN,0.062018,NaN
1029283200,NaN,0.062119,NaN
1029456000,NaN,0.062165,NaN
1029542400,NaN,0.062109,NaN
1029628800,NaN,0.062054,NaN
1029715200,NaN,0.061998,NaN
1029888000,NaN,0.061887,NaN
1029974400,NaN,0.061831,NaN
1030060800,NaN,0.061775,NaN
1030233600,NaN,0.061664,NaN
1030320000,NaN,0.061608,NaN
1030406400,NaN,0.061553,NaN
1030492800,NaN,0.061497,NaN
1030579200,NaN,0.061441,NaN
1030665600,NaN,0.061386,NaN
1030752000,NaN,0.061330,NaN
1030924800,NaN,0.061219,NaN
1031011200,NaN,0.061163,NaN
1031097600,NaN,0.061107,NaN
1031270400,NaN,0.060996,NaN
1031356800,NaN,0.060940,NaN
1031443200,NaN,0.060885,NaN
1031616000,NaN,0.060773,NaN
1031702400,0.031700,0.060718,-0.029017
1031875200,NaN,0.060606,NaN
1031961600,NaN,0.060551,NaN
1032048000,NaN,0.060495,NaN
1032134400,NaN,0.060615,NaN
1032220800,NaN,0.060735,NaN
1032307200,0.043008,0.060854,-0.017847
1032393600,NaN,0.060974,NaN
1032480000,NaN,0.061094,NaN
1032566400,NaN,0.061214,NaN
1032652800,NaN,0.061333,NaN
1032739200,NaN,0.061453,NaN
1032825600,NaN,0.061573,NaN
1032912000,NaN,0.061693,NaN
1032998400,NaN,0.061812,NaN
1033084800,0.080046,0.061932,0.018114
1033171200,NaN,0.062052,NaN
1033257600,NaN,0.062172,NaN
1033344000,NaN,0.062292,NaN
1033430400,NaN,0.062411,NaN
1033516800,NaN,0.062531,NaN
1033603200,NaN,0.062651,NaN
1033689600,NaN,0.062771,NaN
1033776000,NaN,0.062890,NaN
1033862400,0.129733,0.063010,0.066722
1033948800,NaN,0.063130,NaN
1034035200,NaN,0.063250,NaN
1034121600,NaN,0.063370,NaN
1034208000,NaN,0.063489,NaN
1034294400,NaN,0.063609,NaN
1034380800,NaN,0.063729,NaN
1034467200,0.098651,0.063849,0.034802
1034553600,NaN,0.063968,NaN
1034640000,NaN,0.064088,NaN
1034726400,0.048883,0.064950,-0.016067
1034812800,0.029730,0.065811,-0.036081
1034899200,NaN,0.066673,NaN
1034985600,NaN,0.067535,NaN
1035072000,0.044728,0.068396,-0.023668
1035158400,NaN,0.069258,NaN
1035244800,NaN,0.070120,NaN
1035331200,NaN,0.070981,NaN
1035417600,NaN,0.071843,NaN
1035504000,NaN,0.072704,NaN
1035590400,NaN,0.073566,NaN
1035676800,NaN,0.074428,NaN
1035763200,NaN,0.075289,NaN
1035849600,NaN,0.076151,NaN
1035936000,NaN,0.077013,NaN
1036022400,NaN,0.077874,NaN
1036108800,NaN,0.078736,NaN
1036195200,NaN,0.079597,NaN
1036281600,NaN,0.080459,NaN
1036368000,NaN,0.081321,NaN
1036454400,NaN,0.082182,NaN
1036540800,0.070629,0.083044,-0.012415
1036627200,0.035048,0.083905,-0.048857
1036713600,NaN,0.084767,NaN
1036800000,0.060931,0.085629,-0.024697
1036886400,0.094454,0.086490,0.007964
1036972800,NaN,0.087352,NaN
1037059200,0.073819,0.088214,-0.014394
1037145600,0.056367,0.089075,-0.032708
1037232000,NaN,0.089937,NaN
1037318400,NaN,0.090798,NaN
1037404800,NaN,0.091972,NaN
1037491200,0.100883,0.093145,0.007738
1037577600,NaN,0.094319,NaN
1037664000,NaN,0.095493,NaN
1037750400,NaN,0.096666,NaN
1037836800,0.119097,0.097840,0.021258
1037923200,0.118875,0.099013,0.019862
1038009600,NaN,0.100187,NaN
1038096000,NaN,0.101360,NaN
1038182400,0.123878,0.102534,0.021345
1038268800,NaN,0.103707,NaN
1038355200,NaN,0.104881,NaN
1038441600,NaN,0.106054,NaN
1038528000,0.065988,0.107228,-0.041240
1038614400,NaN,0.108401,NaN
1038700800,NaN,0.109575,NaN
1038787200,0.043651,0.110748,-0.067098
1038873600,NaN,0.111922,NaN
1038960000,NaN,0.113096,NaN
1039046400,NaN,0.114269,NaN
1039132800,NaN,0.115443,NaN
1039219200,NaN,0.116616,NaN
1039305600,NaN,0.117790,NaN
1039392000,NaN,0.118963,NaN
1039478400,NaN,0.120137,NaN
1039564800,NaN,0.121310,NaN
1039651200,NaN,0.122484,NaN
1039737600,0.165290,0.123657,0.041632
1039824000,0.183343,0.124831,0.058512
1039910400,0.150263,0.126004,0.024258
1039996800,0.151745,0.125629,0.026116
1040083200,NaN,0.125253,NaN
1040169600,0.075064,0.124877,-0.049814
1040256000,NaN,0.124502,NaN
1040342400,0.110858,0.124126,-0.013268
1040428800,NaN,0.123750,NaN
1040515200,0.056859,0.123374,-0.066516
1040601600,NaN,0.122999,NaN
1040688000,NaN,0.122623,NaN
1040774400,NaN,0.122247,NaN
1040860800,NaN,0.121871,NaN
1040947200,NaN,0.121496,NaN
1041033600,NaN,0.121120,NaN
1041120000,NaN,0.120744,NaN
1041206400,NaN,0.120369,NaN
1041292800,NaN,0.119993,NaN
1041379200,0.110789,0.119617,-0.008828
1041465600,NaN,0.119241,NaN
1041552000,0.142327,0.118866,0.023462
1041638400,0.118145,0.118490,-0.000345
1041724800,0.115936,0.118114,-0.002178
1041811200,NaN,0.117738,NaN
1041897600,NaN,0.117363,NaN
1041984000,0.119800,0.116987,0.002813
1042070400,NaN,0.116611,NaN
1042156800,NaN,0.116236,NaN
1042243200,NaN,0.115860,NaN
1042329600,NaN,0.115484,NaN
1042416000,0.138417,0.115108,0.023309
1042502400,NaN,0.114733,NaN
1042588800,NaN,0.114357,NaN
1042675200,NaN,0.113906,NaN
1042761600,NaN,0.113455,NaN
1042848000,0.199176,0.113004,0.086172
1042934400,0.105608,0.112553,-0.006945
1043020800,0.184966,0.112102,0.072864
1043107200,0.259808,0.111650,0.148157
1043193600,NaN,0.111199,NaN
1043280000,NaN,0.110748,NaN
1043366400,NaN,0.110297,NaN
1043452800,NaN,0.109846,NaN
1043539200,NaN,0.109395,NaN
1043625600,NaN,0.108944,NaN
1043712000,NaN,0.108493,NaN
1043798400,NaN,0.108042,NaN
1043884800,NaN,0.107591,NaN
1043971200,NaN,0.107140,NaN
1044057600,0.161877,0.106688,0.055188
1044144000,0.166028,0.106237,0.059791
1044230400,NaN,0.105786,NaN
1044316800,0.154854,0.105335,0.049519
1044403200,NaN,0.104884,NaN
1044489600,NaN,0.104433,NaN
1044576000,NaN,0.103982,NaN
1044662400,NaN,0.103531,NaN
1044748800,NaN,0.103080,NaN
1044835200,NaN,0.102629,NaN
1044921600,0.064958,0.102178,-0.037219
1045008000,NaN,0.101726,NaN
1045094400,NaN,0.101275,NaN
1045180800,0.163652,0.100824,0.062828
1045267200,NaN,0.100373,NaN
1045353600,NaN,0.099318,NaN
1045440000,NaN,0.098263,NaN
1045526400,0.093551,0.097208,-0.003657
1045612800,NaN,0.096153,NaN
1045699200,NaN,0.095097,NaN
1045785600,NaN,0.094042,NaN
1045872000,NaN,0.092987,NaN
1045958400,0.086615,0.091932,-0.005317
1046044800,NaN,0.090877,NaN
1046131200,NaN,0.089822,NaN
1046217600,NaN,0.088767,NaN
1046304000,NaN,0.087711,NaN
1046390400,NaN,0.086656,NaN
1046476800,NaN,0.085601,NaN
1046563200,NaN,0.084546,NaN
1046649600,NaN,0.083491,NaN
1046736000,NaN,0.082436,NaN
1046822400,NaN,0.081381,NaN
1046908800,NaN,0.080325,NaN
1046995200,NaN,0.079270,NaN
1047081600,NaN,0.078215,NaN
1047168000,NaN,0.077160,NaN
1047254400,NaN,0.076105,NaN
1047340800,NaN,0.075050,NaN
1047427200,NaN,0.073994,NaN
1047513600,NaN,0.072939,NaN
1047600000,NaN,0.071884,NaN
1047686400,NaN,0.070829,NaN
1047772800,NaN,0.070248,NaN
1047859200,NaN,0.069667,NaN
1047945600,NaN,0.069086,NaN
1048032000,0.071336,0.068505,0.002830
1048118400,NaN,0.067924,NaN
1048204800,NaN,0.067343,NaN
1048291200,0.037341,0.066763,-0.029421
1048377600,0.041101,0.066182,-0.025080
1048464000,NaN,0.065601,NaN
1048550400,NaN,0.065020,NaN
1048636800,NaN,0.064439,NaN
1048723200,NaN,0.063858,NaN
1048809600,0.059226,0.063277,-0.004051
1048896000,NaN,0.062696,NaN
1048982400,0.071662,0.062115,0.009547
1049068800,0.035693,0.061534,-0.025841
1049155200,NaN,0.060953,NaN
1049241600,NaN,0.060372,NaN
1049328000,0.120837,0.059791,0.061046
1049414400,NaN,0.059210,NaN
1049500800,NaN,0.058629,NaN
1049587200,NaN,0.058049,NaN
1049673600,NaN,0.057468,NaN
1049760000,NaN,0.056887,NaN
1049846400,NaN,0.056306,NaN
1049932800,0.059933,0.055725,0.004208
1050019200,NaN,0.055144,NaN
1050105600,0.046932,0.054563,-0.007631
1050192000,0.033024,0.053982,-0.020958
1050278400,0.050727,0.053401,-0.002674
1050364800,0.041271,0.052820,-0.011549
1050451200,NaN,0.052647,NaN
1050537600,NaN,0.052475,NaN
1050624000,NaN,0.052302,NaN
1050710400,NaN,0.052129,NaN
1050796800,NaN,0.051956,NaN
1050883200,NaN,0.051784,NaN
1050969600,NaN,0.051611,NaN
1051056000,NaN,0.051438,NaN
1051142400,NaN,0.051265,NaN
1051228800,NaN,0.051092,NaN
1051315200,0.053849,0.050920,0.002930
1051401600,NaN,0.050747,NaN
1051488000,NaN,0.050574,NaN
1051574400,NaN,0.050401,NaN
1051660800,0.045871,0.050229,-0.004357
1051747200,NaN,0.050056,NaN
1051833600,0.045835,0.049883,-0.004048
1051920000,NaN,0.049710,NaN
1052006400,NaN,0.049537,NaN
1052092800,NaN,0.049365,NaN
1052179200,NaN,0.049192,NaN
1052265600,NaN,0.049019,NaN
1052352000,0.093048,0.048846,0.044202
1052438400,NaN,0.048674,NaN
1052524800,NaN,0.048501,NaN
1052611200,NaN,0.048328,NaN
1052697600,NaN,0.048155,NaN
1052784000,NaN,0.047982,NaN
1052870400,0.054197,0.047810,0.006387
1052956800,NaN,0.047637,NaN
1053043200,0.060436,0.047662,0.012774
1053129600,NaN,0.047687,NaN
1053216000,NaN,0.047712,NaN
1053302400,NaN,0.047737,NaN
1053388800,NaN,0.047762,NaN
1053475200,NaN,0.047787,NaN
1053561600,NaN,0.047812,NaN
1053648000,0.031827,0.047837,-0.016010
1053734400,NaN,0.047862,NaN
1053820800,NaN,0.047887,NaN
1053907200,NaN,0.047912,NaN
1053993600,NaN,0.047937,NaN
1054080000,NaN,0.047962,NaN
1054166400,NaN,0.047987,NaN
