Time,mean,climatology,anomaly
1025740800,NaN,0.195068,NaN
1025827200,NaN,0.194682,NaN
1025913600,NaN,0.194295,NaN
1026000000,NaN,0.193909,NaN
1026086400,0.331325,0.193522,0.137802
1026172800,0.151128,0.193136,-0.042008
1026259200,0.128863,0.192750,-0.063887
1026345600,0.112284,0.192363,-0.080079
1026432000,NaN,0.191977,NaN
1026518400,NaN,0.191590,NaN
1026691200,NaN,0.190817,NaN
1026777600,0.178111,0.191254,-0.013143
1026864000,0.123303,0.191690,-0.068387
1026950400,0.154310,0.192126,-0.037816
1027036800,0.148888,0.192563,-0.043675
1027209600,0.165689,0.193435,-0.027746
1027296000,NaN,0.193872,NaN
1027382400,0.113185,0.194308,-0.081123
1027468800,NaN,0.194744,NaN
1027555200,NaN,0.195181,NaN
1027641600,NaN,0.195617,NaN
1027728000,NaN,0.196053,NaN
1027814400,0.178412,0.196490,-0.018078
1027900800,NaN,0.196926,NaN
1028678400,0.208747,0.200853,0.007893
1028851200,NaN,0.201726,NaN
1028937600,0.388952,0.202162,0.186790
1029024000,NaN,0.202599,NaN
1029110400,NaN,0.203035,NaN
1029196800,NaN,0.203471,NaN
1029283200,NaN,0.203908,NaN
1029456000,0.266537,0.205948,0.060588
1029542400,0.265570,0.207553,0.058018
1029628800,0.155450,0.209157,-0.053707
1029715200,NaN,0.210761,NaN
1029888000,NaN,0.213970,NaN
1029974400,NaN,0.215574,NaN
1030060800,NaN,0.217178,NaN
1030233600,0.230762,0.220387,0.010375
1030320000,NaN,0.221991,NaN
1030406400,NaN,0.223595,NaN
1030492800,NaN,0.225200,NaN
1030579200,NaN,0.226804,NaN
1030665600,NaN,0.228408,NaN
1030752000,NaN,0.230013,NaN
1030924800,NaN,0.233221,NaN
1031011200,NaN,0.234825,NaN
1031097600,NaN,0.236430,NaN
1031270400,NaN,0.239638,NaN
1031356800,NaN,0.241243,NaN
1031443200,NaN,0.242847,NaN
1031616000,0.461358,0.246055,0.215302
1031702400,0.242351,0.247660,-0.005308
1031875200,NaN,0.250868,NaN
1031961600,0.358302,0.252472,0.105830
1032048000,NaN,0.254077,NaN
1032134400,NaN,0.254587,NaN
1032220800,NaN,0.255097,NaN
1032307200,0.160114,0.255608,-0.095494
1032393600,0.180416,0.256118,-0.075702
1032480000,0.417414,0.256628,0.160785
1032566400,NaN,0.257139,NaN
1032652800,0.165902,0.257649,-0.091747
1032739200,NaN,0.258159,NaN
1032825600,NaN,0.258670,NaN
1032912000,NaN,0.259180,NaN
1032998400,NaN,0.259690,NaN
1033084800,0.259994,0.260200,-0.000206
1033171200,0.228629,0.260711,-0.032082
1033257600,0.368825,0.261221,0.107604
1033344000,0.213592,0.261731,-0.048140
1033430400,0.246693,0.262242,-0.015549
1033516800,NaN,0.262752,NaN
1033603200,NaN,0.263262,NaN
1033689600,0.392567,0.263773,0.128795
1033776000,0.232147,0.264283,-0.032136
1033862400,0.318077,0.264793,0.053284
1033948800,0.211745,0.265304,-0.053559
1034035200,0.258513,0.265814,-0.007301
1034121600,NaN,0.266324,NaN
