Time,mean,climatology,anomaly
1025740800,NaN,0.052243,NaN
1025827200,NaN,0.052340,NaN
1025913600,NaN,0.052437,NaN
1026000000,NaN,0.052535,NaN
1026086400,NaN,0.052632,NaN
1026172800,NaN,0.052729,NaN
1026259200,NaN,0.052827,NaN
1026345600,NaN,0.052924,NaN
1026432000,NaN,0.053021,NaN
1026518400,NaN,0.053118,NaN
1026691200,0.073713,0.053313,0.020400
1026777600,NaN,0.053253,NaN
1026864000,0.038437,0.053192,-0.014756
1026950400,NaN,0.053132,NaN
1027036800,NaN,0.053072,NaN
1027209600,0.028697,0.052951,-0.024255
1027296000,0.056105,0.052891,0.003214
1027382400,0.044191,0.052831,-0.008640
1027468800,NaN,0.052770,NaN
1027555200,0.033656,0.052710,-0.019054
1027641600,NaN,0.052650,NaN
1027728000,NaN,0.052589,NaN
1027814400,NaN,0.052529,NaN
1027900800,NaN,0.052469,NaN
1028678400,NaN,0.051926,NaN
1028851200,NaN,0.051806,NaN
1028937600,NaN,0.051746,NaN
1029024000,NaN,0.051685,NaN
1029110400,NaN,0.051625,NaN
1029196800,NaN,0.051565,NaN
1029283200,NaN,0.051504,NaN
1029456000,0.157559,0.051616,0.105943
1029542400,0.260369,0.051788,0.208581
1029628800,NaN,0.051959,NaN
1029715200,NaN,0.052131,NaN
1029888000,NaN,0.052475,NaN
1029974400,NaN,0.052647,NaN
1030060800,0.065191,0.052818,0.012373
1030233600,NaN,0.053162,NaN
1030320000,NaN,0.053334,NaN
1030406400,NaN,0.053505,NaN
1030492800,NaN,0.053677,NaN
1030579200,NaN,0.053849,NaN
1030665600,NaN,0.054021,NaN
1030752000,NaN,0.054193,NaN
1030924800,NaN,0.054536,NaN
1031011200,NaN,0.054708,NaN
1031097600,NaN,0.054880,NaN
1031270400,NaN,0.055223,NaN
1031356800,NaN,0.055395,NaN
1031443200,NaN,0.055567,NaN
1031616000,NaN,0.055910,NaN
1031702400,0.047326,0.056082,-0.008756
1031875200,NaN,0.056426,NaN
1031961600,NaN,0.056597,NaN
1032048000,NaN,0.056769,NaN
1032134400,NaN,0.056841,NaN
1032220800,NaN,0.056913,NaN
1032307200,NaN,0.056985,NaN
1032393600,0.100889,0.057056,0.043833
1032480000,NaN,0.057128,NaN
1032566400,NaN,0.057200,NaN
1032652800,NaN,0.057272,NaN
1032739200,NaN,0.057343,NaN
1032825600,NaN,0.057415,NaN
1032912000,NaN,0.057487,NaN
1032998400,NaN,0.057559,NaN
1033084800,0.030174,0.057630,-0.027456
1033171200,NaN,0.057702,NaN
1033257600,NaN,0.057774,NaN
1033344000,NaN,0.057846,NaN
1033430400,0.096549,0.057917,0.038632
1033516800,NaN,0.057989,NaN
1033603200,NaN,0.058061,NaN
1033689600,0.059870,0.058133,0.001738
1033776000,NaN,0.058204,NaN
1033862400,0.028077,0.058276,-0.030199
1033948800,0.047116,0.058348,-0.011231
1034035200,NaN,0.058420,NaN
1034121600,NaN,0.058491,NaN
1034208000,NaN,0.058563,NaN
1034294400,NaN,0.058635,NaN
1034380800,0.072540,0.058707,0.013834
1034467200,NaN,0.058779,NaN
1034553600,NaN,0.058850,NaN
1034640000,NaN,0.058922,NaN
1034726400,0.040135,0.059754,-0.019620
1034812800,0.030599,0.060587,-0.029988
1034899200,NaN,0.061419,NaN
1034985600,NaN,0.062252,NaN
1035072000,0.036635,0.063084,-0.026449
1035158400,NaN,0.063917,NaN
1035244800,NaN,0.064749,NaN
1035331200,NaN,0.065581,NaN
1035417600,NaN,0.066414,NaN
1035504000,NaN,0.067246,NaN
1035590400,NaN,0.068079,NaN
1035676800,NaN,0.068911,NaN
1035763200,NaN,0.069744,NaN
1035849600,NaN,0.070576,NaN
1035936000,NaN,0.071408,NaN
1036022400,0.134544,0.072241,0.062303
1036108800,NaN,0.073073,NaN
1036195200,NaN,0.073906,NaN
1036281600,NaN,0.074738,NaN
1036368000,NaN,0.075571,NaN
1036454400,NaN,0.076403,NaN
1036540800,0.119276,0.077235,0.042040
1036627200,0.043214,0.078068,-0.034854
1036713600,NaN,0.078900,NaN
1036800000,0.094992,0.079733,0.015260
1036886400,0.063081,0.080565,-0.017484
1036972800,NaN,0.081398,NaN
1037059200,0.096550,0.082230,0.014320
1037145600,0.071215,0.083062,-0.011847
1037232000,NaN,0.083895,NaN
1037318400,NaN,0.084727,NaN
1037404800,NaN,0.085517,NaN
1037491200,0.084777,0.086306,-0.001529
1037577600,NaN,0.087096,NaN
1037664000,NaN,0.087885,NaN
1037750400,NaN,0.088675,NaN
1037836800,0.089868,0.089465,0.000404
1037923200,0.101208,0.090254,0.010954
1038009600,0.022966,0.091044,-0.068078
1038096000,NaN,0.091833,NaN
1038182400,0.063932,0.092623,-0.028691
1038268800,NaN,0.093412,NaN
1038355200,NaN,0.094202,NaN
1038441600,NaN,0.094991,NaN
1038528000,NaN,0.095781,NaN
1038614400,NaN,0.096571,NaN
1038700800,NaN,0.097360,NaN
1038787200,NaN,0.098150,NaN
1038873600,NaN,0.098939,NaN
1038960000,NaN,0.099729,NaN
1039046400,NaN,0.100518,NaN
1039132800,NaN,0.101308,NaN
1039219200,NaN,0.102098,NaN
1039305600,NaN,0.102887,NaN
1039392000,NaN,0.103677,NaN
1039478400,NaN,0.104466,NaN
1039564800,NaN,0.105256,NaN
1039651200,NaN,0.106045,NaN
1039737600,0.116442,0.106835,0.009607
1039824000,0.119699,0.107624,0.012075
1039910400,0.104450,0.108414,-0.003964
1039996800,NaN,0.108412,NaN
1040083200,NaN,0.108410,NaN
1040169600,0.135555,0.108408,0.027147
1040256000,NaN,0.108406,NaN
1040342400,0.101008,0.108404,-0.007397
1040428800,NaN,0.108402,NaN
1040515200,0.084428,0.108401,-0.023973
1040601600,NaN,0.108399,NaN
1040688000,NaN,0.108397,NaN
1040774400,NaN,0.108395,NaN
1040860800,NaN,0.108393,NaN
1040947200,NaN,0.108391,NaN
1041033600,NaN,0.108389,NaN
1041120000,NaN,0.108387,NaN
1041206400,NaN,0.108385,NaN
1041292800,NaN,0.108383,NaN
1041379200,0.112981,0.108381,0.004599
1041465600,NaN,0.108379,NaN
1041552000,0.112037,0.108377,0.003659
1041638400,0.091094,0.108376,-0.017282
1041724800,0.107862,0.108374,-0.000512
1041811200,NaN,0.108372,NaN
1041897600,0.084859,0.108370,-0.023511
1041984000,0.106049,0.108368,-0.002319
1042070400,NaN,0.108366,NaN
1042156800,NaN,0.108364,NaN
1042243200,NaN,0.108362,NaN
1042329600,NaN,0.108360,NaN
1042416000,0.112232,0.108358,0.003874
1042502400,NaN,0.108356,NaN
1042588800,NaN,0.108354,NaN
1042675200,NaN,0.107738,NaN
1042761600,NaN,0.107121,NaN
1042848000,0.104347,0.106504,-0.002157
1042934400,0.080270,0.105887,-0.025617
1043020800,NaN,0.105270,NaN
1043107200,NaN,0.104653,NaN
1043193600,NaN,0.104037,NaN
1043280000,NaN,0.103420,NaN
1043366400,NaN,0.102803,NaN
1043452800,NaN,0.102186,NaN
1043539200,NaN,0.101569,NaN
1043625600,NaN,0.100952,NaN
1043712000,NaN,0.100336,NaN
1043798400,NaN,0.099719,NaN
1043884800,NaN,0.099102,NaN
1043971200,NaN,0.098485,NaN
1044057600,0.162250,0.097868,0.064381
1044144000,NaN,0.097251,NaN
1044230400,NaN,0.096635,NaN
1044316800,0.146862,0.096018,0.050844
1044403200,NaN,0.095401,NaN
1044489600,NaN,0.094784,NaN
1044576000,NaN,0.094167,NaN
1044662400,NaN,0.093550,NaN
1044748800,NaN,0.092934,NaN
1044835200,NaN,0.092317,NaN
1044921600,0.086031,0.091700,-0.005668
1045008000,NaN,0.091083,NaN
1045094400,NaN,0.090466,NaN
1045180800,NaN,0.089849,NaN
1045267200,NaN,0.089233,NaN
1045353600,NaN,0.088584,NaN
1045440000,NaN,0.087935,NaN
1045526400,0.065178,0.087286,-0.022107
1045612800,NaN,0.086636,NaN
1045699200,NaN,0.085987,NaN
1045785600,NaN,0.085338,NaN
1045872000,NaN,0.084689,NaN
1045958400,0.084962,0.084040,0.000922
1046044800,NaN,0.083391,NaN
1046131200,NaN,0.082742,NaN
1046217600,NaN,0.082093,NaN
1046304000,NaN,0.081444,NaN
1046390400,NaN,0.080795,NaN
1046476800,NaN,0.080146,NaN
1046563200,NaN,0.079497,NaN
1046649600,NaN,0.078848,NaN
1046736000,NaN,0.078199,NaN
1046822400,NaN,0.077550,NaN
1046908800,NaN,0.076901,NaN
1046995200,NaN,0.076252,NaN
1047081600,NaN,0.075603,NaN
1047168000,NaN,0.074954,NaN
1047254400,NaN,0.074305,NaN
1047340800,NaN,0.073656,NaN
1047427200,NaN,0.073007,NaN
1047513600,NaN,0.072358,NaN
1047600000,NaN,0.071709,NaN
1047686400,NaN,0.071060,NaN
1047772800,NaN,0.070119,NaN
1047859200,NaN,0.069179,NaN
