Time,mean,climatology,anomaly
1025740800,NaN,0.062511,NaN
1025827200,NaN,0.062516,NaN
1025913600,NaN,0.062521,NaN
1026000000,0.055788,0.062526,-0.006739
1026086400,NaN,0.062531,NaN
1026172800,NaN,0.062537,NaN
1026259200,NaN,0.062542,NaN
1026345600,NaN,0.062547,NaN
1026432000,0.069162,0.062552,0.006610
1026518400,0.042790,0.062557,-0.019767
1026691200,0.054558,0.062568,-0.008010
1026777600,0.050559,0.062744,-0.012185
1026864000,0.041683,0.062920,-0.021237
1026950400,NaN,0.063096,NaN
1027036800,NaN,0.063272,NaN
1027209600,NaN,0.063624,NaN
1027296000,0.051887,0.063800,-0.011912
1027382400,0.096330,0.063976,0.032354
1027468800,NaN,0.064152,NaN
1027555200,0.114920,0.064328,0.050593
1027641600,NaN,0.064504,NaN
1027728000,NaN,0.064680,NaN
1027814400,NaN,0.064856,NaN
1027900800,0.064604,0.065032,-0.000428
1028678400,0.086478,0.066616,0.019862
1028851200,0.068459,0.066968,0.001492
1028937600,NaN,0.067144,NaN
1029024000,NaN,0.067320,NaN
1029110400,NaN,0.067496,NaN
1029196800,NaN,0.067672,NaN
1029283200,0.058457,0.067848,-0.009391
1029456000,NaN,0.068309,NaN
1029542400,0.081753,0.068594,0.013159
1029628800,0.040206,0.068879,-0.028673
1029715200,NaN,0.069165,NaN
1029888000,NaN,0.069735,NaN
1029974400,0.095038,0.070021,0.025018
1030060800,0.068654,0.070306,-0.001652
1030233600,0.047915,0.070876,-0.022961
1030320000,NaN,0.071162,NaN
1030406400,NaN,0.071447,NaN
1030492800,NaN,0.071732,NaN
1030579200,0.069642,0.072017,-0.002375
1030665600,NaN,0.072303,NaN
1030752000,0.077603,0.072588,0.005015
1030924800,NaN,0.073158,NaN
1031011200,0.080500,0.073444,0.007056
1031097600,0.101724,0.073729,0.027995
1031270400,NaN,0.074299,NaN
1031356800,0.108942,0.074585,0.034357
1031443200,0.088924,0.074870,0.014054
1031616000,NaN,0.075441,NaN
1031702400,NaN,0.075726,NaN
