Time,mean,climatology,anomaly
1025740800,NaN,0.049983,NaN
1025827200,NaN,0.049924,NaN
1025913600,NaN,0.049866,NaN
1026000000,0.081979,0.049808,0.032172
1026086400,NaN,0.049749,NaN
1026172800,NaN,0.049691,NaN
1026259200,NaN,0.049632,NaN
1026345600,NaN,0.049574,NaN
1026432000,NaN,0.049515,NaN
1026518400,NaN,0.049457,NaN
1026691200,NaN,0.049340,NaN
1026777600,NaN,0.049514,NaN
1026864000,0.040517,0.049689,-0.009172
1026950400,NaN,0.049864,NaN
1027036800,0.062896,0.050038,0.012858
1027209600,0.017699,0.050387,-0.032688
1027296000,0.040613,0.050562,-0.009949
1027382400,0.027137,0.050737,-0.023600
1027468800,NaN,0.050911,NaN
1027555200,0.079310,0.051086,0.028224
1027641600,NaN,0.051261,NaN
1027728000,NaN,0.051435,NaN
1027814400,0.093400,0.051610,0.041790
1027900800,NaN,0.051784,NaN
1028678400,NaN,0.053356,NaN
1028851200,NaN,0.053705,NaN
1028937600,NaN,0.053880,NaN
1029024000,NaN,0.054054,NaN
1029110400,NaN,0.054229,NaN
1029196800,NaN,0.054404,NaN
1029283200,NaN,0.054578,NaN
1029456000,NaN,0.055021,NaN
1029542400,NaN,0.055289,NaN
1029628800,NaN,0.055557,NaN
1029715200,NaN,0.055824,NaN
1029888000,NaN,0.056360,NaN
1029974400,NaN,0.056628,NaN
1030060800,0.052835,0.056896,-0.004061
1030233600,NaN,0.057432,NaN
1030320000,NaN,0.057700,NaN
1030406400,NaN,0.057967,NaN
1030492800,NaN,0.058235,NaN
1030579200,NaN,0.058503,NaN
1030665600,NaN,0.058771,NaN
1030752000,NaN,0.059039,NaN
1030924800,NaN,0.059575,NaN
1031011200,NaN,0.059843,NaN
1031097600,NaN,0.060110,NaN
1031270400,NaN,0.060646,NaN
1031356800,NaN,0.060914,NaN
1031443200,NaN,0.061182,NaN
1031616000,NaN,0.061718,NaN
1031702400,NaN,0.061986,NaN
1031875200,NaN,0.062521,NaN
1031961600,NaN,0.062789,NaN
1032048000,NaN,0.063057,NaN
1032134400,NaN,0.062905,NaN
1032220800,NaN,0.062753,NaN
1032307200,NaN,0.062601,NaN
1032393600,NaN,0.062449,NaN
1032480000,NaN,0.062297,NaN
1032566400,NaN,0.062145,NaN
1032652800,NaN,0.061993,NaN
1032739200,NaN,0.061842,NaN
1032825600,NaN,0.061690,NaN
1032912000,NaN,0.061538,NaN
1032998400,NaN,0.061386,NaN
1033084800,0.040617,0.061234,-0.020616
1033171200,0.086254,0.061082,0.025172
1033257600,NaN,0.060930,NaN
1033344000,NaN,0.060778,NaN
1033430400,NaN,0.060626,NaN
1033516800,NaN,0.060474,NaN
1033603200,NaN,0.060322,NaN
1033689600,NaN,0.060170,NaN
1033776000,NaN,0.060018,NaN
1033862400,NaN,0.059866,NaN
1033948800,0.055023,0.059714,-0.004691
1034035200,NaN,0.059562,NaN
1034121600,NaN,0.059410,NaN
1034208000,NaN,0.059258,NaN
1034294400,NaN,0.059106,NaN
1034380800,NaN,0.058954,NaN
1034467200,NaN,0.058803,NaN
1034553600,NaN,0.058651,NaN
1034640000,NaN,0.058499,NaN
1034726400,0.031384,0.059287,-0.027903
1034812800,0.030751,0.060075,-0.029325
1034899200,NaN,0.060863,NaN
1034985600,NaN,0.061652,NaN
1035072000,NaN,0.062440,NaN
1035158400,NaN,0.063228,NaN
1035244800,NaN,0.064016,NaN
1035331200,NaN,0.064804,NaN
1035417600,NaN,0.065593,NaN
1035504000,NaN,0.066381,NaN
1035590400,NaN,0.067169,NaN
1035676800,NaN,0.067957,NaN
1035763200,NaN,0.068746,NaN
1035849600,NaN,0.069534,NaN
1035936000,NaN,0.070322,NaN
1036022400,NaN,0.071110,NaN
1036108800,NaN,0.071898,NaN
1036195200,NaN,0.072687,NaN
1036281600,NaN,0.073475,NaN
1036368000,NaN,0.074263,NaN
1036454400,NaN,0.075051,NaN
1036540800,0.105857,0.075840,0.030017
1036627200,0.072383,0.076628,-0.004244
1036713600,NaN,0.077416,NaN
1036800000,0.097784,0.078204,0.019580
1036886400,0.077577,0.078992,-0.001416
1036972800,NaN,0.079781,NaN
1037059200,0.063995,0.080569,-0.016574
1037145600,0.034416,0.081357,-0.046941
1037232000,NaN,0.082145,NaN
1037318400,NaN,0.082933,NaN
1037404800,NaN,0.083609,NaN
1037491200,0.067998,0.084284,-0.016286
1037577600,NaN,0.084959,NaN
1037664000,NaN,0.085634,NaN
1037750400,NaN,0.086309,NaN
1037836800,0.072895,0.086985,-0.014089
1037923200,NaN,0.087660,NaN
1038009600,0.048110,0.088335,-0.040225
1038096000,NaN,0.089010,NaN
1038182400,0.050685,0.089685,-0.039000
1038268800,NaN,0.090361,NaN
1038355200,NaN,0.091036,NaN
1038441600,NaN,0.091711,NaN
1038528000,NaN,0.092386,NaN
1038614400,NaN,0.093061,NaN
1038700800,NaN,0.093737,NaN
1038787200,NaN,0.094412,NaN
1038873600,NaN,0.095087,NaN
1038960000,NaN,0.095762,NaN
1039046400,NaN,0.096437,NaN
1039132800,NaN,0.097113,NaN
1039219200,NaN,0.097788,NaN
1039305600,NaN,0.098463,NaN
1039392000,NaN,0.099138,NaN
1039478400,NaN,0.099813,NaN
1039564800,NaN,0.100489,NaN
1039651200,NaN,0.101164,NaN
1039737600,0.092437,0.101839,-0.009402
1039824000,0.096744,0.102514,-0.005771
1039910400,0.147281,0.103189,0.044092
1039996800,NaN,0.103421,NaN
1040083200,NaN,0.103653,NaN
1040169600,NaN,0.103885,NaN
1040256000,NaN,0.104116,NaN
1040342400,0.062622,0.104348,-0.041727
1040428800,NaN,0.104580,NaN
1040515200,0.085019,0.104812,-0.019792
1040601600,NaN,0.105044,NaN
1040688000,NaN,0.105275,NaN
1040774400,NaN,0.105507,NaN
1040860800,NaN,0.105739,NaN
1040947200,NaN,0.105971,NaN
1041033600,NaN,0.106202,NaN
1041120000,0.098700,0.106434,-0.007734
1041206400,NaN,0.106666,NaN
1041292800,NaN,0.106898,NaN
1041379200,0.113648,0.107129,0.006519
1041465600,NaN,0.107361,NaN
1041552000,0.123127,0.107593,0.015535
1041638400,0.096132,0.107825,-0.011693
1041724800,NaN,0.108056,NaN
1041811200,NaN,0.108288,NaN
1041897600,0.143300,0.108520,0.034780
1041984000,0.107363,0.108752,-0.001389
1042070400,0.185195,0.108983,0.076212
1042156800,NaN,0.109215,NaN
1042243200,NaN,0.109447,NaN
1042329600,NaN,0.109679,NaN
1042416000,0.111795,0.109910,0.001884
1042502400,NaN,0.110142,NaN
1042588800,NaN,0.110374,NaN
1042675200,NaN,0.109787,NaN
1042761600,NaN,0.109199,NaN
1042848000,0.138780,0.108612,0.030168
1042934400,0.080906,0.108025,-0.027119
1043020800,NaN,0.107438,NaN
1043107200,NaN,0.106850,NaN
1043193600,NaN,0.106263,NaN
1043280000,NaN,0.105676,NaN
1043366400,NaN,0.105089,NaN
1043452800,NaN,0.104501,NaN
1043539200,NaN,0.103914,NaN
1043625600,NaN,0.103327,NaN
1043712000,NaN,0.102740,NaN
1043798400,0.126396,0.102152,0.024244
1043884800,NaN,0.101565,NaN
1043971200,NaN,0.100978,NaN
1044057600,0.151188,0.100390,0.050798
1044144000,NaN,0.099803,NaN
1044230400,NaN,0.099216,NaN
1044316800,0.160226,0.098629,0.061597
1044403200,NaN,0.098041,NaN
1044489600,NaN,0.097454,NaN
1044576000,NaN,0.096867,NaN
1044662400,NaN,0.096280,NaN
1044748800,NaN,0.095692,NaN
1044835200,NaN,0.095105,NaN
1044921600,0.059974,0.094518,-0.034544
1045008000,NaN,0.093931,NaN
1045094400,NaN,0.093343,NaN
1045180800,NaN,0.092756,NaN
1045267200,NaN,0.092169,NaN
1045353600,NaN,0.091329,NaN
1045440000,NaN,0.090489,NaN
1045526400,0.060253,0.089648,-0.029395
1045612800,NaN,0.088808,NaN
1045699200,NaN,0.087968,NaN
1045785600,NaN,0.087128,NaN
1045872000,NaN,0.086288,NaN
1045958400,NaN,0.085447,NaN
1046044800,NaN,0.084607,NaN
1046131200,NaN,0.083767,NaN
1046217600,NaN,0.082927,NaN
1046304000,NaN,0.082087,NaN
1046390400,NaN,0.081247,NaN
1046476800,NaN,0.080406,NaN
1046563200,NaN,0.079566,NaN
1046649600,NaN,0.078726,NaN
1046736000,NaN,0.077886,NaN
1046822400,NaN,0.077046,NaN
1046908800,NaN,0.076205,NaN
1046995200,NaN,0.075365,NaN
1047081600,NaN,0.074525,NaN
1047168000,NaN,0.073685,NaN
1047254400,NaN,0.072845,NaN
1047340800,NaN,0.072005,NaN
1047427200,NaN,0.071164,NaN
1047513600,NaN,0.070324,NaN
1047600000,NaN,0.069484,NaN
1047686400,NaN,0.068644,NaN
1047772800,NaN,0.067897,NaN
1047859200,NaN,0.067150,NaN
1047945600,NaN,0.066403,NaN
1048032000,0.036935,0.065656,-0.028722
1048118400,NaN,0.064910,NaN
1048204800,0.030405,0.064163,-0.033757
1048291200,NaN,0.063416,NaN
1048377600,0.023240,0.062669,-0.039429
1048464000,NaN,0.061922,NaN
1048550400,NaN,0.061175,NaN
1048636800,NaN,0.060428,NaN
1048723200,0.019759,0.059682,-0.039922
1048809600,NaN,0.058935,NaN
1048896000,NaN,0.058188,NaN
1048982400,0.042677,0.057441,-0.014764
1049068800,0.055828,0.056694,-0.000866
1049155200,NaN,0.055947,NaN
1049241600,NaN,0.055201,NaN
1049328000,NaN,0.054454,NaN
1049414400,NaN,0.053707,NaN
1049500800,NaN,0.052960,NaN
1049587200,NaN,0.052213,NaN
1049673600,NaN,0.051466,NaN
1049760000,NaN,0.050719,NaN
