Time,mean,climatology,anomaly
1025740800,NaN,0.054709,NaN
1025827200,NaN,0.054786,NaN
1025913600,NaN,0.054862,NaN
1026000000,0.030499,0.054939,-0.024440
1026086400,NaN,0.055015,NaN
1026172800,NaN,0.055092,NaN
1026259200,NaN,0.055168,NaN
1026345600,NaN,0.055245,NaN
1026432000,0.053244,0.055321,-0.002077
1026518400,NaN,0.055398,NaN
1026691200,NaN,0.055550,NaN
1026777600,NaN,0.055407,NaN
1026864000,NaN,0.055264,NaN
1026950400,NaN,0.055121,NaN
1027036800,NaN,0.054978,NaN
1027209600,NaN,0.054692,NaN
1027296000,0.042400,0.054549,-0.012150
1027382400,0.058876,0.054406,0.004469
1027468800,NaN,0.054263,NaN
1027555200,NaN,0.054120,NaN
1027641600,NaN,0.053977,NaN
1027728000,NaN,0.053834,NaN
1027814400,NaN,0.053691,NaN
1027900800,NaN,0.053548,NaN
1028678400,NaN,0.052261,NaN
1028851200,NaN,0.051975,NaN
1028937600,NaN,0.051832,NaN
1029024000,NaN,0.051689,NaN
1029110400,NaN,0.051546,NaN
1029196800,NaN,0.051403,NaN
1029283200,NaN,0.051260,NaN
1029456000,0.050512,0.051062,-0.000550
1029542400,NaN,0.051007,NaN
1029628800,NaN,0.050952,NaN
1029715200,NaN,0.050897,NaN
1029888000,NaN,0.050787,NaN
1029974400,NaN,0.050732,NaN
1030060800,NaN,0.050677,NaN
1030233600,0.096458,0.050567,0.045891
1030320000,NaN,0.050512,NaN
1030406400,NaN,0.050457,NaN
1030492800,NaN,0.050402,NaN
1030579200,NaN,0.050347,NaN
1030665600,NaN,0.050292,NaN
1030752000,NaN,0.050237,NaN
1030924800,NaN,0.050127,NaN
1031011200,NaN,0.050072,NaN
1031097600,NaN,0.050017,NaN
1031270400,NaN,0.049907,NaN
1031356800,NaN,0.049852,NaN
1031443200,NaN,0.049797,NaN
1031616000,NaN,0.049687,NaN
1031702400,0.072777,0.049632,0.023145
1031875200,NaN,0.049522,NaN
1031961600,NaN,0.049467,NaN
1032048000,NaN,0.049412,NaN
1032134400,NaN,0.049925,NaN
1032220800,0.064761,0.050438,0.014323
1032307200,NaN,0.050951,NaN
1032393600,NaN,0.051464,NaN
1032480000,NaN,0.051977,NaN
1032566400,NaN,0.052490,NaN
1032652800,NaN,0.053003,NaN
1032739200,NaN,0.053516,NaN
1032825600,NaN,0.054029,NaN
1032912000,NaN,0.054542,NaN
1032998400,NaN,0.055056,NaN
1033084800,0.021936,0.055569,-0.033632
1033171200,NaN,0.056082,NaN
1033257600,NaN,0.056595,NaN
1033344000,NaN,0.057108,NaN
1033430400,NaN,0.057621,NaN
1033516800,NaN,0.058134,NaN
1033603200,0.046870,0.058647,-0.011777
1033689600,0.031596,0.059160,-0.027564
1033776000,NaN,0.059673,NaN
1033862400,0.098512,0.060186,0.038326
1033948800,NaN,0.060699,NaN
1034035200,NaN,0.061212,NaN
1034121600,NaN,0.061725,NaN
1034208000,NaN,0.062238,NaN
1034294400,NaN,0.062751,NaN
1034380800,0.129448,0.063264,0.066184
1034467200,NaN,0.063777,NaN
1034553600,NaN,0.064290,NaN
1034640000,NaN,0.064803,NaN
1034726400,0.051428,0.065522,-0.014095
1034812800,0.082007,0.066242,0.015766
1034899200,NaN,0.066961,NaN
1034985600,NaN,0.067681,NaN
1035072000,NaN,0.068400,NaN
1035158400,NaN,0.069119,NaN
1035244800,NaN,0.069839,NaN
1035331200,NaN,0.070558,NaN
1035417600,NaN,0.071278,NaN
1035504000,NaN,0.071997,NaN
1035590400,NaN,0.072716,NaN
1035676800,NaN,0.073436,NaN
1035763200,NaN,0.074155,NaN
