Time,mean,climatology,anomaly
1025740800,NaN,0.067872,NaN
1025827200,NaN,0.068005,NaN
1025913600,NaN,0.068138,NaN
1026000000,NaN,0.068271,NaN
1026086400,NaN,0.068404,NaN
1026172800,NaN,0.068536,NaN
1026259200,NaN,0.068669,NaN
1026345600,NaN,0.068802,NaN
1026432000,NaN,0.068935,NaN
1026518400,0.080528,0.069068,0.011460
1026691200,0.118402,0.069333,0.049069
1026777600,0.101506,0.069477,0.032029
1026864000,NaN,0.069621,NaN
1026950400,NaN,0.069764,NaN
1027036800,NaN,0.069908,NaN
1027209600,NaN,0.070195,NaN
1027296000,0.084712,0.070339,0.014373
1027382400,NaN,0.070483,NaN
1027468800,NaN,0.070627,NaN
1027555200,NaN,0.070770,NaN
1027641600,NaN,0.070914,NaN
1027728000,NaN,0.071058,NaN
1027814400,NaN,0.071202,NaN
1027900800,0.063551,0.071345,-0.007794
1028678400,NaN,0.072639,NaN
1028851200,0.039601,0.072926,-0.033325
1028937600,NaN,0.073070,NaN
1029024000,NaN,0.073214,NaN
1029110400,NaN,0.073357,NaN
1029196800,NaN,0.073501,NaN
1029283200,0.066965,0.073645,-0.006680
1029456000,NaN,0.074006,NaN
1029542400,0.118210,0.074224,0.043987
1029628800,NaN,0.074441,NaN
1029715200,NaN,0.074659,NaN
1029888000,NaN,0.075094,NaN
1029974400,0.077811,0.075311,0.002500
1030060800,0.084746,0.075529,0.009217
1030233600,0.023476,0.075964,-0.052488
1030320000,NaN,0.076182,NaN
1030406400,NaN,0.076399,NaN
1030492800,NaN,0.076617,NaN
1030579200,0.060845,0.076834,-0.015989
1030665600,NaN,0.077052,NaN
1030752000,NaN,0.077269,NaN
1030924800,NaN,0.077704,NaN
1031011200,NaN,0.077922,NaN
1031097600,NaN,0.078140,NaN
1031270400,NaN,0.078575,NaN
1031356800,0.067384,0.078792,-0.011409
1031443200,0.066908,0.079010,-0.012101
1031616000,NaN,0.079445,NaN
1031702400,NaN,0.079662,NaN
1031875200,NaN,0.080097,NaN
1031961600,NaN,0.080315,NaN
1032048000,0.086352,0.080533,0.005820
1032134400,0.104669,0.080759,0.023911
1032220800,0.068666,0.080985,-0.012318
1032307200,NaN,0.081211,NaN
1032393600,NaN,0.081437,NaN
1032480000,NaN,0.081663,NaN
1032566400,NaN,0.081889,NaN
1032652800,NaN,0.082115,NaN
1032739200,NaN,0.082341,NaN
1032825600,NaN,0.082567,NaN
1032912000,NaN,0.082793,NaN
1032998400,0.044011,0.083019,-0.039009
1033084800,NaN,0.083245,NaN
1033171200,NaN,0.083471,NaN
1033257600,NaN,0.083698,NaN
1033344000,NaN,0.083924,NaN
1033430400,NaN,0.084150,NaN
1033516800,0.036825,0.084376,-0.047550
1033603200,0.051214,0.084602,-0.033387
1033689600,NaN,0.084828,NaN
1033776000,0.058645,0.085054,-0.026409
1033862400,NaN,0.085280,NaN
1033948800,NaN,0.085506,NaN
1034035200,0.254571,0.085732,0.168839
1034121600,0.087034,0.085958,0.001076
1034208000,0.043566,0.086184,-0.042619
1034294400,0.050323,0.086410,-0.036088
1034380800,0.046992,0.086636,-0.039645
1034467200,NaN,0.086863,NaN
1034553600,NaN,0.087089,NaN
1034640000,0.108832,0.087315,0.021517
1034726400,0.110861,0.087434,0.023427
1034812800,0.048536,0.087553,-0.039017
1034899200,0.096616,0.087673,0.008943
1034985600,0.066629,0.087792,-0.021163
1035072000,NaN,0.087912,NaN
1035158400,0.018864,0.088031,-0.069167
1035244800,0.013079,0.088150,-0.075072
1035331200,0.051642,0.088270,-0.036628
1035417600,0.017875,0.088389,-0.070514
1035504000,0.036283,0.088509,-0.052226
1035590400,0.055364,0.088628,-0.033264
1035676800,NaN,0.088747,NaN
1035763200,0.028160,0.088867,-0.060706
1035849600,NaN,0.088986,NaN
1035936000,0.058807,0.089106,-0.030299
1036022400,NaN,0.089225,NaN
1036108800,0.041684,0.089344,-0.047661
1036195200,NaN,0.089464,NaN
1036281600,NaN,0.089583,NaN
1036368000,0.052197,0.089703,-0.037506
1036454400,0.061615,0.089822,-0.028207
