Time,mean,climatology,anomaly
1025740800,NaN,0.069830,NaN
1025827200,NaN,0.069850,NaN
1025913600,NaN,0.069869,NaN
1026000000,0.067439,0.069889,-0.002450
1026086400,NaN,0.069909,NaN
1026172800,NaN,0.069928,NaN
1026259200,NaN,0.069948,NaN
1026345600,NaN,0.069968,NaN
1026432000,NaN,0.069987,NaN
1026518400,0.063830,0.070007,-0.006177
1026691200,0.062278,0.070046,-0.007768
1026777600,0.065223,0.070130,-0.004907
1026864000,NaN,0.070214,NaN
1026950400,NaN,0.070298,NaN
1027036800,NaN,0.070382,NaN
1027209600,NaN,0.070550,NaN
1027296000,0.059982,0.070634,-0.010652
1027382400,0.107157,0.070718,0.036439
1027468800,NaN,0.070802,NaN
1027555200,NaN,0.070886,NaN
1027641600,NaN,0.070970,NaN
1027728000,NaN,0.071054,NaN
1027814400,NaN,0.071138,NaN
1027900800,0.052642,0.071222,-0.018580
1028678400,NaN,0.071978,NaN
1028851200,0.054325,0.072146,-0.017821
1028937600,NaN,0.072230,NaN
1029024000,NaN,0.072314,NaN
1029110400,NaN,0.072398,NaN
1029196800,NaN,0.072482,NaN
1029283200,0.073293,0.072566,0.000727
1029456000,NaN,0.072862,NaN
1029542400,0.070168,0.073074,-0.002906
1029628800,NaN,0.073286,NaN
1029715200,NaN,0.073498,NaN
1029888000,NaN,0.073922,NaN
1029974400,0.078561,0.074134,0.004427
1030060800,0.065905,0.074346,-0.008441
1030233600,0.027103,0.074771,-0.047667
1030320000,NaN,0.074983,NaN
1030406400,NaN,0.075195,NaN
1030492800,NaN,0.075407,NaN
1030579200,0.060845,0.075619,-0.014774
1030665600,NaN,0.075831,NaN
1030752000,0.076198,0.076043,0.000156
1030924800,NaN,0.076467,NaN
1031011200,0.099522,0.076679,0.022844
1031097600,NaN,0.076891,NaN
1031270400,NaN,0.077315,NaN
1031356800,0.084296,0.077527,0.006769
1031443200,0.063860,0.077739,-0.013879
1031616000,NaN,0.078163,NaN
1031702400,NaN,0.078375,NaN
1031875200,NaN,0.078799,NaN
1031961600,NaN,0.079011,NaN
1032048000,0.081393,0.079223,0.002170
1032134400,0.105374,0.079470,0.025904
1032220800,0.054719,0.079717,-0.024998
1032307200,NaN,0.079964,NaN
1032393600,NaN,0.080211,NaN
1032480000,NaN,0.080458,NaN
1032566400,NaN,0.080705,NaN
1032652800,NaN,0.080952,NaN
1032739200,NaN,0.081199,NaN
1032825600,0.042819,0.081446,-0.038626
1032912000,NaN,0.081693,NaN
1032998400,0.041663,0.081939,-0.040277
1033084800,NaN,0.082186,NaN
1033171200,0.056171,0.082433,-0.026262
1033257600,0.037566,0.082680,-0.045115
1033344000,NaN,0.082927,NaN
1033430400,NaN,0.083174,NaN
1033516800,0.051923,0.083421,-0.031498
