Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.069830,NaN
2002-07-05,NaN,0.069850,NaN
2002-07-06,NaN,0.069869,NaN
2002-07-07,0.067439,0.069889,-0.002450
2002-07-08,NaN,0.069909,NaN
2002-07-09,NaN,0.069928,NaN
2002-07-10,NaN,0.069948,NaN
2002-07-11,NaN,0.069968,NaN
2002-07-12,NaN,0.069987,NaN
2002-07-13,0.063830,0.070007,-0.006177
2002-07-15,0.062278,0.070046,-0.007768
2002-07-16,0.065223,0.070130,-0.004907
2002-07-17,NaN,0.070214,NaN
2002-07-18,NaN,0.070298,NaN
2002-07-19,NaN,0.070382,NaN
2002-07-21,NaN,0.070550,NaN
2002-07-22,0.059982,0.070634,-0.010652
2002-07-23,0.107157,0.070718,0.036439
2002-07-24,NaN,0.070802,NaN
2002-07-25,NaN,0.070886,NaN
2002-07-26,NaN,0.070970,NaN
2002-07-27,NaN,0.071054,NaN
2002-07-28,NaN,0.071138,NaN
2002-07-29,0.052642,0.071222,-0.018580
2002-08-07,NaN,0.071978,NaN
2002-08-09,0.054325,0.072146,-0.017821
2002-08-10,NaN,0.072230,NaN
2002-08-11,NaN,0.072314,NaN
2002-08-12,NaN,0.072398,NaN
2002-08-13,NaN,0.072482,NaN
2002-08-14,0.073293,0.072566,0.000727
2002-08-16,NaN,0.072862,NaN
2002-08-17,0.070168,0.073074,-0.002906
2002-08-18,NaN,0.073286,NaN
2002-08-19,NaN,0.073498,NaN
2002-08-21,NaN,0.073922,NaN
2002-08-22,0.078561,0.074134,0.004427
2002-08-23,0.065905,0.074346,-0.008441
2002-08-25,0.027103,0.074771,-0.047667
2002-08-26,NaN,0.074983,NaN
2002-08-27,NaN,0.075195,NaN
2002-08-28,NaN,0.075407,NaN
2002-08-29,0.060845,0.075619,-0.014774
2002-08-30,NaN,0.075831,NaN
2002-08-31,0.076198,0.076043,0.000156
2002-09-02,NaN,0.076467,NaN
2002-09-03,0.099522,0.076679,0.022844
2002-09-04,NaN,0.076891,NaN
2002-09-06,NaN,0.077315,NaN
2002-09-07,0.084296,0.077527,0.006769
2002-09-08,0.063860,0.077739,-0.013879
2002-09-10,NaN,0.078163,NaN
2002-09-11,NaN,0.078375,NaN
2002-09-13,NaN,0.078799,NaN
2002-09-14,NaN,0.079011,NaN
2002-09-15,0.081393,0.079223,0.002170
2002-09-16,0.105374,0.079470,0.025904
2002-09-17,0.054719,0.079717,-0.024998
2002-09-18,NaN,0.079964,NaN
2002-09-19,NaN,0.080211,NaN
2002-09-20,NaN,0.080458,NaN
2002-09-21,NaN,0.080705,NaN
2002-09-22,NaN,0.080952,NaN
2002-09-23,NaN,0.081199,NaN
2002-09-24,0.042819,0.081446,-0.038626
2002-09-25,NaN,0.081693,NaN
2002-09-26,0.041663,0.081939,-0.040277
2002-09-27,NaN,0.082186,NaN
2002-09-28,0.056171,0.082433,-0.026262
2002-09-29,0.037566,0.082680,-0.045115
2002-09-30,NaN,0.082927,NaN
