Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.035393,NaN
2002-07-05,NaN,0.035224,NaN
2002-07-06,NaN,0.035056,NaN
2002-07-07,NaN,0.034887,NaN
2002-07-08,NaN,0.034718,NaN
2002-07-09,NaN,0.034550,NaN
2002-07-10,NaN,0.034381,NaN
2002-07-11,NaN,0.034213,NaN
2002-07-12,NaN,0.034044,NaN
2002-07-13,0.027542,0.033876,-0.006334
2002-07-15,0.017813,0.033539,-0.015726
2002-07-16,0.042537,0.033897,0.008640
2002-07-17,0.018041,0.034255,-0.016214
2002-07-18,NaN,0.034613,NaN
2002-07-19,NaN,0.034971,NaN
2002-07-21,NaN,0.035687,NaN
2002-07-22,0.037923,0.036045,0.001878
2002-07-23,NaN,0.036403,NaN
2002-07-24,NaN,0.036761,NaN
2002-07-25,NaN,0.037119,NaN
2002-07-26,NaN,0.037477,NaN
2002-07-27,NaN,0.037835,NaN
2002-07-28,NaN,0.038193,NaN
2002-07-29,NaN,0.038551,NaN
2002-08-07,NaN,0.041773,NaN
2002-08-09,NaN,0.042489,NaN
2002-08-10,NaN,0.042847,NaN
2002-08-11,NaN,0.043205,NaN
2002-08-12,NaN,0.043563,NaN
2002-08-13,NaN,0.043921,NaN
2002-08-14,0.026570,0.044280,-0.017710
2002-08-16,NaN,0.044753,NaN
2002-08-17,NaN,0.044869,NaN
2002-08-18,0.027079,0.044985,-0.017906
2002-08-19,NaN,0.045101,NaN
2002-08-21,NaN,0.045332,NaN
2002-08-22,NaN,0.045448,NaN
2002-08-23,0.026093,0.045564,-0.019471
2002-08-25,0.012663,0.045795,-0.033132
2002-08-26,NaN,0.045911,NaN
2002-08-27,NaN,0.046027,NaN
2002-08-28,NaN,0.046142,NaN
2002-08-29,NaN,0.046258,NaN
2002-08-30,NaN,0.046374,NaN
2002-08-31,0.081692,0.046490,0.035202
2002-09-02,NaN,0.046721,NaN
2002-09-03,NaN,0.046837,NaN
2002-09-04,NaN,0.046952,NaN
2002-09-06,NaN,0.047184,NaN
2002-09-07,NaN,0.047300,NaN
2002-09-08,NaN,0.047415,NaN
2002-09-10,NaN,0.047647,NaN
2002-09-11,NaN,0.047763,NaN
2002-09-13,NaN,0.047994,NaN
2002-09-14,NaN,0.048110,NaN
2002-09-15,0.055199,0.048226,0.006974
2002-09-16,NaN,0.048737,NaN
2002-09-17,0.081160,0.049248,0.031913
2002-09-18,0.130039,0.049759,0.080280
2002-09-19,NaN,0.050269,NaN
2002-09-20,NaN,0.050780,NaN
2002-09-21,NaN,0.051291,NaN
2002-09-22,NaN,0.051802,NaN
2002-09-23,NaN,0.052313,NaN
2002-09-24,0.043257,0.052824,-0.009567
2002-09-25,NaN,0.053335,NaN
2002-09-26,0.032248,0.053846,-0.021598
2002-09-27,NaN,0.054357,NaN
2002-09-28,0.019357,0.054868,-0.035511
2002-09-29,NaN,0.055379,NaN
2002-09-30,NaN,0.055890,NaN
2002-10-01,NaN,0.056401,NaN
2002-10-02,0.052998,0.056912,-0.003914
2002-10-03,0.023778,0.057423,-0.033644
2002-10-04,0.058532,0.057934,0.000599
2002-10-05,NaN,0.058445,NaN
2002-10-06,NaN,0.058956,NaN
2002-10-07,0.050460,0.059466,-0.009006
2002-10-08,NaN,0.059977,NaN
2002-10-09,0.047190,0.060488,-0.013299
2002-10-10,NaN,0.060999,NaN
2002-10-11,0.022900,0.061510,-0.038610
2002-10-12,0.034280,0.062021,-0.027741
2002-10-13,NaN,0.062532,NaN
2002-10-14,NaN,0.063043,NaN
2002-10-15,NaN,0.063554,NaN
2002-10-16,NaN,0.063595,NaN
2002-10-17,NaN,0.063636,NaN
2002-10-18,0.044547,0.063677,-0.019130
2002-10-19,0.028631,0.063718,-0.035087
2002-10-20,NaN,0.063759,NaN
2002-10-21,NaN,0.063800,NaN
2002-10-22,NaN,0.063842,NaN
2002-10-23,0.042475,0.063883,-0.021408
2002-10-24,0.029867,0.063924,-0.034056
2002-10-25,0.047798,0.063965,-0.016167
2002-10-26,0.013182,0.064006,-0.050824
2002-10-27,0.043898,0.064047,-0.020149
2002-10-28,0.072982,0.064088,0.008894
2002-10-29,NaN,0.064129,NaN
2002-10-30,0.046489,0.064170,-0.017681
2002-10-31,NaN,0.064211,NaN
2002-11-01,0.021661,0.064252,-0.042591
2002-11-02,NaN,0.064293,NaN
2002-11-03,NaN,0.064334,NaN
2002-11-04,NaN,0.064375,NaN
2002-11-05,NaN,0.064416,NaN
2002-11-06,0.027677,0.064458,-0.036781
2002-11-07,NaN,0.064499,NaN
2002-11-08,NaN,0.064540,NaN
2002-11-09,0.042917,0.064581,-0.021664
2002-11-10,NaN,0.064622,NaN
2002-11-11,0.001424,0.064663,-0.063239
2002-11-12,NaN,0.064704,NaN
2002-11-13,NaN,0.064745,NaN
2002-11-14,NaN,0.064786,NaN
2002-11-15,0.020698,0.064827,-0.044129
2002-11-16,NaN,0.064892,NaN
2002-11-17,NaN,0.064957,NaN
2002-11-18,0.048275,0.065022,-0.016746
2002-11-19,NaN,0.065087,NaN
2002-11-20,NaN,0.065152,NaN
2002-11-21,NaN,0.065217,NaN
2002-11-22,0.031707,0.065281,-0.033574
2002-11-23,NaN,0.065346,NaN
2002-11-24,NaN,0.065411,NaN
2002-11-25,NaN,0.065476,NaN
2002-11-26,NaN,0.065541,NaN
2002-11-27,NaN,0.065606,NaN
2002-11-28,NaN,0.065671,NaN
2002-11-29,0.032532,0.065736,-0.033204
2002-11-30,0.030558,0.065801,-0.035243
2002-12-01,0.024670,0.065866,-0.041195
2002-12-02,NaN,0.065930,NaN
2002-12-03,0.114207,0.065995,0.048212
2002-12-04,NaN,0.066060,NaN
2002-12-05,0.050268,0.066125,-0.015857
2002-12-06,0.092432,0.066190,0.026242
2002-12-07,NaN,0.066255,NaN
2002-12-08,NaN,0.066320,NaN
2002-12-09,NaN,0.066385,NaN
2002-12-10,0.069605,0.066450,0.003155
2002-12-11,NaN,0.066515,NaN
2002-12-12,0.146473,0.066579,0.079893
2002-12-13,NaN,0.066644,NaN
2002-12-14,NaN,0.066709,NaN
2002-12-15,0.049634,0.066774,-0.017140
2002-12-16,0.067062,0.066412,0.000650
2002-12-17,NaN,0.066050,NaN
2002-12-18,NaN,0.065688,NaN
2002-12-19,0.092928,0.065326,0.027602
2002-12-20,NaN,0.064964,NaN
2002-12-21,0.058331,0.064602,-0.006271
2002-12-22,0.128226,0.064240,0.063987
2002-12-23,NaN,0.063877,NaN
2002-12-24,0.068199,0.063515,0.004683
2002-12-25,NaN,0.063153,NaN
2002-12-26,0.040851,0.062791,-0.021940
2002-12-27,NaN,0.062429,NaN
2002-12-28,0.023370,0.062067,-0.038697
2002-12-29,0.025752,0.061705,-0.035953
2002-12-30,NaN,0.061343,NaN
2002-12-31,NaN,0.060981,NaN
2003-01-01,NaN,0.060619,NaN
2003-01-02,NaN,0.060257,NaN
2003-01-03,NaN,0.059894,NaN
2003-01-04,0.054811,0.059532,-0.004722
2003-01-05,0.068358,0.059170,0.009187
2003-01-06,NaN,0.058808,NaN
2003-01-07,0.042401,0.058446,-0.016045
2003-01-08,0.044632,0.058084,-0.013452
2003-01-09,0.016882,0.057722,-0.040840
2003-01-10,NaN,0.057360,NaN
2003-01-11,0.011042,0.056998,-0.045955
2003-01-12,0.033508,0.056636,-0.023128
2003-01-13,NaN,0.056274,NaN
2003-01-14,NaN,0.055912,NaN
2003-01-15,0.033521,0.055549,-0.022028
2003-01-16,NaN,0.055277,NaN
2003-01-17,0.090433,0.055004,0.035429
2003-01-18,NaN,0.054731,NaN
2003-01-19,0.090442,0.054458,0.035985
2003-01-20,0.033062,0.054185,-0.021123
2003-01-21,0.036925,0.053912,-0.016987
2003-01-22,0.034604,0.053639,-0.019035
2003-01-23,NaN,0.053366,NaN
2003-01-24,NaN,0.053093,NaN
2003-01-25,NaN,0.052820,NaN
2003-01-26,NaN,0.052548,NaN
2003-01-27,NaN,0.052275,NaN
2003-01-28,NaN,0.052002,NaN
2003-01-29,NaN,0.051729,NaN
2003-01-30,NaN,0.051456,NaN
2003-01-31,NaN,0.051183,NaN
2003-02-01,0.036398,0.050910,-0.014513
2003-02-02,0.027222,0.050637,-0.023415
2003-02-03,NaN,0.050364,NaN
2003-02-04,NaN,0.050092,NaN
2003-02-05,0.156882,0.049819,0.107063
2003-02-06,0.030728,0.049546,-0.018818
2003-02-07,0.031649,0.049273,-0.017623
2003-02-08,NaN,0.049000,NaN
2003-02-09,0.024018,0.048727,-0.024709
2003-02-10,0.025987,0.048454,-0.022467
2003-02-11,NaN,0.048181,NaN
2003-02-12,0.044329,0.047908,-0.003579
2003-02-13,NaN,0.047635,NaN
2003-02-14,NaN,0.047363,NaN
2003-02-15,0.050693,0.047090,0.003603
2003-02-16,0.064819,0.047007,0.017812
2003-02-17,NaN,0.046925,NaN
2003-02-18,NaN,0.046842,NaN
2003-02-19,NaN,0.046759,NaN
2003-02-20,0.085223,0.046677,0.038546
2003-02-21,0.044487,0.046594,-0.002108
2003-02-22,0.066514,0.046512,0.020003
2003-02-23,NaN,0.046429,NaN
2003-02-24,NaN,0.046347,NaN
2003-02-25,NaN,0.046264,NaN
2003-02-26,0.028757,0.046181,-0.017424
2003-02-27,NaN,0.046099,NaN
2003-02-28,0.036419,0.046016,-0.009598
2003-03-01,NaN,0.045934,NaN
2003-03-02,0.042399,0.045851,-0.003452
2003-03-03,NaN,0.045769,NaN
2003-03-04,0.024529,0.045686,-0.021157
2003-03-05,0.027402,0.045604,-0.018201
2003-03-06,NaN,0.045521,NaN
2003-03-07,0.039594,0.045438,-0.005844
2003-03-08,NaN,0.045356,NaN
2003-03-09,0.031534,0.045273,-0.013739
2003-03-10,0.041264,0.045191,-0.003927
2003-03-11,NaN,0.045108,NaN
2003-03-12,0.038056,0.045026,-0.006970
2003-03-13,NaN,0.044943,NaN
2003-03-14,NaN,0.044860,NaN
2003-03-15,NaN,0.044778,NaN
2003-03-16,NaN,0.044509,NaN
2003-03-17,NaN,0.044241,NaN
2003-03-18,NaN,0.043972,NaN
2003-03-19,0.066964,0.043704,0.023260
2003-03-20,NaN,0.043435,NaN
2003-03-21,0.045690,0.043167,0.002523
2003-03-22,0.131970,0.042898,0.089071
2003-03-23,NaN,0.042630,NaN
2003-03-24,0.039699,0.042361,-0.002663
2003-03-25,NaN,0.042093,NaN
2003-03-26,NaN,0.041824,NaN
2003-03-27,NaN,0.041556,NaN
2003-03-28,0.063790,0.041287,0.022502
2003-03-29,0.042463,0.041019,0.001444
2003-03-30,0.044291,0.040750,0.003540
2003-03-31,NaN,0.040482,NaN
2003-04-01,NaN,0.040213,NaN
2003-04-02,NaN,0.039945,NaN
2003-04-03,NaN,0.039676,NaN
2003-04-04,NaN,0.039408,NaN
2003-04-05,NaN,0.039139,NaN
2003-04-06,NaN,0.038871,NaN
2003-04-07,NaN,0.038602,NaN
2003-04-08,NaN,0.038334,NaN
2003-04-09,NaN,0.038065,NaN
2003-04-10,NaN,0.037797,NaN
2003-04-11,NaN,0.037528,NaN
2003-04-12,NaN,0.037260,NaN
2003-04-13,0.012716,0.036991,-0.024275
2003-04-14,0.012021,0.036723,-0.024702
2003-04-15,0.035330,0.036454,-0.001124
2003-04-16,NaN,0.036566,NaN
2003-04-17,NaN,0.036678,NaN
2003-04-18,0.007413,0.036790,-0.029377
2003-04-19,NaN,0.036902,NaN
2003-04-20,NaN,0.037014,NaN
2003-04-21,NaN,0.037126,NaN
2003-04-22,0.013705,0.037237,-0.023533
2003-04-23,0.036814,0.037349,-0.000535
2003-04-24,NaN,0.037461,NaN
2003-04-25,NaN,0.037573,NaN
2003-04-26,NaN,0.037685,NaN
2003-04-27,NaN,0.037797,NaN
2003-04-28,0.077207,0.037909,0.039299
2003-04-29,0.051684,0.038021,0.013664
2003-04-30,NaN,0.038132,NaN
2003-05-01,NaN,0.038244,NaN
2003-05-02,NaN,0.038356,NaN
2003-05-03,NaN,0.038468,NaN
2003-05-04,0.024909,0.038580,-0.013671
2003-05-05,NaN,0.038692,NaN
2003-05-06,NaN,0.038804,NaN
2003-05-07,NaN,0.038916,NaN
2003-05-08,0.034941,0.039027,-0.004086
2003-05-09,NaN,0.039139,NaN
2003-05-10,NaN,0.039251,NaN
2003-05-11,0.024297,0.039363,-0.015066
2003-05-12,NaN,0.039475,NaN
2003-05-13,NaN,0.039587,NaN
2003-05-14,NaN,0.039699,NaN
2003-05-15,0.018512,0.039810,-0.021299
2003-05-16,NaN,0.039771,NaN
2003-05-17,0.021244,0.039732,-0.018489
2003-05-18,NaN,0.039693,NaN
2003-05-19,NaN,0.039654,NaN
2003-05-20,0.026734,0.039614,-0.012880
2003-05-21,NaN,0.039575,NaN
2003-05-22,NaN,0.039536,NaN
2003-05-23,0.052792,0.039497,0.013295
2003-05-24,0.059900,0.039458,0.020442
2003-05-25,0.029837,0.039418,-0.009581
2003-05-26,NaN,0.039379,NaN
2003-05-27,NaN,0.039340,NaN
2003-05-28,NaN,0.039301,NaN
2003-05-29,NaN,0.039261,NaN
2003-05-30,0.065118,0.039222,0.025896
2003-05-31,0.025425,0.039183,-0.013758
2003-06-01,NaN,0.039144,NaN
2003-06-02,NaN,0.039105,NaN
2003-06-03,NaN,0.039065,NaN
2003-06-04,NaN,0.039026,NaN
2003-06-05,NaN,0.038987,NaN
2003-06-06,NaN,0.038948,NaN
2003-06-07,NaN,0.038909,NaN
2003-06-08,0.040377,0.038869,0.001507
2003-06-09,NaN,0.038830,NaN
2003-06-10,NaN,0.038791,NaN
2003-06-11,NaN,0.038752,NaN
2003-06-12,NaN,0.038712,NaN
2003-06-13,NaN,0.038673,NaN
2003-06-14,0.021053,0.038634,-0.017581
2003-06-15,NaN,0.038595,NaN
2003-06-16,0.011398,0.038426,-0.027028
2003-06-17,NaN,0.038258,NaN
2003-06-18,0.041824,0.038089,0.003734
2003-06-19,NaN,0.037921,NaN
2003-06-20,NaN,0.037752,NaN
2003-06-21,NaN,0.037584,NaN
2003-06-22,NaN,0.037415,NaN
2003-06-23,NaN,0.037247,NaN
2003-06-24,NaN,0.037078,NaN
2003-06-25,NaN,0.036909,NaN
2003-06-26,NaN,0.036741,NaN
2003-06-27,NaN,0.036572,NaN
2003-06-28,NaN,0.036404,NaN
2003-06-29,NaN,0.036235,NaN
2003-06-30,NaN,0.036067,NaN
2003-07-01,NaN,0.035898,NaN
2003-07-02,NaN,0.035730,NaN
2003-07-03,0.032474,0.035561,-0.003088
2003-07-04,NaN,0.035393,NaN
2003-07-05,NaN,0.035224,NaN
2003-07-06,NaN,0.035056,NaN
2003-07-07,NaN,0.034887,NaN
2003-07-08,NaN,0.034718,NaN
2003-07-09,NaN,0.034550,NaN
2003-07-10,NaN,0.034381,NaN
2003-07-11,NaN,0.034213,NaN
2003-07-12,NaN,0.034044,NaN
2003-07-13,NaN,0.033876,NaN
2003-07-14,NaN,0.033707,NaN
2003-07-15,NaN,0.033539,NaN
2003-07-16,NaN,0.033897,NaN
2003-07-17,0.037894,0.034255,0.003640
2003-07-18,NaN,0.034613,NaN
2003-07-19,0.070344,0.034971,0.035373
2003-07-20,0.018119,0.035329,-0.017210
2003-07-21,NaN,0.035687,NaN
2003-07-22,NaN,0.036045,NaN
2003-07-23,NaN,0.036403,NaN
2003-07-24,NaN,0.036761,NaN
2003-07-25,NaN,0.037119,NaN
2003-07-26,0.058140,0.037477,0.020663
2003-07-27,0.014458,0.037835,-0.023377
2003-07-28,NaN,0.038193,NaN
2003-07-29,NaN,0.038551,NaN
2003-07-30,NaN,0.038909,NaN
2003-07-31,NaN,0.039267,NaN
2003-08-01,NaN,0.039625,NaN
2003-08-02,0.046221,0.039983,0.006238
2003-08-03,0.031680,0.040341,-0.008661
2003-08-04,NaN,0.040699,NaN
2003-08-05,NaN,0.041057,NaN
2003-08-06,NaN,0.041415,NaN
