Time,mean,climatology,anomaly
1025740800,NaN,0.076698,NaN
1025827200,NaN,0.076961,NaN
1025913600,NaN,0.077223,NaN
1026000000,NaN,0.077485,NaN
1026086400,NaN,0.077747,NaN
1026172800,NaN,0.078009,NaN
1026259200,NaN,0.078272,NaN
1026345600,NaN,0.078534,NaN
1026432000,NaN,0.078796,NaN
1026518400,0.043695,0.079058,-0.035363
1026691200,0.041316,0.079583,-0.038267
1026777600,0.036988,0.079845,-0.042857
1026864000,NaN,0.080106,NaN
1026950400,NaN,0.080368,NaN
1027036800,NaN,0.080630,NaN
1027209600,NaN,0.081153,NaN
1027296000,0.057440,0.081415,-0.023975
1027382400,NaN,0.081676,NaN
1027468800,NaN,0.081938,NaN
1027555200,NaN,0.082200,NaN
1027641600,NaN,0.082461,NaN
1027728000,NaN,0.082723,NaN
1027814400,NaN,0.082984,NaN
1027900800,NaN,0.083246,NaN
1028678400,NaN,0.085601,NaN
1028851200,NaN,0.086124,NaN
1028937600,NaN,0.086386,NaN
1029024000,NaN,0.086648,NaN
1029110400,NaN,0.086909,NaN
1029196800,NaN,0.087171,NaN
1029283200,NaN,0.087433,NaN
1029456000,NaN,0.087596,NaN
1029542400,NaN,0.087498,NaN
1029628800,NaN,0.087400,NaN
1029715200,NaN,0.087302,NaN
1029888000,NaN,0.087105,NaN
1029974400,0.086192,0.087007,-0.000815
1030060800,0.066588,0.086909,-0.020320
1030233600,0.051348,0.086712,-0.035364
1030320000,NaN,0.086614,NaN
1030406400,NaN,0.086516,NaN
1030492800,NaN,0.086418,NaN
1030579200,0.071653,0.086319,-0.014667
1030665600,NaN,0.086221,NaN
1030752000,0.046649,0.086123,-0.039474
1030924800,NaN,0.085927,NaN
1031011200,NaN,0.085828,NaN
1031097600,NaN,0.085730,NaN
1031270400,NaN,0.085534,NaN
1031356800,0.104361,0.085436,0.018925
1031443200,NaN,0.085337,NaN
1031616000,NaN,0.085141,NaN
1031702400,NaN,0.085043,NaN
1031875200,NaN,0.084846,NaN
1031961600,NaN,0.084748,NaN
1032048000,0.087097,0.084650,0.002447
1032134400,0.115803,0.085462,0.030341
1032220800,0.079683,0.086274,-0.006592
1032307200,0.128895,0.087086,0.041808
1032393600,NaN,0.087899,NaN
1032480000,NaN,0.088711,NaN
1032566400,NaN,0.089523,NaN
1032652800,NaN,0.090335,NaN
1032739200,NaN,0.091147,NaN
1032825600,NaN,0.091960,NaN
1032912000,NaN,0.092772,NaN
1032998400,0.086757,0.093584,-0.006827
1033084800,NaN,0.094396,NaN
1033171200,NaN,0.095208,NaN
1033257600,0.089951,0.096020,-0.006070
1033344000,NaN,0.096833,NaN
1033430400,NaN,0.097645,NaN
1033516800,0.141032,0.098457,0.042575
1033603200,0.127169,0.099269,0.027900
1033689600,0.154104,0.100081,0.054023
1033776000,0.113752,0.100894,0.012858
