Time,mean,climatology,anomaly
1025740800,NaN,0.053605,NaN
1025827200,NaN,0.053565,NaN
1025913600,NaN,0.053525,NaN
1026000000,NaN,0.053485,NaN
1026086400,NaN,0.053445,NaN
1026172800,NaN,0.053405,NaN
1026259200,NaN,0.053365,NaN
1026345600,NaN,0.053325,NaN
1026432000,NaN,0.053285,NaN
1026518400,NaN,0.053245,NaN
1026691200,NaN,0.053165,NaN
1026777600,NaN,0.053228,NaN
1026864000,0.143409,0.053291,0.090118
1026950400,NaN,0.053354,NaN
1027036800,NaN,0.053417,NaN
1027209600,0.063276,0.053543,0.009734
1027296000,NaN,0.053605,NaN
1027382400,0.109769,0.053668,0.056100
1027468800,NaN,0.053731,NaN
1027555200,NaN,0.053794,NaN
1027641600,NaN,0.053857,NaN
1027728000,NaN,0.053920,NaN
1027814400,NaN,0.053983,NaN
1027900800,NaN,0.054046,NaN
1028678400,NaN,0.054611,NaN
1028851200,NaN,0.054737,NaN
1028937600,NaN,0.054800,NaN
1029024000,NaN,0.054863,NaN
1029110400,NaN,0.054926,NaN
1029196800,NaN,0.054989,NaN
1029283200,NaN,0.055052,NaN
1029456000,0.111619,0.055277,0.056342
1029542400,0.034819,0.055441,-0.020622
1029628800,NaN,0.055604,NaN
1029715200,NaN,0.055767,NaN
1029888000,NaN,0.056093,NaN
1029974400,NaN,0.056256,NaN
1030060800,0.041981,0.056419,-0.014438
1030233600,0.023679,0.056745,-0.033066
1030320000,NaN,0.056908,NaN
1030406400,NaN,0.057071,NaN
1030492800,NaN,0.057234,NaN
1030579200,NaN,0.057397,NaN
1030665600,NaN,0.057560,NaN
1030752000,NaN,0.057724,NaN
1030924800,NaN,0.058050,NaN
1031011200,NaN,0.058213,NaN
1031097600,NaN,0.058376,NaN
1031270400,NaN,0.058702,NaN
1031356800,NaN,0.058865,NaN
1031443200,NaN,0.059028,NaN
1031616000,0.205911,0.059354,0.146556
1031702400,0.051203,0.059517,-0.008315
1031875200,NaN,0.059843,NaN
1031961600,NaN,0.060007,NaN
1032048000,NaN,0.060170,NaN
1032134400,NaN,0.060337,NaN
1032220800,0.091038,0.060504,0.030535
1032307200,0.043279,0.060671,-0.017391
1032393600,NaN,0.060838,NaN
1032480000,NaN,0.061005,NaN
1032566400,NaN,0.061172,NaN
1032652800,NaN,0.061339,NaN
1032739200,NaN,0.061506,NaN
1032825600,NaN,0.061673,NaN
1032912000,NaN,0.061840,NaN
1032998400,NaN,0.062007,NaN
1033084800,0.024570,0.062174,-0.037604
