Time,mean,climatology,anomaly
1025740800,NaN,0.097931,NaN
1025827200,NaN,0.097898,NaN
1025913600,NaN,0.097866,NaN
1026000000,NaN,0.097833,NaN
1026086400,NaN,0.097801,NaN
1026172800,NaN,0.097768,NaN
1026259200,NaN,0.097736,NaN
1026345600,NaN,0.097704,NaN
1026432000,NaN,0.097671,NaN
1026518400,0.191973,0.097639,0.094335
1026691200,0.086470,0.097574,-0.011104
1026777600,0.171812,0.097642,0.074170
1026864000,0.158863,0.097711,0.061152
1026950400,NaN,0.097779,NaN
1027036800,NaN,0.097847,NaN
1027209600,NaN,0.097984,NaN
1027296000,NaN,0.098053,NaN
1027382400,NaN,0.098121,NaN
1027468800,NaN,0.098189,NaN
1027555200,NaN,0.098258,NaN
1027641600,NaN,0.098326,NaN
1027728000,NaN,0.098395,NaN
1027814400,NaN,0.098463,NaN
1027900800,NaN,0.098531,NaN
1028678400,NaN,0.099147,NaN
1028851200,0.061896,0.099284,-0.037387
1028937600,NaN,0.099352,NaN
1029024000,NaN,0.099421,NaN
1029110400,NaN,0.099489,NaN
1029196800,NaN,0.099557,NaN
1029283200,NaN,0.099626,NaN
1029456000,NaN,0.100055,NaN
1029542400,NaN,0.100415,NaN
1029628800,0.100191,0.100776,-0.000585
1029715200,NaN,0.101136,NaN
1029888000,NaN,0.101858,NaN
1029974400,NaN,0.102218,NaN
1030060800,NaN,0.102579,NaN
1030233600,0.101314,0.103300,-0.001986
1030320000,NaN,0.103661,NaN
1030406400,NaN,0.104021,NaN
1030492800,NaN,0.104382,NaN
1030579200,NaN,0.104742,NaN
1030665600,NaN,0.105103,NaN
1030752000,NaN,0.105464,NaN
1030924800,NaN,0.106185,NaN
1031011200,0.131533,0.106545,0.024988
1031097600,NaN,0.106906,NaN
1031270400,NaN,0.107627,NaN
1031356800,NaN,0.107988,NaN
1031443200,NaN,0.108348,NaN
1031616000,NaN,0.109070,NaN
1031702400,NaN,0.109430,NaN
1031875200,NaN,0.110151,NaN
1031961600,NaN,0.110512,NaN
1032048000,NaN,0.110873,NaN
1032134400,0.157021,0.111357,0.045664
1032220800,NaN,0.111842,NaN
1032307200,0.141736,0.112327,0.029410
1032393600,NaN,0.112811,NaN
1032480000,NaN,0.113296,NaN
1032566400,NaN,0.113781,NaN
1032652800,NaN,0.114266,NaN
1032739200,NaN,0.114750,NaN
1032825600,0.132269,0.115235,0.017034
1032912000,NaN,0.115720,NaN
1032998400,0.148398,0.116205,0.032194
1033084800,NaN,0.116689,NaN
1033171200,0.038424,0.117174,-0.078750
1033257600,NaN,0.117659,NaN
1033344000,NaN,0.118144,NaN
1033430400,NaN,0.118628,NaN
1033516800,0.109837,0.119113,-0.009276
1033603200,0.123075,0.119598,0.003477
1033689600,0.175917,0.120082,0.055834
1033776000,0.085768,0.120567,-0.034799
1033862400,NaN,0.121052,NaN
1033948800,0.095404,0.121537,-0.026133
1034035200,NaN,0.122021,NaN
1034121600,0.145798,0.122506,0.023291
1034208000,NaN,0.122991,NaN
1034294400,0.125438,0.123476,0.001962
1034380800,0.037547,0.123960,-0.086413
1034467200,NaN,0.124445,NaN
1034553600,0.021949,0.124930,-0.102981
1034640000,NaN,0.125415,NaN
1034726400,NaN,0.124649,NaN
1034812800,NaN,0.123884,NaN
1034899200,NaN,0.123118,NaN
1034985600,NaN,0.122353,NaN
1035072000,NaN,0.121588,NaN
1035158400,NaN,0.120822,NaN
1035244800,NaN,0.120057,NaN
1035331200,0.190689,0.119292,0.071398
1035417600,0.026895,0.118526,-0.091631
1035504000,NaN,0.117761,NaN
1035590400,NaN,0.116996,NaN
1035676800,0.094818,0.116230,-0.021412
1035763200,0.022993,0.115465,-0.092472
1035849600,NaN,0.114700,NaN
1035936000,0.073859,0.113934,-0.040075
1036022400,NaN,0.113169,NaN
1036108800,NaN,0.112404,NaN
1036195200,NaN,0.111638,NaN
1036281600,NaN,0.110873,NaN
1036368000,NaN,0.110108,NaN
1036454400,NaN,0.109342,NaN
1036540800,0.141293,0.108577,0.032716
1036627200,NaN,0.107812,NaN
1036713600,NaN,0.107046,NaN
1036800000,NaN,0.106281,NaN
1036886400,0.036485,0.105516,-0.069030
1036972800,0.044413,0.104750,-0.060337
1037059200,0.136057,0.103985,0.032072
1037145600,NaN,0.103220,NaN
1037232000,NaN,0.102454,NaN
1037318400,NaN,0.101689,NaN
1037404800,NaN,0.102303,NaN
1037491200,NaN,0.102917,NaN
1037577600,NaN,0.103531,NaN
1037664000,NaN,0.104144,NaN
1037750400,NaN,0.104758,NaN
1037836800,NaN,0.105372,NaN
1037923200,NaN,0.105986,NaN
1038009600,NaN,0.106600,NaN
1038096000,NaN,0.107214,NaN
1038182400,NaN,0.107828,NaN
1038268800,NaN,0.108441,NaN
1038355200,NaN,0.109055,NaN
1038441600,NaN,0.109669,NaN
1038528000,0.046928,0.110283,-0.063355
1038614400,NaN,0.110897,NaN
1038700800,NaN,0.111511,NaN
1038787200,NaN,0.112125,NaN
1038873600,NaN,0.112738,NaN
1038960000,NaN,0.113352,NaN
1039046400,0.092115,0.113966,-0.021851
1039132800,NaN,0.114580,NaN
1039219200,NaN,0.115194,NaN
1039305600,NaN,0.115808,NaN
1039392000,NaN,0.116422,NaN
1039478400,NaN,0.117035,NaN
1039564800,NaN,0.117649,NaN
1039651200,NaN,0.118263,NaN
1039737600,NaN,0.118877,NaN
1039824000,NaN,0.119491,NaN
1039910400,NaN,0.120105,NaN
1039996800,NaN,0.119956,NaN
1040083200,NaN,0.119807,NaN
1040169600,NaN,0.119658,NaN
1040256000,0.114075,0.119510,-0.005435
1040342400,NaN,0.119361,NaN
1040428800,NaN,0.119212,NaN
1040515200,NaN,0.119063,NaN
1040601600,NaN,0.118915,NaN
1040688000,0.189252,0.118766,0.070486
1040774400,NaN,0.118617,NaN
1040860800,0.044189,0.118468,-0.074280
1040947200,NaN,0.118320,NaN
1041033600,0.072546,0.118171,-0.045625
1041120000,NaN,0.118022,NaN
1041206400,NaN,0.117873,NaN
1041292800,0.105831,0.117725,-0.011894
1041379200,NaN,0.117576,NaN
