Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.051726,NaN
2002-07-05,NaN,0.051709,NaN
2002-07-06,NaN,0.051691,NaN
2002-07-07,0.024691,0.051674,-0.026984
2002-07-08,NaN,0.051657,NaN
2002-07-09,NaN,0.051640,NaN
2002-07-10,NaN,0.051623,NaN
2002-07-11,NaN,0.051606,NaN
2002-07-12,NaN,0.051588,NaN
2002-07-13,NaN,0.051571,NaN
2002-07-15,NaN,0.051537,NaN
2002-07-16,NaN,0.051537,NaN
2002-07-17,0.043725,0.051537,-0.007812
2002-07-18,NaN,0.051537,NaN
2002-07-19,NaN,0.051537,NaN
2002-07-21,0.102808,0.051537,0.051270
2002-07-22,NaN,0.051537,NaN
2002-07-23,NaN,0.051537,NaN
2002-07-24,NaN,0.051538,NaN
2002-07-25,NaN,0.051538,NaN
2002-07-26,NaN,0.051538,NaN
2002-07-27,NaN,0.051538,NaN
2002-07-28,NaN,0.051538,NaN
2002-07-29,NaN,0.051538,NaN
2002-08-07,NaN,0.051538,NaN
2002-08-09,NaN,0.051539,NaN
2002-08-10,NaN,0.051539,NaN
2002-08-11,NaN,0.051539,NaN
2002-08-12,NaN,0.051539,NaN
2002-08-13,NaN,0.051539,NaN
2002-08-14,NaN,0.051539,NaN
2002-08-16,0.064367,0.051739,0.012628
2002-08-17,0.045080,0.051939,-0.006859
2002-08-18,NaN,0.052139,NaN
2002-08-19,NaN,0.052339,NaN
2002-08-21,NaN,0.052738,NaN
2002-08-22,NaN,0.052938,NaN
2002-08-23,NaN,0.053138,NaN
2002-08-25,NaN,0.053538,NaN
2002-08-26,NaN,0.053738,NaN
2002-08-27,NaN,0.053938,NaN
2002-08-28,NaN,0.054138,NaN
2002-08-29,NaN,0.054338,NaN
2002-08-30,NaN,0.054538,NaN
2002-08-31,NaN,0.054737,NaN
2002-09-02,NaN,0.055137,NaN
2002-09-03,NaN,0.055337,NaN
2002-09-04,NaN,0.055537,NaN
2002-09-06,NaN,0.055937,NaN
2002-09-07,NaN,0.056137,NaN
2002-09-08,NaN,0.056337,NaN
2002-09-10,0.094447,0.056736,0.037711
2002-09-11,0.063108,0.056936,0.006172
2002-09-13,NaN,0.057336,NaN
2002-09-14,NaN,0.057536,NaN
2002-09-15,NaN,0.057736,NaN
2002-09-16,NaN,0.057813,NaN
2002-09-17,0.064372,0.057891,0.006481
2002-09-18,0.054799,0.057969,-0.003170
2002-09-19,NaN,0.058046,NaN
2002-09-20,NaN,0.058124,NaN
2002-09-21,NaN,0.058201,NaN
2002-09-22,NaN,0.058279,NaN
2002-09-23,NaN,0.058356,NaN
2002-09-24,NaN,0.058434,NaN
2002-09-25,NaN,0.058512,NaN
2002-09-26,NaN,0.058589,NaN
2002-09-27,0.027543,0.058667,-0.031124
2002-09-28,NaN,0.058744,NaN
2002-09-29,NaN,0.058822,NaN
2002-09-30,0.209167,0.058899,0.150267
2002-10-01,NaN,0.058977,NaN
2002-10-02,NaN,0.059055,NaN
2002-10-03,0.095266,0.059132,0.036134
2002-10-04,0.070645,0.059210,0.011435
2002-10-05,NaN,0.059287,NaN
2002-10-06,NaN,0.059365,NaN
2002-10-07,NaN,0.059442,NaN
2002-10-08,NaN,0.059520,NaN
2002-10-09,NaN,0.059598,NaN
2002-10-10,NaN,0.059675,NaN
2002-10-11,NaN,0.059753,NaN
2002-10-12,0.079641,0.059830,0.019811
2002-10-13,NaN,0.059908,NaN
2002-10-14,NaN,0.059985,NaN
2002-10-15,NaN,0.060063,NaN
2002-10-16,0.134596,0.061067,0.073529
2002-10-17,0.105788,0.062071,0.043717
2002-10-18,NaN,0.063075,NaN
2002-10-19,NaN,0.064080,NaN
2002-10-20,NaN,0.065084,NaN
2002-10-21,NaN,0.066088,NaN
2002-10-22,NaN,0.067092,NaN
2002-10-23,0.459192,0.068096,0.391096
2002-10-24,NaN,0.069100,NaN
2002-10-25,NaN,0.070105,NaN
2002-10-26,NaN,0.071109,NaN
2002-10-27,NaN,0.072113,NaN
2002-10-28,NaN,0.073117,NaN
2002-10-29,NaN,0.074121,NaN
2002-10-30,NaN,0.075125,NaN
2002-10-31,0.233345,0.076129,0.157216
2002-11-01,NaN,0.077134,NaN
2002-11-02,NaN,0.078138,NaN
2002-11-03,NaN,0.079142,NaN
2002-11-04,NaN,0.080146,NaN
2002-11-05,NaN,0.081150,NaN
2002-11-06,0.116486,0.082154,0.034331
2002-11-07,0.049273,0.083158,-0.033885
2002-11-08,NaN,0.084163,NaN
2002-11-09,0.068458,0.085167,-0.016708
2002-11-10,0.098065,0.086171,0.011894
2002-11-11,NaN,0.087175,NaN
2002-11-12,0.078003,0.088179,-0.010176
2002-11-13,0.002367,0.089183,-0.086816
2002-11-14,NaN,0.090187,NaN
2002-11-15,NaN,0.091192,NaN
2002-11-16,0.263869,0.092050,0.171820
2002-11-17,0.080284,0.092908,-0.012624
2002-11-18,0.097332,0.093766,0.003566
2002-11-19,NaN,0.094624,NaN
2002-11-20,NaN,0.095482,NaN
2002-11-21,0.067849,0.096341,-0.028492
2002-11-22,0.075024,0.097199,-0.022175
2002-11-23,0.036341,0.098057,-0.061716
2002-11-24,NaN,0.098915,NaN
2002-11-25,0.039505,0.099773,-0.060268
2002-11-26,NaN,0.100632,NaN
2002-11-27,NaN,0.101490,NaN
2002-11-28,NaN,0.102348,NaN
2002-11-29,NaN,0.103206,NaN
2002-11-30,NaN,0.104064,NaN
2002-12-01,NaN,0.104922,NaN
2002-12-02,NaN,0.105781,NaN
2002-12-03,NaN,0.106639,NaN
2002-12-04,NaN,0.107497,NaN
2002-12-05,NaN,0.108355,NaN
2002-12-06,0.092911,0.109213,-0.016302
2002-12-07,NaN,0.110072,NaN
2002-12-08,NaN,0.110930,NaN
2002-12-09,NaN,0.111788,NaN
2002-12-10,NaN,0.112646,NaN
2002-12-11,NaN,0.113504,NaN
2002-12-12,NaN,0.114362,NaN
2002-12-13,0.134205,0.115221,0.018985
2002-12-14,0.130852,0.116079,0.014773
2002-12-15,0.197908,0.116937,0.080971
2002-12-16,0.391275,0.116960,0.274315
2002-12-17,NaN,0.116982,NaN
2002-12-18,NaN,0.117005,NaN
2002-12-19,NaN,0.117028,NaN
2002-12-20,0.104010,0.117050,-0.013040
2002-12-21,NaN,0.117073,NaN
2002-12-22,0.090997,0.117095,-0.026098
2002-12-23,NaN,0.117118,NaN
2002-12-24,NaN,0.117141,NaN
2002-12-25,NaN,0.117163,NaN
2002-12-26,NaN,0.117186,NaN
2002-12-27,NaN,0.117209,NaN
2002-12-28,0.158209,0.117231,0.040978
2002-12-29,0.145644,0.117254,0.028390
2002-12-30,NaN,0.117277,NaN
2002-12-31,NaN,0.117299,NaN
2003-01-01,0.161622,0.117322,0.044300
2003-01-02,NaN,0.117345,NaN
2003-01-03,0.116321,0.117367,-0.001046
2003-01-04,0.098188,0.117390,-0.019202
2003-01-05,NaN,0.117412,NaN
2003-01-06,NaN,0.117435,NaN
2003-01-07,0.110172,0.117458,-0.007285
2003-01-08,0.099093,0.117480,-0.018388
2003-01-09,NaN,0.117503,NaN
2003-01-10,NaN,0.117526,NaN
2003-01-11,NaN,0.117548,NaN
2003-01-12,NaN,0.117571,NaN
2003-01-13,0.131410,0.117594,0.013816
2003-01-14,NaN,0.117616,NaN
2003-01-15,NaN,0.117639,NaN
2003-01-16,NaN,0.116942,NaN
2003-01-17,NaN,0.116244,NaN
2003-01-18,NaN,0.115547,NaN
2003-01-19,0.104553,0.114849,-0.010296
2003-01-20,NaN,0.114152,NaN
2003-01-21,NaN,0.113455,NaN
2003-01-22,NaN,0.112757,NaN
2003-01-23,NaN,0.112060,NaN
2003-01-24,NaN,0.111363,NaN
2003-01-25,NaN,0.110665,NaN
2003-01-26,NaN,0.109968,NaN
2003-01-27,NaN,0.109270,NaN
2003-01-28,NaN,0.108573,NaN
2003-01-29,0.136359,0.107876,0.028483
2003-01-30,NaN,0.107178,NaN
2003-01-31,NaN,0.106481,NaN
2003-02-01,NaN,0.105784,NaN
2003-02-02,NaN,0.105086,NaN
2003-02-03,NaN,0.104389,NaN
2003-02-04,0.137844,0.103691,0.034153
2003-02-05,NaN,0.102994,NaN
2003-02-06,NaN,0.102297,NaN
2003-02-07,NaN,0.101599,NaN
2003-02-08,NaN,0.100902,NaN
2003-02-09,NaN,0.100205,NaN
2003-02-10,0.038803,0.099507,-0.060704
2003-02-11,0.074670,0.098810,-0.024140
2003-02-12,NaN,0.098112,NaN
2003-02-13,NaN,0.097415,NaN
2003-02-14,NaN,0.096718,NaN
2003-02-15,NaN,0.096020,NaN
2003-02-16,NaN,0.095099,NaN
2003-02-17,0.053271,0.094178,-0.040907
2003-02-18,0.067380,0.093258,-0.025878
2003-02-19,NaN,0.092337,NaN
2003-02-20,NaN,0.091416,NaN
2003-02-21,NaN,0.090495,NaN
2003-02-22,0.115783,0.089574,0.026209
2003-02-23,0.076884,0.088653,-0.011769
2003-02-24,NaN,0.087732,NaN
2003-02-25,NaN,0.086811,NaN
2003-02-26,NaN,0.085890,NaN
2003-02-27,NaN,0.084969,NaN
2003-02-28,NaN,0.084048,NaN
2003-03-01,NaN,0.083127,NaN
2003-03-02,NaN,0.082206,NaN
2003-03-03,NaN,0.081286,NaN
2003-03-04,NaN,0.080365,NaN
2003-03-05,NaN,0.079444,NaN
2003-03-06,NaN,0.078523,NaN
2003-03-07,NaN,0.077602,NaN
2003-03-08,NaN,0.076681,NaN
2003-03-09,NaN,0.075760,NaN
2003-03-10,NaN,0.074839,NaN
2003-03-11,NaN,0.073918,NaN
2003-03-12,NaN,0.072997,NaN
2003-03-13,NaN,0.072076,NaN
2003-03-14,NaN,0.071155,NaN
2003-03-15,NaN,0.070234,NaN
2003-03-16,NaN,0.069476,NaN
2003-03-17,NaN,0.068717,NaN
2003-03-18,NaN,0.067958,NaN
2003-03-19,0.043275,0.067200,-0.023925
2003-03-20,NaN,0.066441,NaN
2003-03-21,0.045625,0.065682,-0.020057
2003-03-22,0.068270,0.064923,0.003347
2003-03-23,NaN,0.064165,NaN
2003-03-24,NaN,0.063406,NaN
2003-03-25,NaN,0.062647,NaN
2003-03-26,NaN,0.061889,NaN
2003-03-27,0.027026,0.061130,-0.034104
2003-03-28,NaN,0.060371,NaN
2003-03-29,NaN,0.059613,NaN
2003-03-30,0.065728,0.058854,0.006874
2003-03-31,NaN,0.058095,NaN
2003-04-01,NaN,0.057336,NaN
2003-04-02,NaN,0.056578,NaN
2003-04-03,0.062067,0.055819,0.006248
2003-04-04,NaN,0.055060,NaN
2003-04-05,NaN,0.054302,NaN
2003-04-06,NaN,0.053543,NaN
2003-04-07,NaN,0.052784,NaN
2003-04-08,NaN,0.052025,NaN
2003-04-09,NaN,0.051267,NaN
2003-04-10,NaN,0.050508,NaN
2003-04-11,NaN,0.049749,NaN
2003-04-12,0.033014,0.048991,-0.015976
2003-04-13,0.023489,0.048232,-0.024743
2003-04-14,0.045214,0.047473,-0.002259
2003-04-15,0.036004,0.046714,-0.010710
