Time,mean,climatology,anomaly
1025740800,NaN,0.145669,NaN
1025827200,NaN,0.146537,NaN
1025913600,NaN,0.147404,NaN
1026000000,NaN,0.148271,NaN
1026086400,NaN,0.149139,NaN
1026172800,NaN,0.150006,NaN
1026259200,NaN,0.150873,NaN
1026345600,NaN,0.151741,NaN
1026432000,NaN,0.152608,NaN
1026518400,NaN,0.153475,NaN
1026691200,NaN,0.155210,NaN
1026777600,0.153952,0.154507,-0.000555
1026864000,NaN,0.153804,NaN
1026950400,NaN,0.153101,NaN
1027036800,NaN,0.152398,NaN
1027209600,NaN,0.150993,NaN
1027296000,NaN,0.150290,NaN
1027382400,NaN,0.149587,NaN
1027468800,0.115964,0.148884,-0.032920
1027555200,NaN,0.148181,NaN
1027641600,NaN,0.147478,NaN
1027728000,NaN,0.146775,NaN
1027814400,NaN,0.146073,NaN
1027900800,NaN,0.145370,NaN
1028678400,NaN,0.139044,NaN
1028851200,NaN,0.137638,NaN
1028937600,NaN,0.136935,NaN
1029024000,NaN,0.136232,NaN
1029110400,NaN,0.135530,NaN
1029196800,NaN,0.134827,NaN
1029283200,NaN,0.134124,NaN
1029456000,0.085296,0.135136,-0.049840
1029542400,NaN,0.136850,NaN
1029628800,0.051681,0.138565,-0.086883
1029715200,NaN,0.140279,NaN
1029888000,NaN,0.143708,NaN
1029974400,NaN,0.145423,NaN
1030060800,NaN,0.147137,NaN
1030233600,0.035179,0.150566,-0.115387
1030320000,NaN,0.152281,NaN
1030406400,0.096541,0.153995,-0.057454
1030492800,NaN,0.155710,NaN
1030579200,NaN,0.157424,NaN
1030665600,NaN,0.159139,NaN
1030752000,NaN,0.160853,NaN
1030924800,NaN,0.164282,NaN
1031011200,0.115827,0.165997,-0.050170
1031097600,NaN,0.167711,NaN
1031270400,0.233327,0.171140,0.062187
1031356800,NaN,0.172855,NaN
1031443200,NaN,0.174569,NaN
1031616000,0.095640,0.177998,-0.082358
1031702400,NaN,0.179713,NaN
1031875200,NaN,0.183142,NaN
1031961600,NaN,0.184856,NaN
1032048000,NaN,0.186571,NaN
1032134400,0.110345,0.186578,-0.076232
1032220800,0.126151,0.186585,-0.060434
1032307200,0.162382,0.186592,-0.024210
1032393600,0.044064,0.186599,-0.142535
1032480000,NaN,0.186607,NaN
1032566400,NaN,0.186614,NaN
1032652800,NaN,0.186621,NaN
1032739200,NaN,0.186628,NaN
1032825600,NaN,0.186636,NaN
1032912000,NaN,0.186643,NaN
1032998400,0.046444,0.186650,-0.140206
1033084800,NaN,0.186657,NaN
1033171200,0.100957,0.186665,-0.085707
1033257600,NaN,0.186672,NaN
1033344000,NaN,0.186679,NaN
1033430400,NaN,0.186686,NaN
1033516800,NaN,0.186693,NaN
1033603200,0.093373,0.186701,-0.093328
1033689600,NaN,0.186708,NaN
1033776000,0.121937,0.186715,-0.064778
1033862400,0.186572,0.186722,-0.000151
1033948800,0.118299,0.186730,-0.068431
1034035200,NaN,0.186737,NaN
1034121600,0.135411,0.186744,-0.051333
