Time,mean,climatology,anomaly
1025740800,NaN,0.082053,NaN
1025827200,NaN,0.082573,NaN
1025913600,NaN,0.083093,NaN
1026000000,0.097365,0.083613,0.013752
1026086400,NaN,0.084133,NaN
1026172800,0.061590,0.084653,-0.023063
1026259200,NaN,0.085173,NaN
1026345600,NaN,0.085693,NaN
1026432000,NaN,0.086213,NaN
1026518400,NaN,0.086733,NaN
1026691200,NaN,0.087773,NaN
1026777600,NaN,0.087000,NaN
1026864000,NaN,0.086227,NaN
1026950400,NaN,0.085454,NaN
1027036800,NaN,0.084682,NaN
1027209600,NaN,0.083136,NaN
1027296000,NaN,0.082364,NaN
1027382400,NaN,0.081591,NaN
1027468800,NaN,0.080818,NaN
1027555200,NaN,0.080045,NaN
1027641600,NaN,0.079273,NaN
1027728000,NaN,0.078500,NaN
1027814400,NaN,0.077727,NaN
1027900800,NaN,0.076955,NaN
1028678400,NaN,0.070000,NaN
1028851200,NaN,0.068455,NaN
1028937600,NaN,0.067682,NaN
1029024000,NaN,0.066909,NaN
1029110400,NaN,0.066136,NaN
1029196800,NaN,0.065364,NaN
1029283200,NaN,0.064591,NaN
1029456000,0.100445,0.064370,0.036075
1029542400,NaN,0.064921,NaN
1029628800,0.094678,0.065473,0.029205
1029715200,NaN,0.066024,NaN
1029888000,NaN,0.067127,NaN
1029974400,NaN,0.067679,NaN
1030060800,NaN,0.068230,NaN
1030233600,NaN,0.069333,NaN
1030320000,NaN,0.069885,NaN
1030406400,NaN,0.070436,NaN
1030492800,NaN,0.070987,NaN
1030579200,NaN,0.071539,NaN
1030665600,NaN,0.072090,NaN
1030752000,NaN,0.072642,NaN
1030924800,NaN,0.073745,NaN
1031011200,NaN,0.074296,NaN
1031097600,NaN,0.074848,NaN
1031270400,NaN,0.075951,NaN
1031356800,NaN,0.076502,NaN
1031443200,NaN,0.077054,NaN
1031616000,0.163217,0.078157,0.085060
1031702400,0.118617,0.078708,0.039909
1031875200,NaN,0.079811,NaN
1031961600,NaN,0.080363,NaN
1032048000,NaN,0.080914,NaN
1032134400,NaN,0.081893,NaN
1032220800,NaN,0.082873,NaN
1032307200,0.062797,0.083852,-0.021055
1032393600,NaN,0.084832,NaN
1032480000,NaN,0.085811,NaN
1032566400,NaN,0.086790,NaN
1032652800,NaN,0.087770,NaN
1032739200,NaN,0.088749,NaN
1032825600,NaN,0.089728,NaN
1032912000,NaN,0.090708,NaN
1032998400,NaN,0.091687,NaN
1033084800,0.104230,0.092666,0.011564
1033171200,NaN,0.093646,NaN
1033257600,0.258817,0.094625,0.164191
1033344000,NaN,0.095604,NaN
1033430400,0.130678,0.096584,0.034094
1033516800,NaN,0.097563,NaN
1033603200,NaN,0.098543,NaN
1033689600,0.151394,0.099522,0.051872
1033776000,NaN,0.100501,NaN
1033862400,0.175961,0.101481,0.074480
1033948800,NaN,0.102460,NaN
1034035200,0.197978,0.103439,0.094539
1034121600,NaN,0.104419,NaN
1034208000,NaN,0.105398,NaN
1034294400,NaN,0.106377,NaN
1034380800,0.116731,0.107357,0.009375
1034467200,0.184474,0.108336,0.076138
1034553600,NaN,0.109315,NaN
1034640000,0.150378,0.110295,0.040083
1034726400,0.075523,0.110903,-0.035380
1034812800,NaN,0.111512,NaN
1034899200,NaN,0.112120,NaN
1034985600,NaN,0.112729,NaN
1035072000,NaN,0.113337,NaN
1035158400,NaN,0.113945,NaN
1035244800,NaN,0.114554,NaN
1035331200,NaN,0.115162,NaN
1035417600,NaN,0.115771,NaN
1035504000,NaN,0.116379,NaN
1035590400,NaN,0.116988,NaN
1035676800,NaN,0.117596,NaN
1035763200,NaN,0.118205,NaN
1035849600,NaN,0.118813,NaN
1035936000,NaN,0.119421,NaN
1036022400,NaN,0.120030,NaN
