Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.057702,NaN
2002-07-05,NaN,0.058122,NaN
2002-07-06,NaN,0.058542,NaN
2002-07-07,NaN,0.058961,NaN
2002-07-08,NaN,0.059381,NaN
2002-07-09,0.058001,0.059801,-0.001800
2002-07-10,0.044804,0.060221,-0.015417
2002-07-11,NaN,0.060641,NaN
2002-07-12,NaN,0.061061,NaN
2002-07-13,NaN,0.061481,NaN
2002-07-15,0.050676,0.062321,-0.011644
2002-07-16,0.026454,0.062532,-0.036079
2002-07-17,0.036045,0.062744,-0.026699
2002-07-18,NaN,0.062956,NaN
2002-07-19,0.106249,0.063167,0.043082
2002-07-21,NaN,0.063591,NaN
2002-07-22,NaN,0.063802,NaN
2002-07-23,NaN,0.064014,NaN
2002-07-24,NaN,0.064226,NaN
2002-07-25,NaN,0.064437,NaN
2002-07-26,NaN,0.064649,NaN
2002-07-27,NaN,0.064861,NaN
2002-07-28,NaN,0.065072,NaN
2002-07-29,NaN,0.065284,NaN
2002-08-07,NaN,0.067189,NaN
2002-08-09,NaN,0.067612,NaN
2002-08-10,NaN,0.067824,NaN
2002-08-11,NaN,0.068036,NaN
2002-08-12,NaN,0.068247,NaN
2002-08-13,NaN,0.068459,NaN
2002-08-14,NaN,0.068671,NaN
2002-08-16,NaN,0.068734,NaN
2002-08-17,NaN,0.068586,NaN
2002-08-18,0.032791,0.068437,-0.035647
2002-08-19,NaN,0.068289,NaN
2002-08-21,NaN,0.067993,NaN
2002-08-22,NaN,0.067845,NaN
2002-08-23,0.060730,0.067696,-0.006967
2002-08-25,0.121557,0.067400,0.054158
2002-08-26,NaN,0.067252,NaN
2002-08-27,NaN,0.067103,NaN
2002-08-28,NaN,0.066955,NaN
2002-08-29,NaN,0.066807,NaN
2002-08-30,NaN,0.066659,NaN
2002-08-31,NaN,0.066511,NaN
2002-09-02,NaN,0.066214,NaN
2002-09-03,NaN,0.066066,NaN
2002-09-04,NaN,0.065918,NaN
2002-09-06,NaN,0.065621,NaN
