Time,mean,climatology,anomaly
1025740800,NaN,0.065655,NaN
1025827200,NaN,0.065558,NaN
1025913600,NaN,0.065461,NaN
1026000000,0.108699,0.065363,0.043336
1026086400,NaN,0.065266,NaN
1026172800,NaN,0.065169,NaN
1026259200,NaN,0.065072,NaN
1026345600,NaN,0.064974,NaN
1026432000,NaN,0.064877,NaN
1026518400,0.051540,0.064780,-0.013240
1026691200,0.067485,0.064585,0.002900
1026777600,NaN,0.064539,NaN
1026864000,NaN,0.064492,NaN
1026950400,NaN,0.064446,NaN
1027036800,NaN,0.064400,NaN
1027209600,NaN,0.064307,NaN
1027296000,NaN,0.064261,NaN
1027382400,0.114701,0.064214,0.050486
1027468800,NaN,0.064168,NaN
1027555200,NaN,0.064122,NaN
1027641600,NaN,0.064075,NaN
1027728000,NaN,0.064029,NaN
1027814400,NaN,0.063982,NaN
1027900800,NaN,0.063936,NaN
1028678400,NaN,0.063519,NaN
1028851200,0.049344,0.063426,-0.014082
1028937600,NaN,0.063380,NaN
1029024000,NaN,0.063333,NaN
1029110400,NaN,0.063287,NaN
1029196800,NaN,0.063241,NaN
1029283200,0.060861,0.063194,-0.002333
1029456000,NaN,0.063573,NaN
1029542400,NaN,0.063999,NaN
1029628800,NaN,0.064424,NaN
1029715200,NaN,0.064850,NaN
1029888000,NaN,0.065701,NaN
1029974400,0.080772,0.066126,0.014646
1030060800,0.026234,0.066551,-0.040317
1030233600,0.175443,0.067402,0.108041
1030320000,NaN,0.067828,NaN
1030406400,NaN,0.068253,NaN
1030492800,NaN,0.068679,NaN
1030579200,NaN,0.069104,NaN
1030665600,NaN,0.069530,NaN
1030752000,NaN,0.069955,NaN
1030924800,NaN,0.070806,NaN
1031011200,0.091279,0.071231,0.020048
1031097600,NaN,0.071657,NaN
1031270400,NaN,0.072508,NaN
1031356800,0.062754,0.072933,-0.010179
1031443200,NaN,0.073358,NaN
1031616000,NaN,0.074209,NaN
1031702400,NaN,0.074635,NaN
1031875200,NaN,0.075486,NaN
1031961600,NaN,0.075911,NaN
1032048000,0.101164,0.076336,0.024827
1032134400,NaN,0.076292,NaN
1032220800,0.048201,0.076247,-0.028046
1032307200,NaN,0.076202,NaN
1032393600,NaN,0.076158,NaN
1032480000,NaN,0.076113,NaN
1032566400,NaN,0.076068,NaN
1032652800,NaN,0.076024,NaN
1032739200,NaN,0.075979,NaN
1032825600,0.044687,0.075934,-0.031247
1032912000,NaN,0.075890,NaN
1032998400,0.037170,0.075845,-0.038675
1033084800,NaN,0.075800,NaN
1033171200,0.056917,0.075756,-0.018838
1033257600,0.058618,0.075711,-0.017093
1033344000,NaN,0.075666,NaN
1033430400,NaN,0.075622,NaN
1033516800,0.009416,0.075577,-0.066161
1033603200,0.041004,0.075532,-0.034528
1033689600,0.105278,0.075488,0.029791
1033776000,0.072546,0.075443,-0.002897
1033862400,NaN,0.075398,NaN
1033948800,0.065865,0.075353,-0.009488
1034035200,0.045323,0.075309,-0.029986
1034121600,0.086459,0.075264,0.011194
1034208000,NaN,0.075219,NaN
1034294400,0.033589,0.075175,-0.041586
1034380800,0.047001,0.075130,-0.028129
1034467200,NaN,0.075085,NaN
1034553600,NaN,0.075041,NaN
1034640000,0.136581,0.074996,0.061585
1034726400,0.119824,0.075090,0.044734
1034812800,0.075382,0.075184,0.000199
1034899200,0.083708,0.075278,0.008430
1034985600,0.055790,0.075372,-0.019582
1035072000,NaN,0.075465,NaN
1035158400,0.020940,0.075559,-0.054620
1035244800,NaN,0.075653,NaN
1035331200,0.037829,0.075747,-0.037918
1035417600,0.027162,0.075841,-0.048679
1035504000,0.031050,0.075935,-0.044885
1035590400,0.017008,0.076029,-0.059020
1035676800,0.029673,0.076122,-0.046449
1035763200,0.053331,0.076216,-0.022886
1035849600,NaN,0.076310,NaN
1035936000,0.046032,0.076404,-0.030373
1036022400,NaN,0.076498,NaN
1036108800,0.066082,0.076592,-0.010510
1036195200,NaN,0.076686,NaN
1036281600,NaN,0.076780,NaN
1036368000,0.046010,0.076873,-0.030864
1036454400,NaN,0.076967,NaN
1036540800,0.056024,0.077061,-0.021037
1036627200,0.045703,0.077155,-0.031452
1036713600,NaN,0.077249,NaN
1036800000,0.045845,0.077343,-0.031498
1036886400,0.050863,0.077437,-0.026574
1036972800,0.027673,0.077531,-0.049858
1037059200,NaN,0.077624,NaN
1037145600,0.060372,0.077718,-0.017346
1037232000,NaN,0.077812,NaN
1037318400,NaN,0.077906,NaN
1037404800,NaN,0.078121,NaN
1037491200,NaN,0.078335,NaN
1037577600,0.083494,0.078550,0.004944
1037664000,NaN,0.078765,NaN
1037750400,0.183959,0.078979,0.104980
1037836800,NaN,0.079194,NaN
1037923200,NaN,0.079408,NaN
1038009600,0.126953,0.079623,0.047330
1038096000,0.043339,0.079838,-0.036499
1038182400,NaN,0.080052,NaN
1038268800,NaN,0.080267,NaN
1038355200,NaN,0.080482,NaN
1038441600,NaN,0.080696,NaN
1038528000,0.058334,0.080911,-0.022577
1038614400,NaN,0.081126,NaN
1038700800,0.042913,0.081340,-0.038428
1038787200,0.086860,0.081555,0.005306
1038873600,0.051102,0.081769,-0.030667
1038960000,0.054775,0.081984,-0.027209
1039046400,NaN,0.082199,NaN
1039132800,0.136275,0.082413,0.053861
1039219200,NaN,0.082628,NaN
1039305600,NaN,0.082843,NaN
1039392000,NaN,0.083057,NaN
1039478400,NaN,0.083272,NaN
1039564800,NaN,0.083486,NaN
1039651200,0.083559,0.083701,-0.000142
1039737600,NaN,0.083916,NaN
1039824000,NaN,0.084130,NaN
1039910400,NaN,0.084345,NaN
1039996800,NaN,0.084378,NaN
1040083200,0.051717,0.084411,-0.032693
1040169600,NaN,0.084443,NaN
1040256000,0.045229,0.084476,-0.039247
1040342400,NaN,0.084509,NaN
1040428800,0.059800,0.084542,-0.024742
1040515200,0.214445,0.084575,0.129870
1040601600,NaN,0.084608,NaN
