Time,mean,climatology,anomaly
1025740800,NaN,0.048335,NaN
1025827200,NaN,0.048349,NaN
1025913600,NaN,0.048364,NaN
1026000000,NaN,0.048379,NaN
1026086400,NaN,0.048394,NaN
1026172800,0.038344,0.048409,-0.010065
1026259200,NaN,0.048424,NaN
1026345600,NaN,0.048439,NaN
1026432000,NaN,0.048454,NaN
1026518400,NaN,0.048469,NaN
1026691200,0.066028,0.048498,0.017530
1026777600,NaN,0.048829,NaN
1026864000,0.042506,0.049161,-0.006655
1026950400,NaN,0.049492,NaN
1027036800,0.015594,0.049823,-0.034228
1027209600,NaN,0.050485,NaN
1027296000,0.061666,0.050816,0.010850
1027382400,0.051357,0.051147,0.000210
1027468800,NaN,0.051478,NaN
1027555200,NaN,0.051809,NaN
1027641600,NaN,0.052140,NaN
1027728000,NaN,0.052471,NaN
1027814400,NaN,0.052802,NaN
1027900800,NaN,0.053133,NaN
1028678400,NaN,0.056112,NaN
1028851200,NaN,0.056774,NaN
1028937600,NaN,0.057105,NaN
1029024000,NaN,0.057436,NaN
1029110400,NaN,0.057767,NaN
1029196800,NaN,0.058098,NaN
1029283200,NaN,0.058429,NaN
1029456000,NaN,0.058510,NaN
1029542400,NaN,0.058260,NaN
1029628800,NaN,0.058011,NaN
1029715200,NaN,0.057761,NaN
1029888000,NaN,0.057261,NaN
1029974400,NaN,0.057012,NaN
1030060800,0.042766,0.056762,-0.013996
1030233600,0.168781,0.056263,0.112519
1030320000,NaN,0.056013,NaN
1030406400,NaN,0.055763,NaN
1030492800,NaN,0.055513,NaN
1030579200,NaN,0.055264,NaN
1030665600,NaN,0.055014,NaN
1030752000,NaN,0.054764,NaN
1030924800,NaN,0.054265,NaN
1031011200,NaN,0.054015,NaN
1031097600,NaN,0.053765,NaN
1031270400,NaN,0.053266,NaN
1031356800,NaN,0.053016,NaN
1031443200,NaN,0.052766,NaN
1031616000,NaN,0.052267,NaN
1031702400,0.039018,0.052017,-0.012999
1031875200,NaN,0.051518,NaN
1031961600,NaN,0.051268,NaN
1032048000,NaN,0.051018,NaN
1032134400,NaN,0.051337,NaN
1032220800,0.079476,0.051657,0.027819
1032307200,NaN,0.051976,NaN
1032393600,NaN,0.052295,NaN
1032480000,NaN,0.052614,NaN
1032566400,NaN,0.052933,NaN
1032652800,NaN,0.053252,NaN
1032739200,NaN,0.053571,NaN
1032825600,NaN,0.053891,NaN
1032912000,NaN,0.054210,NaN
1032998400,NaN,0.054529,NaN
1033084800,0.029939,0.054848,-0.024909
1033171200,NaN,0.055167,NaN
1033257600,NaN,0.055486,NaN
1033344000,NaN,0.055805,NaN
1033430400,NaN,0.056124,NaN
1033516800,NaN,0.056444,NaN
1033603200,NaN,0.056763,NaN
1033689600,0.056234,0.057082,-0.000848
1033776000,NaN,0.057401,NaN
1033862400,NaN,0.057720,NaN
1033948800,NaN,0.058039,NaN
1034035200,NaN,0.058358,NaN
1034121600,NaN,0.058678,NaN
1034208000,NaN,0.058997,NaN
1034294400,NaN,0.059316,NaN
1034380800,NaN,0.059635,NaN
1034467200,NaN,0.059954,NaN
1034553600,NaN,0.060273,NaN
1034640000,NaN,0.060592,NaN
1034726400,0.069742,0.061227,0.008515
1034812800,0.045131,0.061862,-0.016731
1034899200,NaN,0.062497,NaN
1034985600,NaN,0.063132,NaN
1035072000,0.031767,0.063767,-0.032000
1035158400,NaN,0.064402,NaN
1035244800,NaN,0.065037,NaN
1035331200,NaN,0.065672,NaN
1035417600,NaN,0.066307,NaN
1035504000,NaN,0.066942,NaN
1035590400,NaN,0.067577,NaN
1035676800,NaN,0.068211,NaN
1035763200,NaN,0.068846,NaN
1035849600,NaN,0.069481,NaN
1035936000,NaN,0.070116,NaN
1036022400,NaN,0.070751,NaN
1036108800,NaN,0.071386,NaN
1036195200,NaN,0.072021,NaN
1036281600,NaN,0.072656,NaN
1036368000,NaN,0.073291,NaN
1036454400,NaN,0.073926,NaN
1036540800,0.105563,0.074561,0.031003
1036627200,0.080094,0.075196,0.004898
1036713600,NaN,0.075831,NaN
1036800000,0.135716,0.076466,0.059251
1036886400,NaN,0.077100,NaN
1036972800,NaN,0.077735,NaN
1037059200,0.106200,0.078370,0.027830
1037145600,0.073934,0.079005,-0.005071
1037232000,NaN,0.079640,NaN
1037318400,NaN,0.080275,NaN
1037404800,NaN,0.081408,NaN
1037491200,0.079030,0.082541,-0.003511
1037577600,0.176627,0.083674,0.092953
1037664000,NaN,0.084807,NaN
1037750400,NaN,0.085940,NaN
1037836800,0.098645,0.087073,0.011572
1037923200,0.114682,0.088206,0.026476
1038009600,NaN,0.089339,NaN
1038096000,0.211345,0.090473,0.120873
1038182400,0.081143,0.091606,-0.010462
1038268800,NaN,0.092739,NaN
1038355200,NaN,0.093872,NaN
1038441600,NaN,0.095005,NaN
1038528000,NaN,0.096138,NaN
1038614400,NaN,0.097271,NaN
1038700800,NaN,0.098404,NaN
1038787200,NaN,0.099537,NaN
1038873600,NaN,0.100670,NaN
1038960000,NaN,0.101803,NaN
1039046400,NaN,0.102936,NaN
1039132800,NaN,0.104069,NaN
1039219200,NaN,0.105202,NaN
1039305600,NaN,0.106335,NaN
1039392000,NaN,0.107468,NaN
1039478400,NaN,0.108601,NaN
1039564800,NaN,0.109734,NaN
1039651200,NaN,0.110867,NaN
1039737600,0.132215,0.112000,0.020215
1039824000,0.106117,0.113133,-0.007016
1039910400,NaN,0.114267,NaN
1039996800,0.070977,0.114272,-0.043295
1040083200,NaN,0.114277,NaN
1040169600,NaN,0.114282,NaN
1040256000,NaN,0.114287,NaN
1040342400,0.118077,0.114292,0.003785
1040428800,NaN,0.114297,NaN
1040515200,0.075906,0.114302,-0.038396
1040601600,NaN,0.114307,NaN
1040688000,NaN,0.114312,NaN
1040774400,NaN,0.114317,NaN
1040860800,NaN,0.114322,NaN
1040947200,NaN,0.114327,NaN
1041033600,NaN,0.114332,NaN
1041120000,NaN,0.114337,NaN
1041206400,NaN,0.114342,NaN
1041292800,NaN,0.114348,NaN
1041379200,0.109928,0.114353,-0.004424
1041465600,NaN,0.114358,NaN
1041552000,0.119085,0.114363,0.004722
1041638400,0.095247,0.114368,-0.019121
1041724800,0.095715,0.114373,-0.018658
1041811200,NaN,0.114378,NaN
1041897600,0.119845,0.114383,0.005462
1041984000,0.075073,0.114388,-0.039315
1042070400,NaN,0.114393,NaN
1042156800,NaN,0.114398,NaN
1042243200,NaN,0.114403,NaN
1042329600,NaN,0.114408,NaN
1042416000,0.127585,0.114413,0.013172
1042502400,NaN,0.114418,NaN
1042588800,NaN,0.114423,NaN
1042675200,NaN,0.113778,NaN
1042761600,NaN,0.113133,NaN
1042848000,0.135214,0.112488,0.022726
1042934400,0.076393,0.111842,-0.035450
1043020800,NaN,0.111197,NaN
1043107200,NaN,0.110552,NaN
1043193600,NaN,0.109907,NaN
1043280000,NaN,0.109261,NaN
1043366400,NaN,0.108616,NaN
1043452800,NaN,0.107971,NaN
1043539200,NaN,0.107326,NaN
1043625600,NaN,0.106680,NaN
1043712000,NaN,0.106035,NaN
1043798400,NaN,0.105390,NaN
1043884800,NaN,0.104745,NaN
1043971200,NaN,0.104099,NaN
1044057600,0.149206,0.103454,0.045752
1044144000,NaN,0.102809,NaN
1044230400,NaN,0.102164,NaN
1044316800,0.192276,0.101518,0.090758
