Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.046807,NaN
2002-07-05,NaN,0.046962,NaN
2002-07-06,NaN,0.047116,NaN
2002-07-07,NaN,0.047270,NaN
2002-07-08,NaN,0.047425,NaN
2002-07-09,NaN,0.047579,NaN
2002-07-10,NaN,0.047733,NaN
2002-07-11,NaN,0.047887,NaN
2002-07-12,NaN,0.048042,NaN
2002-07-13,0.033132,0.048196,-0.015064
2002-07-15,0.016561,0.048504,-0.031943
2002-07-16,0.042537,0.048582,-0.006045
2002-07-17,0.023024,0.048659,-0.025635
2002-07-18,NaN,0.048736,NaN
2002-07-19,NaN,0.048813,NaN
2002-07-21,NaN,0.048968,NaN
2002-07-22,0.037923,0.049045,-0.011122
2002-07-23,NaN,0.049122,NaN
2002-07-24,NaN,0.049200,NaN
2002-07-25,NaN,0.049277,NaN
2002-07-26,NaN,0.049354,NaN
2002-07-27,NaN,0.049431,NaN
2002-07-28,NaN,0.049509,NaN
2002-07-29,NaN,0.049586,NaN
2002-08-07,NaN,0.050281,NaN
2002-08-09,0.040763,0.050435,-0.009672
2002-08-10,NaN,0.050513,NaN
2002-08-11,NaN,0.050590,NaN
2002-08-12,NaN,0.050667,NaN
2002-08-13,NaN,0.050744,NaN
2002-08-14,0.034088,0.050822,-0.016733
2002-08-16,NaN,0.051122,NaN
2002-08-17,NaN,0.051346,NaN
2002-08-18,0.035932,0.051569,-0.015637
2002-08-19,NaN,0.051792,NaN
2002-08-21,NaN,0.052239,NaN
2002-08-22,NaN,0.052462,NaN
2002-08-23,0.024168,0.052686,-0.028518
2002-08-25,0.017649,0.053133,-0.035484
2002-08-26,NaN,0.053356,NaN
2002-08-27,NaN,0.053579,NaN
2002-08-28,NaN,0.053803,NaN
2002-08-29,NaN,0.054026,NaN
2002-08-30,NaN,0.054249,NaN
2002-08-31,0.079955,0.054473,0.025483
2002-09-02,NaN,0.054920,NaN
2002-09-03,NaN,0.055143,NaN
2002-09-04,NaN,0.055366,NaN
2002-09-06,NaN,0.055813,NaN
2002-09-07,NaN,0.056036,NaN
2002-09-08,NaN,0.056260,NaN
2002-09-10,NaN,0.056706,NaN
2002-09-11,NaN,0.056930,NaN
2002-09-13,NaN,0.057377,NaN
2002-09-14,NaN,0.057600,NaN
2002-09-15,0.051841,0.057823,-0.005983
2002-09-16,0.052135,0.058148,-0.006013
2002-09-17,0.023032,0.058472,-0.035440
2002-09-18,0.109319,0.058796,0.050523
2002-09-19,NaN,0.059121,NaN
2002-09-20,NaN,0.059445,NaN
2002-09-21,NaN,0.059770,NaN
2002-09-22,NaN,0.060094,NaN
2002-09-23,NaN,0.060418,NaN
2002-09-24,0.070408,0.060743,0.009665
2002-09-25,NaN,0.061067,NaN
2002-09-26,0.039195,0.061392,-0.022197
2002-09-27,NaN,0.061716,NaN
2002-09-28,0.022825,0.062040,-0.039216
2002-09-29,NaN,0.062365,NaN
2002-09-30,NaN,0.062689,NaN
2002-10-01,NaN,0.063014,NaN
2002-10-02,0.071041,0.063338,0.007703
2002-10-03,0.033472,0.063663,-0.030191
2002-10-04,0.049054,0.063987,-0.014933
2002-10-05,0.018753,0.064311,-0.045559
2002-10-06,NaN,0.064636,NaN
2002-10-07,0.054085,0.064960,-0.010875
2002-10-08,0.079769,0.065285,0.014484
2002-10-09,0.033553,0.065609,-0.032056
2002-10-10,0.031058,0.065933,-0.034876
2002-10-11,0.024547,0.066258,-0.041711
2002-10-12,0.046991,0.066582,-0.019591
2002-10-13,NaN,0.066907,NaN
2002-10-14,NaN,0.067231,NaN
2002-10-15,NaN,0.067555,NaN
2002-10-16,NaN,0.067699,NaN
2002-10-17,NaN,0.067843,NaN
2002-10-18,0.050189,0.067987,-0.017798
2002-10-19,0.031987,0.068131,-0.036144
2002-10-20,0.064123,0.068274,-0.004152
2002-10-21,NaN,0.068418,NaN
2002-10-22,NaN,0.068562,NaN
2002-10-23,0.041625,0.068706,-0.027081
2002-10-24,0.034397,0.068850,-0.034452
2002-10-25,0.037335,0.068993,-0.031659
2002-10-26,0.021598,0.069137,-0.047539
2002-10-27,0.048099,0.069281,-0.021182
2002-10-28,0.025115,0.069425,-0.044310
2002-10-29,0.079587,0.069568,0.010019
2002-10-30,0.050934,0.069712,-0.018778
2002-10-31,NaN,0.069856,NaN
2002-11-01,0.025857,0.070000,-0.044143
2002-11-02,0.116541,0.070144,0.046397
2002-11-03,NaN,0.070287,NaN
