Time,mean,climatology,anomaly
1025740800,NaN,0.054851,NaN
1025827200,NaN,0.054805,NaN
1025913600,0.096550,0.054758,0.041792
1026000000,NaN,0.054712,NaN
1026086400,NaN,0.054665,NaN
1026172800,NaN,0.054618,NaN
1026259200,NaN,0.054572,NaN
1026345600,NaN,0.054525,NaN
1026432000,0.050914,0.054478,-0.003564
1026518400,NaN,0.054432,NaN
1026691200,NaN,0.054338,NaN
1026777600,NaN,0.054443,NaN
1026864000,NaN,0.054547,NaN
1026950400,NaN,0.054651,NaN
1027036800,NaN,0.054755,NaN
1027209600,0.095286,0.054964,0.040322
1027296000,0.031162,0.055068,-0.023906
1027382400,NaN,0.055172,NaN
1027468800,NaN,0.055277,NaN
1027555200,NaN,0.055381,NaN
1027641600,NaN,0.055485,NaN
1027728000,NaN,0.055589,NaN
1027814400,NaN,0.055694,NaN
1027900800,NaN,0.055798,NaN
1028678400,NaN,0.056736,NaN
1028851200,NaN,0.056944,NaN
1028937600,NaN,0.057049,NaN
1029024000,NaN,0.057153,NaN
1029110400,NaN,0.057257,NaN
1029196800,NaN,0.057361,NaN
1029283200,NaN,0.057466,NaN
1029456000,0.043936,0.057549,-0.013613
1029542400,NaN,0.057528,NaN
1029628800,NaN,0.057507,NaN
1029715200,NaN,0.057486,NaN
1029888000,NaN,0.057445,NaN
1029974400,NaN,0.057424,NaN
1030060800,0.018842,0.057403,-0.038561
1030233600,NaN,0.057361,NaN
1030320000,NaN,0.057340,NaN
1030406400,NaN,0.057320,NaN
1030492800,NaN,0.057299,NaN
1030579200,NaN,0.057278,NaN
1030665600,NaN,0.057257,NaN
1030752000,NaN,0.057236,NaN
1030924800,NaN,0.057194,NaN
1031011200,NaN,0.057174,NaN
1031097600,NaN,0.057153,NaN
1031270400,NaN,0.057111,NaN
1031356800,NaN,0.057090,NaN
1031443200,NaN,0.057069,NaN
1031616000,NaN,0.057028,NaN
1031702400,0.083007,0.057007,0.026001
1031875200,NaN,0.056965,NaN
1031961600,NaN,0.056944,NaN
1032048000,NaN,0.056923,NaN
1032134400,NaN,0.057080,NaN
1032220800,0.072117,0.057237,0.014880
1032307200,0.079398,0.057394,0.022005
1032393600,NaN,0.057550,NaN
1032480000,NaN,0.057707,NaN
1032566400,NaN,0.057864,NaN
1032652800,NaN,0.058020,NaN
1032739200,NaN,0.058177,NaN
1032825600,NaN,0.058334,NaN
1032912000,NaN,0.058491,NaN
1032998400,NaN,0.058647,NaN
1033084800,0.025853,0.058804,-0.032952
1033171200,0.035257,0.058961,-0.023703
1033257600,NaN,0.059118,NaN
1033344000,0.264237,0.059274,0.204963
1033430400,NaN,0.059431,NaN
1033516800,NaN,0.059588,NaN
1033603200,0.057962,0.059745,-0.001782
1033689600,0.015889,0.059901,-0.044013
1033776000,NaN,0.060058,NaN
1033862400,0.022705,0.060215,-0.037510
1033948800,0.025609,0.060371,-0.034762
1034035200,NaN,0.060528,NaN
1034121600,NaN,0.060685,NaN
1034208000,NaN,0.060842,NaN
1034294400,NaN,0.060998,NaN
1034380800,0.137768,0.061155,0.076613
1034467200,NaN,0.061312,NaN
1034553600,NaN,0.061469,NaN
1034640000,NaN,0.061625,NaN
1034726400,0.049488,0.062543,-0.013055
1034812800,0.031632,0.063461,-0.031828
1034899200,NaN,0.064378,NaN
1034985600,NaN,0.065296,NaN
1035072000,NaN,0.066214,NaN
1035158400,NaN,0.067131,NaN
1035244800,NaN,0.068049,NaN
1035331200,NaN,0.068966,NaN
1035417600,NaN,0.069884,NaN
1035504000,NaN,0.070802,NaN
1035590400,NaN,0.071719,NaN
1035676800,0.099186,0.072637,0.026549
1035763200,NaN,0.073555,NaN
1035849600,NaN,0.074472,NaN
1035936000,NaN,0.075390,NaN
1036022400,NaN,0.076308,NaN
1036108800,NaN,0.077225,NaN
1036195200,NaN,0.078143,NaN
1036281600,NaN,0.079060,NaN
1036368000,NaN,0.079978,NaN
1036454400,NaN,0.080896,NaN
1036540800,0.105867,0.081813,0.024053
1036627200,0.027970,0.082731,-0.054761
1036713600,NaN,0.083649,NaN
1036800000,0.091521,0.084566,0.006955
1036886400,NaN,0.085484,NaN
1036972800,NaN,0.086402,NaN
1037059200,0.054848,0.087319,-0.032471
1037145600,NaN,0.088237,NaN
1037232000,NaN,0.089155,NaN
1037318400,NaN,0.090072,NaN
1037404800,NaN,0.091171,NaN
1037491200,0.082500,0.092269,-0.009770
1037577600,0.063580,0.093368,-0.029787
1037664000,NaN,0.094466,NaN
1037750400,NaN,0.095565,NaN
1037836800,0.064064,0.096664,-0.032600
1037923200,0.106420,0.097762,0.008658
1038009600,0.030374,0.098861,-0.068486
1038096000,NaN,0.099959,NaN
1038182400,0.029785,0.101058,-0.071273
1038268800,NaN,0.102156,NaN
1038355200,NaN,0.103255,NaN
1038441600,NaN,0.104353,NaN
1038528000,NaN,0.105452,NaN
1038614400,NaN,0.106550,NaN
1038700800,0.215644,0.107649,0.107995
1038787200,NaN,0.108748,NaN
1038873600,NaN,0.109846,NaN
1038960000,NaN,0.110945,NaN
1039046400,NaN,0.112043,NaN
1039132800,NaN,0.113142,NaN
1039219200,NaN,0.114240,NaN
1039305600,NaN,0.115339,NaN
1039392000,NaN,0.116437,NaN
1039478400,NaN,0.117536,NaN
1039564800,NaN,0.118635,NaN
1039651200,NaN,0.119733,NaN
1039737600,NaN,0.120832,NaN
1039824000,0.084351,0.121930,-0.037579
1039910400,NaN,0.123029,NaN
1039996800,0.086052,0.122676,-0.036624
1040083200,NaN,0.122323,NaN
1040169600,NaN,0.121971,NaN
1040256000,0.131144,0.121618,0.009526
1040342400,0.063956,0.121265,-0.057310
1040428800,NaN,0.120913,NaN
1040515200,0.061251,0.120560,-0.059309
1040601600,NaN,0.120207,NaN
1040688000,NaN,0.119855,NaN
1040774400,NaN,0.119502,NaN
1040860800,NaN,0.119149,NaN
1040947200,NaN,0.118796,NaN
1041033600,0.309528,0.118444,0.191085
1041120000,NaN,0.118091,NaN
1041206400,NaN,0.117738,NaN
1041292800,NaN,0.117386,NaN
1041379200,NaN,0.117033,NaN
1041465600,0.140009,0.116680,0.023329
1041552000,0.101045,0.116328,-0.015282
1041638400,0.109903,0.115975,-0.006072
1041724800,NaN,0.115622,NaN
1041811200,NaN,0.115269,NaN
1041897600,NaN,0.114917,NaN
1041984000,0.091410,0.114564,-0.023155
1042070400,NaN,0.114211,NaN
1042156800,NaN,0.113859,NaN
1042243200,NaN,0.113506,NaN
1042329600,NaN,0.113153,NaN
1042416000,0.112136,0.112801,-0.000664
1042502400,NaN,0.112448,NaN
1042588800,NaN,0.112095,NaN
1042675200,NaN,0.111626,NaN
1042761600,NaN,0.111157,NaN
1042848000,0.127316,0.110688,0.016629
1042934400,0.096009,0.110218,-0.014209
1043020800,NaN,0.109749,NaN
1043107200,NaN,0.109280,NaN
1043193600,NaN,0.108811,NaN
1043280000,NaN,0.108342,NaN
1043366400,NaN,0.107872,NaN
1043452800,NaN,0.107403,NaN
1043539200,NaN,0.106934,NaN
1043625600,NaN,0.106465,NaN
1043712000,NaN,0.105995,NaN
1043798400,0.103259,0.105526,-0.002267
1043884800,NaN,0.105057,NaN
1043971200,NaN,0.104588,NaN
1044057600,NaN,0.104119,NaN
1044144000,0.147380,0.103649,0.043731
1044230400,NaN,0.103180,NaN
1044316800,0.138585,0.102711,0.035874
1044403200,NaN,0.102242,NaN
1044489600,NaN,0.101773,NaN
1044576000,NaN,0.101303,NaN
1044662400,NaN,0.100834,NaN
1044748800,NaN,0.100365,NaN
1044835200,0.011230,0.099896,-0.088666
1044921600,0.058752,0.099427,-0.040674
1045008000,NaN,0.098957,NaN
1045094400,NaN,0.098488,NaN
1045180800,NaN,0.098019,NaN
1045267200,NaN,0.097550,NaN
1045353600,NaN,0.096532,NaN
1045440000,0.078317,0.095513,-0.017196
1045526400,0.078733,0.094495,-0.015762
1045612800,NaN,0.093477,NaN
1045699200,NaN,0.092459,NaN
1045785600,NaN,0.091441,NaN
1045872000,0.084000,0.090422,-0.006423
1045958400,0.099094,0.089404,0.009690
1046044800,0.044820,0.088386,-0.043566
1046131200,NaN,0.087368,NaN
1046217600,NaN,0.086350,NaN
1046304000,NaN,0.085332,NaN
1046390400,NaN,0.084313,NaN
1046476800,NaN,0.083295,NaN
1046563200,NaN,0.082277,NaN
1046649600,NaN,0.081259,NaN
1046736000,NaN,0.080241,NaN
1046822400,NaN,0.079223,NaN
1046908800,NaN,0.078204,NaN
1046995200,NaN,0.077186,NaN
1047081600,NaN,0.076168,NaN
1047168000,0.132401,0.075150,0.057251
1047254400,NaN,0.074132,NaN
1047340800,NaN,0.073114,NaN
1047427200,NaN,0.072095,NaN
1047513600,0.088768,0.071077,0.017690
1047600000,NaN,0.070059,NaN
1047686400,NaN,0.069041,NaN
1047772800,NaN,0.068235,NaN
1047859200,NaN,0.067429,NaN
1047945600,NaN,0.066624,NaN
1048032000,0.030824,0.065818,-0.034994
1048118400,NaN,0.065012,NaN
1048204800,0.025460,0.064206,-0.038747
1048291200,0.080744,0.063400,0.017343
1048377600,0.049206,0.062595,-0.013388
1048464000,NaN,0.061789,NaN
1048550400,NaN,0.060983,NaN
1048636800,NaN,0.060177,NaN
1048723200,0.033074,0.059372,-0.026298
1048809600,NaN,0.058566,NaN
1048896000,NaN,0.057760,NaN
1048982400,0.060314,0.056954,0.003360
1049068800,NaN,0.056148,NaN
1049155200,NaN,0.055343,NaN
1049241600,NaN,0.054537,NaN
1049328000,0.066434,0.053731,0.012703
1049414400,NaN,0.052925,NaN
