Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.054851,NaN
2002-07-05,NaN,0.054805,NaN
2002-07-06,0.096550,0.054758,0.041792
2002-07-07,NaN,0.054712,NaN
2002-07-08,NaN,0.054665,NaN
2002-07-09,NaN,0.054618,NaN
2002-07-10,NaN,0.054572,NaN
2002-07-11,NaN,0.054525,NaN
2002-07-12,0.050914,0.054478,-0.003564
2002-07-13,NaN,0.054432,NaN
2002-07-15,NaN,0.054338,NaN
2002-07-16,NaN,0.054443,NaN
2002-07-17,NaN,0.054547,NaN
2002-07-18,NaN,0.054651,NaN
2002-07-19,NaN,0.054755,NaN
2002-07-21,0.095286,0.054964,0.040322
2002-07-22,0.031162,0.055068,-0.023906
2002-07-23,NaN,0.055172,NaN
2002-07-24,NaN,0.055277,NaN
2002-07-25,NaN,0.055381,NaN
2002-07-26,NaN,0.055485,NaN
2002-07-27,NaN,0.055589,NaN
2002-07-28,NaN,0.055694,NaN
2002-07-29,NaN,0.055798,NaN
2002-08-07,NaN,0.056736,NaN
2002-08-09,NaN,0.056944,NaN
2002-08-10,NaN,0.057049,NaN
2002-08-11,NaN,0.057153,NaN
2002-08-12,NaN,0.057257,NaN
2002-08-13,NaN,0.057361,NaN
2002-08-14,NaN,0.057466,NaN
2002-08-16,0.043936,0.057549,-0.013613
2002-08-17,NaN,0.057528,NaN
2002-08-18,NaN,0.057507,NaN
2002-08-19,NaN,0.057486,NaN
2002-08-21,NaN,0.057445,NaN
2002-08-22,NaN,0.057424,NaN
2002-08-23,0.018842,0.057403,-0.038561
2002-08-25,NaN,0.057361,NaN
2002-08-26,NaN,0.057340,NaN
2002-08-27,NaN,0.057320,NaN
2002-08-28,NaN,0.057299,NaN
2002-08-29,NaN,0.057278,NaN
2002-08-30,NaN,0.057257,NaN
2002-08-31,NaN,0.057236,NaN
2002-09-02,NaN,0.057194,NaN
2002-09-03,NaN,0.057174,NaN
2002-09-04,NaN,0.057153,NaN
2002-09-06,NaN,0.057111,NaN
2002-09-07,NaN,0.057090,NaN
2002-09-08,NaN,0.057069,NaN
2002-09-10,NaN,0.057028,NaN
2002-09-11,0.083007,0.057007,0.026001
2002-09-13,NaN,0.056965,NaN
2002-09-14,NaN,0.056944,NaN
2002-09-15,NaN,0.056923,NaN
2002-09-16,NaN,0.057080,NaN
2002-09-17,0.072117,0.057237,0.014880
2002-09-18,0.079398,0.057394,0.022005
2002-09-19,NaN,0.057550,NaN
2002-09-20,NaN,0.057707,NaN
2002-09-21,NaN,0.057864,NaN
2002-09-22,NaN,0.058020,NaN
2002-09-23,NaN,0.058177,NaN
2002-09-24,NaN,0.058334,NaN
2002-09-25,NaN,0.058491,NaN
2002-09-26,NaN,0.058647,NaN
2002-09-27,0.025853,0.058804,-0.032952
2002-09-28,0.035257,0.058961,-0.023703
2002-09-29,NaN,0.059118,NaN
2002-09-30,0.264237,0.059274,0.204963
2002-10-01,NaN,0.059431,NaN
2002-10-02,NaN,0.059588,NaN
2002-10-03,0.057962,0.059745,-0.001782
2002-10-04,0.015889,0.059901,-0.044013
2002-10-05,NaN,0.060058,NaN
2002-10-06,0.022705,0.060215,-0.037510
2002-10-07,0.025609,0.060371,-0.034762
2002-10-08,NaN,0.060528,NaN
2002-10-09,NaN,0.060685,NaN
2002-10-10,NaN,0.060842,NaN
2002-10-11,NaN,0.060998,NaN
2002-10-12,0.137768,0.061155,0.076613
2002-10-13,NaN,0.061312,NaN
2002-10-14,NaN,0.061469,NaN
2002-10-15,NaN,0.061625,NaN
2002-10-16,0.049488,0.062543,-0.013055
2002-10-17,0.031632,0.063461,-0.031828
2002-10-18,NaN,0.064378,NaN
2002-10-19,NaN,0.065296,NaN
2002-10-20,NaN,0.066214,NaN
2002-10-21,NaN,0.067131,NaN
2002-10-22,NaN,0.068049,NaN
2002-10-23,NaN,0.068966,NaN
2002-10-24,NaN,0.069884,NaN
2002-10-25,NaN,0.070802,NaN
2002-10-26,NaN,0.071719,NaN
2002-10-27,0.099186,0.072637,0.026549
2002-10-28,NaN,0.073555,NaN
2002-10-29,NaN,0.074472,NaN
2002-10-30,NaN,0.075390,NaN
2002-10-31,NaN,0.076308,NaN
2002-11-01,NaN,0.077225,NaN
2002-11-02,NaN,0.078143,NaN
2002-11-03,NaN,0.079060,NaN
2002-11-04,NaN,0.079978,NaN
2002-11-05,NaN,0.080896,NaN
2002-11-06,0.105867,0.081813,0.024053
2002-11-07,0.027970,0.082731,-0.054761
2002-11-08,NaN,0.083649,NaN
2002-11-09,0.091521,0.084566,0.006955
2002-11-10,NaN,0.085484,NaN
2002-11-11,NaN,0.086402,NaN
2002-11-12,0.054848,0.087319,-0.032471
2002-11-13,NaN,0.088237,NaN
2002-11-14,NaN,0.089155,NaN
2002-11-15,NaN,0.090072,NaN
2002-11-16,NaN,0.091171,NaN
2002-11-17,0.082500,0.092269,-0.009770
2002-11-18,0.063580,0.093368,-0.029787
2002-11-19,NaN,0.094466,NaN
2002-11-20,NaN,0.095565,NaN
2002-11-21,0.064064,0.096664,-0.032600
2002-11-22,0.106420,0.097762,0.008658
2002-11-23,0.030374,0.098861,-0.068486
2002-11-24,NaN,0.099959,NaN
2002-11-25,0.029785,0.101058,-0.071273
2002-11-26,NaN,0.102156,NaN
2002-11-27,NaN,0.103255,NaN
2002-11-28,NaN,0.104353,NaN
2002-11-29,NaN,0.105452,NaN
2002-11-30,NaN,0.106550,NaN
2002-12-01,0.215644,0.107649,0.107995
2002-12-02,NaN,0.108748,NaN
2002-12-03,NaN,0.109846,NaN
2002-12-04,NaN,0.110945,NaN
2002-12-05,NaN,0.112043,NaN
2002-12-06,NaN,0.113142,NaN
2002-12-07,NaN,0.114240,NaN
2002-12-08,NaN,0.115339,NaN
2002-12-09,NaN,0.116437,NaN
2002-12-10,NaN,0.117536,NaN
2002-12-11,NaN,0.118635,NaN
2002-12-12,NaN,0.119733,NaN
2002-12-13,NaN,0.120832,NaN
2002-12-14,0.084351,0.121930,-0.037579
2002-12-15,NaN,0.123029,NaN
2002-12-16,0.086052,0.122676,-0.036624
2002-12-17,NaN,0.122323,NaN
2002-12-18,NaN,0.121971,NaN
2002-12-19,0.131144,0.121618,0.009526
2002-12-20,0.063956,0.121265,-0.057310
2002-12-21,NaN,0.120913,NaN
2002-12-22,0.061251,0.120560,-0.059309
2002-12-23,NaN,0.120207,NaN
2002-12-24,NaN,0.119855,NaN
2002-12-25,NaN,0.119502,NaN
2002-12-26,NaN,0.119149,NaN
2002-12-27,NaN,0.118796,NaN
2002-12-28,0.309528,0.118444,0.191085
2002-12-29,NaN,0.118091,NaN
2002-12-30,NaN,0.117738,NaN
2002-12-31,NaN,0.117386,NaN
2003-01-01,NaN,0.117033,NaN
2003-01-02,0.140009,0.116680,0.023329
2003-01-03,0.101045,0.116328,-0.015282
2003-01-04,0.109903,0.115975,-0.006072
2003-01-05,NaN,0.115622,NaN
2003-01-06,NaN,0.115269,NaN
2003-01-07,NaN,0.114917,NaN
2003-01-08,0.091410,0.114564,-0.023155
2003-01-09,NaN,0.114211,NaN
2003-01-10,NaN,0.113859,NaN
2003-01-11,NaN,0.113506,NaN
2003-01-12,NaN,0.113153,NaN
2003-01-13,0.112136,0.112801,-0.000664
2003-01-14,NaN,0.112448,NaN
2003-01-15,NaN,0.112095,NaN
2003-01-16,NaN,0.111626,NaN
2003-01-17,NaN,0.111157,NaN
2003-01-18,0.127316,0.110688,0.016629
2003-01-19,0.096009,0.110218,-0.014209
2003-01-20,NaN,0.109749,NaN
2003-01-21,NaN,0.109280,NaN
2003-01-22,NaN,0.108811,NaN
2003-01-23,NaN,0.108342,NaN
2003-01-24,NaN,0.107872,NaN
2003-01-25,NaN,0.107403,NaN
2003-01-26,NaN,0.106934,NaN
2003-01-27,NaN,0.106465,NaN
2003-01-28,NaN,0.105995,NaN
2003-01-29,0.103259,0.105526,-0.002267
2003-01-30,NaN,0.105057,NaN
2003-01-31,NaN,0.104588,NaN
2003-02-01,NaN,0.104119,NaN
2003-02-02,0.147380,0.103649,0.043731
2003-02-03,NaN,0.103180,NaN
2003-02-04,0.138585,0.102711,0.035874
2003-02-05,NaN,0.102242,NaN
2003-02-06,NaN,0.101773,NaN
2003-02-07,NaN,0.101303,NaN
2003-02-08,NaN,0.100834,NaN
2003-02-09,NaN,0.100365,NaN
2003-02-10,0.011230,0.099896,-0.088666
2003-02-11,0.058752,0.099427,-0.040674
2003-02-12,NaN,0.098957,NaN
2003-02-13,NaN,0.098488,NaN
2003-02-14,NaN,0.098019,NaN
2003-02-15,NaN,0.097550,NaN
2003-02-16,NaN,0.096532,NaN
2003-02-17,0.078317,0.095513,-0.017196
2003-02-18,0.078733,0.094495,-0.015762
2003-02-19,NaN,0.093477,NaN
2003-02-20,NaN,0.092459,NaN
2003-02-21,NaN,0.091441,NaN
2003-02-22,0.084000,0.090422,-0.006423
