Time,mean,climatology,anomaly
1025740800,NaN,0.126532,NaN
1025827200,NaN,0.124326,NaN
1025913600,NaN,0.122120,NaN
1026000000,NaN,0.119915,NaN
1026086400,NaN,0.117709,NaN
1026172800,NaN,0.115504,NaN
1026259200,NaN,0.113298,NaN
1026345600,NaN,0.111092,NaN
1026432000,NaN,0.108887,NaN
1026518400,NaN,0.106681,NaN
1026691200,NaN,0.102270,NaN
1026777600,NaN,0.102646,NaN
1026864000,0.035600,0.103022,-0.067422
1026950400,NaN,0.103398,NaN
1027036800,NaN,0.103774,NaN
1027209600,0.040000,0.104525,-0.064525
1027296000,0.048600,0.104901,-0.056301
1027382400,NaN,0.105277,NaN
1027468800,NaN,0.105653,NaN
1027555200,NaN,0.106029,NaN
1027641600,NaN,0.106405,NaN
1027728000,NaN,0.106781,NaN
1027814400,NaN,0.107157,NaN
1027900800,NaN,0.107533,NaN
1028678400,NaN,0.110916,NaN
1028851200,NaN,0.111668,NaN
1028937600,NaN,0.112044,NaN
1029024000,NaN,0.112420,NaN
1029110400,NaN,0.112796,NaN
1029196800,NaN,0.113172,NaN
1029283200,NaN,0.113548,NaN
1029456000,0.042000,0.112232,-0.070232
1029542400,0.039300,0.110541,-0.071241
1029628800,NaN,0.108850,NaN
1029715200,NaN,0.107159,NaN
1029888000,NaN,0.103777,NaN
1029974400,NaN,0.102085,NaN
1030060800,0.045600,0.100394,-0.054794
1030233600,NaN,0.097012,NaN
1030320000,NaN,0.095321,NaN
1030406400,NaN,0.093630,NaN
1030492800,NaN,0.091938,NaN
1030579200,NaN,0.090247,NaN
1030665600,NaN,0.088556,NaN
1030752000,NaN,0.086865,NaN
1030924800,NaN,0.083482,NaN
1031011200,NaN,0.081791,NaN
1031097600,NaN,0.080100,NaN
1031270400,NaN,0.076718,NaN
1031356800,NaN,0.075027,NaN
1031443200,NaN,0.073335,NaN
1031616000,NaN,0.069953,NaN
1031702400,0.047600,0.068262,-0.020662
1031875200,NaN,0.064880,NaN
1031961600,NaN,0.063188,NaN
1032048000,NaN,0.061497,NaN
1032134400,NaN,0.062056,NaN
1032220800,NaN,0.062614,NaN
1032307200,NaN,0.063172,NaN
1032393600,NaN,0.063731,NaN
1032480000,0.037600,0.064289,-0.026689
1032566400,NaN,0.064847,NaN
1032652800,NaN,0.065406,NaN
1032739200,NaN,0.065964,NaN
1032825600,NaN,0.066523,NaN
1032912000,NaN,0.067081,NaN
1032998400,NaN,0.067639,NaN
1033084800,0.034600,0.068198,-0.033598
1033171200,NaN,0.068756,NaN
1033257600,0.034500,0.069314,-0.034814
1033344000,NaN,0.069873,NaN
1033430400,0.035800,0.070431,-0.034631
1033516800,NaN,0.070990,NaN
1033603200,0.041800,0.071548,-0.029748
1033689600,0.037400,0.072106,-0.034706
1033776000,NaN,0.072665,NaN
1033862400,NaN,0.073223,NaN
1033948800,NaN,0.073782,NaN
1034035200,NaN,0.074340,NaN
1034121600,NaN,0.074898,NaN
1034208000,NaN,0.075457,NaN
1034294400,NaN,0.076015,NaN
1034380800,0.083600,0.076573,0.007027
1034467200,0.054800,0.077132,-0.022332
1034553600,NaN,0.077690,NaN
1034640000,NaN,0.078249,NaN
1034726400,0.050600,0.077768,-0.027168
1034812800,0.036200,0.077287,-0.041087
1034899200,NaN,0.076806,NaN
1034985600,NaN,0.076326,NaN
1035072000,0.041200,0.075845,-0.034645
1035158400,NaN,0.075364,NaN
1035244800,NaN,0.074884,NaN
1035331200,NaN,0.074403,NaN
1035417600,NaN,0.073922,NaN
1035504000,NaN,0.073442,NaN
1035590400,NaN,0.072961,NaN
1035676800,NaN,0.072480,NaN
1035763200,NaN,0.071999,NaN
1035849600,NaN,0.071519,NaN
1035936000,NaN,0.071038,NaN
1036022400,NaN,0.070557,NaN
1036108800,NaN,0.070077,NaN
1036195200,NaN,0.069596,NaN
1036281600,NaN,0.069115,NaN
1036368000,NaN,0.068634,NaN
1036454400,NaN,0.068154,NaN
1036540800,0.050200,0.067673,-0.017473
1036627200,0.053800,0.067192,-0.013392
1036713600,2.960163,0.066712,2.893451
1036800000,0.045600,0.066231,-0.020631
1036886400,0.048600,0.065750,-0.017150
1036972800,NaN,0.065270,NaN
1037059200,0.052400,0.064789,-0.012389
1037145600,0.043800,0.064308,-0.020508
1037232000,NaN,0.063827,NaN
1037318400,NaN,0.063347,NaN
1037404800,NaN,0.065288,NaN
1037491200,0.052200,0.067228,-0.015028
1037577600,NaN,0.069169,NaN
1037664000,NaN,0.071110,NaN
1037750400,NaN,0.073051,NaN
1037836800,0.050400,0.074992,-0.024592
1037923200,NaN,0.076933,NaN
1038009600,0.044000,0.078873,-0.034873
1038096000,NaN,0.080814,NaN
1038182400,0.041600,0.082755,-0.041155
1038268800,NaN,0.084696,NaN
1038355200,NaN,0.086637,NaN
1038441600,NaN,0.088578,NaN
1038528000,NaN,0.090518,NaN
1038614400,NaN,0.092459,NaN
1038700800,NaN,0.094400,NaN
1038787200,NaN,0.096341,NaN
1038873600,NaN,0.098282,NaN
1038960000,NaN,0.100222,NaN
1039046400,NaN,0.102163,NaN
1039132800,0.047200,0.104104,-0.056904
1039219200,NaN,0.106045,NaN
1039305600,NaN,0.107986,NaN
1039392000,NaN,0.109927,NaN
1039478400,NaN,0.111867,NaN
1039564800,NaN,0.113808,NaN
1039651200,NaN,0.115749,NaN
1039737600,0.053200,0.117690,-0.064490
1039824000,0.056600,0.119631,-0.063031
1039910400,0.046600,0.121572,-0.074972
1039996800,NaN,0.121534,NaN
1040083200,NaN,0.121497,NaN
1040169600,NaN,0.121460,NaN
1040256000,NaN,0.121423,NaN
1040342400,0.052800,0.121385,-0.068585
1040428800,NaN,0.121348,NaN
1040515200,0.045000,0.121311,-0.076311
