Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.159773,NaN
2002-07-05,NaN,0.157861,NaN
2002-07-06,0.344400,0.155949,0.188451
2002-07-07,0.198800,0.154037,0.044763
2002-07-08,NaN,0.152125,NaN
2002-07-09,NaN,0.150213,NaN
2002-07-10,NaN,0.148302,NaN
2002-07-11,0.180400,0.146390,0.034010
2002-07-12,0.176800,0.144478,0.032322
2002-07-13,0.162800,0.142566,0.020234
2002-07-15,NaN,0.138742,NaN
2002-07-16,NaN,0.138122,NaN
2002-07-17,NaN,0.137501,NaN
2002-07-18,NaN,0.136880,NaN
2002-07-19,0.122400,0.136259,-0.013859
2002-07-21,0.093500,0.135017,-0.041517
2002-07-22,0.147600,0.134396,0.013204
2002-07-23,0.103000,0.133776,-0.030776
2002-07-24,0.106200,0.133155,-0.026955
2002-07-25,NaN,0.132534,NaN
2002-07-26,NaN,0.131913,NaN
2002-07-27,NaN,0.131292,NaN
2002-07-28,0.091600,0.130671,-0.039071
2002-07-29,0.109300,0.130051,-0.020751
2002-08-07,0.067000,0.124463,-0.057463
2002-08-09,NaN,0.123221,NaN
2002-08-10,NaN,0.122600,NaN
2002-08-11,NaN,0.121979,NaN
2002-08-12,NaN,0.121359,NaN
2002-08-13,0.087400,0.120738,-0.033338
2002-08-14,NaN,0.120117,NaN
2002-08-16,0.152200,0.122551,0.029649
2002-08-17,0.153200,0.125605,0.027595
2002-08-18,NaN,0.128660,NaN
2002-08-19,NaN,0.131714,NaN
2002-08-21,NaN,0.137823,NaN
2002-08-22,NaN,0.140878,NaN
2002-08-23,0.080400,0.143932,-0.063532
2002-08-25,0.086400,0.150041,-0.063641
2002-08-26,NaN,0.153096,NaN
2002-08-27,0.114800,0.156150,-0.041350
2002-08-28,NaN,0.159205,NaN
2002-08-29,NaN,0.162259,NaN
2002-08-30,NaN,0.165314,NaN
2002-08-31,NaN,0.168368,NaN
2002-09-02,NaN,0.174477,NaN
2002-09-03,0.136600,0.177532,-0.040932
2002-09-04,NaN,0.180586,NaN
2002-09-06,NaN,0.186695,NaN
2002-09-07,0.238600,0.189750,0.048850
2002-09-08,NaN,0.192804,NaN
2002-09-10,NaN,0.198913,NaN
2002-09-11,NaN,0.201968,NaN
2002-09-13,NaN,0.208077,NaN
2002-09-14,0.162400,0.211131,-0.048731
2002-09-15,NaN,0.214186,NaN
2002-09-16,NaN,0.214317,NaN
2002-09-17,NaN,0.214447,NaN
2002-09-18,0.198100,0.214578,-0.016478
2002-09-19,NaN,0.214708,NaN
2002-09-20,NaN,0.214839,NaN
2002-09-21,0.203600,0.214970,-0.011370
2002-09-22,0.180400,0.215100,-0.034700
2002-09-23,0.168200,0.215231,-0.047031
2002-09-24,0.157200,0.215362,-0.058162
2002-09-25,0.207000,0.215492,-0.008492
2002-09-26,0.180000,0.215623,-0.035623
2002-09-27,0.269000,0.215754,0.053246
2002-09-28,0.324800,0.215884,0.108916
2002-09-29,0.235300,0.216015,0.019285
2002-09-30,0.259800,0.216145,0.043655
2002-10-01,0.177600,0.216276,-0.038676
2002-10-02,0.117700,0.216407,-0.098707
2002-10-03,0.146800,0.216537,-0.069737
2002-10-04,0.233200,0.216668,0.016532
2002-10-05,NaN,0.216799,NaN
2002-10-06,0.168200,0.216929,-0.048729
2002-10-07,NaN,0.217060,NaN
2002-10-08,0.100200,0.217190,-0.116990
2002-10-09,0.167200,0.217321,-0.050121
2002-10-10,0.119200,0.217452,-0.098252
2002-10-11,0.112400,0.217582,-0.105182
2002-10-12,0.081600,0.217713,-0.136113
2002-10-13,NaN,0.217844,NaN
2002-10-14,NaN,0.217974,NaN
2002-10-15,0.143000,0.218105,-0.075105
2002-10-16,0.126600,0.218012,-0.091412
2002-10-17,0.169000,0.217920,-0.048920
2002-10-18,NaN,0.217827,NaN
2002-10-19,NaN,0.217734,NaN
2002-10-20,0.109800,0.217641,-0.107841
2002-10-21,NaN,0.217549,NaN
2002-10-22,0.163000,0.217456,-0.054456
2002-10-23,0.151600,0.217363,-0.065763
2002-10-24,NaN,0.217271,NaN
2002-10-25,NaN,0.217178,NaN
2002-10-26,NaN,0.217085,NaN
2002-10-27,0.103600,0.216993,-0.113393
2002-10-28,NaN,0.216900,NaN
2002-10-29,0.274400,0.216807,0.057593
2002-10-30,0.260200,0.216715,0.043485
2002-10-31,NaN,0.216622,NaN
2002-11-01,NaN,0.216529,NaN
2002-11-02,NaN,0.216437,NaN
2002-11-03,0.108800,0.216344,-0.107544
2002-11-04,NaN,0.216251,NaN
2002-11-05,0.298600,0.216159,0.082441
2002-11-06,0.261000,0.216066,0.044934
2002-11-07,0.246600,0.215973,0.030627
2002-11-08,2.963358,0.215881,2.747478
2002-11-09,0.273300,0.215788,0.057512
2002-11-10,0.291300,0.215695,0.075605
2002-11-11,NaN,0.215603,NaN
2002-11-12,0.439900,0.215510,0.224390
2002-11-13,0.272200,0.215417,0.056783
2002-11-14,0.194800,0.215324,-0.020524
2002-11-15,NaN,0.215232,NaN
2002-11-16,0.376000,0.216566,0.159434
2002-11-17,0.299000,0.217900,0.081100
2002-11-18,0.166800,0.219235,-0.052435
2002-11-19,0.589400,0.220569,0.368831
2002-11-20,0.405200,0.221903,0.183297
2002-11-21,0.256000,0.223238,0.032762
2002-11-22,0.418800,0.224572,0.194228
2002-11-23,0.161000,0.225906,-0.064906
2002-11-24,0.221600,0.227241,-0.005641
2002-11-25,0.098600,0.228575,-0.129975
2002-11-26,NaN,0.229909,NaN
2002-11-27,NaN,0.231244,NaN
2002-11-28,0.275600,0.232578,0.043022
2002-11-29,NaN,0.233912,NaN
2002-11-30,0.262400,0.235247,0.027153
2002-12-01,NaN,0.236581,NaN
2002-12-02,NaN,0.237915,NaN
2002-12-03,NaN,0.239250,NaN
2002-12-04,NaN,0.240584,NaN
2002-12-05,NaN,0.241918,NaN
2002-12-06,0.198200,0.243253,-0.045053
2002-12-07,NaN,0.244587,NaN
2002-12-08,NaN,0.245921,NaN
2002-12-09,NaN,0.247256,NaN
2002-12-10,NaN,0.248590,NaN
2002-12-11,NaN,0.249924,NaN
2002-12-12,0.253100,0.251259,0.001841
2002-12-13,0.288000,0.252593,0.035407
2002-12-14,0.342600,0.253927,0.088673
2002-12-15,NaN,0.255262,NaN
2002-12-16,0.360400,0.255997,0.104403
2002-12-17,1.045400,0.256732,0.788668
2002-12-18,0.217400,0.257468,-0.040068
2002-12-19,0.309100,0.258203,0.050897
2002-12-20,0.245400,0.258938,-0.013538
2002-12-21,0.140800,0.259674,-0.118874
2002-12-22,NaN,0.260409,NaN
2002-12-23,NaN,0.261144,NaN
2002-12-24,0.226400,0.261879,-0.035479
2002-12-25,0.178600,0.262615,-0.084015
2002-12-26,NaN,0.263350,NaN
2002-12-27,NaN,0.264085,NaN
2002-12-28,0.233800,0.264821,-0.031021
2002-12-29,NaN,0.265556,NaN
2002-12-30,NaN,0.266291,NaN
2002-12-31,0.237200,0.267027,-0.029827
2003-01-01,0.234700,0.267762,-0.033062
2003-01-02,0.186200,0.268497,-0.082297
2003-01-03,0.179600,0.269233,-0.089633
2003-01-04,0.190000,0.269968,-0.079968
2003-01-05,0.187000,0.270703,-0.083703
2003-01-06,NaN,0.271439,NaN
2003-01-07,0.248000,0.272174,-0.024174
2003-01-08,0.165400,0.272909,-0.107509
2003-01-09,0.361800,0.273644,0.088155
2003-01-10,2.963358,0.274380,2.688979
2003-01-11,NaN,0.275115,NaN
2003-01-12,NaN,0.275850,NaN
2003-01-13,0.145000,0.276586,-0.131586
2003-01-14,0.158000,0.277321,-0.119321
2003-01-15,0.166300,0.278056,-0.111756
2003-01-16,0.193800,0.277692,-0.083892
2003-01-17,0.177800,0.277328,-0.099528
2003-01-18,0.176000,0.276964,-0.100964
2003-01-19,0.098600,0.276600,-0.178000
2003-01-20,0.236800,0.276236,-0.039436
2003-01-21,0.196600,0.275871,-0.079271
2003-01-22,NaN,0.275507,NaN
2003-01-23,0.230400,0.275143,-0.044743
2003-01-24,NaN,0.274779,NaN
2003-01-25,NaN,0.274415,NaN
2003-01-26,NaN,0.274051,NaN
2003-01-27,NaN,0.273686,NaN
2003-01-28,NaN,0.273322,NaN
2003-01-29,0.247000,0.272958,-0.025958
2003-01-30,NaN,0.272594,NaN
2003-01-31,0.185200,0.272230,-0.087030
2003-02-01,NaN,0.271866,NaN
2003-02-02,0.190400,0.271502,-0.081102
2003-02-03,2.963358,0.271137,2.692221
2003-02-04,0.206000,0.270773,-0.064773
2003-02-05,NaN,0.270409,NaN
2003-02-06,NaN,0.270045,NaN
2003-02-07,NaN,0.269681,NaN
2003-02-08,NaN,0.269317,NaN
2003-02-09,NaN,0.268952,NaN
2003-02-10,0.298600,0.268588,0.030012
2003-02-11,0.224000,0.268224,-0.044224
2003-02-12,NaN,0.267860,NaN
2003-02-13,NaN,0.267496,NaN
2003-02-14,NaN,0.267132,NaN
2003-02-15,0.152000,0.266767,-0.114767
2003-02-16,0.187000,0.267184,-0.080184
2003-02-17,0.200200,0.267600,-0.067400
2003-02-18,0.169400,0.268016,-0.098616
