Time,mean,climatology,anomaly
1025740800,NaN,0.312801,NaN
1025827200,NaN,0.309705,NaN
1025913600,0.501200,0.306609,0.194591
1026000000,0.128200,0.303513,-0.175313
1026086400,NaN,0.300417,NaN
1026172800,0.271600,0.297321,-0.025721
1026259200,NaN,0.294225,NaN
1026345600,NaN,0.291129,NaN
1026432000,0.294200,0.288033,0.006167
1026518400,NaN,0.284938,NaN
1026691200,NaN,0.278746,NaN
1026777600,NaN,0.276428,NaN
1026864000,0.295400,0.274110,0.021290
1026950400,NaN,0.271792,NaN
1027036800,0.686000,0.269474,0.416526
1027209600,0.179800,0.264838,-0.085038
1027296000,0.186200,0.262520,-0.076320
1027382400,0.187200,0.260202,-0.073002
1027468800,0.173600,0.257884,-0.084284
1027555200,NaN,0.255566,NaN
1027641600,NaN,0.253248,NaN
1027728000,NaN,0.250930,NaN
1027814400,0.151200,0.248612,-0.097412
1027900800,0.160200,0.246294,-0.086094
1028678400,NaN,0.225433,NaN
1028851200,NaN,0.220797,NaN
1028937600,0.272400,0.218479,0.053921
1029024000,NaN,0.216161,NaN
1029110400,NaN,0.213843,NaN
1029196800,NaN,0.211525,NaN
1029283200,NaN,0.209207,NaN
1029456000,0.197200,0.209947,-0.012747
1029542400,0.279200,0.213006,0.066194
1029628800,0.464400,0.216064,0.248336
1029715200,NaN,0.219122,NaN
1029888000,NaN,0.225239,NaN
1029974400,0.385200,0.228297,0.156903
1030060800,0.207600,0.231356,-0.023756
1030233600,0.205200,0.237473,-0.032273
1030320000,NaN,0.240531,NaN
1030406400,NaN,0.243589,NaN
1030492800,NaN,0.246648,NaN
1030579200,NaN,0.249706,NaN
1030665600,NaN,0.252764,NaN
1030752000,NaN,0.255823,NaN
1030924800,NaN,0.261939,NaN
1031011200,NaN,0.264998,NaN
1031097600,NaN,0.268056,NaN
1031270400,NaN,0.274173,NaN
1031356800,0.192000,0.277231,-0.085231
1031443200,NaN,0.280290,NaN
1031616000,0.255000,0.286406,-0.031406
1031702400,0.222500,0.289465,-0.066965
1031875200,NaN,0.295581,NaN
1031961600,NaN,0.298640,NaN
1032048000,NaN,0.301698,NaN
1032134400,NaN,0.300596,NaN
1032220800,NaN,0.299493,NaN
1032307200,0.296200,0.298391,-0.002191
1032393600,NaN,0.297288,NaN
1032480000,0.208800,0.296186,-0.087386
1032566400,0.200400,0.295083,-0.094683
1032652800,NaN,0.293981,NaN
1032739200,NaN,0.292878,NaN
1032825600,0.183200,0.291776,-0.108576
1032912000,0.201600,0.290673,-0.089073
1032998400,0.194600,0.289571,-0.094971
1033084800,0.331800,0.288468,0.043331
1033171200,0.506400,0.287366,0.219034
1033257600,0.404200,0.286264,0.117936
1033344000,0.374600,0.285161,0.089439
1033430400,0.172400,0.284059,-0.111659
1033516800,0.107800,0.282956,-0.175156
1033603200,0.149400,0.281854,-0.132454
1033689600,0.295400,0.280751,0.014649
1033776000,NaN,0.279649,NaN
1033862400,0.181600,0.278546,-0.096946
1033948800,NaN,0.277444,NaN
1034035200,0.116500,0.276341,-0.159841
1034121600,NaN,0.275239,NaN
1034208000,NaN,0.274136,NaN
1034294400,0.118600,0.273034,-0.154434
1034380800,0.249000,0.271931,-0.022931
1034467200,NaN,0.270829,NaN
1034553600,NaN,0.269726,NaN
1034640000,0.307100,0.268624,0.038476
1034726400,0.317600,0.268495,0.049105
1034812800,0.204600,0.268365,-0.063766
1034899200,0.253600,0.268236,-0.014636
1034985600,NaN,0.268107,NaN
1035072000,0.223400,0.267978,-0.044578
1035158400,NaN,0.267849,NaN
1035244800,0.148100,0.267719,-0.119619
1035331200,NaN,0.267590,NaN
1035417600,NaN,0.267461,NaN
1035504000,NaN,0.267332,NaN
1035590400,NaN,0.267203,NaN
1035676800,0.158300,0.267073,-0.108773
1035763200,NaN,0.266944,NaN
1035849600,0.295800,0.266815,0.028985
1035936000,0.232000,0.266686,-0.034686
1036022400,NaN,0.266557,NaN
1036108800,0.379400,0.266427,0.112973
1036195200,NaN,0.266298,NaN
1036281600,0.180300,0.266169,-0.085869
1036368000,NaN,0.266040,NaN
1036454400,0.349000,0.265911,0.083089
1036540800,0.336000,0.265781,0.070219
1036627200,0.348000,0.265652,0.082348
1036713600,2.970032,0.265523,2.704509
1036800000,0.215600,0.265394,-0.049794
1036886400,0.248600,0.265265,-0.016665
1036972800,NaN,0.265135,NaN
1037059200,0.412600,0.265006,0.147594
1037145600,0.228800,0.264877,-0.036077
1037232000,0.255100,0.264748,-0.009648
1037318400,NaN,0.264619,NaN
1037404800,0.446100,0.266881,0.179219
1037491200,0.522600,0.269143,0.253457
1037577600,0.170400,0.271405,-0.101005
1037664000,0.795600,0.273667,0.521933
1037750400,0.587600,0.275929,0.311671
1037836800,0.560800,0.278191,0.282609
1037923200,0.547400,0.280453,0.266947
1038009600,0.398600,0.282715,0.115885
1038096000,0.197400,0.284977,-0.087577
1038182400,0.178300,0.287239,-0.108939
1038268800,NaN,0.289501,NaN
1038355200,NaN,0.291763,NaN
1038441600,0.323700,0.294025,0.029675
1038528000,0.638000,0.296287,0.341713
1038614400,0.435400,0.298549,0.136851
1038700800,0.706200,0.300811,0.405389
1038787200,0.229100,0.303073,-0.073973
1038873600,NaN,0.305335,NaN
1038960000,NaN,0.307597,NaN
1039046400,NaN,0.309859,NaN
1039132800,0.250700,0.312121,-0.061421
1039219200,0.304400,0.314383,-0.009983
1039305600,NaN,0.316645,NaN
1039392000,NaN,0.318907,NaN
1039478400,0.282800,0.321169,-0.038369
1039564800,NaN,0.323431,NaN
1039651200,NaN,0.325693,NaN
1039737600,0.269800,0.327955,-0.058155
1039824000,0.342400,0.330217,0.012183
1039910400,0.604400,0.332479,0.271921
