Time,mean,climatology,anomaly
1025740800,NaN,0.138795,NaN
1025827200,NaN,0.136886,NaN
1025913600,NaN,0.134976,NaN
1026000000,NaN,0.133066,NaN
1026086400,NaN,0.131157,NaN
1026172800,NaN,0.129247,NaN
1026259200,NaN,0.127338,NaN
1026345600,NaN,0.125428,NaN
1026432000,NaN,0.123519,NaN
1026518400,0.074600,0.121609,-0.047009
1026691200,0.152600,0.117790,0.034810
1026777600,0.106400,0.118278,-0.011878
1026864000,NaN,0.118765,NaN
1026950400,NaN,0.119253,NaN
1027036800,NaN,0.119741,NaN
1027209600,NaN,0.120716,NaN
1027296000,0.055000,0.121203,-0.066203
1027382400,NaN,0.121691,NaN
1027468800,NaN,0.122178,NaN
1027555200,NaN,0.122666,NaN
1027641600,NaN,0.123154,NaN
1027728000,NaN,0.123641,NaN
1027814400,NaN,0.124129,NaN
1027900800,0.033700,0.124616,-0.090916
1028678400,NaN,0.129004,NaN
1028851200,0.070800,0.129980,-0.059180
1028937600,NaN,0.130467,NaN
1029024000,NaN,0.130955,NaN
1029110400,NaN,0.131442,NaN
1029196800,NaN,0.131930,NaN
1029283200,0.084800,0.132417,-0.047617
1029456000,NaN,0.131852,NaN
1029542400,0.042200,0.130798,-0.088598
1029628800,NaN,0.129745,NaN
1029715200,NaN,0.128692,NaN
1029888000,NaN,0.126585,NaN
1029974400,0.062700,0.125532,-0.062832
1030060800,0.030900,0.124479,-0.093579
1030233600,0.057300,0.122372,-0.065072
1030320000,NaN,0.121319,NaN
1030406400,NaN,0.120265,NaN
1030492800,NaN,0.119212,NaN
1030579200,0.081800,0.118159,-0.036359
1030665600,NaN,0.117105,NaN
1030752000,NaN,0.116052,NaN
1030924800,NaN,0.113945,NaN
1031011200,NaN,0.112892,NaN
1031097600,NaN,0.111839,NaN
1031270400,NaN,0.109732,NaN
1031356800,0.046400,0.108679,-0.062279
1031443200,0.051400,0.107626,-0.056226
1031616000,NaN,0.105519,NaN
1031702400,NaN,0.104466,NaN
1031875200,NaN,0.102359,NaN
1031961600,NaN,0.101306,NaN
1032048000,0.080600,0.100253,-0.019652
1032134400,0.086800,0.100778,-0.013978
1032220800,0.068000,0.101303,-0.033303
1032307200,NaN,0.101828,NaN
1032393600,NaN,0.102354,NaN
1032480000,NaN,0.102879,NaN
1032566400,NaN,0.103404,NaN
1032652800,NaN,0.103929,NaN
1032739200,NaN,0.104455,NaN
1032825600,NaN,0.104980,NaN
1032912000,NaN,0.105505,NaN
1032998400,0.039400,0.106030,-0.066630
1033084800,NaN,0.106556,NaN
1033171200,NaN,0.107081,NaN
1033257600,NaN,0.107606,NaN
1033344000,NaN,0.108131,NaN
1033430400,NaN,0.108657,NaN
1033516800,0.039400,0.109182,-0.069782
1033603200,0.058600,0.109707,-0.051107
1033689600,NaN,0.110232,NaN
1033776000,0.079400,0.110758,-0.031358
1033862400,NaN,0.111283,NaN
1033948800,NaN,0.111808,NaN
1034035200,0.054600,0.112333,-0.057733
1034121600,0.068000,0.112859,-0.044859
1034208000,0.060500,0.113384,-0.052884
1034294400,0.074400,0.113909,-0.039509
1034380800,0.075200,0.114434,-0.039234
1034467200,NaN,0.114960,NaN
1034553600,NaN,0.115485,NaN
1034640000,0.056100,0.116010,-0.059910
1034726400,0.046300,0.115150,-0.068850
1034812800,0.075400,0.114290,-0.038890
1034899200,0.076800,0.113430,-0.036630
1034985600,0.078000,0.112570,-0.034570
1035072000,NaN,0.111710,NaN
1035158400,0.061500,0.110850,-0.049350
1035244800,0.034800,0.109990,-0.075190
1035331200,0.033200,0.109130,-0.075930
1035417600,0.048000,0.108270,-0.060270
1035504000,0.062000,0.107410,-0.045410
1035590400,0.081400,0.106550,-0.025150
1035676800,NaN,0.105690,NaN
