Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.122661,NaN
2002-07-05,NaN,0.121415,NaN
2002-07-06,NaN,0.120169,NaN
2002-07-07,0.075600,0.118923,-0.043323
2002-07-08,NaN,0.117678,NaN
2002-07-09,NaN,0.116432,NaN
2002-07-10,NaN,0.115186,NaN
2002-07-11,NaN,0.113940,NaN
2002-07-12,NaN,0.112695,NaN
2002-07-13,0.122000,0.111449,0.010551
2002-07-15,0.077100,0.108957,-0.031858
2002-07-16,0.062400,0.109210,-0.046810
2002-07-17,NaN,0.109462,NaN
2002-07-18,NaN,0.109714,NaN
2002-07-19,NaN,0.109966,NaN
2002-07-21,NaN,0.110470,NaN
2002-07-22,0.043600,0.110722,-0.067122
2002-07-23,0.107800,0.110974,-0.003174
2002-07-24,NaN,0.111226,NaN
2002-07-25,NaN,0.111478,NaN
2002-07-26,NaN,0.111731,NaN
2002-07-27,NaN,0.111983,NaN
2002-07-28,NaN,0.112235,NaN
2002-07-29,0.035400,0.112487,-0.077087
2002-08-07,NaN,0.114756,NaN
2002-08-09,0.052000,0.115260,-0.063260
2002-08-10,NaN,0.115512,NaN
2002-08-11,NaN,0.115764,NaN
2002-08-12,NaN,0.116016,NaN
2002-08-13,NaN,0.116268,NaN
2002-08-14,0.084200,0.116520,-0.032320
2002-08-16,NaN,0.116032,NaN
2002-08-17,0.042200,0.115292,-0.073092
2002-08-18,NaN,0.114551,NaN
2002-08-19,NaN,0.113811,NaN
2002-08-21,NaN,0.112330,NaN
2002-08-22,0.067000,0.111590,-0.044590
2002-08-23,0.062200,0.110849,-0.048649
2002-08-25,0.065400,0.109369,-0.043969
2002-08-26,NaN,0.108628,NaN
2002-08-27,NaN,0.107888,NaN
2002-08-28,NaN,0.107148,NaN
2002-08-29,0.081800,0.106407,-0.024607
2002-08-30,NaN,0.105667,NaN
2002-08-31,0.077200,0.104926,-0.027726
2002-09-02,NaN,0.103446,NaN
2002-09-03,0.038100,0.102705,-0.064605
2002-09-04,NaN,0.101965,NaN
2002-09-06,NaN,0.100484,NaN
2002-09-07,0.050400,0.099744,-0.049344
