Time,mean,climatology,anomaly
1025740800,NaN,0.126433,NaN
1025827200,NaN,0.125177,NaN
1025913600,NaN,0.123922,NaN
1026000000,0.067400,0.122666,-0.055266
1026086400,NaN,0.121410,NaN
1026172800,NaN,0.120155,NaN
1026259200,NaN,0.118899,NaN
1026345600,NaN,0.117643,NaN
1026432000,NaN,0.116387,NaN
1026518400,0.093400,0.115132,-0.021732
1026691200,0.102400,0.112620,-0.010220
1026777600,0.077200,0.113056,-0.035856
1026864000,0.079200,0.113492,-0.034292
1026950400,NaN,0.113929,NaN
1027036800,NaN,0.114365,NaN
1027209600,NaN,0.115237,NaN
1027296000,0.113800,0.115673,-0.001873
1027382400,0.075200,0.116109,-0.040909
1027468800,NaN,0.116545,NaN
1027555200,NaN,0.116981,NaN
1027641600,NaN,0.117417,NaN
1027728000,NaN,0.117854,NaN
1027814400,NaN,0.118290,NaN
1027900800,NaN,0.118726,NaN
1028678400,NaN,0.122651,NaN
1028851200,0.152400,0.123523,0.028877
1028937600,NaN,0.123959,NaN
1029024000,NaN,0.124395,NaN
1029110400,NaN,0.124831,NaN
1029196800,NaN,0.125268,NaN
1029283200,0.079800,0.125704,-0.045904
1029456000,NaN,0.125476,NaN
1029542400,NaN,0.124811,NaN
1029628800,0.059300,0.124147,-0.064847
1029715200,NaN,0.123483,NaN
1029888000,NaN,0.122154,NaN
1029974400,0.055700,0.121490,-0.065790
1030060800,0.087200,0.120826,-0.033626
1030233600,0.112200,0.119497,-0.007297
1030320000,NaN,0.118833,NaN
1030406400,NaN,0.118169,NaN
1030492800,NaN,0.117505,NaN
1030579200,NaN,0.116840,NaN
1030665600,NaN,0.116176,NaN
1030752000,0.116400,0.115512,0.000888
1030924800,NaN,0.114183,NaN
1031011200,0.035400,0.113519,-0.078119
1031097600,NaN,0.112855,NaN
1031270400,NaN,0.111526,NaN
1031356800,NaN,0.110862,NaN
1031443200,0.098200,0.110198,-0.011998
1031616000,NaN,0.108869,NaN
1031702400,NaN,0.108205,NaN
1031875200,NaN,0.106877,NaN
1031961600,NaN,0.106212,NaN
1032048000,0.089400,0.105548,-0.016148
1032134400,0.036600,0.105613,-0.069013
1032220800,0.084000,0.105678,-0.021678
1032307200,0.067800,0.105743,-0.037943
1032393600,NaN,0.105808,NaN
1032480000,NaN,0.105873,NaN
1032566400,NaN,0.105938,NaN
1032652800,NaN,0.106003,NaN
1032739200,NaN,0.106068,NaN
1032825600,0.037600,0.106133,-0.068533
1032912000,NaN,0.106198,NaN
1032998400,0.067200,0.106263,-0.039063
1033084800,0.067400,0.106328,-0.038928
1033171200,0.079000,0.106393,-0.027393
1033257600,0.039400,0.106458,-0.067058
1033344000,NaN,0.106523,NaN
1033430400,NaN,0.106588,NaN
1033516800,0.097800,0.106653,-0.008853
1033603200,0.081400,0.106718,-0.025318
1033689600,0.066000,0.106783,-0.040783
1033776000,0.080900,0.106848,-0.025948
1033862400,NaN,0.106913,NaN
1033948800,0.044300,0.106978,-0.062678
1034035200,0.056800,0.107042,-0.050242
1034121600,0.072600,0.107107,-0.034507
1034208000,0.079000,0.107172,-0.028172
1034294400,0.095400,0.107237,-0.011837
1034380800,0.100100,0.107302,-0.007202
1034467200,NaN,0.107367,NaN
1034553600,NaN,0.107432,NaN
1034640000,NaN,0.107497,NaN
1034726400,NaN,0.106879,NaN
1034812800,NaN,0.106260,NaN
1034899200,0.092400,0.105641,-0.013241
1034985600,0.090400,0.105022,-0.014622
1035072000,NaN,0.104403,NaN
1035158400,0.046200,0.103785,-0.057585
1035244800,0.079200,0.103166,-0.023966
1035331200,0.099600,0.102547,-0.002947
1035417600,0.073600,0.101928,-0.028328
1035504000,0.104200,0.101309,0.002891
1035590400,0.135800,0.100691,0.035109
