Time,mean,climatology,anomaly
1025740800,NaN,0.124820,NaN
1025827200,NaN,0.122613,NaN
1025913600,NaN,0.120406,NaN
1026000000,0.035200,0.118199,-0.082999
1026086400,0.037200,0.115992,-0.078792
1026172800,0.042000,0.113784,-0.071784
1026259200,NaN,0.111577,NaN
1026345600,NaN,0.109370,NaN
1026432000,NaN,0.107163,NaN
1026518400,NaN,0.104956,NaN
1026691200,0.035800,0.100542,-0.064742
1026777600,NaN,0.101122,NaN
1026864000,0.034400,0.101702,-0.067302
1026950400,NaN,0.102282,NaN
1027036800,0.036400,0.102863,-0.066463
1027209600,NaN,0.104023,NaN
1027296000,0.037800,0.104603,-0.066803
1027382400,0.040200,0.105184,-0.064984
1027468800,NaN,0.105764,NaN
1027555200,NaN,0.106344,NaN
1027641600,NaN,0.106924,NaN
1027728000,NaN,0.107504,NaN
1027814400,NaN,0.108085,NaN
1027900800,NaN,0.108665,NaN
1028678400,NaN,0.113887,NaN
1028851200,NaN,0.115047,NaN
1028937600,NaN,0.115628,NaN
1029024000,NaN,0.116208,NaN
1029110400,NaN,0.116788,NaN
1029196800,NaN,0.117368,NaN
1029283200,NaN,0.117949,NaN
1029456000,NaN,0.116579,NaN
1029542400,0.045800,0.114630,-0.068830
1029628800,0.052200,0.112681,-0.060481
1029715200,NaN,0.110731,NaN
1029888000,NaN,0.106832,NaN
1029974400,NaN,0.104883,NaN
1030060800,NaN,0.102933,NaN
1030233600,0.051000,0.099035,-0.048035
1030320000,NaN,0.097085,NaN
1030406400,NaN,0.095136,NaN
1030492800,NaN,0.093186,NaN
1030579200,NaN,0.091237,NaN
1030665600,NaN,0.089287,NaN
1030752000,NaN,0.087338,NaN
1030924800,NaN,0.083439,NaN
1031011200,NaN,0.081490,NaN
1031097600,NaN,0.079540,NaN
1031270400,NaN,0.075641,NaN
1031356800,NaN,0.073692,NaN
1031443200,NaN,0.071743,NaN
1031616000,NaN,0.067844,NaN
1031702400,0.036000,0.065894,-0.029894
1031875200,NaN,0.061995,NaN
1031961600,NaN,0.060046,NaN
1032048000,NaN,0.058097,NaN
1032134400,NaN,0.058815,NaN
1032220800,0.036600,0.059534,-0.022934
1032307200,0.037600,0.060252,-0.022652
1032393600,NaN,0.060970,NaN
1032480000,NaN,0.061689,NaN
1032566400,NaN,0.062407,NaN
1032652800,NaN,0.063126,NaN
1032739200,NaN,0.063844,NaN
1032825600,NaN,0.064563,NaN
1032912000,NaN,0.065281,NaN
1032998400,NaN,0.066000,NaN
1033084800,0.036600,0.066718,-0.030118
1033171200,NaN,0.067437,NaN
1033257600,NaN,0.068155,NaN
1033344000,NaN,0.068874,NaN
1033430400,NaN,0.069592,NaN
1033516800,NaN,0.070311,NaN
1033603200,NaN,0.071029,NaN
1033689600,NaN,0.071748,NaN
1033776000,NaN,0.072466,NaN
1033862400,0.050600,0.073184,-0.022584
1033948800,NaN,0.073903,NaN
1034035200,NaN,0.074621,NaN
1034121600,NaN,0.075340,NaN
1034208000,NaN,0.076058,NaN
1034294400,NaN,0.076777,NaN
1034380800,0.062800,0.077495,-0.014695
1034467200,0.044600,0.078214,-0.033614
1034553600,NaN,0.078932,NaN
1034640000,NaN,0.079651,NaN
1034726400,0.040400,0.079026,-0.038626
1034812800,0.054200,0.078401,-0.024201
1034899200,NaN,0.077776,NaN
1034985600,NaN,0.077151,NaN
1035072000,NaN,0.076526,NaN
1035158400,NaN,0.075902,NaN
1035244800,NaN,0.075277,NaN
1035331200,NaN,0.074652,NaN
1035417600,NaN,0.074027,NaN
1035504000,NaN,0.073402,NaN
1035590400,NaN,0.072777,NaN
1035676800,NaN,0.072152,NaN
1035763200,NaN,0.071528,NaN
1035849600,NaN,0.070903,NaN
1035936000,NaN,0.070278,NaN
1036022400,NaN,0.069653,NaN
1036108800,NaN,0.069028,NaN
1036195200,NaN,0.068403,NaN
1036281600,NaN,0.067778,NaN
1036368000,NaN,0.067153,NaN
1036454400,NaN,0.066529,NaN
1036540800,0.039600,0.065904,-0.026304
1036627200,0.043000,0.065279,-0.022279
1036713600,2.960802,0.064654,2.896148
1036800000,NaN,0.064029,NaN
1036886400,NaN,0.063404,NaN
1036972800,NaN,0.062779,NaN
1037059200,0.059000,0.062155,-0.003155
1037145600,0.061000,0.061530,-0.000530
1037232000,NaN,0.060905,NaN
1037318400,NaN,0.060280,NaN
1037404800,NaN,0.062203,NaN
1037491200,0.061600,0.064126,-0.002526
1037577600,NaN,0.066049,NaN
1037664000,NaN,0.067972,NaN
1037750400,NaN,0.069896,NaN
1037836800,0.060000,0.071819,-0.011819
1037923200,0.043400,0.073742,-0.030342
1038009600,NaN,0.075665,NaN
1038096000,NaN,0.077588,NaN
1038182400,0.044600,0.079511,-0.034911
1038268800,NaN,0.081434,NaN
1038355200,NaN,0.083357,NaN
1038441600,NaN,0.085281,NaN
1038528000,NaN,0.087204,NaN
1038614400,NaN,0.089127,NaN
1038700800,NaN,0.091050,NaN
1038787200,NaN,0.092973,NaN
1038873600,NaN,0.094896,NaN
1038960000,NaN,0.096819,NaN
1039046400,NaN,0.098742,NaN
1039132800,NaN,0.100666,NaN
1039219200,NaN,0.102589,NaN
1039305600,NaN,0.104512,NaN
1039392000,NaN,0.106435,NaN
1039478400,NaN,0.108358,NaN
1039564800,NaN,0.110281,NaN
1039651200,NaN,0.112204,NaN
1039737600,0.054000,0.114127,-0.060127
1039824000,0.061000,0.116050,-0.055050
1039910400,0.058000,0.117974,-0.059974
1039996800,0.055700,0.117988,-0.062288
1040083200,NaN,0.118002,NaN
1040169600,NaN,0.118016,NaN
1040256000,NaN,0.118030,NaN
1040342400,0.053600,0.118045,-0.064445
1040428800,NaN,0.118059,NaN
1040515200,0.056600,0.118073,-0.061473
1040601600,NaN,0.118087,NaN
1040688000,NaN,0.118101,NaN
1040774400,NaN,0.118115,NaN
1040860800,NaN,0.118130,NaN
1040947200,NaN,0.118144,NaN
1041033600,NaN,0.118158,NaN
