Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.117231,NaN
2002-07-05,NaN,0.114490,NaN
2002-07-06,NaN,0.111748,NaN
2002-07-07,NaN,0.109006,NaN
2002-07-08,NaN,0.106265,NaN
2002-07-09,NaN,0.103523,NaN
2002-07-10,NaN,0.100781,NaN
2002-07-11,NaN,0.098040,NaN
2002-07-12,NaN,0.095298,NaN
2002-07-13,0.034200,0.092556,-0.058356
2002-07-15,0.034800,0.087073,-0.052273
2002-07-16,0.031800,0.087814,-0.056014
2002-07-17,0.043600,0.088554,-0.044954
2002-07-18,NaN,0.089295,NaN
2002-07-19,NaN,0.090036,NaN
2002-07-21,NaN,0.091517,NaN
2002-07-22,NaN,0.092258,NaN
2002-07-23,NaN,0.092999,NaN
2002-07-24,0.030900,0.093739,-0.062839
2002-07-25,NaN,0.094480,NaN
2002-07-26,NaN,0.095221,NaN
2002-07-27,NaN,0.095961,NaN
2002-07-28,NaN,0.096702,NaN
2002-07-29,NaN,0.097443,NaN
2002-08-07,NaN,0.104109,NaN
2002-08-09,0.047000,0.105591,-0.058591
2002-08-10,NaN,0.106332,NaN
2002-08-11,NaN,0.107072,NaN
2002-08-12,NaN,0.107813,NaN
2002-08-13,NaN,0.108554,NaN
2002-08-14,NaN,0.109294,NaN
2002-08-16,NaN,0.108605,NaN
2002-08-17,NaN,0.107174,NaN
2002-08-18,0.033400,0.105744,-0.072344
2002-08-19,NaN,0.104313,NaN
2002-08-21,NaN,0.101452,NaN
2002-08-22,NaN,0.100022,NaN
2002-08-23,NaN,0.098591,NaN
2002-08-25,0.034600,0.095730,-0.061130
2002-08-26,NaN,0.094300,NaN
2002-08-27,NaN,0.092870,NaN
2002-08-28,NaN,0.091439,NaN
2002-08-29,NaN,0.090009,NaN
2002-08-30,NaN,0.088578,NaN
2002-08-31,NaN,0.087148,NaN
2002-09-02,NaN,0.084287,NaN
2002-09-03,NaN,0.082856,NaN
2002-09-04,NaN,0.081426,NaN
2002-09-06,NaN,0.078565,NaN
2002-09-07,NaN,0.077134,NaN
2002-09-08,0.036700,0.075704,-0.039004
2002-09-10,0.028200,0.072843,-0.044643
2002-09-11,NaN,0.071413,NaN
2002-09-13,NaN,0.068552,NaN
2002-09-14,NaN,0.067121,NaN
2002-09-15,NaN,0.065691,NaN
2002-09-16,0.028200,0.066408,-0.038208
2002-09-17,0.028200,0.067126,-0.038926
2002-09-18,0.031200,0.067843,-0.036643
2002-09-19,NaN,0.068560,NaN
2002-09-20,NaN,0.069278,NaN
2002-09-21,NaN,0.069995,NaN
2002-09-22,NaN,0.070713,NaN
2002-09-23,NaN,0.071430,NaN
2002-09-24,0.032800,0.072148,-0.039348
2002-09-25,NaN,0.072865,NaN
2002-09-26,0.033400,0.073582,-0.040182
2002-09-27,NaN,0.074300,NaN
2002-09-28,0.044400,0.075017,-0.030617
2002-09-29,NaN,0.075735,NaN
2002-09-30,NaN,0.076452,NaN
2002-10-01,0.031700,0.077170,-0.045470
2002-10-02,0.034800,0.077887,-0.043087
2002-10-03,0.040700,0.078605,-0.037905
2002-10-04,NaN,0.079322,NaN
2002-10-05,0.037400,0.080039,-0.042639
2002-10-06,NaN,0.080757,NaN
2002-10-07,0.028600,0.081474,-0.052874
2002-10-08,0.029600,0.082192,-0.052592
2002-10-09,0.029600,0.082909,-0.053309
2002-10-10,NaN,0.083627,NaN
2002-10-11,0.032000,0.084344,-0.052344
2002-10-12,0.034200,0.085061,-0.050861
2002-10-13,NaN,0.085779,NaN
2002-10-14,0.034600,0.086496,-0.051896
2002-10-15,NaN,0.087214,NaN
2002-10-16,NaN,0.086144,NaN
2002-10-17,NaN,0.085075,NaN
2002-10-18,NaN,0.084005,NaN
2002-10-19,NaN,0.082936,NaN
2002-10-20,NaN,0.081866,NaN
2002-10-21,0.033000,0.080797,-0.047797
2002-10-22,0.021000,0.079727,-0.058727
2002-10-23,0.035200,0.078658,-0.043458
2002-10-24,0.028600,0.077588,-0.048988
2002-10-25,NaN,0.076519,NaN
2002-10-26,0.025200,0.075449,-0.050249
2002-10-27,0.029300,0.074380,-0.045080
2002-10-28,0.035000,0.073310,-0.038310
2002-10-29,NaN,0.072241,NaN
2002-10-30,0.031400,0.071171,-0.039771
2002-10-31,NaN,0.070102,NaN
2002-11-01,NaN,0.069032,NaN
2002-11-02,NaN,0.067963,NaN
2002-11-03,NaN,0.066893,NaN
2002-11-04,0.039400,0.065824,-0.026424
2002-11-05,NaN,0.064754,NaN
2002-11-06,0.031000,0.063685,-0.032685
2002-11-07,NaN,0.062615,NaN
2002-11-08,2.951004,0.061546,2.889458
2002-11-09,NaN,0.060476,NaN
2002-11-10,0.032700,0.059407,-0.026707
2002-11-11,0.027700,0.058337,-0.030637
2002-11-12,0.030400,0.057268,-0.026868
2002-11-13,0.036000,0.056198,-0.020198
2002-11-14,NaN,0.055129,NaN
2002-11-15,NaN,0.054059,NaN
2002-11-16,NaN,0.055263,NaN
2002-11-17,NaN,0.056467,NaN
2002-11-18,NaN,0.057671,NaN
2002-11-19,NaN,0.058875,NaN
2002-11-20,NaN,0.060079,NaN
2002-11-21,NaN,0.061283,NaN
2002-11-22,NaN,0.062487,NaN
2002-11-23,NaN,0.063691,NaN
2002-11-24,0.029000,0.064895,-0.035895
2002-11-25,NaN,0.066099,NaN
2002-11-26,NaN,0.067303,NaN
2002-11-27,NaN,0.068507,NaN
2002-11-28,NaN,0.069711,NaN
2002-11-29,0.034200,0.070915,-0.036715
2002-11-30,NaN,0.072119,NaN
2002-12-01,NaN,0.073323,NaN
2002-12-02,NaN,0.074527,NaN
2002-12-03,NaN,0.075731,NaN
2002-12-04,NaN,0.076935,NaN
2002-12-05,0.039200,0.078139,-0.038939
2002-12-06,NaN,0.079343,NaN
2002-12-07,NaN,0.080547,NaN
2002-12-08,NaN,0.081751,NaN
2002-12-09,NaN,0.082955,NaN
2002-12-10,NaN,0.084159,NaN
2002-12-11,NaN,0.085363,NaN
2002-12-12,NaN,0.086567,NaN
2002-12-13,NaN,0.087771,NaN
2002-12-14,NaN,0.088975,NaN
2002-12-15,NaN,0.090179,NaN
2002-12-16,0.024000,0.090129,-0.066129
2002-12-17,0.032400,0.090079,-0.057679
2002-12-18,NaN,0.090029,NaN
2002-12-19,0.040900,0.089979,-0.049079
2002-12-20,NaN,0.089929,NaN
2002-12-21,NaN,0.089879,NaN
2002-12-22,NaN,0.089829,NaN
2002-12-23,NaN,0.089779,NaN
2002-12-24,0.043400,0.089729,-0.046329
2002-12-25,NaN,0.089679,NaN
