Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.119455,NaN
2002-07-05,NaN,0.116758,NaN
2002-07-06,NaN,0.114060,NaN
2002-07-07,NaN,0.111363,NaN
2002-07-08,NaN,0.108665,NaN
2002-07-09,NaN,0.105967,NaN
2002-07-10,NaN,0.103270,NaN
2002-07-11,NaN,0.100572,NaN
2002-07-12,NaN,0.097875,NaN
2002-07-13,0.057000,0.095177,-0.038177
2002-07-15,0.035000,0.089782,-0.054782
2002-07-16,0.053600,0.090593,-0.036993
2002-07-17,0.045600,0.091404,-0.045804
2002-07-18,NaN,0.092214,NaN
2002-07-19,NaN,0.093025,NaN
2002-07-21,NaN,0.094647,NaN
2002-07-22,0.029400,0.095457,-0.066057
2002-07-23,NaN,0.096268,NaN
2002-07-24,NaN,0.097079,NaN
2002-07-25,NaN,0.097889,NaN
2002-07-26,NaN,0.098700,NaN
2002-07-27,NaN,0.099511,NaN
2002-07-28,NaN,0.100322,NaN
2002-07-29,NaN,0.101132,NaN
2002-08-07,NaN,0.108429,NaN
2002-08-09,0.033000,0.110050,-0.077050
2002-08-10,NaN,0.110861,NaN
2002-08-11,NaN,0.111672,NaN
2002-08-12,NaN,0.112483,NaN
2002-08-13,NaN,0.113293,NaN
2002-08-14,NaN,0.114104,NaN
2002-08-16,NaN,0.113543,NaN
2002-08-17,NaN,0.112171,NaN
2002-08-18,0.064800,0.110799,-0.045999
2002-08-19,NaN,0.109427,NaN
2002-08-21,NaN,0.106684,NaN
2002-08-22,NaN,0.105312,NaN
2002-08-23,NaN,0.103940,NaN
2002-08-25,0.049000,0.101196,-0.052196
2002-08-26,NaN,0.099825,NaN
2002-08-27,NaN,0.098453,NaN
2002-08-28,NaN,0.097081,NaN
2002-08-29,NaN,0.095709,NaN
2002-08-30,NaN,0.094337,NaN
2002-08-31,NaN,0.092965,NaN
2002-09-02,NaN,0.090222,NaN
2002-09-03,0.044500,0.088850,-0.044350
2002-09-04,NaN,0.087478,NaN
2002-09-06,NaN,0.084734,NaN
2002-09-07,NaN,0.083362,NaN
2002-09-08,NaN,0.081991,NaN
2002-09-10,NaN,0.079247,NaN
2002-09-11,NaN,0.077875,NaN
2002-09-13,NaN,0.075131,NaN
2002-09-14,NaN,0.073760,NaN
2002-09-15,NaN,0.072388,NaN
2002-09-16,0.033200,0.073105,-0.039905
2002-09-17,NaN,0.073822,NaN
2002-09-18,0.033200,0.074539,-0.041339
2002-09-19,NaN,0.075256,NaN
2002-09-20,NaN,0.075973,NaN
2002-09-21,NaN,0.076690,NaN
2002-09-22,NaN,0.077407,NaN
2002-09-23,NaN,0.078124,NaN
2002-09-24,0.040200,0.078842,-0.038642
2002-09-25,NaN,0.079559,NaN
2002-09-26,0.069400,0.080276,-0.010876
2002-09-27,NaN,0.080993,NaN
2002-09-28,0.040000,0.081710,-0.041710
2002-09-29,NaN,0.082427,NaN
2002-09-30,NaN,0.083144,NaN
2002-10-01,NaN,0.083861,NaN
2002-10-02,0.046800,0.084578,-0.037778
2002-10-03,0.043800,0.085295,-0.041495
2002-10-04,0.036800,0.086012,-0.049212
2002-10-05,0.036200,0.086730,-0.050530
2002-10-06,NaN,0.087447,NaN
2002-10-07,0.024600,0.088164,-0.063564
2002-10-08,NaN,0.088881,NaN
2002-10-09,0.034900,0.089598,-0.054698
2002-10-10,NaN,0.090315,NaN
2002-10-11,0.040600,0.091032,-0.050432
2002-10-12,0.036600,0.091749,-0.055149
2002-10-13,NaN,0.092466,NaN
2002-10-14,0.033800,0.093183,-0.059383
2002-10-15,NaN,0.093900,NaN
2002-10-16,NaN,0.092733,NaN
2002-10-17,NaN,0.091566,NaN
2002-10-18,NaN,0.090399,NaN
2002-10-19,NaN,0.089232,NaN
2002-10-20,NaN,0.088065,NaN
2002-10-21,NaN,0.086898,NaN
2002-10-22,0.022200,0.085731,-0.063531
2002-10-23,0.065600,0.084563,-0.018963
2002-10-24,0.038000,0.083396,-0.045396
2002-10-25,NaN,0.082229,NaN
2002-10-26,0.032800,0.081062,-0.048262
2002-10-27,0.050200,0.079895,-0.029695
2002-10-28,0.030000,0.078728,-0.048728
2002-10-29,0.023600,0.077561,-0.053961
2002-10-30,0.035200,0.076393,-0.041193
2002-10-31,NaN,0.075226,NaN
2002-11-01,NaN,0.074059,NaN
2002-11-02,NaN,0.072892,NaN
2002-11-03,0.049600,0.071725,-0.022125
2002-11-04,NaN,0.070558,NaN
2002-11-05,NaN,0.069391,NaN
2002-11-06,0.031600,0.068224,-0.036624
2002-11-07,NaN,0.067056,NaN
2002-11-08,2.945892,0.065889,2.880003
2002-11-09,0.032200,0.064722,-0.032522
2002-11-10,0.032000,0.063555,-0.031555
2002-11-11,0.038000,0.062388,-0.024388
2002-11-12,0.037900,0.061221,-0.023321
2002-11-13,NaN,0.060054,NaN
2002-11-14,NaN,0.058887,NaN
2002-11-15,NaN,0.057719,NaN
2002-11-16,NaN,0.058805,NaN
