Time,mean,climatology,anomaly
1025740800,NaN,0.126823,NaN
1025827200,NaN,0.124820,NaN
1025913600,NaN,0.122817,NaN
1026000000,NaN,0.120814,NaN
1026086400,NaN,0.118812,NaN
1026172800,NaN,0.116809,NaN
1026259200,0.033600,0.114806,-0.081206
1026345600,NaN,0.112803,NaN
1026432000,NaN,0.110800,NaN
1026518400,NaN,0.108797,NaN
1026691200,0.029600,0.104791,-0.075191
1026777600,0.034200,0.105273,-0.071073
1026864000,0.035800,0.105756,-0.069956
1026950400,NaN,0.106238,NaN
1027036800,NaN,0.106721,NaN
1027209600,NaN,0.107686,NaN
1027296000,0.037400,0.108168,-0.070768
1027382400,NaN,0.108651,NaN
1027468800,NaN,0.109133,NaN
1027555200,NaN,0.109616,NaN
1027641600,NaN,0.110098,NaN
1027728000,NaN,0.110581,NaN
1027814400,NaN,0.111063,NaN
1027900800,NaN,0.111546,NaN
1028678400,NaN,0.115889,NaN
1028851200,NaN,0.116854,NaN
1028937600,NaN,0.117336,NaN
1029024000,NaN,0.117819,NaN
1029110400,NaN,0.118301,NaN
1029196800,NaN,0.118784,NaN
1029283200,NaN,0.119266,NaN
1029456000,0.057800,0.117817,-0.060017
1029542400,NaN,0.115886,NaN
1029628800,NaN,0.113955,NaN
1029715200,NaN,0.112024,NaN
1029888000,NaN,0.108162,NaN
1029974400,NaN,0.106231,NaN
1030060800,NaN,0.104300,NaN
1030233600,NaN,0.100437,NaN
1030320000,NaN,0.098506,NaN
1030406400,NaN,0.096575,NaN
1030492800,NaN,0.094644,NaN
1030579200,NaN,0.092713,NaN
1030665600,NaN,0.090782,NaN
1030752000,NaN,0.088850,NaN
1030924800,NaN,0.084988,NaN
1031011200,NaN,0.083057,NaN
1031097600,NaN,0.081126,NaN
1031270400,NaN,0.077264,NaN
1031356800,NaN,0.075333,NaN
1031443200,NaN,0.073401,NaN
1031616000,NaN,0.069539,NaN
1031702400,NaN,0.067608,NaN
1031875200,NaN,0.063746,NaN
1031961600,NaN,0.061815,NaN
1032048000,NaN,0.059884,NaN
1032134400,NaN,0.060662,NaN
1032220800,NaN,0.061441,NaN
1032307200,NaN,0.062219,NaN
1032393600,NaN,0.062998,NaN
1032480000,NaN,0.063776,NaN
1032566400,NaN,0.064555,NaN
1032652800,NaN,0.065334,NaN
1032739200,NaN,0.066112,NaN
1032825600,NaN,0.066891,NaN
1032912000,NaN,0.067669,NaN
1032998400,NaN,0.068448,NaN
1033084800,0.043200,0.069227,-0.026027
1033171200,NaN,0.070005,NaN
1033257600,NaN,0.070784,NaN
1033344000,0.044600,0.071562,-0.026962
1033430400,NaN,0.072341,NaN
1033516800,NaN,0.073119,NaN
1033603200,NaN,0.073898,NaN
1033689600,0.057000,0.074677,-0.017677
1033776000,NaN,0.075455,NaN
1033862400,0.042000,0.076234,-0.034234
1033948800,NaN,0.077012,NaN
1034035200,NaN,0.077791,NaN
1034121600,NaN,0.078570,NaN
1034208000,NaN,0.079348,NaN
1034294400,NaN,0.080127,NaN
1034380800,NaN,0.080905,NaN
1034467200,NaN,0.081684,NaN
1034553600,NaN,0.082463,NaN
1034640000,NaN,0.083241,NaN
1034726400,0.048400,0.082545,-0.034145
1034812800,0.055200,0.081849,-0.026649
1034899200,NaN,0.081153,NaN
1034985600,NaN,0.080457,NaN
1035072000,0.040600,0.079761,-0.039161
1035158400,NaN,0.079065,NaN
1035244800,NaN,0.078369,NaN
1035331200,NaN,0.077673,NaN
1035417600,NaN,0.076977,NaN
1035504000,NaN,0.076281,NaN
1035590400,NaN,0.075585,NaN
1035676800,NaN,0.074889,NaN
1035763200,NaN,0.074193,NaN
1035849600,NaN,0.073497,NaN
1035936000,NaN,0.072801,NaN
1036022400,NaN,0.072105,NaN
1036108800,NaN,0.071409,NaN
1036195200,NaN,0.070713,NaN
1036281600,NaN,0.070017,NaN
1036368000,NaN,0.069321,NaN
1036454400,NaN,0.068625,NaN
1036540800,0.032000,0.067929,-0.035929
1036627200,0.038800,0.067233,-0.028433
1036713600,2.960660,0.066537,2.894123
1036800000,0.040400,0.065841,-0.025441
1036886400,0.043000,0.065145,-0.022145
1036972800,NaN,0.064449,NaN
1037059200,0.043200,0.063753,-0.020553
1037145600,0.042600,0.063057,-0.020457
1037232000,0.037200,0.062361,-0.025161
1037318400,NaN,0.061665,NaN
1037404800,NaN,0.063496,NaN
1037491200,0.050600,0.065327,-0.014727
1037577600,NaN,0.067158,NaN
1037664000,NaN,0.068989,NaN
1037750400,NaN,0.070819,NaN
1037836800,0.052000,0.072650,-0.020650
1037923200,0.052600,0.074481,-0.021881
1038009600,NaN,0.076312,NaN
1038096000,NaN,0.078143,NaN
1038182400,0.052000,0.079973,-0.027973
1038268800,NaN,0.081804,NaN
1038355200,NaN,0.083635,NaN
1038441600,NaN,0.085466,NaN
1038528000,0.035800,0.087297,-0.051497
1038614400,NaN,0.089127,NaN
1038700800,NaN,0.090958,NaN
1038787200,0.045800,0.092789,-0.046989
1038873600,NaN,0.094620,NaN
1038960000,NaN,0.096451,NaN
1039046400,NaN,0.098281,NaN
1039132800,NaN,0.100112,NaN
1039219200,NaN,0.101943,NaN
1039305600,NaN,0.103774,NaN
1039392000,NaN,0.105605,NaN
1039478400,NaN,0.107435,NaN
1039564800,NaN,0.109266,NaN
1039651200,NaN,0.111097,NaN
1039737600,0.051800,0.112928,-0.061128
1039824000,0.060600,0.114759,-0.054159
1039910400,0.040200,0.116589,-0.076389
1039996800,0.050400,0.116547,-0.066147
1040083200,NaN,0.116505,NaN
1040169600,0.048400,0.116463,-0.068063
1040256000,NaN,0.116421,NaN
1040342400,0.043400,0.116379,-0.072979
1040428800,NaN,0.116336,NaN
1040515200,0.046600,0.116294,-0.069694
1040601600,NaN,0.116252,NaN
1040688000,NaN,0.116210,NaN
1040774400,NaN,0.116168,NaN
1040860800,NaN,0.116126,NaN
1040947200,NaN,0.116084,NaN
1041033600,NaN,0.116041,NaN
1041120000,NaN,0.115999,NaN
1041206400,NaN,0.115957,NaN
1041292800,NaN,0.115915,NaN
1041379200,0.054200,0.115873,-0.061673
1041465600,NaN,0.115831,NaN
1041552000,0.060600,0.115789,-0.055189
1041638400,0.066800,0.115746,-0.048946
1041724800,0.055200,0.115704,-0.060504
1041811200,NaN,0.115662,NaN
1041897600,NaN,0.115620,NaN
1041984000,0.056000,0.115578,-0.059578
1042070400,NaN,0.115536,NaN
1042156800,2.960660,0.115494,2.845167
1042243200,NaN,0.115451,NaN
1042329600,NaN,0.115409,NaN
1042416000,0.054000,0.115367,-0.061367
1042502400,NaN,0.115325,NaN
1042588800,NaN,0.115283,NaN
1042675200,NaN,0.115468,NaN
1042761600,NaN,0.115653,NaN
1042848000,0.059600,0.115838,-0.056238
1042934400,0.059200,0.116023,-0.056823
1043020800,0.060300,0.116209,-0.055909
1043107200,NaN,0.116394,NaN
1043193600,NaN,0.116579,NaN
1043280000,NaN,0.116764,NaN
1043366400,NaN,0.116949,NaN
1043452800,NaN,0.117134,NaN
1043539200,NaN,0.117320,NaN
1043625600,NaN,0.117505,NaN
1043712000,NaN,0.117690,NaN
1043798400,NaN,0.117875,NaN
1043884800,NaN,0.118060,NaN
1043971200,NaN,0.118245,NaN
1044057600,0.056600,0.118430,-0.061830
1044144000,0.054400,0.118616,-0.064216
1044230400,2.960660,0.118801,2.841860
1044316800,0.055800,0.118986,-0.063186
1044403200,NaN,0.119171,NaN
1044489600,NaN,0.119356,NaN
1044576000,NaN,0.119541,NaN
1044662400,NaN,0.119726,NaN
1044748800,NaN,0.119912,NaN
1044835200,NaN,0.120097,NaN
1044921600,0.055400,0.120282,-0.064882
1045008000,NaN,0.120467,NaN
1045094400,NaN,0.120652,NaN
1045180800,NaN,0.120837,NaN
1045267200,NaN,0.121023,NaN
1045353600,NaN,0.119643,NaN
1045440000,NaN,0.118263,NaN
1045526400,0.064800,0.116883,-0.052083
1045612800,NaN,0.115504,NaN
1045699200,0.067900,0.114124,-0.046224
1045785600,NaN,0.112744,NaN
1045872000,NaN,0.111365,NaN
1045958400,0.063200,0.109985,-0.046785
1046044800,0.054000,0.108605,-0.054605
1046131200,NaN,0.107226,NaN
1046217600,NaN,0.105846,NaN
1046304000,2.960660,0.104466,2.856194
1046390400,NaN,0.103087,NaN
1046476800,NaN,0.101707,NaN
1046563200,NaN,0.100327,NaN
1046649600,NaN,0.098948,NaN
1046736000,NaN,0.097568,NaN
1046822400,NaN,0.096188,NaN
1046908800,NaN,0.094808,NaN
1046995200,NaN,0.093429,NaN
1047081600,NaN,0.092049,NaN
1047168000,NaN,0.090669,NaN
1047254400,NaN,0.089290,NaN
1047340800,NaN,0.087910,NaN
1047427200,NaN,0.086530,NaN
1047513600,NaN,0.085151,NaN
1047600000,NaN,0.083771,NaN
1047686400,NaN,0.082391,NaN
1047772800,NaN,0.082478,NaN
1047859200,NaN,0.082565,NaN
1047945600,NaN,0.082651,NaN
1048032000,0.028800,0.082738,-0.053938
1048118400,NaN,0.082824,NaN
1048204800,0.032600,0.082911,-0.050311
1048291200,0.035800,0.082998,-0.047198
1048377600,0.030800,0.083084,-0.052284
1048464000,0.037000,0.083171,-0.046171
1048550400,NaN,0.083258,NaN
1048636800,NaN,0.083344,NaN
1048723200,NaN,0.083431,NaN
1048809600,0.036400,0.083517,-0.047117
1048896000,NaN,0.083604,NaN
1048982400,0.042600,0.083691,-0.041091
1049068800,0.041000,0.083777,-0.042777
1049155200,NaN,0.083864,NaN
1049241600,NaN,0.083951,NaN
1049328000,0.040800,0.084037,-0.043237
1049414400,NaN,0.084124,NaN
1049500800,NaN,0.084210,NaN
1049587200,NaN,0.084297,NaN
1049673600,NaN,0.084384,NaN
1049760000,NaN,0.084470,NaN
1049846400,NaN,0.084557,NaN
1049932800,NaN,0.084644,NaN
1050019200,NaN,0.084730,NaN
1050105600,0.036200,0.084817,-0.048617
1050192000,0.031000,0.084903,-0.053903
1050278400,0.030400,0.084990,-0.054590
1050364800,0.031600,0.085077,-0.053477
1050451200,0.034400,0.085388,-0.050988
1050537600,NaN,0.085699,NaN
1050624000,NaN,0.086010,NaN
1050710400,NaN,0.086322,NaN
1050796800,NaN,0.086633,NaN
1050883200,NaN,0.086944,NaN
1050969600,NaN,0.087255,NaN
1051056000,NaN,0.087566,NaN
1051142400,NaN,0.087878,NaN
1051228800,NaN,0.088189,NaN
1051315200,0.030200,0.088500,-0.058300
1051401600,NaN,0.088811,NaN
1051488000,NaN,0.089123,NaN
1051574400,NaN,0.089434,NaN
1051660800,0.032000,0.089745,-0.057745
1051747200,NaN,0.090056,NaN
1051833600,NaN,0.090367,NaN
1051920000,NaN,0.090679,NaN
1052006400,NaN,0.090990,NaN
1052092800,NaN,0.091301,NaN
1052179200,NaN,0.091612,NaN
1052265600,NaN,0.091924,NaN
1052352000,0.037600,0.092235,-0.054635
1052438400,2.960660,0.092546,2.868114
1052524800,NaN,0.092857,NaN
1052611200,NaN,0.093168,NaN
1052697600,NaN,0.093480,NaN
1052784000,NaN,0.093791,NaN
1052870400,NaN,0.094102,NaN
1052956800,NaN,0.094413,NaN
1053043200,0.030000,0.096686,-0.066686
1053129600,NaN,0.098959,NaN
1053216000,NaN,0.101233,NaN
1053302400,NaN,0.103506,NaN
1053388800,NaN,0.105779,NaN
1053475200,NaN,0.108052,NaN
1053561600,NaN,0.110325,NaN
1053648000,0.032200,0.112598,-0.080398
1053734400,NaN,0.114871,NaN
1053820800,NaN,0.117144,NaN
1053907200,NaN,0.119417,NaN
1053993600,NaN,0.121690,NaN
1054080000,NaN,0.123964,NaN
1054166400,NaN,0.126237,NaN
1054252800,0.044600,0.128510,-0.083910
1054339200,0.032600,0.130783,-0.098183
1054425600,NaN,0.133056,NaN
1054512000,NaN,0.135329,NaN
1054598400,0.043000,0.137602,-0.094602
1054684800,NaN,0.139875,NaN
1054771200,NaN,0.142148,NaN
1054857600,NaN,0.144421,NaN
1054944000,NaN,0.146695,NaN
1055030400,0.040200,0.148968,-0.108768
1055116800,NaN,0.151241,NaN
1055203200,NaN,0.153514,NaN
1055289600,NaN,0.155787,NaN
1055376000,NaN,0.158060,NaN
1055462400,NaN,0.160333,NaN
1055548800,NaN,0.162606,NaN
1055635200,NaN,0.164879,NaN
1055721600,NaN,0.162876,NaN
1055808000,NaN,0.160873,NaN
1055894400,NaN,0.158870,NaN
1055980800,NaN,0.156868,NaN
1056067200,NaN,0.154865,NaN
1056153600,NaN,0.152862,NaN
1056240000,0.033800,0.150859,-0.117059
1056326400,NaN,0.148856,NaN
1056412800,2.960660,0.146853,2.813807
1056499200,NaN,0.144850,NaN
1056585600,NaN,0.142847,NaN
1056672000,NaN,0.140844,NaN
1056758400,NaN,0.138841,NaN
1056844800,NaN,0.136838,NaN
1056931200,NaN,0.134835,NaN
1057017600,NaN,0.132832,NaN
1057104000,NaN,0.130829,NaN
1057190400,NaN,0.128826,NaN
1057276800,NaN,0.126823,NaN
1057363200,NaN,0.124820,NaN
1057449600,NaN,0.122817,NaN
1057536000,NaN,0.120814,NaN
1057622400,NaN,0.118812,NaN
1057708800,NaN,0.116809,NaN
1057795200,NaN,0.114806,NaN
1057881600,NaN,0.112803,NaN
1057968000,0.055400,0.110800,-0.055400
1058054400,NaN,0.108797,NaN
1058140800,NaN,0.106794,NaN
1058227200,NaN,0.104791,NaN
1058313600,NaN,0.105273,NaN
1058400000,NaN,0.105756,NaN
1058486400,NaN,0.106238,NaN
1058572800,0.037000,0.106721,-0.069721
1058659200,0.037200,0.107203,-0.070003
1058745600,0.050900,0.107686,-0.056786
1058832000,NaN,0.108168,NaN
1058918400,NaN,0.108651,NaN
1059004800,NaN,0.109133,NaN
1059091200,NaN,0.109616,NaN
1059177600,NaN,0.110098,NaN
1059264000,NaN,0.110581,NaN
1059350400,0.038800,0.111063,-0.072263
1059436800,NaN,0.111546,NaN
1059523200,NaN,0.112028,NaN
1059609600,NaN,0.112511,NaN
1059696000,NaN,0.112993,NaN
1059782400,0.041200,0.113476,-0.072276
1059868800,NaN,0.113959,NaN
1059955200,NaN,0.114441,NaN
1060041600,NaN,0.114924,NaN
1060128000,2.960660,0.115406,2.845254
1060214400,NaN,0.115889,NaN
1060300800,NaN,0.116371,NaN
1060387200,NaN,0.116854,NaN
1060473600,NaN,0.117336,NaN
1060560000,NaN,0.117819,NaN
1060646400,NaN,0.118301,NaN
1060732800,NaN,0.118784,NaN
1060819200,NaN,0.119266,NaN
1060905600,NaN,0.119749,NaN
1060992000,NaN,0.117817,NaN
1061078400,NaN,0.115886,NaN
1061164800,NaN,0.113955,NaN
1061251200,0.060800,0.112024,-0.051224
1061337600,NaN,0.110093,NaN
1061424000,0.050400,0.108162,-0.057762
1061510400,NaN,0.106231,NaN
1061596800,NaN,0.104300,NaN
1061683200,NaN,0.102368,NaN
1061769600,0.060000,0.100437,-0.040437
1061856000,2.960660,0.098506,2.862154
1061942400,NaN,0.096575,NaN
1062028800,NaN,0.094644,NaN
1062115200,0.048400,0.092713,-0.044313
1062201600,NaN,0.090782,NaN
1062288000,NaN,0.088850,NaN
1062374400,NaN,0.086919,NaN
1062460800,NaN,0.084988,NaN
1062547200,0.046700,0.083057,-0.036357
1062633600,NaN,0.081126,NaN
1062720000,NaN,0.079195,NaN
1062806400,NaN,0.077264,NaN
1062892800,0.072800,0.075333,-0.002533
1062979200,NaN,0.073401,NaN
1063065600,NaN,0.071470,NaN
1063152000,0.070800,0.069539,0.001261
1063238400,0.060700,0.067608,-0.006908
1063324800,NaN,0.065677,NaN
1063411200,NaN,0.063746,NaN
1063497600,NaN,0.061815,NaN
1063584000,NaN,0.059884,NaN
1063670400,0.050000,0.060662,-0.010662
1063756800,0.047800,0.061441,-0.013641
1063843200,NaN,0.062219,NaN
1063929600,NaN,0.062998,NaN
1064016000,2.960660,0.063776,2.896884
1064102400,NaN,0.064555,NaN
1064188800,NaN,0.065334,NaN
1064275200,NaN,0.066112,NaN
1064361600,NaN,0.066891,NaN
1064448000,NaN,0.067669,NaN
1064534400,NaN,0.068448,NaN
1064707200,NaN,0.070005,NaN
1064793600,NaN,0.070784,NaN
1064880000,NaN,0.071562,NaN
1064966400,NaN,0.072341,NaN
1065052800,NaN,0.073119,NaN
1065139200,NaN,0.073898,NaN
1065225600,NaN,0.074677,NaN
1065312000,NaN,0.075455,NaN
1065398400,NaN,0.076234,NaN
1065484800,NaN,0.077012,NaN
1065571200,NaN,0.077791,NaN
1065657600,NaN,0.078570,NaN
1065744000,NaN,0.079348,NaN
1065830400,NaN,0.080127,NaN
1065916800,NaN,0.080905,NaN
1066003200,0.029300,0.081684,-0.052384
1066089600,NaN,0.082463,NaN
1066176000,NaN,0.083241,NaN
1066262400,NaN,0.082545,NaN
1066348800,0.023200,0.081849,-0.058649
1066435200,NaN,0.081153,NaN
1066521600,0.044200,0.080457,-0.036257
1066608000,NaN,0.079761,NaN
1066694400,0.042000,0.079065,-0.037065
1066780800,0.032600,0.078369,-0.045769
1066867200,NaN,0.077673,NaN
1066953600,NaN,0.076977,NaN
1067040000,NaN,0.076281,NaN
1067126400,NaN,0.075585,NaN
1067212800,NaN,0.074889,NaN
1067299200,0.034200,0.074193,-0.039993
1067558400,0.035200,0.072105,-0.036905
1067644800,0.035200,0.071409,-0.036209
1067731200,NaN,0.070713,NaN
1067817600,NaN,0.070017,NaN
1067904000,0.036400,0.069321,-0.032921
1067990400,NaN,0.068625,NaN
1068076800,NaN,0.067929,NaN
1068163200,NaN,0.067233,NaN
1068249600,NaN,0.066537,NaN
1068336000,NaN,0.065841,NaN
1068422400,0.038200,0.065145,-0.026945
1068508800,NaN,0.064449,NaN
1068595200,0.044200,0.063753,-0.019553
1068681600,NaN,0.063057,NaN
1068768000,NaN,0.062361,NaN
1068940800,NaN,0.063496,NaN
1069027200,NaN,0.065327,NaN
1069113600,NaN,0.067158,NaN
1069200000,NaN,0.068989,NaN
1069286400,0.065000,0.070819,-0.005819
1069372800,NaN,0.072650,NaN
1069459200,0.040800,0.074481,-0.033681
1069545600,0.053000,0.076312,-0.023312
1069632000,0.058400,0.078143,-0.019743
1069718400,NaN,0.079973,NaN
1069804800,NaN,0.081804,NaN
1069891200,NaN,0.083635,NaN
1069977600,NaN,0.085466,NaN
1070064000,NaN,0.087297,NaN
1070150400,NaN,0.089127,NaN
1070323200,NaN,0.092789,NaN
1070409600,NaN,0.094620,NaN
1070496000,NaN,0.096451,NaN
1070582400,0.055600,0.098281,-0.042681
1070668800,NaN,0.100112,NaN
1070755200,NaN,0.101943,NaN
1070841600,0.047600,0.103774,-0.056174
1070928000,NaN,0.105605,NaN
1071014400,0.061000,0.107435,-0.046435
1071100800,NaN,0.109266,NaN
1071187200,NaN,0.111097,NaN
1071273600,NaN,0.112928,NaN
1071360000,0.058600,0.114759,-0.056159
1071446400,0.060800,0.116589,-0.055789
1071532800,NaN,0.116547,NaN
1071619200,0.062600,0.116505,-0.053905
1071705600,0.058400,0.116463,-0.058063
1071792000,0.063400,0.116421,-0.053021
1071878400,0.064000,0.116379,-0.052379
1071964800,0.058000,0.116336,-0.058336
1072051200,NaN,0.116294,NaN
1072137600,NaN,0.116252,NaN
1072224000,0.054000,0.116210,-0.062210
1072310400,NaN,0.116168,NaN
1072396800,NaN,0.116126,NaN
1072483200,0.059200,0.116084,-0.056884
1072569600,0.066400,0.116041,-0.049641
1072656000,NaN,0.115999,NaN
1072742400,NaN,0.115957,NaN
1072828800,NaN,0.115915,NaN
1072915200,NaN,0.115873,NaN
1073001600,NaN,0.115831,NaN
1073088000,NaN,0.115789,NaN
1073174400,NaN,0.115746,NaN
1073260800,NaN,0.115704,NaN
1073347200,NaN,0.115662,NaN
1073433600,NaN,0.115620,NaN
1073520000,NaN,0.115578,NaN
1073606400,0.059600,0.115536,-0.055936
1073692800,NaN,0.115494,NaN
1073779200,NaN,0.115451,NaN
1073865600,NaN,0.115409,NaN
1073952000,2.960660,0.115367,2.845293
1074038400,NaN,0.115325,NaN
1074124800,0.058800,0.115283,-0.056483
1074211200,NaN,0.115468,NaN
1074297600,NaN,0.115653,NaN
1074384000,NaN,0.115838,NaN
1074470400,NaN,0.116023,NaN
1074556800,NaN,0.116209,NaN
1074643200,0.044800,0.116394,-0.071594
1074729600,0.054200,0.116579,-0.062379
1074816000,NaN,0.116764,NaN
1074902400,NaN,0.116949,NaN
1074988800,NaN,0.117134,NaN
1075075200,NaN,0.117320,NaN
1075161600,0.061000,0.117505,-0.056505
1075248000,0.058600,0.117690,-0.059090
1075334400,NaN,0.117875,NaN
1075420800,NaN,0.118060,NaN
1075507200,NaN,0.118245,NaN
1075593600,NaN,0.118430,NaN
1075680000,NaN,0.118616,NaN
1075766400,NaN,0.118801,NaN
1075852800,NaN,0.118986,NaN
1075939200,NaN,0.119171,NaN
1076025600,NaN,0.119356,NaN
1076112000,0.059000,0.119541,-0.060541
1076198400,NaN,0.119726,NaN
1076284800,NaN,0.119912,NaN
1076371200,NaN,0.120097,NaN
1076457600,NaN,0.120282,NaN
1076544000,NaN,0.120467,NaN
1076630400,NaN,0.120652,NaN
1076716800,NaN,0.120837,NaN
1076803200,NaN,0.121023,NaN
1076889600,0.055400,0.119643,-0.064243
1076976000,0.056800,0.118263,-0.061463
1077062400,0.067200,0.116883,-0.049683
1077148800,NaN,0.115504,NaN
1077235200,NaN,0.114124,NaN
1077321600,NaN,0.112744,NaN
1077408000,NaN,0.111365,NaN
1077494400,NaN,0.109985,NaN
1077580800,NaN,0.108605,NaN
1077667200,NaN,0.107226,NaN
1077753600,NaN,0.105846,NaN
1077840000,NaN,0.104466,NaN
1077926400,NaN,0.103087,NaN
1078012800,NaN,0.101707,NaN
1078099200,NaN,0.100327,NaN
1078185600,NaN,0.098948,NaN
1078272000,NaN,0.097568,NaN
1078358400,NaN,0.096188,NaN
1078444800,NaN,0.094808,NaN
1078531200,NaN,0.093429,NaN
1078617600,NaN,0.092049,NaN
1078704000,0.044800,0.090669,-0.045869
1078790400,0.043200,0.089290,-0.046090
1078876800,0.045000,0.087910,-0.042910
1078963200,NaN,0.086530,NaN
1079049600,NaN,0.085151,NaN
1079136000,NaN,0.083771,NaN
1079222400,NaN,0.082391,NaN
1079308800,NaN,0.082478,NaN
1079395200,NaN,0.082565,NaN
1079481600,0.040400,0.082651,-0.042251
1079568000,NaN,0.082738,NaN
1079654400,NaN,0.082824,NaN
1079740800,0.035000,0.082911,-0.047911
1079827200,0.034300,0.082998,-0.048698
1079913600,NaN,0.083084,NaN
1080000000,NaN,0.083171,NaN
1080086400,NaN,0.083258,NaN
1080172800,NaN,0.083344,NaN
1080259200,NaN,0.083431,NaN
1080345600,0.034000,0.083517,-0.049517
1080432000,NaN,0.083604,NaN
1080518400,NaN,0.083691,NaN
1080604800,NaN,0.083777,NaN
1080691200,0.033400,0.083864,-0.050464
1080777600,0.032400,0.083951,-0.051551
1080864000,NaN,0.084037,NaN
1080950400,NaN,0.084124,NaN
1081036800,NaN,0.084210,NaN
1081123200,NaN,0.084297,NaN
1081209600,NaN,0.084384,NaN
1081296000,0.036000,0.084470,-0.048470
1081382400,0.037200,0.084557,-0.047357
1081468800,0.036000,0.084644,-0.048644
1081555200,0.037200,0.084730,-0.047530
1081641600,NaN,0.084817,NaN
1081728000,NaN,0.084903,NaN
1081814400,NaN,0.084990,NaN
1081900800,0.037200,0.085077,-0.047877
1081987200,0.036800,0.085388,-0.048588
1082073600,0.035400,0.085699,-0.050299
1082160000,NaN,0.086010,NaN
1082246400,0.039000,0.086322,-0.047322
1082332800,0.047200,0.086633,-0.039433
1082419200,NaN,0.086944,NaN
1082505600,NaN,0.087255,NaN
1082592000,2.960660,0.087566,2.873094
1082678400,NaN,0.087878,NaN
1082764800,NaN,0.088189,NaN
1082851200,NaN,0.088500,NaN
1082937600,NaN,0.088811,NaN
1083024000,2.960660,0.089123,2.871538
1083110400,NaN,0.089434,NaN
1083196800,NaN,0.089745,NaN
1083283200,NaN,0.090056,NaN
1083369600,NaN,0.090367,NaN
1083456000,NaN,0.090679,NaN
1083542400,0.034400,0.090990,-0.056590
1083628800,0.034600,0.091301,-0.056701
1083715200,NaN,0.091612,NaN
1083801600,NaN,0.091924,NaN
1083888000,0.039200,0.092235,-0.053035
1083974400,NaN,0.092546,NaN
1084060800,NaN,0.092857,NaN
1084147200,NaN,0.093168,NaN
1084233600,0.037000,0.093480,-0.056480
1084320000,NaN,0.093791,NaN
1084406400,NaN,0.094102,NaN
1084492800,NaN,0.094413,NaN
1084579200,NaN,0.096686,NaN
1084665600,NaN,0.098959,NaN
1084752000,NaN,0.101233,NaN
1084838400,0.028000,0.103506,-0.075506
1084924800,0.033600,0.105779,-0.072179
1085011200,0.033000,0.108052,-0.075052
1085097600,2.960660,0.110325,2.850335
