Time,mean,climatology,anomaly
1025740800,NaN,0.131546,NaN
1025827200,NaN,0.129194,NaN
1025913600,NaN,0.126842,NaN
1026000000,0.037800,0.124490,-0.086690
1026086400,NaN,0.122139,NaN
1026172800,NaN,0.119787,NaN
1026259200,NaN,0.117435,NaN
1026345600,NaN,0.115083,NaN
1026432000,NaN,0.112731,NaN
1026518400,NaN,0.110380,NaN
1026691200,NaN,0.105676,NaN
1026777600,NaN,0.105827,NaN
1026864000,0.036000,0.105978,-0.069978
1026950400,NaN,0.106129,NaN
1027036800,NaN,0.106279,NaN
1027209600,0.051800,0.106581,-0.054781
1027296000,NaN,0.106732,NaN
1027382400,NaN,0.106883,NaN
1027468800,NaN,0.107034,NaN
1027555200,NaN,0.107185,NaN
1027641600,NaN,0.107335,NaN
1027728000,NaN,0.107486,NaN
1027814400,NaN,0.107637,NaN
1027900800,NaN,0.107788,NaN
1028678400,NaN,0.109146,NaN
1028851200,NaN,0.109447,NaN
1028937600,NaN,0.109598,NaN
1029024000,NaN,0.109749,NaN
1029110400,NaN,0.109900,NaN
1029196800,NaN,0.110051,NaN
1029283200,NaN,0.110202,NaN
1029456000,0.044800,0.108781,-0.063981
1029542400,0.042400,0.107210,-0.064810
1029628800,NaN,0.105638,NaN
1029715200,NaN,0.104067,NaN
1029888000,NaN,0.100924,NaN
1029974400,NaN,0.099353,NaN
1030060800,NaN,0.097782,NaN
1030233600,NaN,0.094639,NaN
1030320000,NaN,0.093068,NaN
1030406400,NaN,0.091496,NaN
1030492800,NaN,0.089925,NaN
1030579200,NaN,0.088354,NaN
1030665600,NaN,0.086782,NaN
1030752000,NaN,0.085211,NaN
1030924800,NaN,0.082068,NaN
1031011200,NaN,0.080497,NaN
1031097600,NaN,0.078926,NaN
1031270400,NaN,0.075783,NaN
1031356800,NaN,0.074212,NaN
1031443200,NaN,0.072640,NaN
1031616000,0.050000,0.069498,-0.019498
1031702400,0.044600,0.067926,-0.023326
1031875200,NaN,0.064784,NaN
1031961600,NaN,0.063212,NaN
1032048000,NaN,0.061641,NaN
1032134400,NaN,0.062343,NaN
1032220800,0.041400,0.063045,-0.021645
1032307200,0.037700,0.063747,-0.026047
1032393600,NaN,0.064449,NaN
1032480000,NaN,0.065151,NaN
1032566400,NaN,0.065854,NaN
1032652800,NaN,0.066556,NaN
1032739200,NaN,0.067258,NaN
1032825600,NaN,0.067960,NaN
1032912000,NaN,0.068662,NaN
1032998400,NaN,0.069364,NaN
1033084800,0.034400,0.070066,-0.035666
1033171200,NaN,0.070768,NaN
1033257600,NaN,0.071470,NaN
1033344000,0.040800,0.072172,-0.031372
1033430400,NaN,0.072874,NaN
1033516800,NaN,0.073577,NaN
1033603200,0.042200,0.074279,-0.032079
1033689600,0.035000,0.074981,-0.039981
1033776000,NaN,0.075683,NaN
1033862400,NaN,0.076385,NaN
1033948800,NaN,0.077087,NaN
1034035200,NaN,0.077789,NaN
1034121600,NaN,0.078491,NaN
1034208000,NaN,0.079193,NaN
1034294400,NaN,0.079895,NaN
1034380800,0.042200,0.080597,-0.038397
1034467200,NaN,0.081300,NaN
1034553600,NaN,0.082002,NaN
1034640000,NaN,0.082704,NaN
1034726400,0.072400,0.082180,-0.009780
1034812800,0.068800,0.081656,-0.012856
1034899200,NaN,0.081132,NaN
1034985600,NaN,0.080608,NaN
1035072000,NaN,0.080084,NaN
1035158400,NaN,0.079560,NaN
1035244800,NaN,0.079036,NaN
1035331200,0.069000,0.078512,-0.009512
1035417600,NaN,0.077988,NaN
1035504000,NaN,0.077464,NaN
1035590400,NaN,0.076940,NaN
1035676800,NaN,0.076416,NaN
1035763200,NaN,0.075892,NaN
1035849600,NaN,0.075369,NaN
1035936000,NaN,0.074845,NaN
1036022400,0.034300,0.074321,-0.040021
1036108800,NaN,0.073797,NaN
1036195200,NaN,0.073273,NaN
1036281600,NaN,0.072749,NaN
1036368000,NaN,0.072225,NaN
1036454400,NaN,0.071701,NaN
1036540800,0.050000,0.071177,-0.021177
1036627200,0.048400,0.070653,-0.022253
1036713600,2.960518,0.070129,2.890389
1036800000,0.046000,0.069605,-0.023605
1036886400,0.050600,0.069081,-0.018481
1036972800,NaN,0.068557,NaN
1037059200,0.051000,0.068033,-0.017033
1037145600,0.039600,0.067509,-0.027909
1037232000,NaN,0.066985,NaN
1037318400,NaN,0.066462,NaN
1037404800,0.047600,0.068399,-0.020799
1037491200,0.049600,0.070336,-0.020736
1037577600,0.049800,0.072273,-0.022473
1037664000,NaN,0.074210,NaN
1037750400,NaN,0.076147,NaN
1037836800,0.047800,0.078085,-0.030285
1037923200,0.040200,0.080022,-0.039822
1038009600,0.049000,0.081959,-0.032959
1038096000,NaN,0.083896,NaN
1038182400,0.042200,0.085833,-0.043633
1038268800,NaN,0.087770,NaN
1038355200,NaN,0.089708,NaN
1038441600,NaN,0.091645,NaN
1038528000,NaN,0.093582,NaN
1038614400,NaN,0.095519,NaN
1038700800,NaN,0.097456,NaN
1038787200,NaN,0.099393,NaN
1038873600,NaN,0.101331,NaN
1038960000,NaN,0.103268,NaN
1039046400,NaN,0.105205,NaN
1039132800,0.042400,0.107142,-0.064742
1039219200,NaN,0.109079,NaN
1039305600,NaN,0.111016,NaN
1039392000,NaN,0.112954,NaN
1039478400,NaN,0.114891,NaN
1039564800,NaN,0.116828,NaN
1039651200,NaN,0.118765,NaN
1039737600,0.054600,0.120702,-0.066102
1039824000,0.061400,0.122639,-0.061239
1039910400,0.057000,0.124577,-0.067577
1039996800,0.065600,0.124506,-0.058906
1040083200,NaN,0.124435,NaN
1040169600,NaN,0.124364,NaN
1040256000,NaN,0.124293,NaN
1040342400,0.048800,0.124222,-0.075422
1040428800,NaN,0.124151,NaN
1040515200,0.055000,0.124080,-0.069080
1040601600,NaN,0.124009,NaN
1040688000,NaN,0.123938,NaN
1040774400,NaN,0.123868,NaN
1040860800,NaN,0.123797,NaN
1040947200,NaN,0.123726,NaN
1041033600,0.058200,0.123655,-0.065455
1041120000,0.059200,0.123584,-0.064384
1041206400,NaN,0.123513,NaN
1041292800,NaN,0.123442,NaN
1041379200,0.062800,0.123371,-0.060571
1041465600,NaN,0.123300,NaN
1041552000,0.068600,0.123229,-0.054629
1041638400,0.069400,0.123159,-0.053759
1041724800,NaN,0.123088,NaN
1041811200,NaN,0.123017,NaN
1041897600,0.056800,0.122946,-0.066146
1041984000,0.058800,0.122875,-0.064075
1042070400,NaN,0.122804,NaN
1042156800,2.960518,0.122733,2.837785
1042243200,NaN,0.122662,NaN
1042329600,NaN,0.122591,NaN
1042416000,0.057800,0.122520,-0.064720
1042502400,NaN,0.122450,NaN
1042588800,NaN,0.122379,NaN
1042675200,NaN,0.122533,NaN
1042761600,NaN,0.122686,NaN
