Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.131546,NaN
2002-07-05,NaN,0.129194,NaN
2002-07-06,NaN,0.126842,NaN
2002-07-07,0.037800,0.124490,-0.086690
2002-07-08,NaN,0.122139,NaN
2002-07-09,NaN,0.119787,NaN
2002-07-10,NaN,0.117435,NaN
2002-07-11,NaN,0.115083,NaN
2002-07-12,NaN,0.112731,NaN
2002-07-13,NaN,0.110380,NaN
2002-07-15,NaN,0.105676,NaN
2002-07-16,NaN,0.105827,NaN
2002-07-17,0.036000,0.105978,-0.069978
2002-07-18,NaN,0.106129,NaN
2002-07-19,NaN,0.106279,NaN
2002-07-21,0.051800,0.106581,-0.054781
2002-07-22,NaN,0.106732,NaN
2002-07-23,NaN,0.106883,NaN
2002-07-24,NaN,0.107034,NaN
2002-07-25,NaN,0.107185,NaN
2002-07-26,NaN,0.107335,NaN
2002-07-27,NaN,0.107486,NaN
2002-07-28,NaN,0.107637,NaN
2002-07-29,NaN,0.107788,NaN
2002-08-07,NaN,0.109146,NaN
2002-08-09,NaN,0.109447,NaN
2002-08-10,NaN,0.109598,NaN
2002-08-11,NaN,0.109749,NaN
2002-08-12,NaN,0.109900,NaN
2002-08-13,NaN,0.110051,NaN
2002-08-14,NaN,0.110202,NaN
2002-08-16,0.044800,0.108781,-0.063981
2002-08-17,0.042400,0.107210,-0.064810
2002-08-18,NaN,0.105638,NaN
2002-08-19,NaN,0.104067,NaN
2002-08-21,NaN,0.100924,NaN
2002-08-22,NaN,0.099353,NaN
2002-08-23,NaN,0.097782,NaN
2002-08-25,NaN,0.094639,NaN
2002-08-26,NaN,0.093068,NaN
2002-08-27,NaN,0.091496,NaN
2002-08-28,NaN,0.089925,NaN
2002-08-29,NaN,0.088354,NaN
2002-08-30,NaN,0.086782,NaN
2002-08-31,NaN,0.085211,NaN
2002-09-02,NaN,0.082068,NaN
2002-09-03,NaN,0.080497,NaN
2002-09-04,NaN,0.078926,NaN
2002-09-06,NaN,0.075783,NaN
2002-09-07,NaN,0.074212,NaN
2002-09-08,NaN,0.072640,NaN
2002-09-10,0.050000,0.069498,-0.019498
2002-09-11,0.044600,0.067926,-0.023326
2002-09-13,NaN,0.064784,NaN
2002-09-14,NaN,0.063212,NaN
2002-09-15,NaN,0.061641,NaN
2002-09-16,NaN,0.062343,NaN
2002-09-17,0.041400,0.063045,-0.021645
2002-09-18,0.037700,0.063747,-0.026047
2002-09-19,NaN,0.064449,NaN
