Time,mean,climatology,anomaly
1025740800,NaN,0.119513,NaN
1025827200,NaN,0.117442,NaN
1025913600,NaN,0.115371,NaN
1026000000,0.035400,0.113301,-0.077901
1026086400,NaN,0.111230,NaN
1026172800,0.039400,0.109159,-0.069759
1026259200,NaN,0.107088,NaN
1026345600,NaN,0.105017,NaN
1026432000,NaN,0.102946,NaN
1026518400,NaN,0.100876,NaN
1026691200,0.034600,0.096734,-0.062134
1026777600,NaN,0.097414,NaN
1026864000,0.035000,0.098094,-0.063094
1026950400,NaN,0.098773,NaN
1027036800,0.036800,0.099453,-0.062653
1027209600,NaN,0.100813,NaN
1027296000,0.034600,0.101493,-0.066893
1027382400,0.034000,0.102172,-0.068172
1027468800,NaN,0.102852,NaN
1027555200,NaN,0.103532,NaN
1027641600,NaN,0.104212,NaN
1027728000,NaN,0.104892,NaN
1027814400,NaN,0.105571,NaN
1027900800,NaN,0.106251,NaN
1028678400,NaN,0.112369,NaN
1028851200,NaN,0.113729,NaN
1028937600,NaN,0.114409,NaN
1029024000,NaN,0.115088,NaN
1029110400,NaN,0.115768,NaN
1029196800,NaN,0.116448,NaN
1029283200,NaN,0.117128,NaN
1029456000,NaN,0.116001,NaN
1029542400,NaN,0.114194,NaN
1029628800,NaN,0.112387,NaN
1029715200,NaN,0.110580,NaN
1029888000,NaN,0.106966,NaN
1029974400,NaN,0.105159,NaN
1030060800,0.043600,0.103352,-0.059752
1030233600,0.046800,0.099738,-0.052938
1030320000,NaN,0.097931,NaN
1030406400,NaN,0.096124,NaN
1030492800,NaN,0.094317,NaN
1030579200,NaN,0.092510,NaN
1030665600,NaN,0.090703,NaN
1030752000,NaN,0.088896,NaN
1030924800,NaN,0.085282,NaN
1031011200,NaN,0.083475,NaN
1031097600,NaN,0.081668,NaN
1031270400,NaN,0.078054,NaN
1031356800,NaN,0.076247,NaN
1031443200,NaN,0.074440,NaN
1031616000,NaN,0.070826,NaN
1031702400,0.037200,0.069019,-0.031819
1031875200,NaN,0.065405,NaN
