Time,mean,climatology,anomaly
1025740800,NaN,0.118902,NaN
1025827200,NaN,0.117255,NaN
1025913600,NaN,0.115609,NaN
1026000000,NaN,0.113963,NaN
1026086400,NaN,0.112316,NaN
1026172800,NaN,0.110670,NaN
1026259200,NaN,0.109023,NaN
1026345600,NaN,0.107377,NaN
1026432000,NaN,0.105731,NaN
1026518400,0.048200,0.104084,-0.055884
1026691200,0.107600,0.100792,0.006808
1026777600,0.064200,0.101539,-0.037339
1026864000,0.068600,0.102287,-0.033687
1026950400,NaN,0.103035,NaN
1027036800,NaN,0.103782,NaN
1027209600,NaN,0.105277,NaN
1027296000,0.062800,0.106025,-0.043225
1027382400,0.046200,0.106773,-0.060573
1027468800,NaN,0.107520,NaN
1027555200,NaN,0.108268,NaN
1027641600,NaN,0.109016,NaN
1027728000,NaN,0.109763,NaN
1027814400,NaN,0.110511,NaN
1027900800,NaN,0.111258,NaN
1028678400,NaN,0.117987,NaN
1028851200,NaN,0.119482,NaN
1028937600,NaN,0.120230,NaN
1029024000,NaN,0.120978,NaN
1029110400,NaN,0.121725,NaN
1029196800,NaN,0.122473,NaN
1029283200,0.034000,0.123220,-0.089220
1029456000,NaN,0.122789,NaN
1029542400,NaN,0.121609,NaN
1029628800,NaN,0.120430,NaN
1029715200,NaN,0.119250,NaN
1029888000,NaN,0.116892,NaN
1029974400,NaN,0.115712,NaN
1030060800,0.032800,0.114533,-0.081733
1030233600,NaN,0.112174,NaN
1030320000,NaN,0.110994,NaN
1030406400,NaN,0.109815,NaN
1030492800,NaN,0.108636,NaN
1030579200,NaN,0.107456,NaN
1030665600,NaN,0.106277,NaN
1030752000,0.099200,0.105097,-0.005897
1030924800,NaN,0.102739,NaN
1031011200,0.032300,0.101559,-0.069259
1031097600,NaN,0.100380,NaN
1031270400,NaN,0.098021,NaN
1031356800,NaN,0.096841,NaN
1031443200,NaN,0.095662,NaN
1031616000,NaN,0.093303,NaN
1031702400,NaN,0.092124,NaN
1031875200,NaN,0.089765,NaN
1031961600,NaN,0.088586,NaN
1032048000,0.049400,0.087406,-0.038006
1032134400,NaN,0.087841,NaN
1032220800,0.053300,0.088276,-0.034976
