Time,mean,climatology,anomaly
1025740800,NaN,0.410704,NaN
1025827200,NaN,0.410204,NaN
1025913600,NaN,0.409703,NaN
1026000000,NaN,0.409203,NaN
1026086400,NaN,0.408702,NaN
1026172800,NaN,0.408201,NaN
1026259200,NaN,0.407701,NaN
1026345600,NaN,0.407200,NaN
1026432000,NaN,0.406700,NaN
1026518400,NaN,0.406199,NaN
1026691200,0.629400,0.405198,0.224202
1026777600,NaN,0.405905,NaN
1026864000,NaN,0.406612,NaN
1026950400,NaN,0.407320,NaN
1027036800,NaN,0.408027,NaN
1027209600,NaN,0.409441,NaN
1027296000,NaN,0.410149,NaN
1027382400,NaN,0.410856,NaN
1027468800,NaN,0.411563,NaN
1027555200,NaN,0.412271,NaN
1027641600,NaN,0.412978,NaN
1027728000,NaN,0.413685,NaN
1027814400,NaN,0.414393,NaN
1027900800,NaN,0.415100,NaN
1028678400,NaN,0.421465,NaN
1028851200,NaN,0.422880,NaN
1028937600,NaN,0.423587,NaN
1029024000,NaN,0.424295,NaN
1029110400,NaN,0.425002,NaN
1029196800,NaN,0.425709,NaN
1029283200,NaN,0.426416,NaN
1029456000,0.398800,0.428748,-0.029948
1029542400,NaN,0.430372,NaN
1029628800,NaN,0.431996,NaN
1029715200,NaN,0.433619,NaN
1029888000,NaN,0.436867,NaN
1029974400,0.435600,0.438491,-0.002891
1030060800,0.733800,0.440115,0.293685
1030233600,0.545800,0.443363,0.102437
1030320000,NaN,0.444987,NaN
1030406400,NaN,0.446611,NaN
1030492800,NaN,0.448235,NaN
1030579200,NaN,0.449859,NaN
1030665600,NaN,0.451483,NaN
1030752000,NaN,0.453107,NaN
1030924800,NaN,0.456355,NaN
1031011200,NaN,0.457979,NaN
1031097600,NaN,0.459602,NaN
1031270400,NaN,0.462850,NaN
1031356800,0.340700,0.464474,-0.123774
1031443200,NaN,0.466098,NaN
1031616000,NaN,0.469346,NaN
1031702400,NaN,0.470970,NaN
1031875200,NaN,0.474218,NaN
1031961600,NaN,0.475842,NaN
1032048000,0.252400,0.477466,-0.225066
1032134400,NaN,0.480411,NaN
1032220800,NaN,0.483356,NaN
1032307200,NaN,0.486301,NaN
1032393600,NaN,0.489246,NaN
1032480000,NaN,0.492191,NaN
1032566400,NaN,0.495136,NaN
1032652800,NaN,0.498080,NaN
1032739200,NaN,0.501025,NaN
1032825600,NaN,0.503970,NaN
1032912000,NaN,0.506915,NaN
1032998400,NaN,0.509860,NaN
1033084800,NaN,0.512805,NaN
1033171200,0.306400,0.515750,-0.209350
1033257600,NaN,0.518695,NaN
1033344000,NaN,0.521640,NaN
1033430400,NaN,0.524585,NaN
1033516800,NaN,0.527530,NaN
1033603200,0.261500,0.530475,-0.268975
1033689600,0.324800,0.533420,-0.208620
1033776000,NaN,0.536365,NaN
1033862400,NaN,0.539310,NaN
1033948800,0.279800,0.542255,-0.262455
1034035200,NaN,0.545200,NaN
1034121600,0.229400,0.548145,-0.318745
1034208000,0.303300,0.551090,-0.247790
1034294400,0.295400,0.554035,-0.258635
1034380800,NaN,0.556980,NaN
1034467200,NaN,0.559925,NaN
1034553600,0.653400,0.562870,0.090530
1034640000,NaN,0.565815,NaN
1034726400,NaN,0.562802,NaN
1034812800,0.372800,0.559790,-0.186990
1034899200,0.368200,0.556777,-0.188577
1034985600,0.551000,0.553765,-0.002765
1035072000,NaN,0.550752,NaN
1035158400,NaN,0.547740,NaN
1035244800,0.726400,0.544727,0.181673
1035331200,0.402400,0.541714,-0.139314
1035417600,0.484000,0.538702,-0.054702
1035504000,0.348600,0.535689,-0.187089
1035590400,0.391500,0.532677,-0.141177
1035676800,0.424900,0.529664,-0.104764
1035763200,0.361600,0.526652,-0.165052
1035849600,0.299000,0.523639,-0.224639
1035936000,0.360100,0.520627,-0.160527
1036022400,NaN,0.517614,NaN
1036108800,0.315000,0.514602,-0.199602
1036195200,0.318200,0.511589,-0.193389
1036281600,0.266800,0.508577,-0.241777
1036368000,0.373600,0.505564,-0.131964
1036454400,NaN,0.502552,NaN
1036540800,0.263200,0.499539,-0.236339
1036627200,NaN,0.496526,NaN
1036713600,2.940212,0.493514,2.446698
1036800000,0.570600,0.490501,0.080099
1036886400,0.342700,0.487489,-0.144789
1036972800,0.491600,0.484476,0.007124
1037059200,0.391800,0.481464,-0.089664
1037145600,NaN,0.478451,NaN
1037232000,NaN,0.475439,NaN
1037318400,NaN,0.472426,NaN
1037404800,NaN,0.472362,NaN
1037491200,NaN,0.472298,NaN
1037577600,NaN,0.472233,NaN
1037664000,NaN,0.472169,NaN
1037750400,NaN,0.472105,NaN
1037836800,NaN,0.472040,NaN
1037923200,NaN,0.471976,NaN
1038009600,NaN,0.471912,NaN
1038096000,0.340200,0.471847,-0.131647
1038182400,NaN,0.471783,NaN
1038268800,NaN,0.471719,NaN
1038355200,NaN,0.471654,NaN
1038441600,NaN,0.471590,NaN
1038528000,NaN,0.471526,NaN
1038614400,0.546200,0.471461,0.074739
1038700800,NaN,0.471397,NaN
1038787200,NaN,0.471333,NaN
1038873600,0.391800,0.471269,-0.079469
1038960000,NaN,0.471204,NaN
1039046400,NaN,0.471140,NaN
1039132800,NaN,0.471076,NaN
1039219200,NaN,0.471011,NaN
1039305600,NaN,0.470947,NaN
1039392000,NaN,0.470883,NaN
1039478400,0.321600,0.470818,-0.149218
1039564800,NaN,0.470754,NaN
1039651200,0.322700,0.470690,-0.147990
1039737600,NaN,0.470625,NaN
1039824000,NaN,0.470561,NaN
1039910400,NaN,0.470497,NaN
1039996800,0.417400,0.466779,-0.049379
1040083200,0.448600,0.463062,-0.014462
1040169600,0.577600,0.459344,0.118256
1040256000,0.440800,0.455626,-0.014826
1040342400,NaN,0.451909,NaN
1040428800,0.240400,0.448191,-0.207791
1040515200,NaN,0.444473,NaN
1040601600,NaN,0.440756,NaN
1040688000,0.399200,0.437038,-0.037838
1040774400,NaN,0.433321,NaN
1040860800,0.255800,0.429603,-0.173803
1040947200,NaN,0.425885,NaN
1041033600,0.212600,0.422168,-0.209568
1041120000,0.336800,0.418450,-0.081650
1041206400,NaN,0.414733,NaN
1041292800,NaN,0.411015,NaN
1041379200,NaN,0.407297,NaN
1041465600,NaN,0.403580,NaN
1041552000,NaN,0.399862,NaN
1041638400,0.207600,0.396145,-0.188545
1041724800,NaN,0.392427,NaN
1041811200,0.260600,0.388709,-0.128109
1041897600,0.254600,0.384992,-0.130392
1041984000,0.288200,0.381274,-0.093074
1042070400,0.349600,0.377557,-0.027957
1042156800,2.940212,0.373839,2.566373
1042243200,0.445400,0.370121,0.075279
1042329600,0.319600,0.366404,-0.046804
1042416000,NaN,0.362686,NaN
1042502400,NaN,0.358968,NaN
1042588800,0.243000,0.355251,-0.112251
1042675200,0.318600,0.353769,-0.035169
1042761600,NaN,0.352288,NaN
1042848000,NaN,0.350806,NaN
1042934400,NaN,0.349325,NaN
1043020800,0.238400,0.347843,-0.109443
1043107200,0.254000,0.346362,-0.092362
1043193600,0.308600,0.344880,-0.036280
1043280000,NaN,0.343399,NaN
1043366400,NaN,0.341917,NaN
1043452800,0.209900,0.340436,-0.130536
1043539200,NaN,0.338954,NaN
1043625600,NaN,0.337473,NaN
1043712000,NaN,0.335991,NaN
1043798400,NaN,0.334510,NaN
1043884800,NaN,0.333028,NaN
1043971200,0.227400,0.331547,-0.104147
1044057600,0.267000,0.330065,-0.063065
1044144000,0.244200,0.328584,-0.084384
1044230400,2.940212,0.327102,2.613109
1044316800,NaN,0.325621,NaN
1044403200,NaN,0.324139,NaN
1044489600,0.241300,0.322658,-0.081358
1044576000,0.250800,0.321176,-0.070376
1044662400,0.253400,0.319695,-0.066295
1044748800,0.229400,0.318213,-0.088813
1044835200,NaN,0.316732,NaN
1044921600,0.303400,0.315250,-0.011850
1045008000,0.229000,0.313769,-0.084769
1045094400,0.252800,0.312287,-0.059487
1045180800,NaN,0.310806,NaN
1045267200,0.231900,0.309324,-0.077424
1045353600,0.191200,0.307632,-0.116432
1045440000,NaN,0.305940,NaN
1045526400,NaN,0.304248,NaN
1045612800,0.216000,0.302556,-0.086556
1045699200,NaN,0.300864,NaN
1045785600,0.227400,0.299172,-0.071772
1045872000,0.215200,0.297480,-0.082280
1045958400,NaN,0.295788,NaN
1046044800,NaN,0.294096,NaN
1046131200,NaN,0.292403,NaN
1046217600,0.287800,0.290711,-0.002911
1046304000,2.940212,0.289019,2.651192
1046390400,0.245600,0.287327,-0.041727
1046476800,NaN,0.285635,NaN
1046563200,0.191200,0.283943,-0.092743
1046649600,0.209000,0.282251,-0.073251
1046736000,NaN,0.280559,NaN
1046822400,NaN,0.278867,NaN
1046908800,NaN,0.277175,NaN
1046995200,0.251200,0.275482,-0.024282
1047081600,0.247600,0.273790,-0.026190
1047168000,0.209100,0.272098,-0.062998
1047254400,NaN,0.270406,NaN
1047340800,NaN,0.268714,NaN
1047427200,0.297000,0.267022,0.029978
1047513600,NaN,0.265330,NaN
1047600000,0.240600,0.263638,-0.023038
1047686400,NaN,0.261946,NaN
1047772800,NaN,0.262802,NaN
1047859200,NaN,0.263659,NaN
1047945600,NaN,0.264515,NaN
1048032000,0.215000,0.265372,-0.050372
