Time,mean,climatology,anomaly
1025740800,NaN,0.161693,NaN
1025827200,NaN,0.159178,NaN
1025913600,NaN,0.156663,NaN
1026000000,NaN,0.154149,NaN
1026086400,NaN,0.151634,NaN
1026172800,NaN,0.149119,NaN
1026259200,NaN,0.146604,NaN
1026345600,NaN,0.144090,NaN
1026432000,NaN,0.141575,NaN
1026518400,NaN,0.139060,NaN
1026691200,NaN,0.134031,NaN
1026777600,NaN,0.133611,NaN
1026864000,NaN,0.133191,NaN
1026950400,NaN,0.132771,NaN
1027036800,NaN,0.132351,NaN
1027209600,0.106400,0.131512,-0.025112
1027296000,0.118600,0.131092,-0.012492
1027382400,0.131000,0.130672,0.000328
1027468800,NaN,0.130252,NaN
1027555200,NaN,0.129832,NaN
1027641600,NaN,0.129412,NaN
1027728000,NaN,0.128992,NaN
1027814400,NaN,0.128572,NaN
1027900800,NaN,0.128153,NaN
1028678400,NaN,0.124374,NaN
1028851200,NaN,0.123534,NaN
1028937600,NaN,0.123114,NaN
1029024000,NaN,0.122694,NaN
1029110400,NaN,0.122274,NaN
1029196800,NaN,0.121854,NaN
1029283200,NaN,0.121435,NaN
1029456000,0.062400,0.119760,-0.057360
1029542400,0.070800,0.118506,-0.047706
1029628800,NaN,0.117252,NaN
1029715200,NaN,0.115998,NaN
1029888000,NaN,0.113489,NaN
1029974400,NaN,0.112235,NaN
1030060800,NaN,0.110981,NaN
1030233600,NaN,0.108472,NaN
1030320000,NaN,0.107218,NaN
1030406400,NaN,0.105964,NaN
1030492800,NaN,0.104710,NaN
1030579200,NaN,0.103455,NaN
1030665600,NaN,0.102201,NaN
1030752000,NaN,0.100947,NaN
1030924800,NaN,0.098438,NaN
1031011200,NaN,0.097184,NaN
1031097600,NaN,0.095930,NaN
1031270400,NaN,0.093421,NaN
1031356800,NaN,0.092167,NaN
1031443200,NaN,0.090913,NaN
1031616000,NaN,0.088405,NaN
1031702400,0.055200,0.087150,-0.031950
1031875200,NaN,0.084642,NaN
1031961600,NaN,0.083388,NaN
1032048000,NaN,0.082133,NaN
1032134400,NaN,0.083400,NaN
1032220800,NaN,0.084666,NaN
1032307200,0.048000,0.085932,-0.037932
1032393600,NaN,0.087198,NaN
1032480000,NaN,0.088464,NaN
1032566400,0.049200,0.089731,-0.040531
1032652800,NaN,0.090997,NaN
1032739200,NaN,0.092263,NaN
1032825600,NaN,0.093529,NaN
1032912000,NaN,0.094795,NaN
1032998400,NaN,0.096061,NaN
1033084800,0.123000,0.097328,0.025672
1033171200,NaN,0.098594,NaN
1033257600,NaN,0.099860,NaN
1033344000,NaN,0.101126,NaN
1033430400,NaN,0.102392,NaN
1033516800,NaN,0.103659,NaN
1033603200,0.089000,0.104925,-0.015925
1033689600,NaN,0.106191,NaN
1033776000,NaN,0.107457,NaN
1033862400,0.118100,0.108723,0.009377
1033948800,0.097000,0.109990,-0.012990
1034035200,NaN,0.111256,NaN
1034121600,NaN,0.112522,NaN
1034208000,NaN,0.113788,NaN
1034294400,NaN,0.115054,NaN
1034380800,0.047000,0.116321,-0.069321
1034467200,NaN,0.117587,NaN
1034553600,NaN,0.118853,NaN
1034640000,0.084600,0.120119,-0.035519
1034726400,0.085400,0.119956,-0.034556
1034812800,0.072400,0.119793,-0.047393
1034899200,NaN,0.119630,NaN
1034985600,NaN,0.119467,NaN
1035072000,NaN,0.119304,NaN
1035158400,NaN,0.119141,NaN
1035244800,NaN,0.118978,NaN
1035331200,NaN,0.118815,NaN
1035417600,NaN,0.118652,NaN
1035504000,NaN,0.118489,NaN
1035590400,NaN,0.118326,NaN
1035676800,NaN,0.118163,NaN
1035763200,NaN,0.118000,NaN
1035849600,NaN,0.117837,NaN
1035936000,NaN,0.117674,NaN
