Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.191085,NaN
2002-07-05,NaN,0.190655,NaN
2002-07-06,NaN,0.190226,NaN
2002-07-07,0.034000,0.189796,-0.155796
2002-07-08,NaN,0.189366,NaN
2002-07-09,NaN,0.188937,NaN
2002-07-10,NaN,0.188507,NaN
2002-07-11,NaN,0.188078,NaN
2002-07-12,NaN,0.187648,NaN
2002-07-13,NaN,0.187219,NaN
2002-07-15,NaN,0.186360,NaN
2002-07-16,NaN,0.185485,NaN
2002-07-17,0.110800,0.184610,-0.073810
2002-07-18,0.116200,0.183735,-0.067535
2002-07-19,0.114800,0.182861,-0.068061
2002-07-21,0.082800,0.181111,-0.098311
2002-07-22,0.104200,0.180236,-0.076036
2002-07-23,NaN,0.179362,NaN
2002-07-24,0.105900,0.178487,-0.072587
2002-07-25,NaN,0.177612,NaN
2002-07-26,NaN,0.176737,NaN
2002-07-27,NaN,0.175862,NaN
2002-07-28,0.137800,0.174988,-0.037188
2002-07-29,NaN,0.174113,NaN
2002-08-07,NaN,0.166240,NaN
2002-08-09,NaN,0.164491,NaN
2002-08-10,NaN,0.163616,NaN
2002-08-11,NaN,0.162741,NaN
2002-08-12,NaN,0.161866,NaN
2002-08-13,NaN,0.160992,NaN
2002-08-14,NaN,0.160117,NaN
2002-08-16,0.083600,0.156908,-0.073308
2002-08-17,0.082300,0.154574,-0.072274
2002-08-18,0.078000,0.152240,-0.074240
2002-08-19,NaN,0.149906,NaN
2002-08-21,NaN,0.145237,NaN
2002-08-22,NaN,0.142903,NaN
2002-08-23,NaN,0.140569,NaN
2002-08-25,NaN,0.135901,NaN
2002-08-26,NaN,0.133567,NaN
2002-08-27,NaN,0.131232,NaN
2002-08-28,NaN,0.128898,NaN
2002-08-29,NaN,0.126564,NaN
2002-08-30,NaN,0.124230,NaN
2002-08-31,NaN,0.121896,NaN
2002-09-02,NaN,0.117228,NaN
2002-09-03,NaN,0.114893,NaN
2002-09-04,NaN,0.112559,NaN
2002-09-06,NaN,0.107891,NaN
2002-09-07,NaN,0.105557,NaN
2002-09-08,NaN,0.103223,NaN
2002-09-10,NaN,0.098554,NaN
2002-09-11,0.066600,0.096220,-0.029620
2002-09-13,NaN,0.091552,NaN
2002-09-14,NaN,0.089218,NaN
2002-09-15,NaN,0.086884,NaN
2002-09-16,NaN,0.087819,NaN
2002-09-17,NaN,0.088754,NaN
2002-09-18,0.063400,0.089690,-0.026290
2002-09-19,NaN,0.090625,NaN
2002-09-20,0.059000,0.091561,-0.032561
2002-09-21,NaN,0.092496,NaN
2002-09-22,NaN,0.093432,NaN
2002-09-23,NaN,0.094367,NaN
2002-09-24,NaN,0.095303,NaN
2002-09-25,NaN,0.096238,NaN
2002-09-26,NaN,0.097174,NaN
2002-09-27,0.141400,0.098109,0.043291
2002-09-28,0.131400,0.099044,0.032356
2002-09-29,0.146800,0.099980,0.046820
2002-09-30,NaN,0.100915,NaN
2002-10-01,NaN,0.101851,NaN
2002-10-02,NaN,0.102786,NaN
2002-10-03,NaN,0.103722,NaN
2002-10-04,NaN,0.104657,NaN
2002-10-05,NaN,0.105593,NaN
2002-10-06,0.144400,0.106528,0.037872
2002-10-07,NaN,0.107463,NaN
2002-10-08,NaN,0.108399,NaN
2002-10-09,NaN,0.109334,NaN
2002-10-10,NaN,0.110270,NaN
2002-10-11,NaN,0.111205,NaN
2002-10-12,NaN,0.112141,NaN
2002-10-13,NaN,0.113076,NaN
2002-10-14,NaN,0.114012,NaN
2002-10-15,0.062800,0.114947,-0.052147
2002-10-16,0.083600,0.115047,-0.031447
2002-10-17,0.059800,0.115146,-0.055346
2002-10-18,NaN,0.115246,NaN
2002-10-19,NaN,0.115345,NaN
2002-10-20,NaN,0.115445,NaN
2002-10-21,NaN,0.115544,NaN
2002-10-22,NaN,0.115644,NaN
2002-10-23,NaN,0.115743,NaN
2002-10-24,NaN,0.115843,NaN
2002-10-25,NaN,0.115942,NaN
2002-10-26,NaN,0.116042,NaN
2002-10-27,NaN,0.116141,NaN
2002-10-28,NaN,0.116241,NaN
2002-10-29,NaN,0.116340,NaN
