Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.134195,NaN
2002-07-05,NaN,0.132623,NaN
2002-07-06,NaN,0.131051,NaN
2002-07-07,0.040600,0.129479,-0.088879
2002-07-08,NaN,0.127908,NaN
2002-07-09,NaN,0.126336,NaN
2002-07-10,NaN,0.124764,NaN
2002-07-11,NaN,0.123192,NaN
2002-07-12,NaN,0.121620,NaN
2002-07-13,0.044600,0.120049,-0.075449
2002-07-15,0.067400,0.116905,-0.049505
2002-07-16,NaN,0.117641,NaN
2002-07-17,NaN,0.118378,NaN
2002-07-18,NaN,0.119114,NaN
2002-07-19,NaN,0.119850,NaN
2002-07-21,NaN,0.121323,NaN
2002-07-22,NaN,0.122059,NaN
2002-07-23,0.072800,0.122796,-0.049996
2002-07-24,NaN,0.123532,NaN
2002-07-25,NaN,0.124269,NaN
2002-07-26,NaN,0.125005,NaN
2002-07-27,NaN,0.125741,NaN
2002-07-28,NaN,0.126478,NaN
2002-07-29,NaN,0.127214,NaN
2002-08-07,NaN,0.133841,NaN
2002-08-09,0.040600,0.135314,-0.094714
2002-08-10,NaN,0.136050,NaN
2002-08-11,NaN,0.136786,NaN
2002-08-12,NaN,0.137523,NaN
2002-08-13,NaN,0.138259,NaN
2002-08-14,0.078600,0.138996,-0.060396
2002-08-16,NaN,0.138430,NaN
2002-08-17,NaN,0.137128,NaN
2002-08-18,NaN,0.135826,NaN
2002-08-19,NaN,0.134524,NaN
2002-08-21,NaN,0.131919,NaN
2002-08-22,0.044000,0.130617,-0.086617
2002-08-23,0.051000,0.129315,-0.078315
2002-08-25,0.035800,0.126711,-0.090911
2002-08-26,NaN,0.125409,NaN
2002-08-27,NaN,0.124107,NaN
2002-08-28,NaN,0.122805,NaN
2002-08-29,NaN,0.121503,NaN
2002-08-30,NaN,0.120201,NaN
2002-08-31,NaN,0.118899,NaN
2002-09-02,NaN,0.116295,NaN
2002-09-03,0.080800,0.114993,-0.034193
2002-09-04,NaN,0.113691,NaN
2002-09-06,NaN,0.111086,NaN
2002-09-07,0.041800,0.109784,-0.067984
