Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.142111,NaN
2002-07-05,NaN,0.140975,NaN
2002-07-06,NaN,0.139839,NaN
2002-07-07,0.037300,0.138703,-0.101403
2002-07-08,NaN,0.137567,NaN
2002-07-09,0.040800,0.136431,-0.095631
2002-07-10,NaN,0.135295,NaN
2002-07-11,NaN,0.134159,NaN
2002-07-12,NaN,0.133023,NaN
2002-07-13,NaN,0.131887,NaN
2002-07-15,NaN,0.129615,NaN
2002-07-16,NaN,0.129739,NaN
2002-07-17,0.033200,0.129864,-0.096664
2002-07-18,0.031800,0.129988,-0.098188
2002-07-19,0.033200,0.130113,-0.096913
2002-07-21,NaN,0.130362,NaN
2002-07-22,0.043200,0.130487,-0.087287
2002-07-23,NaN,0.130611,NaN
2002-07-24,NaN,0.130736,NaN
2002-07-25,NaN,0.130861,NaN
2002-07-26,NaN,0.130985,NaN
2002-07-27,NaN,0.131110,NaN
2002-07-28,0.078000,0.131234,-0.053234
2002-07-29,NaN,0.131359,NaN
2002-08-07,NaN,0.132480,NaN
2002-08-09,NaN,0.132729,NaN
2002-08-10,NaN,0.132854,NaN
2002-08-11,NaN,0.132979,NaN
2002-08-12,NaN,0.133103,NaN
2002-08-13,NaN,0.133228,NaN
2002-08-14,NaN,0.133352,NaN
2002-08-16,0.086200,0.131384,-0.045184
2002-08-17,0.075000,0.129290,-0.054290
2002-08-18,0.071200,0.127197,-0.055997
2002-08-19,NaN,0.125104,NaN
2002-08-21,NaN,0.120917,NaN
2002-08-22,NaN,0.118824,NaN
2002-08-23,NaN,0.116731,NaN
2002-08-25,0.066800,0.112544,-0.045744
2002-08-26,NaN,0.110451,NaN
2002-08-27,NaN,0.108358,NaN
2002-08-28,NaN,0.106265,NaN
2002-08-29,NaN,0.104171,NaN
2002-08-30,NaN,0.102078,NaN
2002-08-31,NaN,0.099985,NaN
2002-09-02,NaN,0.095798,NaN
2002-09-03,NaN,0.093705,NaN
2002-09-04,NaN,0.091612,NaN
2002-09-06,NaN,0.087425,NaN
2002-09-07,NaN,0.085332,NaN
2002-09-08,NaN,0.083239,NaN
2002-09-10,NaN,0.079052,NaN
2002-09-11,NaN,0.076959,NaN
2002-09-13,NaN,0.072772,NaN
2002-09-14,NaN,0.070679,NaN
2002-09-15,NaN,0.068586,NaN
2002-09-16,NaN,0.069384,NaN
2002-09-17,NaN,0.070183,NaN
2002-09-18,0.055800,0.070982,-0.015182
2002-09-19,NaN,0.071780,NaN
2002-09-20,NaN,0.072579,NaN
2002-09-21,NaN,0.073377,NaN
2002-09-22,NaN,0.074176,NaN
2002-09-23,NaN,0.074974,NaN
2002-09-24,NaN,0.075773,NaN
2002-09-25,NaN,0.076572,NaN
2002-09-26,NaN,0.077370,NaN
2002-09-27,0.047000,0.078169,-0.031169
2002-09-28,0.101600,0.078967,0.022633
2002-09-29,0.059800,0.079766,-0.019966
2002-09-30,NaN,0.080564,NaN
2002-10-01,NaN,0.081363,NaN
2002-10-02,NaN,0.082162,NaN
2002-10-03,NaN,0.082960,NaN
2002-10-04,0.132200,0.083759,0.048441
2002-10-05,NaN,0.084557,NaN
2002-10-06,0.113400,0.085356,0.028044
2002-10-07,NaN,0.086154,NaN
2002-10-08,0.041200,0.086953,-0.045753
2002-10-09,NaN,0.087752,NaN
2002-10-10,NaN,0.088550,NaN
2002-10-11,NaN,0.089349,NaN
2002-10-12,NaN,0.090147,NaN
2002-10-13,0.045000,0.090946,-0.045946
2002-10-14,NaN,0.091744,NaN
