Time,mean,climatology,anomaly
1025740800,NaN,0.150768,NaN
1025827200,NaN,0.149308,NaN
1025913600,NaN,0.147848,NaN
1026000000,NaN,0.146389,NaN
1026086400,NaN,0.144929,NaN
1026172800,NaN,0.143469,NaN
1026259200,NaN,0.142010,NaN
1026345600,NaN,0.140550,NaN
1026432000,NaN,0.139091,NaN
1026518400,0.083200,0.137631,-0.054431
1026691200,0.085000,0.134712,-0.049712
1026777600,0.134000,0.135280,-0.001280
1026864000,0.058500,0.135848,-0.077348
1026950400,NaN,0.136416,NaN
1027036800,NaN,0.136984,NaN
1027209600,NaN,0.138120,NaN
1027296000,0.089600,0.138688,-0.049088
1027382400,NaN,0.139256,NaN
1027468800,NaN,0.139825,NaN
1027555200,NaN,0.140393,NaN
1027641600,NaN,0.140961,NaN
1027728000,NaN,0.141529,NaN
1027814400,NaN,0.142097,NaN
1027900800,NaN,0.142665,NaN
1028678400,NaN,0.147778,NaN
1028851200,0.160200,0.148914,0.011286
1028937600,NaN,0.149482,NaN
1029024000,NaN,0.150050,NaN
1029110400,NaN,0.150619,NaN
1029196800,NaN,0.151187,NaN
1029283200,0.111000,0.151755,-0.040755
1029456000,NaN,0.151443,NaN
1029542400,NaN,0.150563,NaN
1029628800,0.101300,0.149683,-0.048383
1029715200,NaN,0.148803,NaN
1029888000,NaN,0.147043,NaN
1029974400,NaN,0.146163,NaN
1030060800,0.128400,0.145283,-0.016883
1030233600,0.072800,0.143523,-0.070723
1030320000,NaN,0.142643,NaN
1030406400,NaN,0.141763,NaN
1030492800,NaN,0.140883,NaN
1030579200,NaN,0.140003,NaN
1030665600,NaN,0.139123,NaN
1030752000,0.070000,0.138243,-0.068243
1030924800,NaN,0.136483,NaN
1031011200,NaN,0.135603,NaN
1031097600,NaN,0.134723,NaN
1031270400,NaN,0.132963,NaN
1031356800,NaN,0.132083,NaN
1031443200,NaN,0.131203,NaN
1031616000,NaN,0.129443,NaN
1031702400,NaN,0.128563,NaN
1031875200,NaN,0.126803,NaN
1031961600,NaN,0.125923,NaN
1032048000,0.103900,0.125043,-0.021143
1032134400,0.090000,0.125587,-0.035587
1032220800,0.071000,0.126130,-0.055130
1032307200,0.053400,0.126674,-0.073274
1032393600,NaN,0.127218,NaN
1032480000,NaN,0.127761,NaN
1032566400,NaN,0.128305,NaN
1032652800,NaN,0.128849,NaN
1032739200,NaN,0.129393,NaN
1032825600,0.098200,0.129936,-0.031736
1032912000,NaN,0.130480,NaN
1032998400,0.088000,0.131024,-0.043024
1033084800,NaN,0.131567,NaN
1033171200,0.107400,0.132111,-0.024711
1033257600,NaN,0.132655,NaN
1033344000,NaN,0.133198,NaN
1033430400,NaN,0.133742,NaN
1033516800,0.098600,0.134286,-0.035686
1033603200,0.089000,0.134829,-0.045829
1033689600,0.111200,0.135373,-0.024173
1033776000,0.148000,0.135917,0.012083
1033862400,NaN,0.136461,NaN
1033948800,0.164000,0.137004,0.026996
1034035200,0.107800,0.137548,-0.029748
1034121600,0.128400,0.138092,-0.009692
1034208000,0.121800,0.138635,-0.016835
1034294400,0.110200,0.139179,-0.028979
1034380800,0.149100,0.139723,0.009377
1034467200,NaN,0.140266,NaN
1034553600,NaN,0.140810,NaN
1034640000,NaN,0.141354,NaN
1034726400,NaN,0.140428,NaN
1034812800,NaN,0.139503,NaN
1034899200,0.120800,0.138577,-0.017777
1034985600,0.135400,0.137652,-0.002252
1035072000,0.156800,0.136726,0.020074
1035158400,NaN,0.135801,NaN
1035244800,NaN,0.134875,NaN
1035331200,0.143500,0.133950,0.009550
1035417600,0.122000,0.133024,-0.011024
1035504000,0.134000,0.132099,0.001901
1035590400,0.114300,0.131173,-0.016873
1035676800,0.091600,0.130248,-0.038648
1035763200,0.136400,0.129322,0.007078
1035849600,0.091400,0.128397,-0.036997
1035936000,0.131800,0.127471,0.004329
1036022400,NaN,0.126546,NaN
1036108800,0.122100,0.125621,-0.003521
1036195200,0.183800,0.124695,0.059105
1036281600,NaN,0.123770,NaN
1036368000,0.176800,0.122844,0.053956
1036454400,NaN,0.121919,NaN
1036540800,0.096600,0.120993,-0.024393
1036627200,NaN,0.120068,NaN
1036713600,2.938082,0.119142,2.818939
1036800000,0.083600,0.118217,-0.034617
1036886400,NaN,0.117291,NaN
1036972800,0.123800,0.116366,0.007434
1037059200,0.136600,0.115440,0.021160
1037145600,NaN,0.114515,NaN
1037232000,NaN,0.113589,NaN
1037318400,0.109400,0.112664,-0.003264
1037404800,NaN,0.113399,NaN
1037491200,NaN,0.114133,NaN
1037577600,0.118000,0.114868,0.003132
1037664000,0.107000,0.115603,-0.008603
1037750400,0.155200,0.116338,0.038862
1037836800,NaN,0.117073,NaN
1037923200,0.115300,0.117808,-0.002508
1038009600,NaN,0.118543,NaN
1038096000,NaN,0.119278,NaN
1038182400,NaN,0.120012,NaN
1038268800,NaN,0.120747,NaN
1038355200,NaN,0.121482,NaN
1038441600,NaN,0.122217,NaN
1038528000,0.109200,0.122952,-0.013752
1038614400,0.089600,0.123687,-0.034087
1038700800,0.085800,0.124422,-0.038622
1038787200,NaN,0.125156,NaN
1038873600,0.053000,0.125891,-0.072891
1038960000,0.153000,0.126626,0.026374
1039046400,0.092200,0.127361,-0.035161
1039132800,0.109000,0.128096,-0.019096
1039219200,NaN,0.128831,NaN
1039305600,NaN,0.129566,NaN
1039392000,NaN,0.130300,NaN
1039478400,0.049700,0.131035,-0.081335
1039564800,NaN,0.131770,NaN
1039651200,0.100800,0.132505,-0.031705
1039737600,NaN,0.133240,NaN
1039824000,NaN,0.133975,NaN
1039910400,0.119100,0.134710,-0.015610
1039996800,0.098400,0.134612,-0.036212
1040083200,0.138000,0.134514,0.003486
1040169600,NaN,0.134416,NaN
1040256000,0.048800,0.134318,-0.085518
1040342400,NaN,0.134219,NaN
1040428800,0.110200,0.134121,-0.023921
1040515200,0.079800,0.134023,-0.054223
1040601600,NaN,0.133925,NaN
1040688000,0.084300,0.133827,-0.049527
1040774400,NaN,0.133729,NaN
1040860800,0.108600,0.133631,-0.025031
1040947200,NaN,0.133533,NaN
1041033600,0.094200,0.133435,-0.039235
1041120000,0.122400,0.133337,-0.010937
1041206400,0.060800,0.133239,-0.072439
1041292800,NaN,0.133141,NaN
1041379200,NaN,0.133043,NaN
1041465600,NaN,0.132945,NaN
1041552000,NaN,0.132847,NaN
1041638400,0.113400,0.132749,-0.019349
1041724800,0.105800,0.132651,-0.026851
1041811200,0.104200,0.132553,-0.028353
1041897600,0.125400,0.132455,-0.007055
1041984000,0.103000,0.132357,-0.029357
1042070400,0.117200,0.132259,-0.015059
1042156800,2.938082,0.132161,2.805921
1042243200,0.104600,0.132063,-0.027463
1042329600,0.098800,0.131965,-0.033165
1042416000,NaN,0.131867,NaN
1042502400,NaN,0.131769,NaN
1042588800,0.117400,0.131671,-0.014271
1042675200,NaN,0.131474,NaN
1042761600,0.078400,0.131277,-0.052877
1042848000,NaN,0.131081,NaN
1042934400,0.102600,0.130884,-0.028284
1043020800,0.114000,0.130688,-0.016688
1043107200,0.116200,0.130491,-0.014291
1043193600,0.109300,0.130295,-0.020995
1043280000,NaN,0.130098,NaN
1043366400,NaN,0.129902,NaN
1043452800,NaN,0.129705,NaN
1043539200,NaN,0.129509,NaN
1043625600,NaN,0.129312,NaN
1043712000,NaN,0.129115,NaN
1043798400,NaN,0.128919,NaN
1043884800,NaN,0.128722,NaN
1043971200,NaN,0.128526,NaN
1044057600,0.123600,0.128329,-0.004729
1044144000,0.097000,0.128133,-0.031133
1044230400,2.938082,0.127936,2.810145
1044316800,NaN,0.127740,NaN
1044403200,0.086500,0.127543,-0.041043
1044489600,0.100000,0.127347,-0.027347
1044576000,0.107200,0.127150,-0.019950
1044662400,0.120800,0.126954,-0.006154
1044748800,0.105200,0.126757,-0.021557
1044835200,0.117600,0.126560,-0.008960
1044921600,NaN,0.126364,NaN
1045008000,0.129800,0.126167,0.003633
1045094400,0.147600,0.125971,0.021629
1045180800,NaN,0.125774,NaN
1045267200,0.090600,0.125578,-0.034978
1045353600,0.068000,0.125047,-0.057047
1045440000,NaN,0.124515,NaN
1045526400,NaN,0.123984,NaN
1045612800,0.137000,0.123453,0.013547
1045699200,0.085400,0.122921,-0.037521
1045785600,0.115400,0.122390,-0.006990
1045872000,0.094200,0.121859,-0.027659
1045958400,NaN,0.121328,NaN
1046044800,NaN,0.120796,NaN
1046131200,0.078800,0.120265,-0.041465
1046217600,0.130400,0.119734,0.010666
1046304000,2.938082,0.119202,2.818879
1046390400,0.072400,0.118671,-0.046271
1046476800,NaN,0.118140,NaN
1046563200,0.124800,0.117609,0.007191
1046649600,NaN,0.117077,NaN
1046736000,0.102200,0.116546,-0.014346
1046822400,0.100400,0.116015,-0.015615
1046908800,NaN,0.115484,NaN
1046995200,0.085000,0.114952,-0.029952
1047081600,0.050400,0.114421,-0.064021
1047168000,0.098000,0.113890,-0.015890
1047254400,0.086600,0.113358,-0.026758
1047340800,NaN,0.112827,NaN
1047427200,0.135600,0.112296,0.023304
1047513600,NaN,0.111765,NaN
1047600000,0.068600,0.111233,-0.042633
1047686400,NaN,0.110702,NaN
1047772800,NaN,0.110681,NaN
1047859200,NaN,0.110660,NaN
1047945600,0.073200,0.110640,-0.037440
1048032000,0.109200,0.110619,-0.001419
1048118400,NaN,0.110598,NaN
1048204800,0.138600,0.110577,0.028023
1048291200,0.069200,0.110556,-0.041356
1048377600,NaN,0.110536,NaN
1048464000,0.106400,0.110515,-0.004115
1048550400,NaN,0.110494,NaN
1048636800,NaN,0.110473,NaN
1048723200,NaN,0.110452,NaN
1048809600,0.128600,0.110432,0.018168
1048896000,0.150400,0.110411,0.039989
1048982400,0.124200,0.110390,0.013810
1049068800,NaN,0.110369,NaN
1049155200,NaN,0.110349,NaN
1049241600,NaN,0.110328,NaN
1049328000,NaN,0.110307,NaN
1049414400,NaN,0.110286,NaN
1049500800,0.081200,0.110265,-0.029065
1049587200,0.092100,0.110245,-0.018145
