Time,mean,climatology,anomaly
1025740800,NaN,0.414547,NaN
1025827200,NaN,0.414707,NaN
1025913600,NaN,0.414867,NaN
1026000000,NaN,0.415027,NaN
1026086400,NaN,0.415187,NaN
1026172800,NaN,0.415347,NaN
1026259200,NaN,0.415507,NaN
1026345600,NaN,0.415667,NaN
1026432000,NaN,0.415827,NaN
1026518400,0.348400,0.415986,-0.067586
1026691200,0.327600,0.416306,-0.088706
1026777600,NaN,0.416480,NaN
1026864000,0.313100,0.416655,-0.103555
1026950400,NaN,0.416829,NaN
1027036800,NaN,0.417003,NaN
1027209600,NaN,0.417351,NaN
1027296000,NaN,0.417525,NaN
1027382400,NaN,0.417700,NaN
1027468800,NaN,0.417874,NaN
1027555200,NaN,0.418048,NaN
1027641600,NaN,0.418222,NaN
1027728000,NaN,0.418396,NaN
1027814400,NaN,0.418570,NaN
1027900800,NaN,0.418744,NaN
1028678400,NaN,0.420312,NaN
1028851200,NaN,0.420660,NaN
1028937600,NaN,0.420834,NaN
1029024000,NaN,0.421008,NaN
1029110400,NaN,0.421183,NaN
1029196800,NaN,0.421357,NaN
1029283200,0.291200,0.421531,-0.130331
1029456000,NaN,0.419189,NaN
1029542400,NaN,0.416672,NaN
1029628800,NaN,0.414156,NaN
1029715200,NaN,0.411640,NaN
1029888000,NaN,0.406607,NaN
1029974400,0.438400,0.404091,0.034309
1030060800,0.305200,0.401574,-0.096374
1030233600,0.267700,0.396542,-0.128842
1030320000,NaN,0.394025,NaN
1030406400,NaN,0.391509,NaN
1030492800,NaN,0.388993,NaN
1030579200,NaN,0.386476,NaN
1030665600,NaN,0.383960,NaN
1030752000,NaN,0.381443,NaN
1030924800,NaN,0.376411,NaN
1031011200,NaN,0.373894,NaN
1031097600,NaN,0.371378,NaN
1031270400,NaN,0.366345,NaN
1031356800,NaN,0.363829,NaN
1031443200,NaN,0.361313,NaN
1031616000,NaN,0.356280,NaN
1031702400,NaN,0.353764,NaN
1031875200,NaN,0.348731,NaN
1031961600,NaN,0.346215,NaN
1032048000,0.378800,0.343698,0.035102
1032134400,NaN,0.343995,NaN
1032220800,0.321400,0.344291,-0.022891
1032307200,NaN,0.344588,NaN
1032393600,NaN,0.344884,NaN
1032480000,NaN,0.345180,NaN
1032566400,NaN,0.345477,NaN
1032652800,NaN,0.345773,NaN
1032739200,NaN,0.346070,NaN
1032825600,0.170700,0.346366,-0.175666
1032912000,NaN,0.346662,NaN
1032998400,0.220800,0.346959,-0.126159
1033084800,NaN,0.347255,NaN
1033171200,0.256800,0.347552,-0.090752
1033257600,NaN,0.347848,NaN
1033344000,NaN,0.348145,NaN
1033430400,NaN,0.348441,NaN
1033516800,NaN,0.348737,NaN
1033603200,0.203000,0.349034,-0.146034
1033689600,0.173400,0.349330,-0.175930
1033776000,0.241200,0.349627,-0.108427
1033862400,NaN,0.349923,NaN
1033948800,0.214600,0.350219,-0.135619
1034035200,0.210800,0.350516,-0.139716
1034121600,0.226200,0.350812,-0.124612
1034208000,NaN,0.351109,NaN
1034294400,NaN,0.351405,NaN
1034380800,0.289300,0.351702,-0.062402
1034467200,NaN,0.351998,NaN
1034553600,NaN,0.352294,NaN
1034640000,NaN,0.352591,NaN
1034726400,0.260800,0.352777,-0.091977
1034812800,0.284400,0.352962,-0.068562
1034899200,0.211400,0.353148,-0.141748
1034985600,0.248600,0.353334,-0.104734
1035072000,NaN,0.353519,NaN
1035158400,NaN,0.353705,NaN
1035244800,NaN,0.353891,NaN
1035331200,0.258400,0.354077,-0.095677
1035417600,0.286900,0.354262,-0.067362
1035504000,0.232100,0.354448,-0.122348
1035590400,0.265600,0.354634,-0.089034
1035676800,0.229200,0.354820,-0.125620
1035763200,0.282400,0.355005,-0.072605
1035849600,0.243000,0.355191,-0.112191
1035936000,0.309100,0.355377,-0.046277
1036022400,NaN,0.355563,NaN
1036108800,0.215000,0.355748,-0.140748
1036195200,0.239400,0.355934,-0.116534
1036281600,NaN,0.356120,NaN
1036368000,0.252900,0.356306,-0.103406
1036454400,NaN,0.356491,NaN
1036540800,0.246000,0.356677,-0.110677
