Time,mean,climatology,anomaly
1025740800,NaN,0.128941,NaN
1025827200,NaN,0.126676,NaN
1025913600,0.053000,0.124410,-0.071410
1026000000,NaN,0.122145,NaN
1026086400,NaN,0.119880,NaN
1026172800,NaN,0.117614,NaN
1026259200,NaN,0.115349,NaN
1026345600,NaN,0.113083,NaN
1026432000,0.046200,0.110818,-0.064618
1026518400,NaN,0.108553,NaN
1026691200,NaN,0.104022,NaN
1026777600,NaN,0.104164,NaN
1026864000,NaN,0.104306,NaN
1026950400,NaN,0.104448,NaN
1027036800,NaN,0.104590,NaN
1027209600,0.070600,0.104874,-0.034274
1027296000,0.078200,0.105015,-0.026815
1027382400,NaN,0.105157,NaN
1027468800,NaN,0.105299,NaN
1027555200,NaN,0.105441,NaN
1027641600,NaN,0.105583,NaN
1027728000,NaN,0.105725,NaN
1027814400,NaN,0.105867,NaN
1027900800,NaN,0.106009,NaN
1028678400,NaN,0.107286,NaN
1028851200,NaN,0.107570,NaN
1028937600,NaN,0.107712,NaN
1029024000,NaN,0.107854,NaN
1029110400,NaN,0.107996,NaN
1029196800,NaN,0.108138,NaN
1029283200,NaN,0.108280,NaN
1029456000,0.045200,0.106838,-0.061638
1029542400,NaN,0.105254,NaN
1029628800,NaN,0.103671,NaN
1029715200,NaN,0.102087,NaN
1029888000,NaN,0.098920,NaN
1029974400,NaN,0.097336,NaN
1030060800,0.032800,0.095752,-0.062952
1030233600,NaN,0.092585,NaN
1030320000,NaN,0.091001,NaN
1030406400,NaN,0.089417,NaN
1030492800,NaN,0.087834,NaN
1030579200,NaN,0.086250,NaN
1030665600,NaN,0.084666,NaN
1030752000,NaN,0.083082,NaN
1030924800,NaN,0.079915,NaN
1031011200,NaN,0.078331,NaN
1031097600,NaN,0.076747,NaN
1031270400,NaN,0.073580,NaN
1031356800,NaN,0.071996,NaN
1031443200,NaN,0.070413,NaN
1031616000,NaN,0.067245,NaN
1031702400,0.047000,0.065661,-0.018661
1031875200,NaN,0.062494,NaN
1031961600,NaN,0.060910,NaN
1032048000,NaN,0.059327,NaN
1032134400,NaN,0.060053,NaN
1032220800,0.041800,0.060780,-0.018980
1032307200,0.037800,0.061506,-0.023706
1032393600,NaN,0.062233,NaN
1032480000,NaN,0.062960,NaN
1032566400,NaN,0.063686,NaN
1032652800,NaN,0.064413,NaN
1032739200,NaN,0.065139,NaN
1032825600,NaN,0.065866,NaN
1032912000,NaN,0.066592,NaN
1032998400,NaN,0.067319,NaN
1033084800,0.034200,0.068046,-0.033846
1033171200,0.033000,0.068772,-0.035772
1033257600,NaN,0.069499,NaN
1033344000,0.031400,0.070225,-0.038825
1033430400,NaN,0.070952,NaN
1033516800,NaN,0.071679,NaN
1033603200,0.035800,0.072405,-0.036605
1033689600,0.033400,0.073132,-0.039732
1033776000,NaN,0.073858,NaN
1033862400,0.034600,0.074585,-0.039985
1033948800,0.033000,0.075311,-0.042311
1034035200,NaN,0.076038,NaN
1034121600,NaN,0.076765,NaN
1034208000,NaN,0.077491,NaN
1034294400,NaN,0.078218,NaN
1034380800,0.025400,0.078944,-0.053544
1034467200,NaN,0.079671,NaN
1034553600,NaN,0.080398,NaN
1034640000,NaN,0.081124,NaN
1034726400,0.038600,0.080588,-0.041988
1034812800,0.047000,0.080052,-0.033052
1034899200,NaN,0.079515,NaN
1034985600,NaN,0.078979,NaN
1035072000,NaN,0.078443,NaN
1035158400,NaN,0.077907,NaN
1035244800,NaN,0.077370,NaN
1035331200,NaN,0.076834,NaN
1035417600,NaN,0.076298,NaN
1035504000,NaN,0.075762,NaN
1035590400,NaN,0.075225,NaN
1035676800,0.053600,0.074689,-0.021089
1035763200,NaN,0.074153,NaN
1035849600,NaN,0.073617,NaN
1035936000,NaN,0.073080,NaN
1036022400,NaN,0.072544,NaN
1036108800,NaN,0.072008,NaN
1036195200,NaN,0.071472,NaN
1036281600,NaN,0.070935,NaN
1036368000,NaN,0.070399,NaN
1036454400,NaN,0.069863,NaN
1036540800,0.045800,0.069327,-0.023527
1036627200,0.049000,0.068790,-0.019790
1036713600,2.959950,0.068254,2.891696
1036800000,0.046000,0.067718,-0.021718
1036886400,NaN,0.067182,NaN
1036972800,NaN,0.066645,NaN
1037059200,0.047400,0.066109,-0.018709
1037145600,NaN,0.065573,NaN
1037232000,NaN,0.065037,NaN
1037318400,NaN,0.064500,NaN
1037404800,NaN,0.066420,NaN
1037491200,0.049400,0.068340,-0.018940
1037577600,0.046000,0.070260,-0.024260
1037664000,NaN,0.072180,NaN
1037750400,NaN,0.074099,NaN
1037836800,0.049600,0.076019,-0.026419
1037923200,0.046600,0.077939,-0.031339
1038009600,0.043200,0.079859,-0.036659
1038096000,NaN,0.081779,NaN
1038182400,0.041400,0.083698,-0.042298
1038268800,NaN,0.085618,NaN
1038355200,NaN,0.087538,NaN
1038441600,NaN,0.089458,NaN
1038528000,NaN,0.091378,NaN
1038614400,NaN,0.093298,NaN
1038700800,0.046800,0.095217,-0.048417
1038787200,NaN,0.097137,NaN
1038873600,NaN,0.099057,NaN
1038960000,NaN,0.100977,NaN
1039046400,NaN,0.102897,NaN
1039132800,NaN,0.104817,NaN
1039219200,NaN,0.106736,NaN
1039305600,NaN,0.108656,NaN
1039392000,NaN,0.110576,NaN
1039478400,NaN,0.112496,NaN
1039564800,NaN,0.114416,NaN
1039651200,NaN,0.116335,NaN
1039737600,NaN,0.118255,NaN
1039824000,0.058600,0.120175,-0.061575
1039910400,NaN,0.122095,NaN
1039996800,0.054600,0.122006,-0.067406
1040083200,NaN,0.121918,NaN
1040169600,NaN,0.121829,NaN
1040256000,0.049000,0.121741,-0.072741
1040342400,0.051200,0.121652,-0.070452
1040428800,NaN,0.121564,NaN
1040515200,0.047400,0.121475,-0.074075
1040601600,NaN,0.121387,NaN
1040688000,NaN,0.121298,NaN
1040774400,NaN,0.121210,NaN
1040860800,NaN,0.121121,NaN
1040947200,NaN,0.121033,NaN
1041033600,0.051400,0.120944,-0.069544
1041120000,NaN,0.120856,NaN
1041206400,NaN,0.120767,NaN
1041292800,NaN,0.120679,NaN
1041379200,NaN,0.120590,NaN
1041465600,0.071200,0.120502,-0.049302
1041552000,0.066800,0.120413,-0.053613
1041638400,0.075800,0.120325,-0.044525
1041724800,NaN,0.120236,NaN
1041811200,NaN,0.120148,NaN
1041897600,NaN,0.120059,NaN
1041984000,0.061800,0.119971,-0.058171
1042070400,NaN,0.119882,NaN
1042156800,2.959950,0.119794,2.840157
1042243200,NaN,0.119705,NaN
1042329600,NaN,0.119617,NaN
1042416000,0.058800,0.119528,-0.060728
1042502400,NaN,0.119440,NaN
1042588800,NaN,0.119351,NaN
1042675200,NaN,0.119526,NaN
1042761600,NaN,0.119701,NaN
1042848000,0.066400,0.119876,-0.053476
1042934400,0.063800,0.120051,-0.056251
1043020800,NaN,0.120226,NaN
1043107200,NaN,0.120401,NaN
1043193600,NaN,0.120575,NaN
1043280000,NaN,0.120750,NaN
1043366400,NaN,0.120925,NaN
1043452800,NaN,0.121100,NaN
1043539200,NaN,0.121275,NaN
1043625600,NaN,0.121450,NaN
1043712000,NaN,0.121625,NaN
1043798400,0.052000,0.121800,-0.069800
1043884800,NaN,0.121975,NaN
1043971200,NaN,0.122150,NaN
1044057600,NaN,0.122325,NaN
1044144000,0.072800,0.122500,-0.049700
1044230400,2.959950,0.122674,2.837276
1044316800,0.061000,0.122849,-0.061849
1044403200,NaN,0.123024,NaN
1044489600,NaN,0.123199,NaN
1044576000,NaN,0.123374,NaN
1044662400,NaN,0.123549,NaN
1044748800,NaN,0.123724,NaN
1044835200,0.033000,0.123899,-0.090899
1044921600,0.046200,0.124074,-0.077874
1045008000,NaN,0.124249,NaN
1045094400,NaN,0.124424,NaN
1045180800,NaN,0.124599,NaN
1045267200,NaN,0.124773,NaN
1045353600,NaN,0.123510,NaN
1045440000,0.049800,0.122247,-0.072447
1045526400,0.054800,0.120984,-0.066184
1045612800,NaN,0.119721,NaN
1045699200,NaN,0.118458,NaN
1045785600,NaN,0.117195,NaN
1045872000,0.053600,0.115931,-0.062331
