Time,mean,climatology,anomaly
1025740800,NaN,0.121538,NaN
1025827200,NaN,0.120606,NaN
1025913600,0.058800,0.119674,-0.060874
1026000000,0.050600,0.118742,-0.068142
1026086400,NaN,0.117810,NaN
1026172800,NaN,0.116878,NaN
1026259200,NaN,0.115946,NaN
1026345600,0.079000,0.115014,-0.036014
1026432000,NaN,0.114082,NaN
1026518400,0.076000,0.113150,-0.037150
1026691200,0.071200,0.111285,-0.040085
1026777600,0.094600,0.112016,-0.017416
1026864000,0.090900,0.112747,-0.021847
1026950400,NaN,0.113478,NaN
1027036800,NaN,0.114209,NaN
1027209600,NaN,0.115671,NaN
1027296000,0.070800,0.116402,-0.045602
1027382400,0.130000,0.117132,0.012868
1027468800,0.057600,0.117863,-0.060263
1027555200,NaN,0.118594,NaN
1027641600,NaN,0.119325,NaN
1027728000,NaN,0.120056,NaN
1027814400,NaN,0.120787,NaN
1027900800,0.103800,0.121518,-0.017718
1028678400,NaN,0.128096,NaN
1028851200,0.090600,0.129557,-0.038957
1028937600,NaN,0.130288,NaN
1029024000,NaN,0.131019,NaN
1029110400,NaN,0.131750,NaN
1029196800,NaN,0.132481,NaN
1029283200,0.079000,0.133212,-0.054212
1029456000,NaN,0.133582,NaN
1029542400,0.080000,0.133221,-0.053221
1029628800,0.180400,0.132861,0.047539
1029715200,NaN,0.132500,NaN
1029888000,NaN,0.131779,NaN
1029974400,0.080200,0.131418,-0.051218
1030060800,0.077200,0.131057,-0.053857
1030233600,0.079400,0.130336,-0.050936
1030320000,NaN,0.129975,NaN
1030406400,NaN,0.129615,NaN
1030492800,NaN,0.129254,NaN
1030579200,0.122800,0.128893,-0.006093
1030665600,NaN,0.128533,NaN
1030752000,0.096400,0.128172,-0.031772
1030924800,NaN,0.127451,NaN
1031011200,0.173400,0.127090,0.046310
1031097600,0.084200,0.126729,-0.042529
1031270400,NaN,0.126008,NaN
1031356800,0.093600,0.125647,-0.032047
1031443200,0.075200,0.125287,-0.050087
1031616000,0.067400,0.124565,-0.057165
1031702400,NaN,0.124205,NaN
1031875200,NaN,0.123483,NaN
1031961600,NaN,0.123123,NaN
1032048000,0.097400,0.122762,-0.025362
1032134400,0.080200,0.123316,-0.043116
1032220800,0.076600,0.123871,-0.047271
1032307200,0.086600,0.124425,-0.037825
1032393600,NaN,0.124980,NaN
1032480000,NaN,0.125534,NaN
1032566400,NaN,0.126089,NaN
1032652800,NaN,0.126643,NaN
1032739200,NaN,0.127198,NaN
1032825600,0.106600,0.127752,-0.021152
1032912000,NaN,0.128307,NaN
1032998400,0.081400,0.128861,-0.047461
1033084800,NaN,0.129416,NaN
1033171200,0.090000,0.129970,-0.039970
1033257600,0.099400,0.130525,-0.031125
1033344000,NaN,0.131079,NaN
1033430400,NaN,0.131633,NaN
1033516800,0.129200,0.132188,-0.002988
1033603200,0.100400,0.132742,-0.032342
1033689600,0.099000,0.133297,-0.034297
1033776000,0.101400,0.133851,-0.032451
1033862400,0.115400,0.134406,-0.019006
1033948800,0.106400,0.134960,-0.028560
1034035200,0.097200,0.135515,-0.038315
1034121600,0.108000,0.136069,-0.028069
1034208000,0.106800,0.136624,-0.029824
1034294400,0.101000,0.137178,-0.036178
1034380800,0.110600,0.137733,-0.027133
1034467200,NaN,0.138287,NaN
1034553600,0.121600,0.138842,-0.017242
1034640000,0.076800,0.139396,-0.062596
1034726400,0.114000,0.139566,-0.025566
1034812800,0.132600,0.139735,-0.007135
1034899200,0.114000,0.139905,-0.025905
1034985600,0.112000,0.140075,-0.028075
1035072000,NaN,0.140244,NaN
1035158400,0.110800,0.140414,-0.029614
1035244800,0.113400,0.140584,-0.027184
1035331200,0.114400,0.140753,-0.026353
1035417600,0.113200,0.140923,-0.027723
1035504000,0.113200,0.141092,-0.027892
1035590400,0.109400,0.141262,-0.031862
1035676800,0.108400,0.141432,-0.033032
1035763200,0.104000,0.141601,-0.037601
1035849600,NaN,0.141771,NaN
1035936000,0.107200,0.141941,-0.034741
1036022400,NaN,0.142110,NaN
1036108800,0.096000,0.142280,-0.046280
1036195200,0.117000,0.142449,-0.025449
1036281600,0.094000,0.142619,-0.048619
1036368000,0.118100,0.142789,-0.024689
1036454400,0.102200,0.142958,-0.040758
1036540800,0.120100,0.143128,-0.023028
1036627200,0.145000,0.143298,0.001702
1036713600,2.939786,0.143467,2.796319
1036800000,0.155800,0.143637,0.012163
1036886400,0.147200,0.143806,0.003394
1036972800,0.141400,0.143976,-0.002576
1037059200,0.131200,0.144146,-0.012946
1037145600,0.173600,0.144315,0.029285
1037232000,NaN,0.144485,NaN
1037318400,NaN,0.144655,NaN
1037404800,NaN,0.144918,NaN
1037491200,NaN,0.145180,NaN
1037577600,0.160800,0.145443,0.015357
1037664000,0.149000,0.145706,0.003294
1037750400,0.149800,0.145969,0.003831
1037836800,NaN,0.146232,NaN
1037923200,0.149000,0.146495,0.002505
1038009600,0.170600,0.146758,0.023842
1038096000,0.156400,0.147021,0.009379
1038182400,0.132600,0.147284,-0.014684
1038268800,NaN,0.147547,NaN
1038355200,0.108400,0.147810,-0.039410
1038441600,NaN,0.148073,NaN
1038528000,0.137600,0.148336,-0.010736
1038614400,NaN,0.148599,NaN
1038700800,0.112800,0.148862,-0.036062
1038787200,0.161800,0.149125,0.012675
1038873600,0.114800,0.149387,-0.034587
1038960000,0.105600,0.149650,-0.044050
1039046400,0.099200,0.149913,-0.050713
1039132800,NaN,0.150176,NaN
1039219200,NaN,0.150439,NaN
1039305600,0.127800,0.150702,-0.022902
1039392000,NaN,0.150965,NaN
1039478400,0.104000,0.151228,-0.047228
1039564800,NaN,0.151491,NaN
1039651200,0.110800,0.151754,-0.040954
1039737600,NaN,0.152017,NaN
1039824000,NaN,0.152280,NaN
1039910400,NaN,0.152543,NaN
1039996800,NaN,0.152054,NaN
1040083200,0.119400,0.151566,-0.032166
1040169600,0.118800,0.151078,-0.032278
1040256000,0.110400,0.150589,-0.040189
1040342400,NaN,0.150101,NaN
1040428800,0.144800,0.149613,-0.004813
1040515200,0.132600,0.149124,-0.016524
1040601600,0.105000,0.148636,-0.043636
1040688000,0.110900,0.148148,-0.037248
1040774400,NaN,0.147659,NaN
1040860800,0.136800,0.147171,-0.010371
1040947200,NaN,0.146683,NaN
1041033600,0.149000,0.146195,0.002805
1041120000,0.135400,0.145706,-0.010306
1041206400,0.105400,0.145218,-0.039818
1041292800,NaN,0.144730,NaN
1041379200,NaN,0.144241,NaN
1041465600,NaN,0.143753,NaN
1041552000,NaN,0.143265,NaN
1041638400,0.195000,0.142776,0.052224
1041724800,0.124600,0.142288,-0.017688
1041811200,0.123800,0.141800,-0.018000
1041897600,0.138400,0.141311,-0.002911
1041984000,0.125800,0.140823,-0.015023
1042070400,0.111800,0.140335,-0.028535
1042156800,2.939786,0.139846,2.799939
1042243200,0.102800,0.139358,-0.036558
1042329600,0.168800,0.138870,0.029930
1042416000,NaN,0.138381,NaN
1042502400,NaN,0.137893,NaN
1042588800,0.111600,0.137405,-0.025805
1042675200,0.106000,0.136800,-0.030800
1042761600,NaN,0.136194,NaN
1042848000,NaN,0.135589,NaN
1042934400,0.107800,0.134984,-0.027184
1043020800,0.132800,0.134379,-0.001579
1043107200,0.119600,0.133774,-0.014174
1043193600,0.114000,0.133169,-0.019169
1043280000,NaN,0.132564,NaN
1043366400,0.143800,0.131958,0.011842
1043452800,0.151600,0.131353,0.020247
1043539200,0.121400,0.130748,-0.009348
1043625600,NaN,0.130143,NaN
1043712000,NaN,0.129538,NaN
1043798400,0.114800,0.128933,-0.014133
1043884800,NaN,0.128328,NaN
1043971200,NaN,0.127722,NaN
1044057600,0.109400,0.127117,-0.017717
1044144000,NaN,0.126512,NaN
1044230400,2.939786,0.125907,2.813879
1044316800,0.101800,0.125302,-0.023502
