Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.087600,NaN,NaN
2012-01-05,0.094200,NaN,NaN
2012-01-06,0.101500,NaN,NaN
2012-01-07,0.112500,NaN,NaN
2012-01-08,0.109100,NaN,NaN
2012-01-09,0.124050,NaN,NaN
2012-01-10,0.113200,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,0.088200,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.100050,0.091709,0.008341
2012-01-16,NaN,0.091715,NaN
2012-01-17,0.082200,0.091721,-0.009521
2012-01-18,0.085000,0.091727,-0.006727
2012-01-19,0.081400,0.091732,-0.010332
2012-01-20,0.089550,0.091738,-0.002188
2012-01-21,0.096200,0.091744,0.004456
2012-01-22,NaN,0.091750,NaN
2012-01-23,0.109200,0.091756,0.017444
2012-01-24,0.087200,0.091761,-0.004561
2012-01-25,0.086800,0.091767,-0.004967
2012-01-26,0.088500,0.091773,-0.003273
2012-01-27,0.093600,0.091779,0.001821
2012-01-28,0.086800,0.091784,-0.004984
2012-01-29,NaN,0.091790,NaN
2012-01-30,NaN,0.091796,NaN
2012-01-31,NaN,0.091802,NaN
2012-02-01,NaN,0.091807,NaN
2012-02-02,NaN,0.091813,NaN
2012-02-03,NaN,0.091819,NaN
2012-02-04,NaN,0.091825,NaN
2012-02-05,NaN,0.091831,NaN
2012-02-06,NaN,0.091836,NaN
2012-02-07,0.105600,0.091842,0.013758
2012-02-08,NaN,0.091848,NaN
2012-02-09,NaN,0.091854,NaN
2012-02-10,0.091300,0.091859,-0.000559
2012-02-11,NaN,0.091865,NaN
2012-02-12,0.134800,0.091871,0.042929
2012-02-13,0.087300,0.091877,-0.004577
2012-02-14,0.063500,0.091882,-0.028382
2012-02-15,NaN,0.091888,NaN
2012-02-16,NaN,0.091815,NaN
2012-02-17,0.100100,0.091742,0.008358
2012-02-18,0.105100,0.091669,0.013431
2012-02-19,0.065400,0.091597,-0.026197
2012-02-20,NaN,0.091524,NaN
2012-02-21,0.146500,0.091451,0.055049
2012-02-22,0.095600,0.091378,0.004222
2012-02-23,0.091600,0.091305,0.000295
2012-02-24,0.095000,0.091232,0.003768
2012-02-25,0.098200,0.091159,0.007041
2012-02-26,NaN,0.091086,NaN
2012-02-27,0.101600,0.091013,0.010587
2012-02-28,0.094700,0.090940,0.003760
2012-02-29,0.106600,0.090867,0.015733
2012-03-01,0.096300,0.090794,0.005506
2012-03-02,NaN,0.090721,NaN
2012-03-03,0.075800,0.090648,-0.014848
2012-03-04,NaN,0.090576,NaN
2012-03-05,0.050300,0.090503,-0.040203
2012-03-06,NaN,0.090430,NaN
2012-03-07,NaN,0.090357,NaN
2012-03-08,NaN,0.090284,NaN
2012-03-09,0.144800,0.090211,0.054589
2012-03-10,0.088800,0.090138,-0.001338
2012-03-11,NaN,0.090065,NaN
2012-03-12,NaN,0.089992,NaN
2012-03-13,0.079200,0.089919,-0.010719
2012-03-14,0.095000,0.089846,0.005154
2012-03-15,NaN,0.089974,NaN
2012-03-16,0.081400,0.090102,-0.008702
2012-03-17,0.152000,0.090230,0.061770
2012-03-18,0.040400,0.090358,-0.049958
2012-03-19,0.090500,0.090486,0.000014
2012-03-20,NaN,0.090614,NaN
2012-03-21,NaN,0.090742,NaN
2012-03-22,NaN,0.090870,NaN
2012-03-23,0.093700,0.090998,0.002702
2012-03-26,0.102700,0.091382,0.011318
2012-03-27,NaN,0.091510,NaN
2012-03-28,0.074800,0.091638,-0.016838
2012-03-29,0.081000,0.091766,-0.010766
2012-03-30,0.069200,0.091894,-0.022694
2012-03-31,0.086000,0.092022,-0.006022
2012-04-01,0.059400,0.092150,-0.032750
2012-04-02,0.064800,0.092278,-0.027478
2012-04-03,0.097800,0.092406,0.005394
2012-04-04,0.093400,0.092534,0.000866
2012-04-05,0.097500,0.092661,0.004839
2012-04-06,0.046800,0.092789,-0.045989
2012-04-07,NaN,0.092917,NaN
2012-04-08,NaN,0.093045,NaN
2012-04-09,0.100150,0.093173,0.006977
2012-04-10,0.096400,0.093301,0.003099
2012-04-11,0.092500,0.093429,-0.000929
2012-04-12,NaN,0.093557,NaN
2012-04-13,0.075600,0.093685,-0.018085
2012-04-14,NaN,0.093813,NaN
2012-04-15,0.085000,0.093927,-0.008927
2012-04-16,0.099600,0.094041,0.005559
2012-04-17,NaN,0.094155,NaN
2012-04-18,NaN,0.094268,NaN
2012-04-19,0.099900,0.094382,0.005518
2012-04-20,NaN,0.094496,NaN
2012-04-21,NaN,0.094610,NaN
2012-04-22,NaN,0.094724,NaN
2012-04-23,NaN,0.094837,NaN
2012-04-24,0.100000,0.094951,0.005049
2012-04-25,0.094600,0.095065,-0.000465
2012-04-26,0.087000,0.095179,-0.008179
2012-04-27,NaN,0.095293,NaN
2012-04-28,NaN,0.095406,NaN
2012-04-29,NaN,0.095520,NaN
2012-04-30,NaN,0.095634,NaN
2012-05-01,NaN,0.095748,NaN
2012-05-02,0.062200,0.095862,-0.033662
2012-05-03,NaN,0.095975,NaN
2012-05-04,NaN,0.096089,NaN
2012-05-05,0.105700,0.096203,0.009497
2012-05-06,0.112200,0.096317,0.015883
2012-05-07,0.110000,0.096431,0.013569
2012-05-08,0.098400,0.096544,0.001856
2012-05-09,NaN,0.096658,NaN
2012-05-10,0.084400,0.096772,-0.012372
2012-05-11,0.097200,0.096886,0.000314
2012-05-12,NaN,0.097000,NaN
2012-05-13,0.117100,0.097113,0.019987
