Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.049200,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,0.056000,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.059400,NaN,NaN
2012-01-12,0.070100,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.063400,NaN,NaN
2012-01-15,NaN,0.057373,NaN
2012-01-16,0.064400,0.057263,0.007137
2012-01-17,NaN,0.057153,NaN
2012-01-18,0.054100,0.057043,-0.002943
2012-01-19,NaN,0.056933,NaN
2012-01-20,NaN,0.056824,NaN
2012-01-21,0.055000,0.056714,-0.001714
2012-01-22,NaN,0.056604,NaN
2012-01-23,NaN,0.056494,NaN
2012-01-24,0.044500,0.056384,-0.011884
2012-01-25,0.052500,0.056274,-0.003774
2012-01-26,NaN,0.056165,NaN
2012-01-27,0.057800,0.056055,0.001745
2012-01-28,NaN,0.055945,NaN
2012-01-29,NaN,0.055835,NaN
2012-01-30,NaN,0.055725,NaN
2012-01-31,NaN,0.055615,NaN
2012-02-01,NaN,0.055505,NaN
2012-02-02,NaN,0.055396,NaN
2012-02-03,NaN,0.055286,NaN
2012-02-04,NaN,0.055176,NaN
2012-02-05,NaN,0.055066,NaN
2012-02-06,NaN,0.054956,NaN
2012-02-07,0.051000,0.054846,-0.003846
2012-02-08,NaN,0.054737,NaN
2012-02-09,NaN,0.054627,NaN
2012-02-10,NaN,0.054517,NaN
2012-02-11,NaN,0.054407,NaN
2012-02-12,NaN,0.054297,NaN
2012-02-13,NaN,0.054187,NaN
2012-02-14,NaN,0.054078,NaN
2012-02-15,NaN,0.053968,NaN
2012-02-16,NaN,0.053845,NaN
2012-02-17,0.057300,0.053722,0.003578
2012-02-18,NaN,0.053599,NaN
2012-02-19,NaN,0.053476,NaN
2012-02-20,NaN,0.053353,NaN
2012-02-21,NaN,0.053230,NaN
2012-02-22,NaN,0.053108,NaN
2012-02-23,NaN,0.052985,NaN
2012-02-24,NaN,0.052862,NaN
2012-02-25,NaN,0.052739,NaN
2012-02-26,NaN,0.052616,NaN
2012-02-27,NaN,0.052493,NaN
2012-02-28,NaN,0.052370,NaN
2012-02-29,NaN,0.052247,NaN
2012-03-01,0.046500,0.052124,-0.005624
2012-03-02,0.045000,0.052002,-0.007002
2012-03-03,NaN,0.051879,NaN
2012-03-04,0.046500,0.051756,-0.005256
2012-03-05,0.045600,0.051633,-0.006033
2012-03-06,NaN,0.051510,NaN
2012-03-07,NaN,0.051387,NaN
2012-03-08,0.053200,0.051264,0.001936
2012-03-09,NaN,0.051141,NaN
2012-03-10,NaN,0.051018,NaN
2012-03-11,NaN,0.050896,NaN
2012-03-12,0.042500,0.050773,-0.008273
2012-03-13,0.040800,0.050650,-0.009850
2012-03-14,NaN,0.050527,NaN
2012-03-15,0.039800,0.050219,-0.010419
2012-03-16,0.037300,0.049911,-0.012611
2012-03-17,NaN,0.049603,NaN
2012-03-18,NaN,0.049295,NaN
2012-03-19,NaN,0.048987,NaN
2012-03-20,NaN,0.048679,NaN
2012-03-21,NaN,0.048371,NaN
2012-03-22,NaN,0.048063,NaN
2012-03-23,0.043000,0.047755,-0.004755
2012-03-26,0.038000,0.046831,-0.008831
2012-03-27,NaN,0.046523,NaN
2012-03-28,0.035400,0.046215,-0.010815
2012-03-29,NaN,0.045907,NaN
2012-03-30,NaN,0.045599,NaN
2012-03-31,0.043100,0.045291,-0.002191
2012-04-01,NaN,0.044983,NaN
2012-04-02,0.036600,0.044675,-0.008075
2012-04-03,NaN,0.044367,NaN
2012-04-04,NaN,0.044059,NaN
2012-04-05,NaN,0.043751,NaN
2012-04-06,0.034400,0.043443,-0.009043
2012-04-07,NaN,0.043135,NaN
2012-04-08,0.034600,0.042827,-0.008227
2012-04-09,NaN,0.042519,NaN
2012-04-10,NaN,0.042210,NaN
2012-04-11,0.033200,0.041902,-0.008702
2012-04-12,NaN,0.041594,NaN
2012-04-13,0.032000,0.041286,-0.009286
2012-04-14,NaN,0.040978,NaN
2012-04-15,NaN,0.040961,NaN
2012-04-16,NaN,0.040943,NaN
2012-04-17,NaN,0.040926,NaN
2012-04-18,NaN,0.040908,NaN
2012-04-19,0.032800,0.040890,-0.008090
2012-04-20,NaN,0.040873,NaN
2012-04-21,NaN,0.040855,NaN
2012-04-22,0.035000,0.040838,-0.005838
2012-04-23,0.032000,0.040820,-0.008820
2012-04-24,0.033200,0.040803,-0.007603
2012-04-25,NaN,0.040785,NaN
2012-04-26,NaN,0.040767,NaN
2012-04-27,0.035800,0.040750,-0.004950
2012-04-28,0.031600,0.040732,-0.009132
2012-04-29,0.032800,0.040715,-0.007915
2012-04-30,NaN,0.040697,NaN
2012-05-01,NaN,0.040679,NaN
2012-05-02,NaN,0.040662,NaN
2012-05-03,NaN,0.040644,NaN
2012-05-04,0.033200,0.040627,-0.007427
2012-05-05,NaN,0.040609,NaN
2012-05-06,NaN,0.040591,NaN
2012-05-07,0.040300,0.040574,-0.000274
2012-05-08,NaN,0.040556,NaN
2012-05-09,0.042400,0.040539,0.001861
2012-05-10,NaN,0.040521,NaN
2012-05-11,NaN,0.040504,NaN
2012-05-12,NaN,0.040486,NaN
2012-05-13,0.050100,0.040468,0.009632
2012-05-14,NaN,0.040451,NaN
2012-05-15,NaN,0.040600,NaN
2012-05-16,0.047200,0.040749,0.006451
2012-05-17,NaN,0.040898,NaN
2012-05-18,0.039600,0.041047,-0.001447
2012-05-19,0.035200,0.041196,-0.005996
2012-05-20,0.033100,0.041346,-0.008246
2012-05-21,0.037400,0.041495,-0.004095
2012-05-22,NaN,0.041644,NaN
2012-05-23,NaN,0.041793,NaN
2012-05-24,NaN,0.041942,NaN
2012-05-25,0.038600,0.042091,-0.003491
2012-05-26,NaN,0.042240,NaN
2012-05-27,NaN,0.042390,NaN
2012-05-28,NaN,0.042539,NaN
2012-05-29,0.046600,0.042688,0.003912
2012-05-30,NaN,0.042837,NaN
2012-05-31,0.059600,0.042986,0.016614
2012-06-01,0.062600,0.043135,0.019465
2012-06-02,NaN,0.043285,NaN
2012-06-03,0.061300,0.043434,0.017866
2012-06-04,NaN,0.043583,NaN
2012-06-05,0.064000,0.043732,0.020268
2012-06-06,NaN,0.043881,NaN
2012-06-07,NaN,0.044030,NaN
2012-06-08,NaN,0.044179,NaN
2012-06-09,NaN,0.044329,NaN
2012-06-10,NaN,0.044478,NaN
2012-06-11,NaN,0.044627,NaN
2012-06-12,NaN,0.044776,NaN
2012-06-13,NaN,0.044925,NaN
2012-06-14,0.063000,0.045074,0.017926
2012-06-15,0.067600,0.045370,0.022230
2012-06-16,NaN,0.045667,NaN
2012-06-17,0.048400,0.045963,0.002437
2012-06-18,NaN,0.046259,NaN
2012-06-19,NaN,0.046555,NaN
2012-06-20,NaN,0.046852,NaN
2012-06-22,0.051000,0.047444,0.003556
2012-06-23,NaN,0.047740,NaN
2012-06-24,NaN,0.048037,NaN
2012-06-25,NaN,0.048333,NaN
2012-06-26,0.036400,0.048629,-0.012229
2012-06-27,0.040900,0.048926,-0.008026
2012-06-28,NaN,0.049222,NaN
2012-06-29,NaN,0.049518,NaN
2012-06-30,NaN,0.049814,NaN
2012-07-01,NaN,0.050111,NaN
2012-07-02,NaN,0.050407,NaN
2012-07-03,0.036200,0.050703,-0.014503
2012-07-04,NaN,0.050999,NaN
2012-07-05,0.034200,0.051296,-0.017096
2012-07-06,0.027200,0.051592,-0.024392
2012-07-07,NaN,0.051888,NaN
2012-07-08,NaN,0.052184,NaN
2012-07-09,NaN,0.052481,NaN
2012-07-10,NaN,0.052777,NaN
2012-07-11,NaN,0.053073,NaN
2012-07-12,NaN,0.053369,NaN
2012-07-13,NaN,0.053666,NaN
2012-07-14,NaN,0.053962,NaN
2012-07-15,0.040000,0.053666,-0.013666
2012-07-16,0.037800,0.053369,-0.015569
2012-07-17,NaN,0.053073,NaN
2012-07-18,0.037600,0.052777,-0.015177
2012-07-19,0.018400,0.052481,-0.034081
2012-07-20,NaN,0.052184,NaN
2012-07-21,NaN,0.051888,NaN
2012-07-22,NaN,0.051592,NaN
2012-07-23,0.049200,0.051296,-0.002096
