Date,Mean,Climatology,Anomaly
2012-01-03,0.258400,NaN,NaN
2012-01-04,0.278200,NaN,NaN
2012-01-05,0.214400,NaN,NaN
2012-01-06,0.177000,NaN,NaN
2012-01-07,0.303600,NaN,NaN
2012-01-08,0.197600,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,0.243800,NaN,NaN
2012-01-11,0.386100,NaN,NaN
2012-01-12,0.218400,NaN,NaN
2012-01-13,0.216000,NaN,NaN
2012-01-14,0.177000,NaN,NaN
2012-01-15,NaN,0.249142,NaN
2012-01-16,0.142800,0.248334,-0.105534
2012-01-17,NaN,0.247526,NaN
2012-01-18,0.177600,0.246718,-0.069118
2012-01-19,NaN,0.245910,NaN
2012-01-20,0.142200,0.245101,-0.102901
2012-01-21,NaN,0.244293,NaN
2012-01-22,NaN,0.243485,NaN
2012-01-23,NaN,0.242677,NaN
2012-01-24,NaN,0.241869,NaN
2012-01-25,0.130800,0.241060,-0.110260
2012-01-26,0.219800,0.240252,-0.020452
2012-01-27,0.233400,0.239444,-0.006044
2012-01-28,0.263400,0.238636,0.024764
2012-01-29,NaN,0.237828,NaN
2012-01-30,NaN,0.237019,NaN
2012-01-31,NaN,0.236211,NaN
2012-02-01,NaN,0.235403,NaN
2012-02-02,NaN,0.234595,NaN
2012-02-03,0.181000,0.233787,-0.052787
2012-02-04,NaN,0.232978,NaN
2012-02-05,NaN,0.232170,NaN
2012-02-06,NaN,0.231362,NaN
2012-02-07,NaN,0.230554,NaN
2012-02-08,NaN,0.229746,NaN
2012-02-09,NaN,0.228937,NaN
2012-02-10,NaN,0.228129,NaN
2012-02-11,0.214400,0.227321,-0.012921
2012-02-12,NaN,0.226513,NaN
2012-02-13,NaN,0.225705,NaN
2012-02-14,0.129000,0.224896,-0.095896
2012-02-15,NaN,0.224088,NaN
2012-02-16,NaN,0.223842,NaN
2012-02-17,NaN,0.223596,NaN
2012-02-18,0.283200,0.223350,0.059850
2012-02-19,0.265400,0.223104,0.042296
2012-02-20,NaN,0.222858,NaN
2012-02-21,0.261600,0.222612,0.038988
2012-02-22,NaN,0.222366,NaN
2012-02-23,NaN,0.222120,NaN
2012-02-24,NaN,0.221874,NaN
2012-02-25,NaN,0.221627,NaN
2012-02-26,0.162500,0.221381,-0.058881
2012-02-27,NaN,0.221135,NaN
2012-02-28,0.158000,0.220889,-0.062889
2012-02-29,NaN,0.220643,NaN
2012-03-01,0.211800,0.220397,-0.008597
2012-03-02,NaN,0.220151,NaN
2012-03-03,0.297600,0.219905,0.077695
2012-03-04,0.383900,0.219659,0.164241
2012-03-05,0.805100,0.219413,0.585687
2012-03-06,0.366000,0.219167,0.146833
2012-03-07,0.190700,0.218921,-0.028221
2012-03-08,NaN,0.218675,NaN
2012-03-09,NaN,0.218429,NaN
2012-03-10,NaN,0.218182,NaN
2012-03-11,NaN,0.217936,NaN
2012-03-12,0.184200,0.217690,-0.033490
2012-03-13,0.209800,0.217444,-0.007644
2012-03-14,0.274000,0.217198,0.056802
2012-03-15,NaN,0.219388,NaN
2012-03-16,0.395600,0.221578,0.174022
2012-03-17,0.417800,0.223768,0.194032
2012-03-18,NaN,0.225959,NaN
2012-03-19,NaN,0.228149,NaN
2012-03-20,NaN,0.230339,NaN
2012-03-21,0.688600,0.232529,0.456071
2012-03-22,0.575200,0.234719,0.340481
2012-03-23,0.437500,0.236909,0.200591
2012-03-26,0.857200,0.243479,0.613721
2012-03-27,0.460500,0.245670,0.214830
2012-03-28,0.183000,0.247860,-0.064860
2012-03-29,NaN,0.250050,NaN
2012-03-30,0.213400,0.252240,-0.038840
2012-03-31,0.142800,0.254430,-0.111630
2012-04-01,0.616400,0.256620,0.359780
2012-04-02,0.339800,0.258810,0.080990
2012-04-03,0.217800,0.261000,-0.043200
2012-04-04,NaN,0.263190,NaN
2012-04-05,0.474300,0.265380,0.208919
2012-04-06,NaN,0.267571,NaN
2012-04-07,0.387000,0.269761,0.117239
2012-04-08,0.187600,0.271951,-0.084351
2012-04-09,NaN,0.274141,NaN
2012-04-10,0.308800,0.276331,0.032469
2012-04-11,0.245900,0.278521,-0.032621
2012-04-12,0.206700,0.280711,-0.074011
2012-04-13,0.161800,0.282901,-0.121101
2012-04-14,NaN,0.285091,NaN
2012-04-15,NaN,0.282923,NaN
2012-04-16,NaN,0.280755,NaN
2012-04-17,0.343700,0.278586,0.065114
2012-04-18,0.398000,0.276418,0.121582
2012-04-19,0.377400,0.274249,0.103151
2012-04-20,NaN,0.272081,NaN
2012-04-21,0.382800,0.269913,0.112887
2012-04-22,0.979400,0.267744,0.711656
2012-04-23,0.548800,0.265576,0.283224
2012-04-24,0.216800,0.263407,-0.046607
2012-04-25,NaN,0.261239,NaN
2012-04-26,NaN,0.259070,NaN
2012-04-27,NaN,0.256902,NaN
2012-04-28,0.222900,0.254734,-0.031834
2012-04-29,NaN,0.252565,NaN
2012-04-30,NaN,0.250397,NaN
2012-05-01,NaN,0.248228,NaN
2012-05-02,0.136200,0.246060,-0.109860
2012-05-03,0.205600,0.243892,-0.038292
2012-05-04,NaN,0.241723,NaN
2012-05-05,NaN,0.239555,NaN
2012-05-06,NaN,0.237386,NaN
2012-05-07,0.116600,0.235218,-0.118618
2012-05-08,NaN,0.233049,NaN
2012-05-09,0.125800,0.230881,-0.105081
2012-05-10,NaN,0.228713,NaN
2012-05-11,NaN,0.226544,NaN
2012-05-12,0.168400,0.224376,-0.055976
2012-05-13,0.157650,0.222207,-0.064557
2012-05-14,0.224200,0.220039,0.004161
2012-05-15,NaN,0.219792,NaN
2012-05-16,NaN,0.219545,NaN
2012-05-17,0.115000,0.219299,-0.104299
2012-05-18,0.159500,0.219052,-0.059552
2012-05-19,0.154900,0.218805,-0.063905
2012-05-20,0.178400,0.218559,-0.040159
2012-05-21,0.139800,0.218312,-0.078512
2012-05-22,NaN,0.218065,NaN
2012-05-23,0.161600,0.217818,-0.056218
2012-05-24,NaN,0.217572,NaN
2012-05-25,NaN,0.217325,NaN
2012-05-26,0.107800,0.217078,-0.109278
2012-05-27,NaN,0.216831,NaN
2012-05-28,0.133400,0.216585,-0.083185
2012-05-29,0.115000,0.216338,-0.101338
2012-05-30,0.122600,0.216091,-0.093491
2012-05-31,0.098300,0.215845,-0.117545
2012-06-01,NaN,0.215598,NaN
2012-06-02,NaN,0.215351,NaN
2012-06-03,0.080500,0.215104,-0.134604
2012-06-04,NaN,0.214858,NaN
2012-06-05,0.111000,0.214611,-0.103611
2012-06-06,0.074500,0.214364,-0.139864
2012-06-07,NaN,0.214117,NaN
2012-06-08,0.107200,0.213871,-0.106671
2012-06-09,0.089100,0.213624,-0.124524
2012-06-10,0.100600,0.213377,-0.112777
2012-06-11,0.072200,0.213131,-0.140931
2012-06-12,NaN,0.212884,NaN
2012-06-13,NaN,0.212637,NaN
2012-06-14,0.074900,0.212390,-0.137490
2012-06-15,0.077800,0.208624,-0.130824
2012-06-16,0.115200,0.204857,-0.089657
2012-06-17,NaN,0.201091,NaN
2012-06-18,0.080400,0.197325,-0.116925
2012-06-19,NaN,0.193558,NaN
2012-06-20,NaN,0.189792,NaN
2012-06-22,NaN,0.182259,NaN
2012-06-23,NaN,0.178492,NaN
2012-06-24,0.187800,0.174726,0.013074
2012-06-25,NaN,0.170959,NaN
2012-06-26,NaN,0.167193,NaN
2012-06-27,0.135200,0.163426,-0.028226
2012-06-28,NaN,0.159660,NaN
2012-06-29,NaN,0.155893,NaN
2012-06-30,NaN,0.152127,NaN
2012-07-01,NaN,0.148361,NaN
2012-07-02,0.253200,0.144594,0.108606
2012-07-03,NaN,0.140828,NaN
2012-07-04,NaN,0.137061,NaN
2012-07-05,0.262800,0.133295,0.129505
2012-07-06,0.243600,0.129528,0.114072
2012-07-07,0.146800,0.125762,0.021038
2012-07-08,0.089100,0.121995,-0.032895
2012-07-09,NaN,0.118229,NaN
2012-07-10,NaN,0.114462,NaN
2012-07-11,NaN,0.110696,NaN
2012-07-12,NaN,0.106930,NaN
2012-07-13,0.145500,0.103163,0.042337
2012-07-14,NaN,0.099397,NaN
2012-07-15,0.095100,0.099413,-0.004313
2012-07-16,0.112250,0.099430,0.012820
2012-07-17,NaN,0.099447,NaN
2012-07-18,0.090200,0.099463,-0.009263
2012-07-19,NaN,0.099480,NaN
2012-07-20,NaN,0.099497,NaN
2012-07-21,NaN,0.099513,NaN
2012-07-22,NaN,0.099530,NaN
2012-07-23,0.093200,0.099547,-0.006347
2012-07-24,0.080600,0.099564,-0.018964
2012-07-25,NaN,0.099580,NaN
2012-07-26,NaN,0.099597,NaN
2012-07-27,NaN,0.099614,NaN
2012-07-28,0.102200,0.099630,0.002570
2012-07-29,0.058000,0.099647,-0.041647
2012-07-30,NaN,0.099664,NaN
2012-07-31,0.091400,0.099680,-0.008280
2012-08-01,0.079400,0.099697,-0.020297
2012-08-02,0.097800,0.099714,-0.001914
2012-08-03,0.093600,0.099730,-0.006130
2012-08-04,NaN,0.099747,NaN
2012-08-05,NaN,0.099764,NaN
2012-08-06,NaN,0.099780,NaN
2012-08-07,0.084000,0.099797,-0.015797
2012-08-08,0.074600,0.099814,-0.025214
2012-08-09,0.078700,0.099831,-0.021131
2012-08-10,NaN,0.099847,NaN
2012-08-11,0.051400,0.099864,-0.048464
2012-08-12,0.061600,0.099881,-0.038281
2012-08-13,0.075000,0.099897,-0.024897
2012-08-14,0.065000,0.099914,-0.034914
2012-08-15,NaN,0.104282,NaN
2012-08-16,0.067900,0.108651,-0.040751
2012-08-17,0.082550,0.113019,-0.030469
2012-08-18,0.082200,0.117388,-0.035188
2012-08-19,0.082000,0.121756,-0.039756
2012-08-20,0.128400,0.126125,0.002275
2012-08-21,0.063000,0.130493,-0.067493
2012-08-22,0.059000,0.134861,-0.075861
2012-08-23,0.092600,0.139230,-0.046630
2012-08-24,NaN,0.143598,NaN
2012-08-25,NaN,0.147967,NaN
2012-08-26,NaN,0.152335,NaN
2012-08-27,0.124400,0.156703,-0.032303
2012-08-28,0.081600,0.161072,-0.079472
2012-08-29,0.104800,0.165440,-0.060640
2012-08-30,0.133400,0.169809,-0.036409
2012-08-31,NaN,0.174177,NaN
2012-09-01,NaN,0.178546,NaN
2012-09-02,0.163050,0.182914,-0.019864
2012-09-03,0.140700,0.187282,-0.046582
2012-09-04,0.129400,0.191651,-0.062251
2012-09-05,NaN,0.196019,NaN
2012-09-06,0.132700,0.200388,-0.067688
2012-09-07,0.122200,0.204756,-0.082556
2012-09-08,0.074000,0.209125,-0.135125
2012-09-09,0.066600,0.213493,-0.146893
2012-09-10,0.129800,0.217861,-0.088061
2012-09-11,NaN,0.222230,NaN
2012-09-12,0.120600,0.226598,-0.105998
2012-09-13,NaN,0.230967,NaN
2012-09-14,0.185400,0.235335,-0.049935
2012-09-15,NaN,0.234484,NaN
2012-09-16,NaN,0.233632,NaN
2012-09-17,0.130200,0.232781,-0.102581
2012-09-18,0.136800,0.231930,-0.095130
2012-09-19,0.148400,0.231078,-0.082678
2012-09-20,0.110600,0.230227,-0.119627
2012-09-21,0.099200,0.229375,-0.130175
2012-09-22,0.109800,0.228524,-0.118724
2012-09-23,0.177000,0.227673,-0.050673
2012-09-24,0.128600,0.226821,-0.098221
2012-09-25,0.107800,0.225970,-0.118170
2012-09-26,0.125900,0.225118,-0.099218
2012-09-27,0.068000,0.224267,-0.156267
2012-09-28,NaN,0.223416,NaN
2012-09-29,NaN,0.222564,NaN
2012-09-30,NaN,0.221713,NaN
2012-10-01,0.163600,0.220862,-0.057262
2012-10-02,0.162700,0.220010,-0.057310
2012-10-03,0.155200,0.219159,-0.063959
2012-10-04,0.145600,0.218307,-0.072707
2012-10-05,0.133800,0.217456,-0.083656
2012-10-06,0.110600,0.216605,-0.106005
2012-10-07,0.177200,0.215753,-0.038553
2012-10-08,NaN,0.214902,NaN
2012-10-09,0.143400,0.214051,-0.070651
2012-10-10,0.260600,0.213199,0.047401
2012-10-11,0.143000,0.212348,-0.069348
2012-10-12,0.120500,0.211496,-0.090996
2012-10-13,0.186000,0.210645,-0.024645
2012-10-14,0.102600,0.209794,-0.107194
2012-10-15,NaN,0.210453,NaN
2012-10-16,NaN,0.211113,NaN
2012-10-17,0.161600,0.211773,-0.050173
2012-10-18,NaN,0.212432,NaN
2012-10-19,0.180400,0.213092,-0.032692
2012-10-20,NaN,0.213752,NaN
2012-10-21,0.156800,0.214411,-0.057611
2012-10-22,0.155600,0.215071,-0.059471
2012-10-23,0.155800,0.215731,-0.059931
2012-10-24,0.157600,0.216390,-0.058790
2012-10-25,0.248800,0.217050,0.031750
2012-10-26,NaN,0.217710,NaN
2012-10-27,0.200600,0.218370,-0.017770
2012-10-28,0.180400,0.219029,-0.038629
2012-10-29,0.177400,0.219689,-0.042289
2012-10-30,0.209200,0.220349,-0.011149
2012-10-31,0.415200,0.221008,0.194192
2012-11-01,0.205400,0.221668,-0.016268
2012-11-02,0.175600,0.222328,-0.046728
2012-11-03,0.136800,0.222987,-0.086187
2012-11-04,0.116400,0.223647,-0.107247
2012-11-05,0.176000,0.224307,-0.048307
2012-11-06,0.178200,0.224966,-0.046766
2012-11-07,0.139000,0.225626,-0.086626
2012-11-08,0.131800,0.226286,-0.094486
2012-11-09,0.142800,0.226945,-0.084145
2012-11-10,0.110200,0.227605,-0.117405
2012-11-11,NaN,0.228265,NaN
2012-11-12,0.234000,0.228925,0.005075
2012-11-13,NaN,0.229584,NaN
2012-11-14,NaN,0.230244,NaN
2012-11-15,NaN,0.230708,NaN
2012-11-16,0.192000,0.231172,-0.039172
2012-11-17,0.199400,0.231636,-0.032236
2012-11-18,0.203000,0.232100,-0.029100
2012-11-19,0.208000,0.232564,-0.024564
2012-11-20,0.187600,0.233028,-0.045428
2012-11-21,NaN,0.233492,NaN
2012-11-23,0.217000,0.234420,-0.017420
2012-11-24,0.180400,0.234884,-0.054484
2012-11-25,0.158800,0.235348,-0.076548
2012-11-26,0.138900,0.235812,-0.096912
2012-11-27,0.390800,0.236276,0.154524
2012-11-28,0.185800,0.236740,-0.050940
2012-11-29,NaN,0.237204,NaN
2012-11-30,0.194800,0.237668,-0.042868
2012-12-01,0.145400,0.238132,-0.092732
2012-12-02,0.210000,0.238596,-0.028596
2012-12-03,0.197600,0.239060,-0.041460
2012-12-04,0.148900,0.239524,-0.090624
2012-12-05,0.165600,0.239988,-0.074388
2012-12-06,0.164300,0.240452,-0.076152
2012-12-07,0.235500,0.240916,-0.005416
2012-12-08,0.233400,0.241380,-0.007980
2012-12-09,NaN,0.241844,NaN
2012-12-10,NaN,0.242308,NaN
2012-12-11,0.115800,0.242772,-0.126972
2012-12-12,0.194000,0.243236,-0.049236
2012-12-13,0.147500,0.243700,-0.096200
2012-12-14,NaN,0.244164,NaN
2012-12-15,NaN,0.244319,NaN
2012-12-16,NaN,0.244475,NaN
2012-12-17,0.178400,0.244630,-0.066230
2012-12-18,0.197200,0.244786,-0.047586
2012-12-19,NaN,0.244941,NaN
2012-12-20,0.153200,0.245097,-0.091897
2012-12-21,NaN,0.245253,NaN
2012-12-22,0.129000,0.245408,-0.116408
2012-12-23,NaN,0.245564,NaN
2012-12-24,NaN,0.245719,NaN
2012-12-25,0.146000,0.245875,-0.099875
2012-12-26,0.168600,0.246031,-0.077431
2012-12-27,NaN,0.246186,NaN
2012-12-28,NaN,0.246342,NaN
2012-12-29,NaN,0.246497,NaN
2012-12-30,NaN,0.246653,NaN
2012-12-31,NaN,0.246809,NaN
2013-01-01,NaN,0.246964,NaN
2013-01-02,NaN,0.247120,NaN
2013-01-03,NaN,0.247275,NaN
2013-01-04,NaN,0.247431,NaN
2013-01-05,NaN,0.247586,NaN
2013-01-06,0.192800,0.247742,-0.054942
2013-01-07,NaN,0.247898,NaN
2013-01-08,NaN,0.248053,NaN
2013-01-09,NaN,0.248209,NaN
2013-01-10,0.201400,0.248364,-0.046964
2013-01-11,NaN,0.248520,NaN
2013-01-12,NaN,0.248676,NaN
2013-01-13,NaN,0.248831,NaN
2013-01-14,NaN,0.248987,NaN
2013-01-15,NaN,0.249142,NaN
2013-01-16,0.201400,0.248334,-0.046934
2013-01-17,0.201800,0.247526,-0.045726
2013-01-18,0.203600,0.246718,-0.043118
2013-01-19,0.178900,0.245910,-0.067010
2013-01-20,0.179400,0.245101,-0.065701
