Time,mean,climatology,anomaly
1325548800,0.485200,NaN,NaN
1325635200,0.477600,NaN,NaN
1325721600,0.387000,NaN,NaN
1325808000,0.238800,NaN,NaN
1325894400,0.507750,NaN,NaN
1325980800,1.394200,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,1.106500,NaN,NaN
1326240000,0.444200,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,0.407200,NaN,NaN
1326499200,0.321800,NaN,NaN
1326585600,0.518000,0.357842,0.160158
1326672000,0.284200,0.358526,-0.074326
1326758400,0.194800,0.359209,-0.164409
1326844800,0.393300,0.359892,0.033408
1326931200,0.310300,0.360575,-0.050275
1327017600,0.334800,0.361259,-0.026459
1327104000,0.232600,0.361942,-0.129342
1327190400,NaN,0.362625,NaN
1327276800,NaN,0.363308,NaN
1327363200,NaN,0.363991,NaN
1327449600,0.364400,0.364675,-0.000275
1327536000,NaN,0.365358,NaN
1327622400,0.359000,0.366041,-0.007041
1327708800,0.427200,0.366724,0.060476
1327795200,0.767100,0.367408,0.399692
1327881600,NaN,0.368091,NaN
1327968000,0.331800,0.368774,-0.036974
1328054400,NaN,0.369457,NaN
1328140800,NaN,0.370141,NaN
1328227200,NaN,0.370824,NaN
1328313600,0.378800,0.371507,0.007293
1328400000,0.205400,0.372190,-0.166790
1328486400,0.372000,0.372873,-0.000874
1328572800,0.448400,0.373557,0.074843
1328659200,0.971100,0.374240,0.596860
1328745600,NaN,0.374923,NaN
1328832000,NaN,0.375606,NaN
1328918400,0.414400,0.376290,0.038110
1329004800,0.351100,0.376973,-0.025873
1329091200,0.280600,0.377656,-0.097056
1329177600,0.545600,0.378339,0.167261
1329264000,NaN,0.379023,NaN
1329350400,NaN,0.381924,NaN
1329436800,0.280800,0.384824,-0.104025
1329523200,NaN,0.387725,NaN
1329609600,0.471400,0.390626,0.080774
1329696000,0.389800,0.393527,-0.003727
1329782400,0.534000,0.396428,0.137572
1329868800,NaN,0.399329,NaN
1329955200,NaN,0.402230,NaN
1330041600,NaN,0.405131,NaN
1330128000,NaN,0.408032,NaN
1330214400,0.378200,0.410933,-0.032733
1330300800,NaN,0.413834,NaN
1330387200,0.259600,0.416735,-0.157135
1330473600,0.197000,0.419636,-0.222636
1330560000,0.278400,0.422537,-0.144137
1330646400,0.379400,0.425438,-0.046038
1330732800,NaN,0.428339,NaN
1330819200,0.373600,0.431240,-0.057640
1330905600,0.479400,0.434141,0.045259
1330992000,0.541600,0.437042,0.104558
1331078400,NaN,0.439943,NaN
1331164800,0.430900,0.442844,-0.011944
1331251200,NaN,0.445745,NaN
1331337600,0.286600,0.448646,-0.162046
1331424000,NaN,0.451547,NaN
1331510400,0.340000,0.454447,-0.114447
1331596800,0.385800,0.457348,-0.071548
1331683200,0.369300,0.460249,-0.090949
1331769600,0.415200,0.463511,-0.048311
1331856000,0.359600,0.466773,-0.107173
1331942400,0.647600,0.470034,0.177566
1332028800,0.598600,0.473296,0.125304
1332115200,0.313000,0.476558,-0.163558
1332201600,NaN,0.479819,NaN
1332288000,NaN,0.483081,NaN
1332374400,NaN,0.486343,NaN
1332460800,0.380800,0.489604,-0.108804
1332720000,0.546200,0.499389,0.046811
1332806400,0.810200,0.502651,0.307549
1332892800,0.454950,0.505912,-0.050962
1332979200,0.444900,0.509174,-0.064274
1333065600,NaN,0.512436,NaN
1333152000,0.282400,0.515697,-0.233297
1333238400,0.593700,0.518959,0.074741
1333324800,0.596000,0.522221,0.073779
1333411200,0.872400,0.525482,0.346918
1333497600,NaN,0.528744,NaN
1333584000,NaN,0.532005,NaN
1333670400,0.486800,0.535267,-0.048467
1333756800,0.654600,0.538529,0.116071
1333843200,0.523000,0.541790,-0.018790
1333929600,0.532600,0.545052,-0.012452
1334016000,0.573400,0.548314,0.025086
1334102400,0.411800,0.551575,-0.139775
1334188800,0.451800,0.554837,-0.103037
1334275200,0.816200,0.558099,0.258101
1334361600,0.397800,0.561360,-0.163560
1334448000,NaN,0.559703,NaN
1334534400,NaN,0.558046,NaN
1334620800,NaN,0.556389,NaN
1334707200,0.453350,0.554732,-0.101382
1334793600,0.576200,0.553076,0.023124
1334880000,0.533500,0.551419,-0.017919
1334966400,NaN,0.549762,NaN
1335052800,0.414400,0.548105,-0.133705
1335139200,0.611200,0.546448,0.064752
1335225600,0.603000,0.544791,0.058209
1335312000,0.379000,0.543134,-0.164134
