Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.111400,NaN,NaN
1325721600,0.088400,NaN,NaN
1325808000,0.067000,NaN,NaN
1325894400,0.066800,NaN,NaN
1325980800,0.072800,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,0.075100,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.075200,0.084186,-0.008986
1326672000,0.097800,0.083587,0.014213
1326758400,0.062800,0.082989,-0.020189
1326844800,0.058800,0.082390,-0.023590
1326931200,0.068000,0.081791,-0.013791
1327017600,0.067700,0.081192,-0.013492
1327104000,0.060200,0.080594,-0.020394
1327190400,0.055200,0.079995,-0.024795
1327276800,NaN,0.079396,NaN
1327363200,NaN,0.078798,NaN
1327449600,0.056600,0.078199,-0.021599
1327536000,0.033800,0.077600,-0.043800
1327622400,NaN,0.077001,NaN
1327708800,0.048700,0.076403,-0.027703
1327795200,NaN,0.075804,NaN
1327881600,NaN,0.075205,NaN
1327968000,0.071000,0.074606,-0.003606
1328054400,0.061600,0.074008,-0.012408
1328140800,NaN,0.073409,NaN
1328227200,NaN,0.072810,NaN
1328313600,NaN,0.072211,NaN
1328400000,NaN,0.071613,NaN
1328486400,NaN,0.071014,NaN
1328572800,0.056600,0.070415,-0.013815
1328659200,NaN,0.069816,NaN
1328745600,0.063000,0.069218,-0.006218
1328832000,0.056800,0.068619,-0.011819
1328918400,NaN,0.068020,NaN
1329004800,0.107800,0.067422,0.040378
1329091200,NaN,0.066823,NaN
1329177600,0.061700,0.066224,-0.004524
1329264000,0.049800,0.065625,-0.015825
1329350400,NaN,0.065308,NaN
1329436800,NaN,0.064991,NaN
1329523200,0.050700,0.064674,-0.013974
1329609600,0.050600,0.064356,-0.013756
1329696000,0.057400,0.064039,-0.006639
1329782400,0.049800,0.063722,-0.013922
1329868800,0.049800,0.063405,-0.013605
1329955200,0.049400,0.063087,-0.013687
1330041600,0.047900,0.062770,-0.014870
1330128000,0.054800,0.062453,-0.007653
1330214400,0.074300,0.062136,0.012164
1330300800,0.056000,0.061818,-0.005818
1330387200,0.054200,0.061501,-0.007301
1330473600,0.047300,0.061184,-0.013884
1330560000,0.053000,0.060867,-0.007867
1330646400,0.050400,0.060549,-0.010149
1330732800,0.044400,0.060232,-0.015832
1330819200,NaN,0.059915,NaN
1330905600,NaN,0.059598,NaN
1330992000,0.101400,0.059280,0.042120
1331078400,0.096600,0.058963,0.037637
1331164800,0.055000,0.058646,-0.003646
1331251200,0.047000,0.058329,-0.011329
1331337600,0.055400,0.058012,-0.002612
1331424000,NaN,0.057694,NaN
1331510400,0.066200,0.057377,0.008823
1331596800,NaN,0.057060,NaN
1331683200,0.050800,0.056743,-0.005943
1331769600,0.055600,0.056729,-0.001129
1331856000,NaN,0.056715,NaN
1331942400,0.047000,0.056701,-0.009701
1332028800,0.049400,0.056687,-0.007287
1332115200,0.050400,0.056673,-0.006273
1332201600,0.050400,0.056659,-0.006259
1332288000,NaN,0.056645,NaN
1332374400,NaN,0.056631,NaN
1332460800,0.046600,0.056617,-0.010017
1332720000,0.047000,0.056575,-0.009575
1332806400,NaN,0.056561,NaN
1332892800,NaN,0.056547,NaN
1332979200,NaN,0.056533,NaN
1333065600,NaN,0.056519,NaN
1333152000,NaN,0.056505,NaN
1333238400,NaN,0.056491,NaN
1333324800,0.054800,0.056477,-0.001677
1333411200,0.052600,0.056463,-0.003863
1333497600,0.057800,0.056449,0.001351
1333584000,0.059000,0.056435,0.002565
1333670400,NaN,0.056421,NaN
1333756800,0.033600,0.056407,-0.022807
1333843200,0.063800,0.056393,0.007407
1333929600,0.057800,0.056379,0.001421
1334016000,0.050900,0.056365,-0.005465
