Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.055000,NaN,NaN
1325721600,NaN,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,NaN,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.059200,NaN,NaN
1326326400,0.074800,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,0.060800,NaN,NaN
1326585600,NaN,0.055966,NaN
1326672000,0.060500,0.055873,0.004627
1326758400,NaN,0.055780,NaN
1326844800,0.057200,0.055686,0.001514
1326931200,NaN,0.055593,NaN
1327017600,NaN,0.055500,NaN
1327104000,NaN,0.055407,NaN
1327190400,NaN,0.055314,NaN
1327276800,NaN,0.055221,NaN
1327363200,0.045200,0.055127,-0.009927
1327449600,0.051400,0.055034,-0.003634
1327536000,0.052800,0.054941,-0.002141
1327622400,0.056200,0.054848,0.001352
1327708800,NaN,0.054755,NaN
1327795200,NaN,0.054662,NaN
1327881600,NaN,0.054568,NaN
1327968000,NaN,0.054475,NaN
1328054400,NaN,0.054382,NaN
1328140800,NaN,0.054289,NaN
1328227200,0.050400,0.054196,-0.003796
1328313600,NaN,0.054103,NaN
1328400000,NaN,0.054009,NaN
1328486400,NaN,0.053916,NaN
1328572800,NaN,0.053823,NaN
1328659200,NaN,0.053730,NaN
1328745600,NaN,0.053637,NaN
1328832000,NaN,0.053544,NaN
1328918400,NaN,0.053450,NaN
1329004800,NaN,0.053357,NaN
1329091200,NaN,0.053264,NaN
1329177600,NaN,0.053171,NaN
1329264000,NaN,0.053078,NaN
1329350400,NaN,0.052894,NaN
1329436800,NaN,0.052710,NaN
1329523200,NaN,0.052526,NaN
1329609600,NaN,0.052342,NaN
1329696000,NaN,0.052157,NaN
1329782400,NaN,0.051973,NaN
1329868800,NaN,0.051789,NaN
1329955200,NaN,0.051605,NaN
1330041600,NaN,0.051421,NaN
1330128000,NaN,0.051237,NaN
1330214400,NaN,0.051053,NaN
1330300800,NaN,0.050869,NaN
1330387200,0.068100,0.050685,0.017415
1330473600,NaN,0.050501,NaN
1330560000,0.047000,0.050317,-0.003317
1330646400,0.041200,0.050133,-0.008933
1330732800,NaN,0.049949,NaN
1330819200,0.048800,0.049765,-0.000965
1330905600,0.055200,0.049581,0.005619
1330992000,0.052600,0.049396,0.003204
1331078400,NaN,0.049212,NaN
1331164800,0.047600,0.049028,-0.001428
1331251200,NaN,0.048844,NaN
1331337600,NaN,0.048660,NaN
1331424000,NaN,0.048476,NaN
1331510400,0.043900,0.048292,-0.004392
1331596800,0.039000,0.048108,-0.009108
1331683200,NaN,0.047924,NaN
1331769600,0.037600,0.047665,-0.010065
1331856000,0.037600,0.047406,-0.009806
1331942400,NaN,0.047147,NaN
1332028800,NaN,0.046888,NaN
1332115200,NaN,0.046629,NaN
1332201600,NaN,0.046371,NaN
1332288000,NaN,0.046112,NaN
1332374400,NaN,0.045853,NaN
1332460800,NaN,0.045594,NaN
1332720000,0.033000,0.044817,-0.011817
1332806400,NaN,0.044558,NaN
1332892800,0.035400,0.044299,-0.008899
1332979200,0.036800,0.044040,-0.007240
1333065600,NaN,0.043781,NaN
1333152000,NaN,0.043523,NaN
1333238400,0.039000,0.043264,-0.004264
1333324800,NaN,0.043005,NaN
1333411200,NaN,0.042746,NaN
1333497600,NaN,0.042487,NaN
1333584000,0.041000,0.042228,-0.001228
1333670400,NaN,0.041969,NaN
1333756800,NaN,0.041710,NaN
1333843200,0.032800,0.041451,-0.008651
1333929600,0.034400,0.041192,-0.006792
1334016000,NaN,0.040933,NaN
1334102400,0.030400,0.040675,-0.010275
1334188800,NaN,0.040416,NaN
1334275200,0.032000,0.040157,-0.008157
1334361600,0.036200,0.039898,-0.003698
1334448000,NaN,0.039848,NaN
1334534400,NaN,0.039798,NaN
1334620800,NaN,0.039749,NaN
1334707200,NaN,0.039699,NaN
1334793600,0.033600,0.039649,-0.006049
1334880000,NaN,0.039599,NaN
1334966400,NaN,0.039550,NaN
1335052800,0.033700,0.039500,-0.005800
1335139200,0.031000,0.039450,-0.008450
1335225600,0.030200,0.039400,-0.009200
1335312000,NaN,0.039351,NaN
1335398400,NaN,0.039301,NaN
1335484800,0.035000,0.039251,-0.004251
1335571200,0.036300,0.039201,-0.002901
1335657600,0.033800,0.039152,-0.005352
1335744000,0.036600,0.039102,-0.002502
1335830400,NaN,0.039052,NaN
1335916800,NaN,0.039002,NaN
1336003200,NaN,0.038953,NaN
1336089600,0.035400,0.038903,-0.003503
1336176000,0.035900,0.038853,-0.002953
1336262400,NaN,0.038803,NaN
1336348800,NaN,0.038754,NaN
1336435200,0.037200,0.038704,-0.001504
1336521600,NaN,0.038654,NaN
1336608000,NaN,0.038604,NaN
1336694400,NaN,0.038555,NaN
1336780800,NaN,0.038505,NaN
1336867200,NaN,0.038455,NaN
1336953600,NaN,0.038405,NaN
1337040000,0.035000,0.038530,-0.003530
1337126400,0.043800,0.038654,0.005146
1337212800,NaN,0.038778,NaN
1337299200,0.040400,0.038903,0.001497
1337385600,0.037900,0.039027,-0.001127
1337472000,0.034600,0.039151,-0.004551
1337558400,0.038200,0.039276,-0.001076
1337644800,NaN,0.039400,NaN
1337731200,NaN,0.039524,NaN
1337817600,0.041200,0.039649,0.001551
1337904000,0.043250,0.039773,0.003477
1337990400,NaN,0.039897,NaN
1338076800,NaN,0.040022,NaN
1338163200,NaN,0.040146,NaN
1338249600,0.034800,0.040270,-0.005470
1338336000,NaN,0.040395,NaN
1338422400,NaN,0.040519,NaN
1338508800,0.054600,0.040643,0.013957
1338595200,NaN,0.040768,NaN
1338681600,0.055400,0.040892,0.014508
1338768000,NaN,0.041016,NaN
1338854400,0.060100,0.041141,0.018959
1338940800,NaN,0.041265,NaN
1339027200,NaN,0.041389,NaN
1339113600,NaN,0.041514,NaN
