Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.055200,NaN,NaN
1325721600,NaN,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,NaN,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.060400,NaN,NaN
1326326400,0.073800,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,0.059000,NaN,NaN
1326585600,NaN,0.056370,NaN
1326672000,0.061400,0.056259,0.005141
1326758400,NaN,0.056147,NaN
1326844800,0.057900,0.056035,0.001865
1326931200,NaN,0.055924,NaN
1327017600,NaN,0.055812,NaN
1327104000,NaN,0.055700,NaN
1327190400,NaN,0.055589,NaN
1327276800,NaN,0.055477,NaN
1327363200,0.044300,0.055365,-0.011065
1327449600,0.048400,0.055253,-0.006853
1327536000,NaN,0.055142,NaN
1327622400,0.055800,0.055030,0.000770
1327708800,NaN,0.054918,NaN
1327795200,0.060200,0.054807,0.005393
1327881600,NaN,0.054695,NaN
1327968000,NaN,0.054583,NaN
1328054400,NaN,0.054472,NaN
1328140800,NaN,0.054360,NaN
1328227200,0.048800,0.054248,-0.005448
1328313600,NaN,0.054137,NaN
1328400000,NaN,0.054025,NaN
1328486400,NaN,0.053913,NaN
1328572800,NaN,0.053801,NaN
1328659200,0.048700,0.053690,-0.004990
1328745600,NaN,0.053578,NaN
1328832000,NaN,0.053466,NaN
1328918400,NaN,0.053355,NaN
1329004800,NaN,0.053243,NaN
1329091200,NaN,0.053131,NaN
1329177600,NaN,0.053020,NaN
1329264000,NaN,0.052908,NaN
1329350400,NaN,0.052700,NaN
1329436800,NaN,0.052492,NaN
1329523200,NaN,0.052284,NaN
1329609600,NaN,0.052076,NaN
1329696000,NaN,0.051868,NaN
1329782400,NaN,0.051660,NaN
1329868800,NaN,0.051452,NaN
1329955200,NaN,0.051244,NaN
1330041600,NaN,0.051036,NaN
1330128000,NaN,0.050828,NaN
1330214400,NaN,0.050620,NaN
1330300800,NaN,0.050412,NaN
1330387200,0.068400,0.050204,0.018196
1330473600,NaN,0.049996,NaN
1330560000,0.042200,0.049788,-0.007588
1330646400,0.041400,0.049580,-0.008180
1330732800,NaN,0.049372,NaN
1330819200,0.048600,0.049164,-0.000564
1330905600,0.054800,0.048955,0.005845
1330992000,NaN,0.048747,NaN
1331078400,NaN,0.048539,NaN
1331164800,0.049000,0.048331,0.000669
1331251200,NaN,0.048123,NaN
1331337600,NaN,0.047915,NaN
1331424000,NaN,0.047707,NaN
1331510400,0.043300,0.047499,-0.004199
1331596800,0.042000,0.047291,-0.005291
1331683200,NaN,0.047083,NaN
1331769600,0.038000,0.046824,-0.008824
1331856000,0.038200,0.046565,-0.008365
1331942400,NaN,0.046306,NaN
1332028800,NaN,0.046046,NaN
1332115200,NaN,0.045787,NaN
1332201600,NaN,0.045528,NaN
1332288000,NaN,0.045269,NaN
1332374400,NaN,0.045009,NaN
1332460800,NaN,0.044750,NaN
1332720000,0.034000,0.043972,-0.009972
1332806400,NaN,0.043713,NaN
1332892800,0.034700,0.043454,-0.008754
1332979200,0.038600,0.043195,-0.004595
1333065600,NaN,0.042935,NaN
1333152000,0.042400,0.042676,-0.000276
1333238400,0.041600,0.042417,-0.000817
1333324800,NaN,0.042158,NaN
1333411200,NaN,0.041899,NaN
1333497600,NaN,0.041639,NaN
1333584000,0.042600,0.041380,0.001220
1333670400,NaN,0.041121,NaN
1333756800,NaN,0.040862,NaN
1333843200,0.035000,0.040602,-0.005602
1333929600,0.036000,0.040343,-0.004343
1334016000,NaN,0.040084,NaN
1334102400,0.031600,0.039825,-0.008225
1334188800,NaN,0.039565,NaN
1334275200,0.032000,0.039306,-0.007306
1334361600,0.037200,0.039047,-0.001847
1334448000,NaN,0.039052,NaN
1334534400,NaN,0.039057,NaN
1334620800,NaN,0.039063,NaN
1334707200,NaN,0.039068,NaN
1334793600,0.034000,0.039073,-0.005073
1334880000,NaN,0.039078,NaN
1334966400,NaN,0.039083,NaN
1335052800,0.034200,0.039089,-0.004889
1335139200,0.033300,0.039094,-0.005794
1335225600,0.031400,0.039099,-0.007699
1335312000,NaN,0.039104,NaN
1335398400,NaN,0.039110,NaN
1335484800,0.035200,0.039115,-0.003915
1335571200,0.034800,0.039120,-0.004320
1335657600,NaN,0.039125,NaN
1335744000,0.037600,0.039130,-0.001530
1335830400,NaN,0.039136,NaN
1335916800,0.038200,0.039141,-0.000941
1336003200,NaN,0.039146,NaN
1336089600,NaN,0.039151,NaN
1336176000,0.040200,0.039157,0.001043
1336262400,NaN,0.039162,NaN
1336348800,0.039400,0.039167,0.000233
1336435200,NaN,0.039172,NaN
1336521600,NaN,0.039177,NaN
1336608000,NaN,0.039183,NaN
