Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.095700,NaN,NaN
1325721600,0.090400,NaN,NaN
1325808000,0.062100,NaN,NaN
1325894400,0.070200,NaN,NaN
1325980800,0.068200,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.068000,0.078719,-0.010719
1326672000,NaN,0.078717,NaN
1326758400,0.073000,0.078714,-0.005714
1326844800,NaN,0.078712,NaN
1326931200,NaN,0.078710,NaN
1327017600,0.065900,0.078708,-0.012808
1327104000,0.040400,0.078705,-0.038305
1327190400,0.062000,0.078703,-0.016703
1327276800,0.065100,0.078701,-0.013601
1327363200,0.039500,0.078699,-0.039199
1327449600,0.047600,0.078696,-0.031096
1327536000,NaN,0.078694,NaN
1327622400,0.061300,0.078692,-0.017392
1327708800,0.056200,0.078690,-0.022490
1327795200,NaN,0.078687,NaN
1327881600,NaN,0.078685,NaN
1327968000,NaN,0.078683,NaN
1328054400,0.057800,0.078681,-0.020881
1328140800,NaN,0.078678,NaN
1328227200,NaN,0.078676,NaN
1328313600,NaN,0.078674,NaN
1328400000,NaN,0.078672,NaN
1328486400,NaN,0.078669,NaN
1328572800,NaN,0.078667,NaN
1328659200,NaN,0.078665,NaN
1328745600,NaN,0.078663,NaN
1328832000,NaN,0.078660,NaN
1328918400,NaN,0.078658,NaN
1329004800,0.079400,0.078656,0.000744
1329091200,NaN,0.078654,NaN
1329177600,0.046100,0.078652,-0.032552
1329264000,0.066700,0.078649,-0.011949
1329350400,NaN,0.078532,NaN
1329436800,0.090800,0.078414,0.012386
1329523200,NaN,0.078296,NaN
1329609600,0.075700,0.078179,-0.002479
1329696000,NaN,0.078061,NaN
1329782400,NaN,0.077944,NaN
1329868800,0.047400,0.077826,-0.030426
1329955200,0.082300,0.077708,0.004592
1330041600,0.079000,0.077591,0.001409
1330128000,NaN,0.077473,NaN
1330214400,NaN,0.077356,NaN
1330300800,0.062700,0.077238,-0.014538
1330387200,0.059500,0.077120,-0.017620
1330473600,NaN,0.077003,NaN
1330560000,0.062000,0.076885,-0.014885
1330646400,0.080750,0.076767,0.003983
1330732800,0.094100,0.076650,0.017450
1330819200,NaN,0.076532,NaN
1330905600,NaN,0.076415,NaN
1330992000,NaN,0.076297,NaN
1331078400,NaN,0.076179,NaN
1331164800,NaN,0.076062,NaN
1331251200,0.069200,0.075944,-0.006744
1331337600,0.058000,0.075826,-0.017826
1331424000,NaN,0.075709,NaN
1331510400,NaN,0.075591,NaN
1331596800,0.085400,0.075474,0.009926
