Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.105000,NaN,NaN
1325721600,0.094600,NaN,NaN
1325808000,0.073000,NaN,NaN
1325894400,0.072000,NaN,NaN
1325980800,0.072200,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,0.112800,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,0.077100,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.071000,0.086838,-0.015838
1326672000,0.084800,0.086728,-0.001928
1326758400,0.073800,0.086619,-0.012819
1326844800,0.050100,0.086509,-0.036409
1326931200,NaN,0.086399,NaN
1327017600,0.072700,0.086289,-0.013589
1327104000,0.046200,0.086179,-0.039979
1327190400,0.065200,0.086070,-0.020870
1327276800,0.040400,0.085960,-0.045560
1327363200,0.061000,0.085850,-0.024850
1327449600,0.064400,0.085740,-0.021340
1327536000,0.076800,0.085630,-0.008830
1327622400,0.065000,0.085521,-0.020521
1327708800,0.088000,0.085411,0.002589
1327795200,NaN,0.085301,NaN
1327881600,NaN,0.085191,NaN
1327968000,NaN,0.085081,NaN
1328054400,0.082700,0.084972,-0.002272
1328140800,NaN,0.084862,NaN
1328227200,NaN,0.084752,NaN
1328313600,NaN,0.084642,NaN
1328400000,NaN,0.084532,NaN
1328486400,NaN,0.084423,NaN
1328572800,0.079400,0.084313,-0.004913
1328659200,NaN,0.084203,NaN
1328745600,0.057400,0.084093,-0.026693
1328832000,NaN,0.083983,NaN
1328918400,NaN,0.083874,NaN
1329004800,0.091400,0.083764,0.007636
1329091200,0.107000,0.083654,0.023346
1329177600,0.062000,0.083544,-0.021544
1329264000,0.069650,0.083434,-0.013784
1329350400,NaN,0.083324,NaN
1329436800,0.077900,0.083213,-0.005313
1329523200,0.084800,0.083103,0.001697
1329609600,0.078600,0.082992,-0.004392
1329696000,0.060600,0.082881,-0.022281
1329782400,NaN,0.082771,NaN
1329868800,0.058100,0.082660,-0.024560
1329955200,0.083800,0.082550,0.001250
1330041600,0.084200,0.082439,0.001761
1330128000,NaN,0.082328,NaN
1330214400,0.086600,0.082218,0.004382
1330300800,0.076000,0.082107,-0.006107
1330387200,0.072800,0.081997,-0.009197
1330473600,NaN,0.081886,NaN
1330560000,0.080000,0.081776,-0.001776
1330646400,0.067600,0.081665,-0.014065
1330732800,0.073400,0.081554,-0.008154
1330819200,NaN,0.081444,NaN
1330905600,0.101200,0.081333,0.019867
1330992000,NaN,0.081223,NaN
1331078400,NaN,0.081112,NaN
1331164800,0.105600,0.081001,0.024599
1331251200,0.070400,0.080891,-0.010491
1331337600,0.077300,0.080780,-0.003480
1331424000,NaN,0.080670,NaN
1331510400,0.071400,0.080559,-0.009159
1331596800,0.088400,0.080448,0.007952
1331683200,0.051900,0.080338,-0.028438
1331769600,0.048700,0.080207,-0.031507
1331856000,NaN,0.080075,NaN
1331942400,0.072600,0.079944,-0.007344
1332028800,0.075400,0.079813,-0.004413
1332115200,0.075600,0.079682,-0.004082
1332201600,0.079000,0.079551,-0.000551
1332288000,NaN,0.079419,NaN
1332374400,NaN,0.079288,NaN
1332460800,0.074600,0.079157,-0.004557
1332720000,0.076000,0.078764,-0.002764
1332806400,NaN,0.078632,NaN
1332892800,NaN,0.078501,NaN
1332979200,0.068600,0.078370,-0.009770
1333065600,NaN,0.078239,NaN
1333152000,NaN,0.078108,NaN
1333238400,NaN,0.077976,NaN
1333324800,0.076200,0.077845,-0.001645
1333411200,0.079600,0.077714,0.001886
1333497600,0.048600,0.077583,-0.028983
1333584000,0.083800,0.077452,0.006348
1333670400,NaN,0.077320,NaN
1333756800,NaN,0.077189,NaN
1333843200,0.057800,0.077058,-0.019258
1333929600,0.093300,0.076927,0.016373
1334016000,0.071600,0.076796,-0.005196
1334102400,0.078400,0.076665,0.001735
1334188800,NaN,0.076533,NaN
1334275200,0.081700,0.076402,0.005298
1334361600,NaN,0.076271,NaN
1334448000,0.088800,0.076452,0.012348
1334534400,0.067800,0.076634,-0.008834
1334620800,NaN,0.076815,NaN
1334707200,0.042200,0.076997,-0.034797
1334793600,NaN,0.077178,NaN
1334880000,0.061200,0.077360,-0.016160
1334966400,NaN,0.077541,NaN
1335052800,NaN,0.077723,NaN
1335139200,NaN,0.077904,NaN
1335225600,0.109200,0.078086,0.031114
1335312000,0.081500,0.078267,0.003233
1335398400,0.062200,0.078449,-0.016249
1335484800,NaN,0.078630,NaN
1335571200,NaN,0.078812,NaN
1335657600,NaN,0.078993,NaN
1335744000,NaN,0.079175,NaN
1335830400,NaN,0.079356,NaN
1335916800,NaN,0.079538,NaN
1336003200,NaN,0.079719,NaN
1336089600,NaN,0.079901,NaN
1336176000,0.067500,0.080082,-0.012582
1336262400,0.075000,0.080264,-0.005264
1336348800,0.058200,0.080445,-0.022245
1336435200,NaN,0.080627,NaN
1336521600,NaN,0.080808,NaN
1336608000,0.094400,0.080990,0.013410
1336694400,NaN,0.081171,NaN
1336780800,0.107700,0.081353,0.026347
1336867200,NaN,0.081534,NaN
1336953600,NaN,0.081716,NaN
1337040000,NaN,0.081733,NaN
1337126400,NaN,0.081749,NaN
1337212800,NaN,0.081766,NaN
1337299200,0.100400,0.081783,0.018617
1337385600,NaN,0.081800,NaN
1337472000,0.105400,0.081816,0.023584
1337558400,NaN,0.081833,NaN
1337644800,0.100000,0.081850,0.018150
1337731200,0.057000,0.081867,-0.024867
1337817600,NaN,0.081883,NaN
1337904000,NaN,0.081900,NaN
1337990400,0.119100,0.081917,0.037183
1338076800,0.112550,0.081933,0.030617
1338163200,0.105100,0.081950,0.023150
1338249600,0.114200,0.081967,0.032233
1338336000,NaN,0.081984,NaN
1338422400,0.154900,0.082000,0.072900
1338508800,NaN,0.082017,NaN
1338595200,NaN,0.082034,NaN
1338681600,0.079200,0.082051,-0.002851
1338768000,NaN,0.082067,NaN
1338854400,NaN,0.082084,NaN
1338940800,NaN,0.082101,NaN
1339027200,NaN,0.082117,NaN
1339113600,0.103200,0.082134,0.021066
1339200000,NaN,0.082151,NaN
1339286400,NaN,0.082168,NaN
1339372800,0.080200,0.082184,-0.001984
1339459200,0.141600,0.082201,0.059399
1339545600,0.125800,0.082218,0.043582
1339632000,0.084600,0.082235,0.002365
1339718400,NaN,0.082196,NaN
1339804800,0.100400,0.082157,0.018243
1339891200,0.068400,0.082118,-0.013718
1339977600,0.144800,0.082079,0.062721
1340064000,NaN,0.082040,NaN
1340150400,NaN,0.082001,NaN
1340323200,NaN,0.081923,NaN
1340409600,NaN,0.081884,NaN
1340496000,NaN,0.081845,NaN
1340582400,NaN,0.081807,NaN
1340668800,NaN,0.081768,NaN
1340755200,0.108200,0.081729,0.026471
1340841600,0.132100,0.081690,0.050410
1340928000,0.136000,0.081651,0.054349
1341014400,0.124600,0.081612,0.042988
1341100800,NaN,0.081573,NaN
1341187200,NaN,0.081534,NaN
1341273600,0.182600,0.081495,0.101105
1341360000,NaN,0.081456,NaN
1341446400,0.124800,0.081417,0.043383
1341532800,NaN,0.081379,NaN
1341619200,NaN,0.081340,NaN
1341705600,NaN,0.081301,NaN
1341792000,NaN,0.081262,NaN
1341878400,NaN,0.081223,NaN
1341964800,NaN,0.081184,NaN
1342051200,NaN,0.081145,NaN
1342137600,0.125700,0.081106,0.044594
1342224000,0.106000,0.081067,0.024933
1342310400,0.153600,0.081179,0.072421
1342396800,0.112000,0.081291,0.030709
1342483200,NaN,0.081403,NaN
1342569600,NaN,0.081515,NaN
1342656000,NaN,0.081627,NaN
1342742400,0.119900,0.081739,0.038161
1342828800,0.097400,0.081851,0.015549
1342915200,NaN,0.081963,NaN
1343001600,0.079400,0.082075,-0.002675
1343088000,NaN,0.082187,NaN
1343174400,NaN,0.082299,NaN
1343260800,0.055200,0.082411,-0.027211
1343347200,NaN,0.082523,NaN
1343433600,0.147200,0.082635,0.064565
1343520000,NaN,0.082747,NaN
1343606400,0.050800,0.082859,-0.032059
1343692800,0.086200,0.082971,0.003229
1343779200,0.084800,0.083083,0.001717
1343865600,NaN,0.083195,NaN
1343952000,NaN,0.083307,NaN
1344038400,0.046200,0.083419,-0.037219
1344124800,0.074000,0.083531,-0.009531
1344211200,NaN,0.083643,NaN
1344297600,NaN,0.083755,NaN
1344384000,0.066200,0.083867,-0.017667
1344470400,0.095000,0.083979,0.011021
1344556800,0.076300,0.084091,-0.007791
1344643200,NaN,0.084203,NaN
1344729600,NaN,0.084315,NaN
1344816000,NaN,0.084427,NaN
1344902400,NaN,0.084539,NaN
1344988800,0.080200,0.084709,-0.004509
1345075200,0.102200,0.084879,0.017321
1345161600,0.078900,0.085048,-0.006148
1345248000,NaN,0.085218,NaN
1345334400,0.111600,0.085388,0.026212
1345420800,0.120100,0.085558,0.034542
1345507200,0.124600,0.085728,0.038872
1345593600,NaN,0.085898,NaN
1345680000,NaN,0.086068,NaN
1345766400,NaN,0.086238,NaN
1345852800,NaN,0.086408,NaN
1345939200,NaN,0.086578,NaN
1346025600,0.077600,0.086748,-0.009148
1346112000,NaN,0.086918,NaN
1346198400,NaN,0.087088,NaN
1346284800,0.131400,0.087258,0.044142
1346371200,NaN,0.087428,NaN
1346457600,0.110600,0.087598,0.023002
1346544000,0.076100,0.087768,-0.011668
1346630400,NaN,0.087937,NaN
1346716800,0.105000,0.088107,0.016893
1346803200,0.110100,0.088277,0.021823
1346889600,0.086100,0.088447,-0.002347
1346976000,0.136000,0.088617,0.047383
1347062400,NaN,0.088787,NaN
1347148800,0.118900,0.088957,0.029943
1347235200,0.115600,0.089127,0.026473
1347321600,0.129500,0.089297,0.040203
1347408000,NaN,0.089467,NaN
1347494400,NaN,0.089637,NaN
1347580800,NaN,0.089807,NaN
1347667200,NaN,0.089636,NaN
1347753600,NaN,0.089465,NaN
1347840000,0.078400,0.089294,-0.010894
1347926400,0.114400,0.089123,0.025277
1348012800,NaN,0.088952,NaN
1348099200,0.120400,0.088781,0.031619
1348185600,NaN,0.088610,NaN
1348272000,0.127800,0.088439,0.039361
1348358400,NaN,0.088268,NaN
1348444800,NaN,0.088097,NaN
1348531200,NaN,0.087926,NaN
1348617600,NaN,0.087755,NaN
1348704000,NaN,0.087584,NaN
1348790400,0.116400,0.087413,0.028987
1348876800,0.119600,0.087242,0.032358
1348963200,0.106800,0.087071,0.019729
1349049600,0.094600,0.086900,0.007700
1349136000,NaN,0.086729,NaN
1349222400,0.077600,0.086559,-0.008958
1349308800,0.072600,0.086388,-0.013788
1349395200,NaN,0.086217,NaN
1349481600,NaN,0.086046,NaN
1349568000,0.064200,0.085875,-0.021675
1349654400,4.579000,0.085704,4.493296
1349740800,0.098300,0.085533,0.012767
1349827200,NaN,0.085362,NaN
1349913600,0.095200,0.085191,0.010009
1350000000,0.059200,0.085020,-0.025820
1350086400,0.114400,0.084849,0.029551
1350172800,0.093200,0.084678,0.008522
1350259200,0.064800,0.084782,-0.019982
1350345600,0.087200,0.084887,0.002313
1350432000,NaN,0.084992,NaN
1350518400,0.100800,0.085096,0.015704
1350604800,0.098400,0.085201,0.013199
1350691200,0.085600,0.085305,0.000295
1350777600,0.048400,0.085410,-0.037010
1350864000,0.117600,0.085515,0.032085
1350950400,0.094300,0.085619,0.008681
1351036800,0.097600,0.085724,0.011876
1351123200,NaN,0.085828,NaN
1351209600,NaN,0.085933,NaN
1351296000,0.101500,0.086038,0.015462
1351382400,NaN,0.086142,NaN
1351468800,0.062200,0.086247,-0.024047
1351555200,0.105900,0.086351,0.019549
1351641600,0.090400,0.086456,0.003944
1351728000,0.084000,0.086561,-0.002561
1351814400,NaN,0.086665,NaN
1351900800,0.082600,0.086770,-0.004170
1351987200,0.084800,0.086874,-0.002074
1352073600,0.084600,0.086979,-0.002379
1352160000,0.083800,0.087083,-0.003283
1352246400,0.062200,0.087188,-0.024988
