Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,NaN,NaN,NaN
2012-01-05,0.077900,NaN,NaN
2012-01-06,0.059500,NaN,NaN
2012-01-07,0.059700,NaN,NaN
2012-01-08,0.060200,NaN,NaN
2012-01-09,0.108550,NaN,NaN
2012-01-10,0.089100,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,0.061600,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.053000,0.059001,-0.006001
2012-01-16,NaN,0.058851,NaN
2012-01-17,0.046200,0.058701,-0.012501
2012-01-18,0.048400,0.058551,-0.010151
2012-01-19,0.041700,0.058401,-0.016701
2012-01-20,0.050350,0.058250,-0.007900
2012-01-21,0.086400,0.058100,0.028300
2012-01-22,NaN,0.057950,NaN
2012-01-23,NaN,0.057800,NaN
2012-01-24,0.066200,0.057650,0.008550
2012-01-25,0.136600,0.057500,0.079100
2012-01-26,0.067200,0.057349,0.009851
2012-01-27,NaN,0.057199,NaN
2012-01-28,NaN,0.057049,NaN
2012-01-29,NaN,0.056899,NaN
2012-01-30,NaN,0.056749,NaN
2012-01-31,NaN,0.056599,NaN
2012-02-01,NaN,0.056449,NaN
2012-02-02,NaN,0.056298,NaN
2012-02-03,NaN,0.056148,NaN
2012-02-04,NaN,0.055998,NaN
2012-02-05,NaN,0.055848,NaN
2012-02-06,NaN,0.055698,NaN
2012-02-07,0.075900,0.055548,0.020352
2012-02-08,NaN,0.055398,NaN
2012-02-09,NaN,0.055247,NaN
2012-02-10,NaN,0.055097,NaN
2012-02-11,NaN,0.054947,NaN
2012-02-12,NaN,0.054797,NaN
2012-02-13,NaN,0.054647,NaN
2012-02-14,0.059300,0.054497,0.004803
2012-02-15,NaN,0.054346,NaN
2012-02-16,NaN,0.054358,NaN
2012-02-17,0.058400,0.054370,0.004030
2012-02-18,0.061400,0.054381,0.007019
2012-02-19,NaN,0.054393,NaN
2012-02-20,NaN,0.054405,NaN
2012-02-21,0.059400,0.054416,0.004984
2012-02-22,0.040000,0.054428,-0.014428
2012-02-23,0.055600,0.054440,0.001160
2012-02-24,0.042500,0.054451,-0.011951
2012-02-25,0.044400,0.054463,-0.010063
2012-02-26,NaN,0.054475,NaN
2012-02-27,0.110100,0.054486,0.055614
2012-02-28,0.042800,0.054498,-0.011698
2012-02-29,NaN,0.054510,NaN
2012-03-01,0.037200,0.054521,-0.017321
2012-03-02,NaN,0.054533,NaN
2012-03-03,NaN,0.054545,NaN
2012-03-04,NaN,0.054556,NaN
2012-03-05,NaN,0.054568,NaN
2012-03-06,NaN,0.054580,NaN
2012-03-07,NaN,0.054591,NaN
2012-03-08,NaN,0.054603,NaN
2012-03-09,NaN,0.054615,NaN
2012-03-10,0.033900,0.054626,-0.020726
2012-03-11,NaN,0.054638,NaN
2012-03-12,NaN,0.054650,NaN
2012-03-13,NaN,0.054661,NaN
2012-03-14,0.077600,0.054673,0.022927
2012-03-15,NaN,0.054663,NaN
2012-03-16,0.042700,0.054653,-0.011953
2012-03-17,0.184000,0.054642,0.129358
2012-03-18,0.040000,0.054632,-0.014632
2012-03-19,0.063900,0.054622,0.009278
2012-03-20,NaN,0.054612,NaN
2012-03-21,NaN,0.054601,NaN
2012-03-22,NaN,0.054591,NaN
2012-03-23,NaN,0.054581,NaN
2012-03-26,0.054400,0.054550,-0.000150
2012-03-27,NaN,0.054540,NaN
2012-03-28,NaN,0.054530,NaN
2012-03-29,0.116200,0.054520,0.061680
2012-03-30,0.040400,0.054509,-0.014109
2012-03-31,0.078100,0.054499,0.023601
2012-04-01,0.044800,0.054489,-0.009689
2012-04-02,NaN,0.054479,NaN
2012-04-03,0.055800,0.054469,0.001331
2012-04-04,0.064600,0.054458,0.010142
2012-04-05,NaN,0.054448,NaN
2012-04-06,NaN,0.054438,NaN
2012-04-07,NaN,0.054428,NaN
2012-04-08,NaN,0.054417,NaN
2012-04-09,0.057500,0.054407,0.003093
2012-04-10,0.052400,0.054397,-0.001997
2012-04-11,0.044100,0.054387,-0.010287
2012-04-12,NaN,0.054377,NaN
2012-04-13,NaN,0.054366,NaN
2012-04-14,NaN,0.054356,NaN
2012-04-15,0.053400,0.054412,-0.001012
2012-04-16,0.053800,0.054469,-0.000669
2012-04-17,NaN,0.054525,NaN
2012-04-18,NaN,0.054581,NaN
2012-04-19,0.084000,0.054637,0.029363
2012-04-20,NaN,0.054693,NaN
2012-04-21,NaN,0.054750,NaN
2012-04-22,NaN,0.054806,NaN
2012-04-23,NaN,0.054862,NaN
2012-04-24,0.049000,0.054918,-0.005918
