Date,Mean,Climatology,Anomaly
2012-01-03,0.076400,NaN,NaN
2012-01-04,0.096000,NaN,NaN
2012-01-05,0.086800,NaN,NaN
2012-01-06,0.081000,NaN,NaN
2012-01-07,0.103800,NaN,NaN
2012-01-08,0.098800,NaN,NaN
2012-01-09,0.109200,NaN,NaN
2012-01-10,0.072400,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,0.109900,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.115550,0.086717,0.028833
2012-01-16,0.094200,0.086768,0.007432
2012-01-17,0.107800,0.086819,0.020981
2012-01-18,0.100600,0.086870,0.013730
2012-01-19,0.093800,0.086920,0.006880
2012-01-20,0.108800,0.086971,0.021829
2012-01-21,0.085000,0.087022,-0.002022
2012-01-22,0.094400,0.087073,0.007327
2012-01-23,0.101800,0.087124,0.014676
2012-01-24,0.070800,0.087175,-0.016375
2012-01-25,0.055600,0.087225,-0.031625
2012-01-26,NaN,0.087276,NaN
2012-01-27,0.068200,0.087327,-0.019127
2012-01-28,0.090300,0.087378,0.002922
2012-01-29,NaN,0.087429,NaN
2012-01-30,NaN,0.087480,NaN
2012-01-31,NaN,0.087530,NaN
2012-02-01,NaN,0.087581,NaN
2012-02-02,0.078000,0.087632,-0.009632
2012-02-03,NaN,0.087683,NaN
2012-02-04,NaN,0.087734,NaN
2012-02-05,NaN,0.087784,NaN
2012-02-06,NaN,0.087835,NaN
2012-02-07,0.081600,0.087886,-0.006286
2012-02-08,NaN,0.087937,NaN
2012-02-09,NaN,0.087988,NaN
2012-02-10,NaN,0.088039,NaN
2012-02-11,NaN,0.088089,NaN
2012-02-12,0.110800,0.088140,0.022660
2012-02-13,0.181800,0.088191,0.093609
2012-02-14,0.060900,0.088242,-0.027342
2012-02-15,0.080100,0.088293,-0.008193
2012-02-16,NaN,0.088140,NaN
2012-02-17,0.068900,0.087988,-0.019088
2012-02-18,0.073200,0.087836,-0.014636
2012-02-19,0.083000,0.087683,-0.004683
2012-02-20,0.072800,0.087531,-0.014731
2012-02-21,NaN,0.087379,NaN
2012-02-22,0.098400,0.087226,0.011174
2012-02-23,0.083300,0.087074,-0.003774
2012-02-24,0.074800,0.086922,-0.012122
2012-02-25,NaN,0.086769,NaN
2012-02-26,NaN,0.086617,NaN
2012-02-27,0.085000,0.086465,-0.001465
2012-02-28,0.045800,0.086312,-0.040512
2012-02-29,0.037400,0.086160,-0.048760
2012-03-01,0.069200,0.086008,-0.016808
2012-03-02,0.063950,0.085855,-0.021905
2012-03-03,0.072100,0.085703,-0.013603
2012-03-04,NaN,0.085551,NaN
2012-03-05,0.086800,0.085398,0.001402
2012-03-06,NaN,0.085246,NaN
2012-03-07,NaN,0.085094,NaN
2012-03-08,0.077800,0.084941,-0.007141
2012-03-09,0.074800,0.084789,-0.009989
2012-03-10,0.074800,0.084637,-0.009837
2012-03-11,NaN,0.084484,NaN
2012-03-12,0.075600,0.084332,-0.008732
2012-03-13,0.047200,0.084180,-0.036980
2012-03-14,0.057800,0.084027,-0.026227
2012-03-15,0.060600,0.083947,-0.023347
2012-03-16,NaN,0.083867,NaN
2012-03-17,0.072600,0.083787,-0.011187
2012-03-18,0.081600,0.083707,-0.002107
2012-03-19,0.043300,0.083626,-0.040326
2012-03-20,0.082500,0.083546,-0.001046
2012-03-21,NaN,0.083466,NaN
2012-03-22,NaN,0.083386,NaN
2012-03-23,0.065400,0.083306,-0.017906
2012-03-26,0.085500,0.083065,0.002435
2012-03-27,NaN,0.082985,NaN
2012-03-28,0.079800,0.082905,-0.003105
2012-03-29,0.069400,0.082825,-0.013425
2012-03-30,NaN,0.082745,NaN
2012-03-31,0.050900,0.082664,-0.031764
2012-04-01,NaN,0.082584,NaN
2012-04-02,0.069200,0.082504,-0.013304
2012-04-03,0.076000,0.082424,-0.006424
2012-04-04,0.052000,0.082344,-0.030344
2012-04-05,0.084800,0.082264,0.002536
2012-04-06,NaN,0.082183,NaN
2012-04-07,NaN,0.082103,NaN
2012-04-08,0.093000,0.082023,0.010977
2012-04-09,0.077500,0.081943,-0.004443
2012-04-10,0.082500,0.081863,0.000637
2012-04-11,0.082800,0.081783,0.001017
2012-04-12,NaN,0.081703,NaN
2012-04-13,0.092500,0.081622,0.010878
2012-04-14,NaN,0.081542,NaN
2012-04-15,0.081000,0.081525,-0.000525
2012-04-16,0.090600,0.081507,0.009093
2012-04-17,NaN,0.081489,NaN
2012-04-18,NaN,0.081472,NaN
2012-04-19,NaN,0.081454,NaN
2012-04-20,0.103600,0.081436,0.022164
2012-04-21,NaN,0.081419,NaN
2012-04-22,NaN,0.081401,NaN
2012-04-23,NaN,0.081383,NaN
2012-04-24,0.125300,0.081366,0.043934
2012-04-25,0.115400,0.081348,0.034052
2012-04-26,0.116600,0.081330,0.035270
2012-04-27,NaN,0.081313,NaN
2012-04-28,NaN,0.081295,NaN
2012-04-29,NaN,0.081277,NaN
2012-04-30,NaN,0.081260,NaN
2012-05-01,NaN,0.081242,NaN
2012-05-02,NaN,0.081224,NaN
2012-05-03,NaN,0.081207,NaN
2012-05-04,NaN,0.081189,NaN
2012-05-05,0.075000,0.081171,-0.006171
2012-05-06,0.057500,0.081154,-0.023654
2012-05-07,0.048600,0.081136,-0.032536
2012-05-08,NaN,0.081118,NaN
2012-05-09,NaN,0.081101,NaN
2012-05-10,0.071800,0.081083,-0.009283
2012-05-11,0.047600,0.081065,-0.033465
2012-05-12,0.090000,0.081048,0.008952
2012-05-13,NaN,0.081030,NaN
2012-05-14,NaN,0.081012,NaN
2012-05-15,NaN,0.081465,NaN
2012-05-16,NaN,0.081919,NaN
2012-05-17,NaN,0.082372,NaN
2012-05-18,0.116000,0.082825,0.033175
2012-05-19,NaN,0.083278,NaN
2012-05-20,NaN,0.083731,NaN
2012-05-21,NaN,0.084184,NaN
2012-05-22,0.087900,0.084637,0.003263
2012-05-23,NaN,0.085091,NaN
2012-05-24,NaN,0.085544,NaN
2012-05-25,NaN,0.085997,NaN
2012-05-26,0.094600,0.086450,0.008150
2012-05-27,0.124900,0.086903,0.037997
2012-05-28,0.069200,0.087356,-0.018156
2012-05-29,0.107800,0.087809,0.019991
2012-05-30,NaN,0.088263,NaN
2012-05-31,NaN,0.088716,NaN
2012-06-01,NaN,0.089169,NaN
2012-06-02,NaN,0.089622,NaN
2012-06-03,0.105900,0.090075,0.015825
2012-06-04,NaN,0.090528,NaN
2012-06-05,NaN,0.090981,NaN
2012-06-06,NaN,0.091435,NaN
2012-06-07,NaN,0.091888,NaN
2012-06-08,0.141100,0.092341,0.048759
2012-06-09,NaN,0.092794,NaN
2012-06-10,NaN,0.093247,NaN
2012-06-11,NaN,0.093700,NaN
2012-06-12,0.089400,0.094153,-0.004753
2012-06-13,0.081100,0.094607,-0.013507
2012-06-14,0.064800,0.095060,-0.030260
2012-06-15,NaN,0.094936,NaN
2012-06-16,0.066600,0.094813,-0.028213
2012-06-17,0.084000,0.094689,-0.010689
2012-06-18,0.096800,0.094566,0.002234
2012-06-19,NaN,0.094443,NaN
2012-06-20,NaN,0.094319,NaN
2012-06-22,NaN,0.094072,NaN
2012-06-23,NaN,0.093949,NaN
2012-06-24,NaN,0.093826,NaN
2012-06-25,NaN,0.093702,NaN
2012-06-26,NaN,0.093579,NaN
2012-06-27,0.095800,0.093455,0.002345
2012-06-28,NaN,0.093332,NaN
2012-06-29,0.135800,0.093208,0.042592
2012-06-30,0.208800,0.093085,0.115715
2012-07-01,NaN,0.092962,NaN
2012-07-02,0.077600,0.092838,-0.015238
2012-07-03,0.151300,0.092715,0.058585
2012-07-04,NaN,0.092591,NaN
2012-07-05,0.106800,0.092468,0.014332
2012-07-06,NaN,0.092345,NaN
2012-07-07,NaN,0.092221,NaN
2012-07-08,NaN,0.092098,NaN
2012-07-09,NaN,0.091974,NaN
2012-07-10,NaN,0.091851,NaN
2012-07-11,NaN,0.091728,NaN
2012-07-12,NaN,0.091604,NaN
2012-07-13,0.090200,0.091481,-0.001281
2012-07-14,NaN,0.091357,NaN
2012-07-15,0.136500,0.091477,0.045023
2012-07-16,0.100900,0.091597,0.009303
2012-07-17,NaN,0.091717,NaN
2012-07-18,NaN,0.091837,NaN
2012-07-19,NaN,0.091957,NaN
2012-07-20,0.068800,0.092077,-0.023277
2012-07-21,NaN,0.092197,NaN
2012-07-22,NaN,0.092317,NaN
2012-07-23,0.079800,0.092436,-0.012636
2012-07-24,NaN,0.092556,NaN
2012-07-25,NaN,0.092676,NaN
2012-07-26,0.075700,0.092796,-0.017096
2012-07-27,NaN,0.092916,NaN
2012-07-28,NaN,0.093036,NaN
2012-07-29,NaN,0.093156,NaN
2012-07-30,0.142600,0.093276,0.049324
2012-07-31,0.110100,0.093396,0.016704
2012-08-01,0.138600,0.093516,0.045084
2012-08-02,NaN,0.093636,NaN
2012-08-03,0.093700,0.093756,-0.000056
2012-08-04,0.048200,0.093875,-0.045675
2012-08-05,0.075900,0.093995,-0.018095
2012-08-06,NaN,0.094115,NaN
2012-08-07,NaN,0.094235,NaN
2012-08-08,NaN,0.094355,NaN
2012-08-09,0.086400,0.094475,-0.008075
2012-08-10,NaN,0.094595,NaN
2012-08-11,0.108000,0.094715,0.013285
2012-08-12,0.123400,0.094835,0.028565
2012-08-13,NaN,0.094955,NaN
2012-08-14,NaN,0.095075,NaN
2012-08-15,0.142200,0.095306,0.046894
2012-08-16,0.211200,0.095538,0.115662
2012-08-17,0.133400,0.095769,0.037631
2012-08-18,NaN,0.096001,NaN
2012-08-19,0.140000,0.096232,0.043768
2012-08-20,0.159700,0.096463,0.063237
2012-08-21,0.112000,0.096695,0.015305
2012-08-22,NaN,0.096926,NaN
2012-08-23,NaN,0.097158,NaN
2012-08-24,NaN,0.097389,NaN
2012-08-25,NaN,0.097621,NaN
2012-08-26,NaN,0.097852,NaN
2012-08-27,NaN,0.098084,NaN
2012-08-28,NaN,0.098315,NaN
