Time,mean,climatology,anomaly
1325548800,0.093400,NaN,NaN
1325635200,0.096400,NaN,NaN
1325721600,0.089400,NaN,NaN
1325808000,0.068200,NaN,NaN
1325894400,0.086900,NaN,NaN
1325980800,0.116600,NaN,NaN
1326067200,0.067600,NaN,NaN
1326153600,0.108200,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.074800,0.086033,-0.011233
1326672000,NaN,0.086183,NaN
1326758400,0.090900,0.086333,0.004567
1326844800,0.096100,0.086482,0.009618
1326931200,0.113600,0.086632,0.026968
1327017600,0.080600,0.086781,-0.006181
1327104000,0.060000,0.086931,-0.026931
1327190400,0.050400,0.087081,-0.036681
1327276800,NaN,0.087230,NaN
1327363200,0.056200,0.087380,-0.031180
1327449600,0.108600,0.087529,0.021071
1327536000,NaN,0.087679,NaN
1327622400,0.090300,0.087829,0.002471
1327708800,0.088700,0.087978,0.000722
1327795200,NaN,0.088128,NaN
1327881600,NaN,0.088277,NaN
1327968000,NaN,0.088427,NaN
1328054400,NaN,0.088577,NaN
1328140800,0.122000,0.088726,0.033274
1328227200,0.042000,0.088876,-0.046876
1328313600,NaN,0.089025,NaN
1328400000,NaN,0.089175,NaN
1328486400,NaN,0.089325,NaN
1328572800,NaN,0.089474,NaN
1328659200,NaN,0.089624,NaN
1328745600,NaN,0.089773,NaN
1328832000,NaN,0.089923,NaN
1328918400,NaN,0.090073,NaN
1329004800,0.116600,0.090222,0.026378
1329091200,NaN,0.090372,NaN
1329177600,0.084900,0.090521,-0.005621
1329264000,0.147400,0.090671,0.056729
1329350400,NaN,0.090632,NaN
1329436800,0.075200,0.090593,-0.015393
1329523200,0.121800,0.090555,0.031245
1329609600,0.088200,0.090516,-0.002316
1329696000,0.052600,0.090477,-0.037877
1329782400,NaN,0.090438,NaN
1329868800,NaN,0.090399,NaN
1329955200,0.056600,0.090361,-0.033761
1330041600,0.103600,0.090322,0.013278
1330128000,NaN,0.090283,NaN
1330214400,NaN,0.090244,NaN
1330300800,0.074800,0.090205,-0.015405
1330387200,0.121200,0.090167,0.031033
1330473600,0.086000,0.090128,-0.004128
1330560000,0.037200,0.090089,-0.052889
1330646400,NaN,0.090050,NaN
1330732800,NaN,0.090011,NaN
1330819200,NaN,0.089973,NaN
1330905600,NaN,0.089934,NaN
1330992000,NaN,0.089895,NaN
1331078400,NaN,0.089856,NaN
1331164800,NaN,0.089817,NaN
1331251200,NaN,0.089779,NaN
1331337600,0.092000,0.089740,0.002260
1331424000,NaN,0.089701,NaN
1331510400,NaN,0.089662,NaN
1331596800,0.110200,0.089623,0.020577
1331683200,0.120300,0.089585,0.030715
1331769600,NaN,0.089618,NaN
1331856000,NaN,0.089652,NaN
1331942400,0.107700,0.089685,0.018015
1332028800,NaN,0.089719,NaN
1332115200,0.115000,0.089752,0.025248
1332201600,NaN,0.089786,NaN
1332288000,0.108400,0.089819,0.018581
1332374400,NaN,0.089852,NaN
1332460800,0.093200,0.089886,0.003314
1332720000,0.101200,0.089986,0.011214
1332806400,NaN,0.090020,NaN
1332892800,0.043300,0.090053,-0.046753
1332979200,0.081500,0.090087,-0.008587
1333065600,NaN,0.090120,NaN
1333152000,NaN,0.090154,NaN
1333238400,NaN,0.090187,NaN
1333324800,0.080100,0.090221,-0.010121
1333411200,0.091000,0.090254,0.000746
1333497600,NaN,0.090288,NaN
1333584000,0.084100,0.090321,-0.006221
1333670400,NaN,0.090355,NaN
1333756800,NaN,0.090388,NaN
1333843200,0.131600,0.090422,0.041178
1333929600,0.079900,0.090455,-0.010555
1334016000,0.088900,0.090489,-0.001589
1334102400,0.086100,0.090522,-0.004422
1334188800,NaN,0.090555,NaN
1334275200,0.084400,0.090589,-0.006189
1334361600,NaN,0.090622,NaN
1334448000,NaN,0.090772,NaN
1334534400,0.061500,0.090921,-0.029421
1334620800,NaN,0.091071,NaN
1334707200,NaN,0.091220,NaN
1334793600,NaN,0.091370,NaN
1334880000,0.072000,0.091519,-0.019519
1334966400,NaN,0.091668,NaN
1335052800,NaN,0.091818,NaN
1335139200,NaN,0.091967,NaN
1335225600,0.115600,0.092117,0.023483
1335312000,0.132000,0.092266,0.039734
1335398400,0.114200,0.092415,0.021785
1335484800,NaN,0.092565,NaN
1335571200,NaN,0.092714,NaN
1335657600,NaN,0.092864,NaN
1335744000,NaN,0.093013,NaN
1335830400,NaN,0.093163,NaN
1335916800,NaN,0.093312,NaN
1336003200,NaN,0.093461,NaN
1336089600,NaN,0.093611,NaN
1336176000,NaN,0.093760,NaN
1336262400,0.163100,0.093910,0.069190
1336348800,0.080900,0.094059,-0.013159
1336435200,NaN,0.094208,NaN
1336521600,NaN,0.094358,NaN
1336608000,0.087800,0.094507,-0.006707
1336694400,0.098550,0.094657,0.003893
1336780800,NaN,0.094806,NaN
1336867200,NaN,0.094956,NaN
1336953600,NaN,0.095105,NaN
1337040000,NaN,0.094962,NaN
1337126400,NaN,0.094819,NaN
1337212800,NaN,0.094676,NaN
1337299200,0.051600,0.094533,-0.042933
1337385600,NaN,0.094389,NaN
1337472000,NaN,0.094246,NaN
1337558400,NaN,0.094103,NaN
1337644800,0.122300,0.093960,0.028340
1337731200,NaN,0.093817,NaN
1337817600,NaN,0.093674,NaN
