Date,Mean,Climatology,Anomaly
2012-01-03,0.093400,NaN,NaN
2012-01-04,0.096400,NaN,NaN
2012-01-05,0.089400,NaN,NaN
2012-01-06,0.068200,NaN,NaN
2012-01-07,0.086900,NaN,NaN
2012-01-08,0.116600,NaN,NaN
2012-01-09,0.067600,NaN,NaN
2012-01-10,0.108200,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.074800,0.086033,-0.011233
2012-01-16,NaN,0.086183,NaN
2012-01-17,0.090900,0.086333,0.004567
2012-01-18,0.096100,0.086482,0.009618
2012-01-19,0.113600,0.086632,0.026968
2012-01-20,0.080600,0.086781,-0.006181
2012-01-21,0.060000,0.086931,-0.026931
2012-01-22,0.050400,0.087081,-0.036681
2012-01-23,NaN,0.087230,NaN
2012-01-24,0.056200,0.087380,-0.031180
2012-01-25,0.108600,0.087529,0.021071
2012-01-26,NaN,0.087679,NaN
2012-01-27,0.090300,0.087829,0.002471
2012-01-28,0.088700,0.087978,0.000722
2012-01-29,NaN,0.088128,NaN
2012-01-30,NaN,0.088277,NaN
2012-01-31,NaN,0.088427,NaN
2012-02-01,NaN,0.088577,NaN
2012-02-02,0.122000,0.088726,0.033274
2012-02-03,0.042000,0.088876,-0.046876
2012-02-04,NaN,0.089025,NaN
2012-02-05,NaN,0.089175,NaN
2012-02-06,NaN,0.089325,NaN
2012-02-07,NaN,0.089474,NaN
2012-02-08,NaN,0.089624,NaN
2012-02-09,NaN,0.089773,NaN
2012-02-10,NaN,0.089923,NaN
2012-02-11,NaN,0.090073,NaN
2012-02-12,0.116600,0.090222,0.026378
2012-02-13,NaN,0.090372,NaN
2012-02-14,0.084900,0.090521,-0.005621
2012-02-15,0.147400,0.090671,0.056729
2012-02-16,NaN,0.090632,NaN
2012-02-17,0.075200,0.090593,-0.015393
2012-02-18,0.121800,0.090555,0.031245
2012-02-19,0.088200,0.090516,-0.002316
2012-02-20,0.052600,0.090477,-0.037877
2012-02-21,NaN,0.090438,NaN
2012-02-22,NaN,0.090399,NaN
2012-02-23,0.056600,0.090361,-0.033761
2012-02-24,0.103600,0.090322,0.013278
2012-02-25,NaN,0.090283,NaN
2012-02-26,NaN,0.090244,NaN
2012-02-27,0.074800,0.090205,-0.015405
