Time,mean,climatology,anomaly
1325548800,0.073600,NaN,NaN
1325635200,0.085800,NaN,NaN
1325721600,0.081800,NaN,NaN
1325808000,0.070600,NaN,NaN
1325894400,0.088800,NaN,NaN
1325980800,0.067800,NaN,NaN
1326067200,0.082800,NaN,NaN
1326153600,0.094000,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,0.090500,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.123300,0.079454,0.043846
1326672000,0.108900,0.079438,0.029462
1326758400,0.106300,0.079423,0.026877
1326844800,0.088200,0.079407,0.008793
1326931200,0.097900,0.079391,0.018509
1327017600,0.097500,0.079376,0.018124
1327104000,0.117400,0.079360,0.038040
1327190400,0.100400,0.079344,0.021056
1327276800,0.091300,0.079328,0.011972
1327363200,0.060900,0.079313,-0.018413
1327449600,0.105100,0.079297,0.025803
1327536000,0.062200,0.079281,-0.017081
1327622400,0.067900,0.079266,-0.011366
1327708800,0.089000,0.079250,0.009750
1327795200,0.048800,0.079234,-0.030434
1327881600,NaN,0.079219,NaN
1327968000,NaN,0.079203,NaN
1328054400,NaN,0.079187,NaN
1328140800,NaN,0.079172,NaN
1328227200,NaN,0.079156,NaN
1328313600,NaN,0.079140,NaN
1328400000,NaN,0.079125,NaN
1328486400,0.073600,0.079109,-0.005509
1328572800,NaN,0.079093,NaN
1328659200,NaN,0.079078,NaN
1328745600,NaN,0.079062,NaN
1328832000,NaN,0.079046,NaN
1328918400,NaN,0.079030,NaN
1329004800,0.100200,0.079015,0.021185
1329091200,NaN,0.078999,NaN
1329177600,0.117600,0.078983,0.038617
1329264000,0.072200,0.078968,-0.006768
1329350400,0.099200,0.078916,0.020284
1329436800,0.052400,0.078863,-0.026463
1329523200,0.078200,0.078811,-0.000611
1329609600,0.082800,0.078759,0.004041
1329696000,0.098800,0.078707,0.020093
1329782400,NaN,0.078654,NaN
1329868800,0.053800,0.078602,-0.024802
1329955200,0.085000,0.078550,0.006450
1330041600,0.078200,0.078498,-0.000298
1330128000,0.046400,0.078445,-0.032045
1330214400,NaN,0.078393,NaN
1330300800,0.092800,0.078341,0.014459
1330387200,0.078000,0.078289,-0.000289
1330473600,0.077400,0.078236,-0.000836
1330560000,0.060000,0.078184,-0.018184
1330646400,0.068500,0.078132,-0.009632
1330732800,0.086000,0.078080,0.007920
1330819200,NaN,0.078027,NaN
1330905600,0.112300,0.077975,0.034325
1330992000,NaN,0.077923,NaN
1331078400,NaN,0.077871,NaN
1331164800,NaN,0.077818,NaN
1331251200,0.078600,0.077766,0.000834
1331337600,0.070600,0.077714,-0.007114
1331424000,NaN,0.077662,NaN
1331510400,NaN,0.077609,NaN
1331596800,0.057500,0.077557,-0.020057
1331683200,0.064200,0.077505,-0.013305
1331769600,NaN,0.077484,NaN
1331856000,NaN,0.077464,NaN
1331942400,0.095400,0.077443,0.017957
1332028800,0.136000,0.077422,0.058578
1332115200,0.084600,0.077401,0.007199
1332201600,0.097700,0.077381,0.020319
1332288000,0.085300,0.077360,0.007940
1332374400,NaN,0.077339,NaN
1332460800,0.058000,0.077319,-0.019319
1332720000,0.062800,0.077257,-0.014457
1332806400,NaN,0.077236,NaN
1332892800,0.071900,0.077215,-0.005315
1332979200,0.067800,0.077195,-0.009395
1333065600,NaN,0.077174,NaN
1333152000,NaN,0.077153,NaN
1333238400,NaN,0.077132,NaN
1333324800,0.075400,0.077112,-0.001712
1333411200,0.094500,0.077091,0.017409
1333497600,NaN,0.077070,NaN
1333584000,0.073000,0.077050,-0.004050
1333670400,NaN,0.077029,NaN
1333756800,NaN,0.077008,NaN
1333843200,0.091400,0.076988,0.014412
1333929600,0.072200,0.076967,-0.004767
1334016000,0.057100,0.076946,-0.019846
1334102400,0.083200,0.076926,0.006274
1334188800,NaN,0.076905,NaN
1334275200,0.074200,0.076884,-0.002684
1334361600,NaN,0.076864,NaN
1334448000,NaN,0.077049,NaN
1334534400,0.079700,0.077234,0.002466
1334620800,NaN,0.077419,NaN
1334707200,NaN,0.077604,NaN
1334793600,0.066400,0.077790,-0.011390
1334880000,0.122300,0.077975,0.044325
1334966400,NaN,0.078160,NaN
1335052800,NaN,0.078345,NaN
1335139200,NaN,0.078531,NaN
1335225600,0.102900,0.078716,0.024184
1335312000,0.085600,0.078901,0.006699
1335398400,0.122600,0.079086,0.043514
1335484800,NaN,0.079272,NaN
1335571200,NaN,0.079457,NaN
1335657600,NaN,0.079642,NaN
1335744000,NaN,0.079827,NaN
1335830400,NaN,0.080013,NaN
1335916800,NaN,0.080198,NaN
1336003200,NaN,0.080383,NaN
1336089600,NaN,0.080568,NaN
1336176000,0.087200,0.080753,0.006447
1336262400,0.055600,0.080939,-0.025339
1336348800,0.074800,0.081124,-0.006324
1336435200,0.094800,0.081309,0.013491
1336521600,NaN,0.081494,NaN
1336608000,0.128200,0.081680,0.046520
1336694400,0.087800,0.081865,0.005935
1336780800,NaN,0.082050,NaN
1336867200,NaN,0.082235,NaN
1336953600,NaN,0.082421,NaN
1337040000,NaN,0.082809,NaN
1337126400,NaN,0.083197,NaN
1337212800,NaN,0.083585,NaN
1337299200,0.061200,0.083973,-0.022773
1337385600,NaN,0.084361,NaN
1337472000,NaN,0.084750,NaN
1337558400,NaN,0.085138,NaN
1337644800,0.100350,0.085526,0.014824
1337731200,NaN,0.085914,NaN
1337817600,NaN,0.086302,NaN
1337904000,NaN,0.086690,NaN
1337990400,0.085300,0.087079,-0.001779
1338076800,0.080100,0.087467,-0.007367
1338163200,0.083900,0.087855,-0.003955
1338249600,NaN,0.088243,NaN
1338336000,NaN,0.088631,NaN
1338422400,NaN,0.089019,NaN
1338508800,NaN,0.089407,NaN
1338595200,NaN,0.089796,NaN
1338681600,0.081000,0.090184,-0.009184
1338768000,NaN,0.090572,NaN
1338854400,NaN,0.090960,NaN
1338940800,NaN,0.091348,NaN
1339027200,NaN,0.091736,NaN
1339113600,0.109200,0.092125,0.017075
1339200000,NaN,0.092513,NaN
1339286400,NaN,0.092901,NaN
1339372800,0.114200,0.093289,0.020911
1339459200,0.057800,0.093677,-0.035877
1339545600,0.065600,0.094065,-0.028465
1339632000,0.060000,0.094454,-0.034454
1339718400,NaN,0.094307,NaN
1339804800,NaN,0.094159,NaN
1339891200,0.082200,0.094012,-0.011812
1339977600,0.072900,0.093865,-0.020965
1340064000,NaN,0.093718,NaN
1340150400,NaN,0.093571,NaN
1340323200,NaN,0.093277,NaN
1340409600,NaN,0.093130,NaN
1340496000,NaN,0.092983,NaN
1340582400,NaN,0.092836,NaN
1340668800,NaN,0.092689,NaN
1340755200,NaN,0.092542,NaN
1340841600,NaN,0.092395,NaN
1340928000,0.105900,0.092248,0.013652
1341014400,0.150200,0.092101,0.058099
1341100800,NaN,0.091954,NaN
1341187200,0.118800,0.091807,0.026993
1341273600,0.084000,0.091660,-0.007660
1341360000,NaN,0.091512,NaN
1341446400,0.088600,0.091365,-0.002765
1341532800,NaN,0.091218,NaN
1341619200,NaN,0.091071,NaN
1341705600,0.080400,0.090924,-0.010524
1341792000,NaN,0.090777,NaN
1341878400,NaN,0.090630,NaN
1341964800,NaN,0.090483,NaN
1342051200,NaN,0.090336,NaN
1342137600,0.130300,0.090189,0.040111
1342224000,NaN,0.090042,NaN
1342310400,NaN,0.090196,NaN
1342396800,0.053000,0.090349,-0.037349
1342483200,NaN,0.090503,NaN
1342569600,NaN,0.090657,NaN
1342656000,NaN,0.090810,NaN
1342742400,0.081500,0.090964,-0.009464
1342828800,NaN,0.091117,NaN
1342915200,NaN,0.091271,NaN
1343001600,NaN,0.091425,NaN
1343088000,NaN,0.091578,NaN
1343174400,NaN,0.091732,NaN
1343260800,0.095800,0.091886,0.003914
1343347200,NaN,0.092039,NaN
1343433600,NaN,0.092193,NaN
1343520000,NaN,0.092347,NaN
1343606400,0.117950,0.092500,0.025450
1343692800,0.152400,0.092654,0.059746
1343779200,0.117600,0.092808,0.024792
1343865600,NaN,0.092961,NaN
1343952000,0.105400,0.093115,0.012285
1344038400,NaN,0.093269,NaN
1344124800,0.086000,0.093422,-0.007422
1344211200,NaN,0.093576,NaN
1344297600,NaN,0.093729,NaN
1344384000,NaN,0.093883,NaN
1344470400,0.104200,0.094037,0.010163
1344556800,NaN,0.094190,NaN
1344643200,0.125400,0.094344,0.031056
1344729600,0.046800,0.094498,-0.047698
1344816000,NaN,0.094651,NaN
1344902400,NaN,0.094805,NaN
1344988800,0.124000,0.095093,0.028907
1345075200,NaN,0.095381,NaN
1345161600,0.052400,0.095669,-0.043269
1345248000,NaN,0.095957,NaN
1345334400,0.088400,0.096245,-0.007845
1345420800,0.106050,0.096533,0.009517
1345507200,0.073800,0.096821,-0.023021
1345593600,NaN,0.097109,NaN
1345680000,NaN,0.097397,NaN
1345766400,NaN,0.097685,NaN
1345852800,NaN,0.097973,NaN
1345939200,NaN,0.098262,NaN
1346025600,NaN,0.098550,NaN
1346112000,0.128800,0.098838,0.029962
1346198400,NaN,0.099126,NaN
1346284800,0.064700,0.099414,-0.034714
1346371200,NaN,0.099702,NaN
1346457600,0.098200,0.099990,-0.001790
1346544000,0.084600,0.100278,-0.015678
1346630400,NaN,0.100566,NaN
1346716800,NaN,0.100854,NaN
1346803200,0.072800,0.101142,-0.028342
1346889600,0.076800,0.101430,-0.024630
1346976000,0.058200,0.101718,-0.043518
1347062400,NaN,0.102006,NaN
1347148800,0.078800,0.102294,-0.023494
1347235200,0.095700,0.102582,-0.006882
1347321600,0.060900,0.102870,-0.041970
1347408000,0.047800,0.103158,-0.055358
1347494400,NaN,0.103446,NaN
1347580800,NaN,0.103734,NaN
1347667200,NaN,0.103141,NaN
1347753600,NaN,0.102547,NaN
1347840000,0.197600,0.101953,0.095647
1347926400,0.104200,0.101359,0.002841
1348012800,NaN,0.100766,NaN
1348099200,NaN,0.100172,NaN
1348185600,NaN,0.099578,NaN
1348272000,NaN,0.098984,NaN
1348358400,NaN,0.098391,NaN
1348444800,NaN,0.097797,NaN
1348531200,NaN,0.097203,NaN
1348617600,NaN,0.096609,NaN
1348704000,NaN,0.096015,NaN
1348790400,0.092200,0.095422,-0.003222
1348876800,0.068400,0.094828,-0.026428
1348963200,NaN,0.094234,NaN
1349049600,NaN,0.093640,NaN
1349136000,0.115700,0.093047,0.022653
1349222400,0.124400,0.092453,0.031947
1349308800,0.068400,0.091859,-0.023459
1349395200,0.067000,0.091265,-0.024265
1349481600,0.065400,0.090672,-0.025272
1349568000,NaN,0.090078,NaN
1349654400,NaN,0.089484,NaN
1349740800,0.041400,0.088890,-0.047490
1349827200,0.067000,0.088297,-0.021297
1349913600,0.082600,0.087703,-0.005103
1350000000,0.141400,0.087109,0.054291
1350086400,0.097100,0.086515,0.010585
1350172800,0.042400,0.085922,-0.043522
1350259200,0.086200,0.085733,0.000467
1350345600,0.063600,0.085545,-0.021945
1350432000,NaN,0.085356,NaN
1350518400,0.063600,0.085168,-0.021568
1350604800,0.130400,0.084979,0.045421
1350691200,0.050000,0.084791,-0.034791
1350777600,0.122600,0.084602,0.037998
1350864000,0.104000,0.084414,0.019586
1350950400,NaN,0.084225,NaN
1351036800,NaN,0.084037,NaN
1351123200,NaN,0.083848,NaN
1351209600,NaN,0.083660,NaN
1351296000,0.111900,0.083471,0.028429
1351382400,NaN,0.083283,NaN
1351468800,0.103600,0.083094,0.020506
1351555200,0.074000,0.082906,-0.008906
1351641600,0.067600,0.082717,-0.015117
1351728000,0.065400,0.082528,-0.017129
1351814400,0.042400,0.082340,-0.039940
1351900800,0.073200,0.082151,-0.008951
1351987200,0.050600,0.081963,-0.031363
1352073600,0.058500,0.081774,-0.023274
1352160000,0.056500,0.081586,-0.025086
1352246400,0.082200,0.081397,0.000803
1352332800,0.083800,0.081209,0.002591
1352419200,0.082200,0.081020,0.001180
1352505600,NaN,0.080832,NaN
1352592000,0.095200,0.080643,0.014557
1352678400,0.102400,0.080455,0.021945
1352764800,NaN,0.080266,NaN
1352851200,NaN,0.080078,NaN
1352937600,0.066400,0.080193,-0.013793
1353024000,0.044700,0.080308,-0.035608
1353110400,0.099100,0.080422,0.018678
1353196800,NaN,0.080537,NaN
1353283200,0.071000,0.080652,-0.009652
1353369600,NaN,0.080767,NaN
1353456000,0.077800,0.080882,-0.003082
1353628800,0.076800,0.081111,-0.004311
1353715200,0.071400,0.081226,-0.009826
1353801600,0.074200,0.081341,-0.007141
1353888000,0.040800,0.081456,-0.040656
1353974400,NaN,0.081571,NaN
1354060800,NaN,0.081686,NaN
1354147200,NaN,0.081800,NaN
1354233600,NaN,0.081915,NaN
1354320000,0.121300,0.082030,0.039270
1354406400,0.112000,0.082145,0.029855
1354492800,0.057700,0.082260,-0.024560
1354579200,NaN,0.082375,NaN
1354665600,NaN,0.082489,NaN
1354752000,0.121200,0.082604,0.038596
1354838400,0.083600,0.082719,0.000881
1354924800,0.078100,0.082834,-0.004734
1355011200,NaN,0.082949,NaN
1355097600,NaN,0.083064,NaN
1355184000,0.060800,0.083178,-0.022378
1355270400,NaN,0.083293,NaN
1355356800,0.058600,0.083408,-0.024808
1355443200,NaN,0.083523,NaN
1355529600,0.072600,0.083396,-0.010796
1355616000,0.043300,0.083269,-0.039969
1355702400,0.041000,0.083141,-0.042141
1355788800,NaN,0.083014,NaN
1355875200,0.068500,0.082887,-0.014387
1355961600,0.056800,0.082760,-0.025960
1356048000,NaN,0.082633,NaN
1356134400,0.075000,0.082506,-0.007506
1356220800,NaN,0.082378,NaN
1356307200,0.049000,0.082251,-0.033251
1356393600,0.097200,0.082124,0.015076
1356480000,NaN,0.081997,NaN
1356566400,0.070800,0.081870,-0.011070
1356652800,NaN,0.081743,NaN
1356739200,NaN,0.081616,NaN
1356825600,0.071100,0.081488,-0.010388
1356912000,NaN,0.081361,NaN
1356998400,0.054600,0.081234,-0.026634
1357084800,NaN,0.081107,NaN
1357171200,0.045700,0.080980,-0.035280
1357257600,0.062800,0.080853,-0.018053
1357344000,0.094200,0.080725,0.013475
1357430400,0.071500,0.080598,-0.009098
1357516800,0.056600,0.080471,-0.023871
1357603200,0.077600,0.080344,-0.002744
1357689600,0.097000,0.080217,0.016783
1357776000,NaN,0.080090,NaN
1357862400,NaN,0.079963,NaN
1357948800,0.079400,0.079835,-0.000435
1358035200,0.041000,0.079708,-0.038708
1358121600,0.096800,0.079581,0.017219
1358208000,0.047600,0.079454,-0.031854
1358294400,0.092400,0.079438,0.012962
1358380800,NaN,0.079423,NaN
1358467200,0.121600,0.079407,0.042193
1358553600,NaN,0.079391,NaN
