Date,Mean,Climatology,Anomaly
2012-01-03,0.073600,NaN,NaN
2012-01-04,0.085800,NaN,NaN
2012-01-05,0.081800,NaN,NaN
2012-01-06,0.070600,NaN,NaN
2012-01-07,0.088800,NaN,NaN
2012-01-08,0.067800,NaN,NaN
2012-01-09,0.082800,NaN,NaN
2012-01-10,0.094000,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,0.090500,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.123300,0.079454,0.043846
2012-01-16,0.108900,0.079438,0.029462
2012-01-17,0.106300,0.079423,0.026877
2012-01-18,0.088200,0.079407,0.008793
2012-01-19,0.097900,0.079391,0.018509
2012-01-20,0.097500,0.079376,0.018124
2012-01-21,0.117400,0.079360,0.038040
2012-01-22,0.100400,0.079344,0.021056
2012-01-23,0.091300,0.079328,0.011972
2012-01-24,0.060900,0.079313,-0.018413
2012-01-25,0.105100,0.079297,0.025803
2012-01-26,0.062200,0.079281,-0.017081
2012-01-27,0.067900,0.079266,-0.011366
2012-01-28,0.089000,0.079250,0.009750
2012-01-29,0.048800,0.079234,-0.030434
2012-01-30,NaN,0.079219,NaN
2012-01-31,NaN,0.079203,NaN
2012-02-01,NaN,0.079187,NaN
2012-02-02,NaN,0.079172,NaN
2012-02-03,NaN,0.079156,NaN
2012-02-04,NaN,0.079140,NaN
2012-02-05,NaN,0.079125,NaN
2012-02-06,0.073600,0.079109,-0.005509
2012-02-07,NaN,0.079093,NaN
2012-02-08,NaN,0.079078,NaN
2012-02-09,NaN,0.079062,NaN
2012-02-10,NaN,0.079046,NaN
2012-02-11,NaN,0.079030,NaN
2012-02-12,0.100200,0.079015,0.021185
2012-02-13,NaN,0.078999,NaN
2012-02-14,0.117600,0.078983,0.038617
2012-02-15,0.072200,0.078968,-0.006768
2012-02-16,0.099200,0.078916,0.020284
2012-02-17,0.052400,0.078863,-0.026463
2012-02-18,0.078200,0.078811,-0.000611
2012-02-19,0.082800,0.078759,0.004041
2012-02-20,0.098800,0.078707,0.020093
2012-02-21,NaN,0.078654,NaN
2012-02-22,0.053800,0.078602,-0.024802
2012-02-23,0.085000,0.078550,0.006450
2012-02-24,0.078200,0.078498,-0.000298
2012-02-25,0.046400,0.078445,-0.032045
2012-02-26,NaN,0.078393,NaN
2012-02-27,0.092800,0.078341,0.014459
2012-02-28,0.078000,0.078289,-0.000289
2012-02-29,0.077400,0.078236,-0.000836
2012-03-01,0.060000,0.078184,-0.018184
2012-03-02,0.068500,0.078132,-0.009632
2012-03-03,0.086000,0.078080,0.007920
2012-03-04,NaN,0.078027,NaN
2012-03-05,0.112300,0.077975,0.034325
2012-03-06,NaN,0.077923,NaN
2012-03-07,NaN,0.077871,NaN
2012-03-08,NaN,0.077818,NaN
2012-03-09,0.078600,0.077766,0.000834
2012-03-10,0.070600,0.077714,-0.007114
2012-03-11,NaN,0.077662,NaN
2012-03-12,NaN,0.077609,NaN
2012-03-13,0.057500,0.077557,-0.020057
2012-03-14,0.064200,0.077505,-0.013305
2012-03-15,NaN,0.077484,NaN
2012-03-16,NaN,0.077464,NaN
2012-03-17,0.095400,0.077443,0.017957
2012-03-18,0.136000,0.077422,0.058578
2012-03-19,0.084600,0.077401,0.007199
2012-03-20,0.097700,0.077381,0.020319
2012-03-21,0.085300,0.077360,0.007940
2012-03-22,NaN,0.077339,NaN
2012-03-23,0.058000,0.077319,-0.019319
2012-03-26,0.062800,0.077257,-0.014457
2012-03-27,NaN,0.077236,NaN
2012-03-28,0.071900,0.077215,-0.005315
2012-03-29,0.067800,0.077195,-0.009395
2012-03-30,NaN,0.077174,NaN
2012-03-31,NaN,0.077153,NaN
2012-04-01,NaN,0.077132,NaN
2012-04-02,0.075400,0.077112,-0.001712
2012-04-03,0.094500,0.077091,0.017409
2012-04-04,NaN,0.077070,NaN
2012-04-05,0.073000,0.077050,-0.004050
2012-04-06,NaN,0.077029,NaN
2012-04-07,NaN,0.077008,NaN
2012-04-08,0.091400,0.076988,0.014412
2012-04-09,0.072200,0.076967,-0.004767
2012-04-10,0.057100,0.076946,-0.019846
2012-04-11,0.083200,0.076926,0.006274
2012-04-12,NaN,0.076905,NaN
2012-04-13,0.074200,0.076884,-0.002684
2012-04-14,NaN,0.076864,NaN
2012-04-15,NaN,0.077049,NaN
2012-04-16,0.079700,0.077234,0.002466
2012-04-17,NaN,0.077419,NaN
2012-04-18,NaN,0.077604,NaN
2012-04-19,0.066400,0.077790,-0.011390
2012-04-20,0.122300,0.077975,0.044325
2012-04-21,NaN,0.078160,NaN
2012-04-22,NaN,0.078345,NaN
2012-04-23,NaN,0.078531,NaN
2012-04-24,0.102900,0.078716,0.024184
2012-04-25,0.085600,0.078901,0.006699
2012-04-26,0.122600,0.079086,0.043514
2012-04-27,NaN,0.079272,NaN
2012-04-28,NaN,0.079457,NaN
2012-04-29,NaN,0.079642,NaN
2012-04-30,NaN,0.079827,NaN
2012-05-01,NaN,0.080013,NaN
2012-05-02,NaN,0.080198,NaN
2012-05-03,NaN,0.080383,NaN
2012-05-04,NaN,0.080568,NaN
2012-05-05,0.087200,0.080753,0.006447
2012-05-06,0.055600,0.080939,-0.025339
2012-05-07,0.074800,0.081124,-0.006324
2012-05-08,0.094800,0.081309,0.013491
2012-05-09,NaN,0.081494,NaN
2012-05-10,0.128200,0.081680,0.046520
2012-05-11,0.087800,0.081865,0.005935
2012-05-12,NaN,0.082050,NaN
2012-05-13,NaN,0.082235,NaN
2012-05-14,NaN,0.082421,NaN
2012-05-15,NaN,0.082809,NaN
2012-05-16,NaN,0.083197,NaN
2012-05-17,NaN,0.083585,NaN
2012-05-18,0.061200,0.083973,-0.022773
2012-05-19,NaN,0.084361,NaN
2012-05-20,NaN,0.084750,NaN
2012-05-21,NaN,0.085138,NaN
2012-05-22,0.100350,0.085526,0.014824
2012-05-23,NaN,0.085914,NaN
2012-05-24,NaN,0.086302,NaN
2012-05-25,NaN,0.086690,NaN
2012-05-26,0.085300,0.087079,-0.001779
2012-05-27,0.080100,0.087467,-0.007367
2012-05-28,0.083900,0.087855,-0.003955
2012-05-29,NaN,0.088243,NaN
2012-05-30,NaN,0.088631,NaN
2012-05-31,NaN,0.089019,NaN
2012-06-01,NaN,0.089407,NaN
2012-06-02,NaN,0.089796,NaN
2012-06-03,0.081000,0.090184,-0.009184
2012-06-04,NaN,0.090572,NaN
2012-06-05,NaN,0.090960,NaN
2012-06-06,NaN,0.091348,NaN
2012-06-07,NaN,0.091736,NaN
2012-06-08,0.109200,0.092125,0.017075
2012-06-09,NaN,0.092513,NaN
2012-06-10,NaN,0.092901,NaN
2012-06-11,0.114200,0.093289,0.020911
2012-06-12,0.057800,0.093677,-0.035877
2012-06-13,0.065600,0.094065,-0.028465
2012-06-14,0.060000,0.094454,-0.034454
2012-06-15,NaN,0.094307,NaN
2012-06-16,NaN,0.094159,NaN
2012-06-17,0.082200,0.094012,-0.011812
2012-06-18,0.072900,0.093865,-0.020965
2012-06-19,NaN,0.093718,NaN
2012-06-20,NaN,0.093571,NaN
2012-06-22,NaN,0.093277,NaN
2012-06-23,NaN,0.093130,NaN
2012-06-24,NaN,0.092983,NaN
2012-06-25,NaN,0.092836,NaN
2012-06-26,NaN,0.092689,NaN
2012-06-27,NaN,0.092542,NaN
2012-06-28,NaN,0.092395,NaN
2012-06-29,0.105900,0.092248,0.013652
2012-06-30,0.150200,0.092101,0.058099
2012-07-01,NaN,0.091954,NaN
2012-07-02,0.118800,0.091807,0.026993
2012-07-03,0.084000,0.091660,-0.007660
2012-07-04,NaN,0.091512,NaN
2012-07-05,0.088600,0.091365,-0.002765
2012-07-06,NaN,0.091218,NaN
2012-07-07,NaN,0.091071,NaN
2012-07-08,0.080400,0.090924,-0.010524
2012-07-09,NaN,0.090777,NaN
2012-07-10,NaN,0.090630,NaN
2012-07-11,NaN,0.090483,NaN
2012-07-12,NaN,0.090336,NaN
2012-07-13,0.130300,0.090189,0.040111
2012-07-14,NaN,0.090042,NaN
2012-07-15,NaN,0.090196,NaN
2012-07-16,0.053000,0.090349,-0.037349
2012-07-17,NaN,0.090503,NaN
2012-07-18,NaN,0.090657,NaN
2012-07-19,NaN,0.090810,NaN
2012-07-20,0.081500,0.090964,-0.009464
2012-07-21,NaN,0.091117,NaN
2012-07-22,NaN,0.091271,NaN
2012-07-23,NaN,0.091425,NaN
2012-07-24,NaN,0.091578,NaN
2012-07-25,NaN,0.091732,NaN
2012-07-26,0.095800,0.091886,0.003914
2012-07-27,NaN,0.092039,NaN
2012-07-28,NaN,0.092193,NaN
2012-07-29,NaN,0.092347,NaN
2012-07-30,0.117950,0.092500,0.025450
2012-07-31,0.152400,0.092654,0.059746
2012-08-01,0.117600,0.092808,0.024792
2012-08-02,NaN,0.092961,NaN
2012-08-03,0.105400,0.093115,0.012285
2012-08-04,NaN,0.093269,NaN
2012-08-05,0.086000,0.093422,-0.007422
2012-08-06,NaN,0.093576,NaN
2012-08-07,NaN,0.093729,NaN
2012-08-08,NaN,0.093883,NaN
2012-08-09,0.104200,0.094037,0.010163
2012-08-10,NaN,0.094190,NaN
2012-08-11,0.125400,0.094344,0.031056
2012-08-12,0.046800,0.094498,-0.047698
2012-08-13,NaN,0.094651,NaN
2012-08-14,NaN,0.094805,NaN
2012-08-15,0.124000,0.095093,0.028907
2012-08-16,NaN,0.095381,NaN
2012-08-17,0.052400,0.095669,-0.043269
2012-08-18,NaN,0.095957,NaN
2012-08-19,0.088400,0.096245,-0.007845
2012-08-20,0.106050,0.096533,0.009517
2012-08-21,0.073800,0.096821,-0.023021
2012-08-22,NaN,0.097109,NaN
2012-08-23,NaN,0.097397,NaN
2012-08-24,NaN,0.097685,NaN
2012-08-25,NaN,0.097973,NaN
2012-08-26,NaN,0.098262,NaN
2012-08-27,NaN,0.098550,NaN
2012-08-28,0.128800,0.098838,0.029962
2012-08-29,NaN,0.099126,NaN
2012-08-30,0.064700,0.099414,-0.034714
2012-08-31,NaN,0.099702,NaN
2012-09-01,0.098200,0.099990,-0.001790
2012-09-02,0.084600,0.100278,-0.015678
2012-09-03,NaN,0.100566,NaN
2012-09-04,NaN,0.100854,NaN
2012-09-05,0.072800,0.101142,-0.028342
2012-09-06,0.076800,0.101430,-0.024630
2012-09-07,0.058200,0.101718,-0.043518
2012-09-08,NaN,0.102006,NaN
2012-09-09,0.078800,0.102294,-0.023494
2012-09-10,0.095700,0.102582,-0.006882
2012-09-11,0.060900,0.102870,-0.041970
2012-09-12,0.047800,0.103158,-0.055358
2012-09-13,NaN,0.103446,NaN
2012-09-14,NaN,0.103734,NaN
2012-09-15,NaN,0.103141,NaN
2012-09-16,NaN,0.102547,NaN
