Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.057600,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.062600,NaN,NaN
2012-01-12,0.071000,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.068600,NaN,NaN
2012-01-15,NaN,0.059432,NaN
2012-01-16,0.064200,0.059267,0.004933
2012-01-17,NaN,0.059102,NaN
2012-01-18,0.059600,0.058937,0.000663
2012-01-19,NaN,0.058772,NaN
2012-01-20,NaN,0.058607,NaN
2012-01-21,NaN,0.058442,NaN
2012-01-22,NaN,0.058277,NaN
2012-01-23,NaN,0.058112,NaN
2012-01-24,0.049000,0.057947,-0.008947
2012-01-25,0.050000,0.057782,-0.007782
2012-01-26,0.052000,0.057617,-0.005617
2012-01-27,0.054200,0.057451,-0.003251
2012-01-28,NaN,0.057286,NaN
2012-01-29,NaN,0.057121,NaN
2012-01-30,NaN,0.056956,NaN
2012-01-31,NaN,0.056791,NaN
2012-02-01,NaN,0.056626,NaN
2012-02-02,NaN,0.056461,NaN
2012-02-03,NaN,0.056296,NaN
2012-02-04,0.043400,0.056131,-0.012731
2012-02-05,NaN,0.055966,NaN
2012-02-06,NaN,0.055801,NaN
2012-02-07,NaN,0.055636,NaN
2012-02-08,0.053900,0.055471,-0.001571
2012-02-09,NaN,0.055306,NaN
2012-02-10,NaN,0.055141,NaN
2012-02-11,NaN,0.054976,NaN
2012-02-12,NaN,0.054810,NaN
2012-02-13,NaN,0.054645,NaN
2012-02-14,NaN,0.054480,NaN
2012-02-15,NaN,0.054315,NaN
2012-02-16,NaN,0.054144,NaN
2012-02-17,NaN,0.053972,NaN
2012-02-18,NaN,0.053801,NaN
2012-02-19,NaN,0.053629,NaN
2012-02-20,NaN,0.053458,NaN
2012-02-21,NaN,0.053286,NaN
2012-02-22,NaN,0.053115,NaN
2012-02-23,NaN,0.052943,NaN
2012-02-24,NaN,0.052772,NaN
2012-02-25,NaN,0.052600,NaN
2012-02-26,NaN,0.052429,NaN
2012-02-27,NaN,0.052257,NaN
2012-02-28,0.067000,0.052086,0.014914
2012-02-29,NaN,0.051914,NaN
2012-03-01,0.052000,0.051743,0.000257
2012-03-02,0.043200,0.051571,-0.008371
2012-03-03,NaN,0.051400,NaN
2012-03-04,0.052400,0.051228,0.001172
2012-03-05,0.049800,0.051057,-0.001257
2012-03-06,NaN,0.050885,NaN
2012-03-07,NaN,0.050714,NaN
2012-03-08,0.048200,0.050542,-0.002342
2012-03-09,NaN,0.050371,NaN
2012-03-10,NaN,0.050199,NaN
2012-03-11,NaN,0.050028,NaN
2012-03-12,0.040000,0.049856,-0.009856
2012-03-13,0.039200,0.049685,-0.010485
2012-03-14,NaN,0.049513,NaN
2012-03-15,0.037000,0.049204,-0.012204
2012-03-16,0.037200,0.048894,-0.011694
2012-03-17,0.036800,0.048585,-0.011785
