Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,NaN,NaN,NaN
1325721600,0.045600,NaN,NaN
1325808000,0.053100,NaN,NaN
1325894400,0.051600,NaN,NaN
1325980800,0.045800,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.066300,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.040600,0.041753,-0.001153
1326672000,NaN,0.041698,NaN
1326758400,0.042000,0.041643,0.000357
1326844800,0.038800,0.041588,-0.002788
1326931200,0.043000,0.041534,0.001466
1327017600,0.027200,0.041479,-0.014279
1327104000,0.047800,0.041424,0.006376
1327190400,NaN,0.041370,NaN
1327276800,NaN,0.041315,NaN
1327363200,0.035200,0.041260,-0.006060
1327449600,0.043000,0.041206,0.001794
1327536000,0.048200,0.041151,0.007049
1327622400,NaN,0.041096,NaN
1327708800,0.052200,0.041042,0.011158
1327795200,NaN,0.040987,NaN
1327881600,NaN,0.040932,NaN
1327968000,NaN,0.040877,NaN
1328054400,0.038200,0.040823,-0.002623
1328140800,NaN,0.040768,NaN
1328227200,NaN,0.040713,NaN
1328313600,NaN,0.040659,NaN
1328400000,NaN,0.040604,NaN
1328486400,NaN,0.040549,NaN
1328572800,0.043800,0.040495,0.003305
1328659200,NaN,0.040440,NaN
1328745600,NaN,0.040385,NaN
1328832000,NaN,0.040331,NaN
1328918400,0.036200,0.040276,-0.004076
1329004800,NaN,0.040221,NaN
1329091200,NaN,0.040166,NaN
1329177600,0.037100,0.040112,-0.003012
1329264000,0.038800,0.040057,-0.001257
1329350400,NaN,0.040014,NaN
1329436800,NaN,0.039971,NaN
1329523200,NaN,0.039928,NaN
1329609600,NaN,0.039886,NaN
1329696000,NaN,0.039843,NaN
1329782400,0.025400,0.039800,-0.014400
1329868800,0.036700,0.039757,-0.003057
1329955200,0.035000,0.039714,-0.004714
1330041600,0.038200,0.039671,-0.001471
1330128000,NaN,0.039628,NaN
1330214400,NaN,0.039585,NaN
1330300800,NaN,0.039543,NaN
1330387200,0.031000,0.039500,-0.008500
1330473600,0.044000,0.039457,0.004543
1330560000,NaN,0.039414,NaN
1330646400,NaN,0.039371,NaN
1330732800,NaN,0.039328,NaN
1330819200,NaN,0.039285,NaN
1330905600,0.036800,0.039242,-0.002442
1330992000,NaN,0.039200,NaN
1331078400,NaN,0.039157,NaN
1331164800,NaN,0.039114,NaN
1331251200,0.027400,0.039071,-0.011671
1331337600,NaN,0.039028,NaN
1331424000,NaN,0.038985,NaN
1331510400,0.031000,0.038942,-0.007942
1331596800,0.050000,0.038900,0.011100
1331683200,0.032200,0.038857,-0.006657
1331769600,NaN,0.038704,NaN
1331856000,0.033800,0.038552,-0.004752
1331942400,NaN,0.038399,NaN
1332028800,NaN,0.038247,NaN
1332115200,0.022900,0.038094,-0.015194
1332201600,NaN,0.037942,NaN
1332288000,0.038100,0.037790,0.000310
1332374400,NaN,0.037637,NaN
1332460800,0.028000,0.037485,-0.009485
1332720000,0.028400,0.037027,-0.008627
1332806400,NaN,0.036875,NaN
1332892800,NaN,0.036722,NaN
1332979200,0.041800,0.036570,0.005230
1333065600,0.024800,0.036418,-0.011618
1333152000,0.030900,0.036265,-0.005365
1333238400,0.037600,0.036113,0.001487
1333324800,NaN,0.035960,NaN
1333411200,0.027400,0.035808,-0.008408
1333497600,0.026100,0.035655,-0.009555
1333584000,NaN,0.035503,NaN
1333670400,0.041400,0.035350,0.006050
1333756800,NaN,0.035198,NaN
1333843200,0.036000,0.035046,0.000954
1333929600,NaN,0.034893,NaN
1334016000,NaN,0.034741,NaN
1334102400,NaN,0.034588,NaN
1334188800,NaN,0.034436,NaN
1334275200,NaN,0.034283,NaN
1334361600,NaN,0.034131,NaN
1334448000,0.054200,0.034145,0.020055
1334534400,0.056400,0.034158,0.022242
1334620800,NaN,0.034172,NaN
1334707200,NaN,0.034186,NaN
1334793600,NaN,0.034200,NaN
1334880000,NaN,0.034213,NaN
1334966400,NaN,0.034227,NaN
1335052800,0.046900,0.034241,0.012659
1335139200,NaN,0.034254,NaN
1335225600,0.061600,0.034268,0.027332
1335312000,0.025800,0.034282,-0.008482
1335398400,0.026400,0.034296,-0.007896
1335484800,NaN,0.034309,NaN
1335571200,NaN,0.034323,NaN
1335657600,NaN,0.034337,NaN
1335744000,NaN,0.034351,NaN
1335830400,NaN,0.034364,NaN
1335916800,0.035400,0.034378,0.001022
1336003200,NaN,0.034392,NaN
1336089600,NaN,0.034405,NaN
1336176000,0.037400,0.034419,0.002981
1336262400,0.024000,0.034433,-0.010433
