Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,NaN,NaN,NaN
2012-01-05,0.061600,NaN,NaN
2012-01-06,0.053800,NaN,NaN
2012-01-07,0.046400,NaN,NaN
2012-01-08,0.049200,NaN,NaN
2012-01-09,0.017200,NaN,NaN
2012-01-10,0.047400,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.027100,0.043214,-0.016114
2012-01-16,NaN,0.043225,NaN
2012-01-17,0.043100,0.043235,-0.000135
2012-01-18,0.043200,0.043246,-0.000046
2012-01-19,0.037600,0.043256,-0.005656
2012-01-20,0.042800,0.043267,-0.000467
2012-01-21,0.050000,0.043277,0.006723
2012-01-22,NaN,0.043288,NaN
2012-01-23,NaN,0.043298,NaN
2012-01-24,0.034800,0.043309,-0.008509
2012-01-25,NaN,0.043319,NaN
2012-01-26,0.071600,0.043330,0.028270
2012-01-27,NaN,0.043340,NaN
2012-01-28,0.045300,0.043351,0.001949
2012-01-29,NaN,0.043361,NaN
2012-01-30,NaN,0.043372,NaN
2012-01-31,NaN,0.043382,NaN
2012-02-01,NaN,0.043393,NaN
2012-02-02,NaN,0.043403,NaN
2012-02-03,NaN,0.043414,NaN
2012-02-04,NaN,0.043424,NaN
2012-02-05,NaN,0.043435,NaN
2012-02-06,NaN,0.043445,NaN
2012-02-07,0.056800,0.043456,0.013344
2012-02-08,NaN,0.043467,NaN
2012-02-09,NaN,0.043477,NaN
2012-02-10,NaN,0.043488,NaN
2012-02-11,NaN,0.043498,NaN
2012-02-12,NaN,0.043509,NaN
2012-02-13,NaN,0.043519,NaN
2012-02-14,0.033600,0.043530,-0.009930
2012-02-15,0.032000,0.043540,-0.011540
2012-02-16,NaN,0.043441,NaN
2012-02-17,NaN,0.043342,NaN
2012-02-18,0.047800,0.043243,0.004557
2012-02-19,NaN,0.043144,NaN
2012-02-20,NaN,0.043044,NaN
2012-02-21,NaN,0.042945,NaN
2012-02-22,0.028200,0.042846,-0.014646
2012-02-23,0.035600,0.042747,-0.007147
2012-02-24,0.044600,0.042648,0.001952
2012-02-25,NaN,0.042549,NaN
2012-02-26,NaN,0.042450,NaN
2012-02-27,0.033200,0.042350,-0.009150
2012-02-28,0.041800,0.042251,-0.000451
2012-02-29,0.042500,0.042152,0.000348
2012-03-01,0.033300,0.042053,-0.008753
2012-03-02,NaN,0.041954,NaN
2012-03-03,NaN,0.041855,NaN
2012-03-04,NaN,0.041756,NaN
2012-03-05,NaN,0.041657,NaN
2012-03-06,NaN,0.041557,NaN
2012-03-07,NaN,0.041458,NaN
2012-03-08,NaN,0.041359,NaN
2012-03-09,NaN,0.041260,NaN
2012-03-10,0.031000,0.041161,-0.010161
2012-03-11,NaN,0.041062,NaN
2012-03-12,NaN,0.040963,NaN
2012-03-13,NaN,0.040863,NaN
2012-03-14,0.029800,0.040764,-0.010964
2012-03-15,NaN,0.040654,NaN
2012-03-16,0.036200,0.040543,-0.004343
2012-03-17,NaN,0.040433,NaN
2012-03-18,0.035400,0.040322,-0.004922
2012-03-19,0.037000,0.040212,-0.003212
2012-03-20,NaN,0.040101,NaN
2012-03-21,0.036400,0.039991,-0.003591
2012-03-22,NaN,0.039880,NaN
2012-03-23,0.029200,0.039770,-0.010570
2012-03-26,0.033000,0.039438,-0.006438
2012-03-27,NaN,0.039328,NaN
2012-03-28,NaN,0.039218,NaN
2012-03-29,0.025000,0.039107,-0.014107
2012-03-30,0.030000,0.038997,-0.008997
2012-03-31,0.040100,0.038886,0.001214
2012-04-01,NaN,0.038776,NaN
2012-04-02,NaN,0.038665,NaN
2012-04-03,0.029000,0.038555,-0.009555
2012-04-04,0.024000,0.038444,-0.014444
2012-04-05,NaN,0.038334,NaN
2012-04-06,NaN,0.038223,NaN
2012-04-07,NaN,0.038113,NaN
2012-04-08,0.032800,0.038002,-0.005202
2012-04-09,0.035300,0.037892,-0.002592
2012-04-10,0.028400,0.037781,-0.009381
2012-04-11,0.044000,0.037671,0.006329
2012-04-12,NaN,0.037560,NaN
2012-04-13,NaN,0.037450,NaN
2012-04-14,NaN,0.037339,NaN
2012-04-15,NaN,0.037345,NaN
2012-04-16,NaN,0.037350,NaN
2012-04-17,NaN,0.037356,NaN
2012-04-18,NaN,0.037361,NaN
2012-04-19,NaN,0.037367,NaN
2012-04-20,0.034200,0.037372,-0.003172
2012-04-21,NaN,0.037378,NaN
2012-04-22,NaN,0.037383,NaN
2012-04-23,NaN,0.037388,NaN
2012-04-24,0.033800,0.037394,-0.003594
